日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,233.020,243.010,233.020,242.690,2237624832.0,9393300
2024-9-30,09:40,242.430,245.200,239.220,240.290,1155787136.0,4756800
2024-9-30,09:45,240.100,240.100,237.000,237.800,828517248.0,3468600
2024-9-30,09:50,238.040,238.700,236.310,236.310,694506304.0,2924500
2024-9-30,09:55,236.310,236.530,232.000,235.950,849309312.0,3620000
2024-9-30,10:00,235.290,236.870,232.960,236.870,624226816.0,2664000
2024-9-30,10:05,236.590,238.030,235.910,237.350,455250848.0,1922400
2024-9-30,10:10,237.000,238.000,236.520,236.890,329982464.0,1390600
2024-9-30,10:15,236.650,238.000,235.850,237.140,413283520.0,1746300
2024-9-30,10:20,237.470,238.680,236.270,238.680,312582016.0,1315000
2024-9-30,10:25,238.480,239.300,237.800,237.800,365085344.0,1529800
2024-9-30,10:30,237.600,238.580,237.100,238.570,332473664.0,1398100
2024-9-30,10:35,238.620,238.640,236.580,237.330,290394336.0,1222000
2024-9-30,10:40,237.150,238.340,237.150,237.420,218743392.0,920200
2024-9-30,10:45,237.470,237.960,237.360,237.600,246036512.0,1035300
2024-9-30,10:50,237.570,239.540,237.340,239.540,368367936.0,1543300
2024-9-30,10:55,239.540,241.300,239.540,241.300,372194400.0,1549200
2024-9-30,11:00,241.220,242.300,241.170,242.300,340778304.0,1410200
2024-9-30,11:05,242.290,244.310,241.800,241.800,432906624.0,1777100
2024-9-30,11:10,241.800,242.330,240.000,242.250,278483584.0,1154600
2024-9-30,11:15,242.300,242.330,240.920,242.010,192491152.0,796600
2024-9-30,11:20,242.000,242.640,242.000,242.640,184230912.0,760600
2024-9-30,11:25,242.600,242.600,241.840,241.890,185143712.0,764700
2024-9-30,11:30,241.880,242.050,241.350,241.970,182626192.0,755800
2024-9-30,13:05,242.280,248.500,242.200,248.300,885561984.0,3605700
2024-9-30,13:10,248.040,249.660,247.930,249.500,428130560.0,1722900
2024-9-30,13:15,249.510,252.000,248.130,248.130,644114176.0,2569000
2024-9-30,13:20,247.980,247.980,245.380,245.540,394012992.0,1596500
2024-9-30,13:25,245.460,247.100,245.460,246.990,229668960.0,932200
2024-9-30,13:30,247.130,247.960,246.690,246.900,237533120.0,960500
2024-9-30,13:35,246.910,248.000,246.880,247.660,256115648.0,1034500
2024-9-30,13:40,247.590,248.280,247.580,248.030,297213632.0,1198800
2024-9-30,13:45,248.150,248.490,247.880,247.900,387859104.0,1564100
2024-9-30,13:50,248.460,250.000,247.900,248.780,378914208.0,1520000
2024-9-30,13:55,248.500,249.000,247.940,249.000,316127744.0,1273800
2024-9-30,14:00,248.990,252.000,248.990,251.980,464140448.0,1846100
2024-9-30,14:05,251.980,253.000,251.520,253.000,420661312.0,1668300
2024-9-30,14:10,253.000,255.000,252.000,253.100,518469088.0,2043400
2024-9-30,14:15,253.100,253.100,252.000,252.060,458735168.0,1816200
2024-9-30,14:20,252.050,252.060,248.220,249.290,409740416.0,1640700
2024-9-30,14:25,249.120,249.120,245.010,246.000,518300960.0,2101900
2024-9-30,14:30,246.340,250.000,245.450,248.590,443156896.0,1793400
2024-9-30,14:35,248.590,249.840,247.300,249.000,329354720.0,1325700
2024-9-30,14:40,248.990,249.620,247.050,248.010,330866592.0,1332700
2024-9-30,14:45,248.880,248.980,247.580,248.980,384982368.0,1551900
2024-9-30,14:50,248.980,252.000,248.970,250.660,469560160.0,1872200
2024-9-30,14:55,250.600,252.950,250.600,252.000,583695360.0,2315000
2024-9-30,15:00,252.000,252.930,251.890,251.890,568783040.0,2256600
2024-10-8,09:35,296.000,301.500,290.010,293.000,6871436288.0,23266200
2024-10-8,09:40,292.490,295.000,292.090,292.740,1921978496.0,6541800
2024-10-8,09:45,293.990,293.990,276.950,277.050,1849206912.0,6453800
