日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,45.690,46.970,45.690,46.370,7150136.0,154200
2025-3-31,09:40,46.300,46.470,46.010,46.380,4659035.0,100800
2025-3-31,09:45,46.430,46.960,46.250,46.840,5235257.0,112100
2025-3-31,09:50,46.840,46.840,46.310,46.610,2044910.25,43900
2025-3-31,09:55,46.620,47.080,46.530,46.660,10032466.0,213900
2025-3-31,10:00,46.810,47.030,46.690,46.850,1772579.0,37800
2025-3-31,10:05,46.800,47.040,46.660,46.950,2152988.0,45900
2025-3-31,10:10,46.950,47.030,46.860,47.010,1657799.0,35300
2025-3-31,10:15,46.950,46.960,46.420,46.450,3164833.0,67900
2025-3-31,10:20,46.430,46.540,46.270,46.270,2693826.0,58100
2025-3-31,10:25,46.270,46.330,46.150,46.150,3110897.0,67300
2025-3-31,10:30,46.200,46.200,45.930,45.970,1978597.0,42900
2025-3-31,10:35,46.010,46.250,46.010,46.170,1342259.0,29100
2025-3-31,10:40,46.180,46.230,45.900,46.000,1436951.0,31200
2025-3-31,10:45,45.880,45.960,45.760,45.850,1522583.0,33200
2025-3-31,10:50,45.850,45.860,45.780,45.780,1511831.0,33000
2025-3-31,10:55,45.800,46.000,45.770,45.860,2956906.0,64500
2025-3-31,11:00,45.920,45.940,45.820,45.820,1005310.0,21900
2025-3-31,11:05,45.860,45.860,45.700,45.700,1808162.0,39500
2025-3-31,11:10,45.700,45.850,45.570,45.840,919206.0,20100
2025-3-31,11:15,45.850,46.000,45.790,46.000,366931.0,8000
2025-3-31,11:20,46.020,46.150,45.920,46.010,1026608.0,22300
2025-3-31,11:25,46.010,46.010,45.570,45.660,1590202.0,34800
2025-3-31,11:30,45.650,45.670,45.570,45.670,447051.0,9800
2025-3-31,13:05,45.670,45.990,45.670,45.840,1058355.0,23100
2025-3-31,13:10,45.880,45.980,45.800,45.900,665592.0,14500
2025-3-31,13:15,45.980,46.130,45.770,45.910,854563.0,18600
2025-3-31,13:20,45.910,46.000,45.760,45.760,220249.0,4800
2025-3-31,13:25,45.760,45.840,45.750,45.840,357134.0,7800
2025-3-31,13:30,45.800,45.860,45.780,45.860,270243.0,5900
2025-3-31,13:35,45.810,46.000,45.720,45.950,2298092.0,50100
2025-3-31,13:40,45.950,46.500,45.950,46.370,3351192.0,72400
2025-3-31,13:45,46.390,46.430,46.250,46.380,2387200.0,51500
2025-3-31,13:50,46.280,46.500,46.190,46.350,4721957.0,101700
2025-3-31,13:55,46.340,46.760,46.340,46.710,3657755.0,78500
2025-3-31,14:00,46.720,46.790,46.600,46.770,3629870.0,77700
2025-3-31,14:05,46.660,46.800,46.550,46.800,2994871.0,64100
2025-3-31,14:10,46.750,47.330,46.740,47.160,10617054.0,225200
2025-3-31,14:15,47.100,47.560,47.100,47.530,8054548.0,170000
2025-3-31,14:20,47.420,47.660,47.380,47.380,6594935.0,138600
2025-3-31,14:25,47.360,47.650,47.360,47.430,6883410.0,144800
2025-3-31,14:30,47.430,47.580,47.200,47.450,4697778.0,99000
2025-3-31,14:35,47.440,47.510,47.300,47.380,3266137.0,68900
2025-3-31,14:40,47.340,47.460,47.080,47.100,5805899.0,122800
2025-3-31,14:45,47.100,47.160,46.910,47.000,4082815.0,86800
2025-3-31,14:50,47.000,47.090,46.910,46.930,4063872.0,86500
2025-3-31,14:55,46.930,47.150,46.900,47.030,3559146.5,75700
2025-3-31,15:00,47.090,47.250,46.950,47.100,5438937.0,115400
2025-4-1,09:35,46.890,47.020,46.000,46.190,11751559.0,253200
2025-4-1,09:40,46.280,46.450,46.120,46.140,4146319.0,89600
2025-4-1,09:45,46.090,46.300,45.900,46.240,6228210.0,135300
2025-4-1,09:50,46.180,46.450,46.120,46.330,1878114.0,40500
2025-4-1,09:55,46.330,46.330,46.200,46.280,795572.0,17200
2025-4-1,10:00,46.290,46.500,46.220,46.480,1486992.0,32100
2025-4-1,10:05,46.400,46.550,46.320,46.400,1230755.0,26500
2025-4-1,10:10,46.400,46.610,46.380,46.610,1441309.0,31000
2025-4-1,10:15,46.660,46.960,46.570,46.810,4003050.0,85600
2025-4-1,10:20,46.810,46.850,46.500,46.500,5094168.0,109100
2025-4-1,10:25,46.510,46.550,46.400,46.440,2340658.0,50400
