日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,25.000,25.770,24.800,25.750,159556736.0,6311000
2024-9-30,09:40,25.760,25.860,25.000,25.000,79952184.0,3122700
2024-9-30,09:45,25.010,25.380,25.010,25.180,60639936.0,2408500
2024-9-30,09:50,25.160,25.160,24.760,24.810,63732052.0,2554200
2024-9-30,09:55,24.810,24.890,24.400,24.890,59454192.0,2416300
2024-9-30,10:00,24.920,25.130,24.920,25.010,35776780.0,1428600
2024-9-30,10:05,25.010,25.370,25.010,25.370,32479622.0,1288500
2024-9-30,10:10,25.380,25.480,25.310,25.410,30655864.0,1206500
2024-9-30,10:15,25.380,25.400,25.250,25.380,20786650.0,820400
2024-9-30,10:20,25.380,25.500,25.320,25.500,19644062.0,773000
2024-9-30,10:25,25.490,25.850,25.490,25.840,35483408.0,1378900
2024-9-30,10:30,25.850,26.260,25.850,26.150,53802064.0,2065900
2024-9-30,10:35,26.190,26.190,25.760,25.910,26470398.0,1021300
2024-9-30,10:40,25.910,26.030,25.880,25.990,15107522.0,581700
2024-9-30,10:45,26.000,26.400,26.000,26.390,28863030.0,1100100
2024-9-30,10:50,26.390,26.830,26.390,26.740,36802720.0,1383200
2024-9-30,10:55,26.730,26.850,26.680,26.850,31362924.0,1170900
2024-9-30,11:00,26.850,27.450,26.850,27.440,28918384.0,1070200
2024-9-30,11:05,27.490,27.500,26.670,26.830,35166784.0,1298300
2024-9-30,11:10,26.850,26.910,26.660,26.850,20448316.0,763300
2024-9-30,11:15,26.870,27.270,26.850,27.260,17633354.0,652600
2024-9-30,11:20,27.280,27.330,27.020,27.250,16777788.0,616600
2024-9-30,11:25,27.230,27.300,27.020,27.190,12165874.0,447300
2024-9-30,11:30,27.180,27.280,27.180,27.260,12052532.0,442500
2024-9-30,13:05,27.270,27.660,27.270,27.600,37127184.0,1352000
2024-9-30,13:10,27.590,27.600,27.500,27.570,18456708.0,670100
2024-9-30,13:15,27.560,27.600,27.240,27.240,24046980.0,874000
2024-9-30,13:20,27.220,27.330,27.030,27.320,22390084.0,824000
2024-9-30,13:25,27.310,27.480,27.260,27.460,17453200.0,638400
2024-9-30,13:30,27.470,27.540,27.380,27.540,19741656.0,718600
2024-9-30,13:35,27.550,28.000,27.550,27.990,34641984.0,1244100
2024-9-30,13:40,27.990,28.000,27.930,27.930,15664444.0,559800
2024-9-30,13:45,27.930,27.980,27.910,27.910,15371316.0,550300
2024-9-30,13:50,27.920,28.000,27.910,28.000,18437572.0,659200
2024-9-30,13:55,28.010,28.300,28.000,28.280,24098184.0,854500
2024-9-30,14:00,28.280,28.290,28.250,28.280,17192342.0,608200
2024-9-30,14:05,28.270,28.290,28.260,28.270,11341811.0,401200
2024-9-30,14:10,28.270,28.270,28.010,28.020,15389137.0,545800
2024-9-30,14:15,28.010,28.260,27.990,28.260,14807519.0,526900
2024-9-30,14:20,28.250,28.270,28.090,28.090,12904052.0,457300
2024-9-30,14:25,28.100,28.100,27.150,27.400,35842084.0,1307400
2024-9-30,14:30,27.400,28.000,27.210,27.960,28271224.0,1027300
2024-9-30,14:35,27.940,27.940,27.500,27.730,14707786.0,531400
2024-9-30,14:40,27.720,28.000,27.690,28.000,18004140.0,647000
2024-9-30,14:45,28.000,28.130,27.990,28.110,19154740.0,682400
2024-9-30,14:50,28.100,28.200,28.080,28.200,25325196.0,900700
2024-9-30,14:55,28.190,28.360,28.190,28.360,39330076.0,1390900
2024-9-30,15:00,28.340,28.400,28.340,28.400,31935336.0,1124700
2024-10-8,09:35,34.080,34.080,34.080,34.080,139366800.0,4089400
2024-10-8,09:40,34.080,34.080,33.280,33.800,199658720.0,5887000
2024-10-8,09:45,33.780,34.080,33.530,33.530,201209312.0,5925400
2024-10-8,09:50,33.500,34.080,32.930,34.080,205346144.0,6102000
2024-10-8,09:55,34.080,34.080,34.070,34.080,119243440.0,3499000
2024-10-8,10:00,34.080,34.080,34.070,34.080,34720864.0,1018900
2024-10-8,10:05,34.080,34.080,34.080,34.080,23469924.0,688700
2024-10-8,10:10,34.080,34.080,34.080,34.080,9246210.0,271300
2024-10-8,10:15,34.080,34.080,34.080,34.080,14153424.0,415300
2024-10-8,10:20,34.080,34.080,34.080,34.080,9348144.0,274300
2024-10-8,10:25,34.080,34.080,34.080,34.080,2530371.75,74200
2024-10-8,10:30,34.080,34.080,34.080,34.080,13070702.0,383500
2024-10-8,10:35,34.080,34.080,34.080,34.080,67392520.0,1977500
2024-10-8,10:40,34.060,34.070,32.600,33.380,229931264.0,6913400
2024-10-8,10:45,33.370,34.080,33.250,34.080,137257424.0,4061600
2024-10-8,10:50,34.070,34.080,34.000,34.030,64858632.0,1904200
2024-10-8,10:55,34.030,34.060,33.860,34.050,50552480.0,1488400
2024-10-8,11:00,34.060,34.060,34.000,34.010,37230512.0,1093800
2024-10-8,11:05,34.010,34.080,33.880,34.070,65500732.0,1926200
2024-10-8,11:10,34.080,34.080,34.070,34.080,62016356.0,1819800
2024-10-8,11:15,34.080,34.080,34.070,34.080,32432728.0,951700
2024-10-8,11:20,34.080,34.080,34.080,34.080,2417976.0,70900
2024-10-8,11:25,34.080,34.080,34.080,34.080,1891440.0,55500
2024-10-8,11:30,34.080,34.080,34.080,34.080,7578369.5,222400
2024-10-8,13:05,34.080,34.080,34.080,34.080,11984983.0,351700
2024-10-8,13:10,34.080,34.080,34.080,34.080,15668621.0,459700
2024-10-8,13:15,34.080,34.080,34.080,34.080,19988942.0,586600
2024-10-8,13:20,34.080,34.080,34.080,34.080,2776838.5,81400
2024-10-8,13:25,34.080,34.080,34.080,34.080,4888435.0,143500
2024-10-8,13:30,34.080,34.080,34.080,34.080,6028752.0,176900
2024-10-8,13:35,34.080,34.080,34.080,34.080,1456715.5,42700
2024-10-8,13:40,34.080,34.080,34.080,34.080,1727515.25,50700
2024-10-8,13:45,34.080,34.080,34.080,34.080,2946897.5,86500
2024-10-8,13:50,34.080,34.080,34.080,34.080,7655731.0,224600
2024-10-8,13:55,34.080,34.080,34.080,34.080,23319580.0,684300
2024-10-8,14:00,34.080,34.080,33.860,34.080,95664472.0,2810200
2024-10-8,14:05,34.080,34.080,34.080,34.080,3532051.25,103700
2024-10-8,14:10,34.080,34.080,34.080,34.080,3198987.25,93800
2024-10-8,14:15,34.080,34.080,34.080,34.080,1603634.25,47100
2024-10-8,14:20,34.080,34.080,34.080,34.080,2344704.0,68800
2024-10-8,14:25,34.080,34.080,34.080,34.080,373176.0,10900
2024-10-8,14:30,34.080,34.080,34.080,34.080,824736.0,24200
2024-10-8,14:35,34.080,34.080,34.080,34.080,494160.0,14500
2024-10-8,14:40,34.080,34.080,34.080,34.080,1522012.75,44700
2024-10-8,14:45,34.080,34.080,34.080,34.080,524832.0,15400
2024-10-8,14:50,34.080,34.080,34.080,34.080,629219.0,18500
2024-10-8,14:55,34.080,34.080,34.080,34.080,8627352.0,253100
2024-10-8,15:00,34.080,34.080,34.080,34.080,1971289.5,57900
2024-10-9,09:35,35.000,36.000,32.400,36.000,566654272.0,16450500
2024-10-9,09:40,36.000,36.630,35.200,35.200,501799296.0,13894300
2024-10-9,09:45,35.180,37.870,35.120,37.840,286499712.0,7904000
2024-10-9,09:50,37.880,39.250,37.880,38.860,317444192.0,8242400
2024-10-9,09:55,38.900,38.980,37.400,37.400,165611968.0,4307800
2024-10-9,10:00,37.380,38.060,37.180,37.430,109922624.0,2916700
2024-10-9,10:05,37.380,37.660,36.760,37.660,119439096.0,3226400
2024-10-9,10:10,37.680,37.890,37.000,37.360,107375936.0,2861100
2024-10-9,10:15,37.420,37.920,37.400,37.920,100015080.0,2666100
2024-10-9,10:20,37.920,38.040,37.320,37.320,78145176.0,2060500
2024-10-9,10:25,37.310,38.000,37.310,37.920,67917872.0,1798900
2024-10-9,10:30,37.920,37.970,37.380,37.450,44846932.0,1188200
2024-10-9,10:35,37.450,37.670,37.320,37.320,44900756.0,1197400
2024-10-9,10:40,37.310,37.310,36.620,36.620,102404504.0,2782300
2024-10-9,10:45,36.630,37.610,36.490,37.480,85802056.0,2318800
2024-10-9,10:50,37.500,37.500,37.110,37.110,46466360.0,1245300
2024-10-9,10:55,37.100,37.390,36.990,37.360,38294880.0,1029300
2024-10-9,11:00,37.360,37.370,37.230,37.230,33835096.0,906500
2024-10-9,11:05,37.210,37.430,37.120,37.200,38784588.0,1040300
2024-10-9,11:10,37.200,37.200,36.900,36.900,30256192.0,816900
2024-10-9,11:15,36.890,37.030,36.660,37.000,38114860.0,1035000
2024-10-9,11:20,37.000,37.000,36.070,36.070,57765596.0,1582900
2024-10-9,11:25,36.060,36.900,35.700,36.850,93019480.0,2578500
2024-10-9,11:30,36.850,37.500,36.850,37.460,49938440.0,1337200
2024-10-9,13:05,37.490,38.400,37.480,38.400,108466088.0,2859700
2024-10-9,13:10,38.400,38.460,38.010,38.130,67703952.0,1768200
2024-10-9,13:15,38.110,38.380,37.700,37.700,43329260.0,1135200
2024-10-9,13:20,37.700,38.390,37.690,38.390,47011048.0,1230300
2024-10-9,13:25,38.370,38.400,38.150,38.400,31973688.0,835100
2024-10-9,13:30,38.400,39.000,38.400,38.980,118144960.0,3044500
2024-10-9,13:35,38.960,40.000,38.960,40.000,91024736.0,2310600
2024-10-9,13:40,40.000,40.150,39.760,40.150,86186600.0,2156500
