日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,86.500,89.000,86.270,88.520,77000208.0,882900
2024-9-30,09:40,88.810,89.830,87.110,87.110,33161096.0,373500
2024-9-30,09:45,87.220,87.990,86.870,87.490,25382754.0,290500
2024-9-30,09:50,87.500,87.830,86.670,86.670,17534328.0,201200
2024-9-30,09:55,86.670,86.960,85.490,86.960,15578767.0,180900
2024-9-30,10:00,86.880,87.500,86.710,87.500,9817184.0,112800
2024-9-30,10:05,87.270,87.870,87.000,87.810,10623658.0,121300
2024-9-30,10:10,87.860,88.360,87.710,87.970,9484260.0,107800
2024-9-30,10:15,87.930,87.950,87.580,87.600,7526060.0,85800
2024-9-30,10:20,87.770,88.600,87.710,88.600,14418574.0,163300
2024-9-30,10:25,88.500,88.680,88.210,88.680,8849264.0,100000
2024-9-30,10:30,88.700,89.210,88.700,89.050,19248764.0,216400
2024-9-30,10:35,88.990,88.990,87.740,88.210,11552616.0,130500
2024-9-30,10:40,88.210,88.770,88.200,88.470,6352146.0,71700
2024-9-30,10:45,88.560,88.910,88.250,88.910,8166862.0,92100
2024-9-30,10:50,88.900,89.600,88.900,89.600,15055740.0,168700
2024-9-30,10:55,89.600,90.040,89.600,90.030,16092557.0,179100
2024-9-30,11:00,90.020,90.520,90.010,90.500,11552406.0,128000
2024-9-30,11:05,90.500,90.880,89.580,89.580,15779400.0,174800
2024-9-30,11:10,89.590,89.780,88.880,89.730,8606307.0,96500
2024-9-30,11:15,89.730,89.990,89.500,89.990,3483658.0,38800
2024-9-30,11:20,89.990,90.260,89.990,90.160,3564808.5,39500
2024-9-30,11:25,90.100,90.500,90.000,90.500,3826248.0,42400
2024-9-30,11:30,90.490,90.590,90.200,90.400,6701487.0,74100
2024-9-30,13:05,90.490,94.500,90.490,94.450,43744304.0,473600
2024-9-30,13:10,94.450,94.760,94.070,94.380,16163756.0,171200
2024-9-30,13:15,94.380,94.380,93.000,93.000,9815525.0,104600
2024-9-30,13:20,93.040,93.210,92.060,93.120,6814471.5,73400
2024-9-30,13:25,93.120,93.300,92.740,92.890,7085813.5,76200
2024-9-30,13:30,93.000,93.360,92.890,93.310,7271408.5,78000
2024-9-30,13:35,93.300,93.410,93.070,93.410,8516016.0,91400
2024-9-30,13:40,93.410,94.110,93.410,94.110,9403415.0,100200
2024-9-30,13:45,94.120,94.450,94.110,94.450,7664263.0,81200
2024-9-30,13:50,94.390,94.580,94.380,94.570,10660005.0,112800
2024-9-30,13:55,94.560,94.570,93.640,93.830,9992580.0,106300
2024-9-30,14:00,93.730,94.190,93.730,94.190,9209067.0,98000
2024-9-30,14:05,94.180,94.190,93.940,94.000,7878105.0,83800
2024-9-30,14:10,94.000,94.180,93.990,94.130,8609569.0,91500
2024-9-30,14:15,94.140,94.200,94.040,94.180,9555139.0,101500
2024-9-30,14:20,94.180,94.260,93.990,94.000,11881094.0,126200
2024-9-30,14:25,94.000,94.000,91.800,91.800,12139077.0,130700
2024-9-30,14:30,91.500,93.000,91.000,92.190,11385332.0,124100
2024-9-30,14:35,92.190,92.600,91.990,92.320,6206967.0,67300
2024-9-30,14:40,92.440,92.600,92.280,92.600,7670938.0,83000
2024-9-30,14:45,92.600,93.000,92.580,92.950,8227208.0,88700
2024-9-30,14:50,92.940,92.950,92.750,92.880,11984456.0,129100
2024-9-30,14:55,92.900,92.960,92.810,92.920,16283450.0,175300
