日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,29.820,30.680,29.820,30.660,61354428.0,2023700
2024-9-30,09:40,30.680,30.760,30.200,30.200,34116920.0,1114600
2024-9-30,09:45,30.180,30.290,30.000,30.160,28769600.0,954900
2024-9-30,09:50,30.160,30.160,29.840,29.840,24340384.0,811600
2024-9-30,09:55,29.830,29.850,29.420,29.750,27236374.0,919200
2024-9-30,10:00,29.820,30.070,29.800,30.000,15093091.0,503500
2024-9-30,10:05,30.000,30.260,30.000,30.260,12411873.0,412600
2024-9-30,10:10,30.260,30.300,30.230,30.230,12692666.0,419500
2024-9-30,10:15,30.220,30.520,30.220,30.320,15150577.0,498600
2024-9-30,10:20,30.320,30.470,30.200,30.470,7536336.0,248600
2024-9-30,10:25,30.450,30.700,30.450,30.700,10629467.0,347600
2024-9-30,10:30,30.710,30.880,30.670,30.860,14744611.0,479600
2024-9-30,10:35,30.860,31.000,30.650,30.750,19382812.0,627400
2024-9-30,10:40,30.760,30.780,30.560,30.770,10625511.0,346600
2024-9-30,10:45,30.760,30.870,30.740,30.870,2632018.0,85500
2024-9-30,10:50,30.870,30.930,30.870,30.930,6203501.0,200700
2024-9-30,10:55,30.930,30.950,30.910,30.950,5100544.0,164900
2024-9-30,11:00,30.950,31.000,30.940,30.990,7112785.0,229600
2024-9-30,11:05,31.000,31.140,30.990,31.010,9208409.0,296400
2024-9-30,11:10,31.000,31.000,30.730,30.900,8592156.0,279000
2024-9-30,11:15,30.960,30.990,30.900,30.950,3373587.0,109000
2024-9-30,11:20,30.980,30.980,30.920,30.940,5338041.0,172400
2024-9-30,11:25,30.940,31.200,30.930,31.200,4826920.0,155400
2024-9-30,11:30,31.200,31.200,31.100,31.110,3633460.0,116700
2024-9-30,13:05,31.150,31.550,31.150,31.420,13619983.0,433800
2024-9-30,13:10,31.450,31.580,31.410,31.560,9145862.0,290500
2024-9-30,13:15,31.580,31.620,31.260,31.260,8322942.0,264300
