日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,19.160,19.600,19.110,19.490,11481928.0,592700
2024-9-30,09:40,19.480,19.560,19.110,19.110,8948135.0,461900
2024-9-30,09:45,19.100,19.140,18.900,19.040,7501727.0,393700
2024-9-30,09:50,19.030,19.060,18.710,18.850,9755346.0,516300
2024-9-30,09:55,18.820,18.870,18.600,18.870,6932014.0,370600
2024-9-30,10:00,18.870,19.100,18.860,19.100,3754557.0,197800
2024-9-30,10:05,19.090,19.170,19.000,19.170,6057298.0,317600
2024-9-30,10:10,19.140,19.250,19.080,19.240,3431765.0,179100
2024-9-30,10:15,19.190,19.200,19.100,19.200,2177873.0,113600
2024-9-30,10:20,19.240,19.250,19.120,19.200,1709736.0,89200
2024-9-30,10:25,19.200,19.400,19.190,19.390,3103341.0,161100
2024-9-30,10:30,19.390,19.880,19.380,19.760,9200727.0,468600
2024-9-30,10:35,19.770,19.770,19.400,19.400,4415663.0,224800
2024-9-30,10:40,19.400,19.610,19.400,19.610,4606465.0,236100
2024-9-30,10:45,19.610,19.700,19.590,19.670,3783101.0,192300
2024-9-30,10:50,19.700,20.020,19.690,20.020,5419260.0,272600
2024-9-30,10:55,20.020,20.140,19.890,20.140,3385650.0,169100
2024-9-30,11:00,20.120,20.310,19.960,20.200,3062406.0,152000
2024-9-30,11:05,20.210,20.220,20.020,20.150,3396515.0,168900
2024-9-30,11:10,20.110,20.120,19.730,19.940,4699401.0,235500
2024-9-30,11:15,19.980,19.990,19.910,19.970,1310260.0,65600
2024-9-30,11:20,19.970,20.100,19.950,20.090,2899922.0,145100
2024-9-30,11:25,20.090,20.170,20.080,20.170,2188770.0,108900
2024-9-30,11:30,20.180,20.430,20.160,20.390,2331658.0,115100
2024-9-30,13:05,20.370,20.450,20.220,20.440,4872763.0,239200
2024-9-30,13:10,20.430,20.650,20.310,20.620,3199514.0,156100
2024-9-30,13:15,20.620,20.630,20.280,20.320,4444840.0,216600
2024-9-30,13:20,20.320,20.630,20.230,20.400,3683771.0,180100
2024-9-30,13:25,20.350,20.500,20.300,20.500,2942183.0,144300
2024-9-30,13:30,20.530,20.680,20.380,20.660,2845499.0,138400
2024-9-30,13:35,20.630,20.680,20.400,20.450,1080233.0,52700
2024-9-30,13:40,20.450,20.600,20.430,20.590,1904939.0,92800
2024-9-30,13:45,20.590,20.780,20.590,20.750,2418315.0,117000
2024-9-30,13:50,20.750,20.780,20.660,20.700,2230709.0,107600
2024-9-30,13:55,20.710,20.750,20.700,20.750,1634077.0,78800
2024-9-30,14:00,20.750,21.000,20.740,21.000,2638438.0,126800
2024-9-30,14:05,20.990,21.480,20.900,21.480,9032984.0,424200
2024-9-30,14:10,21.500,21.790,21.500,21.640,12352377.0,570100
2024-9-30,14:15,21.600,21.670,21.600,21.620,3276671.0,151400
2024-9-30,14:20,21.630,21.690,21.610,21.610,4574195.0,211300
2024-9-30,14:25,21.610,21.610,20.750,20.750,4362176.0,206100
2024-9-30,14:30,20.760,20.800,20.570,20.740,4139552.0,200300
2024-9-30,14:35,20.750,20.780,20.660,20.690,1762617.0,85100
2024-9-30,14:40,20.710,20.970,20.690,20.940,1719816.0,82800
2024-9-30,14:45,20.940,21.200,20.940,21.190,2596937.0,123300
2024-9-30,14:50,21.190,21.250,21.170,21.170,1557448.0,73400
2024-9-30,14:55,21.170,21.300,21.130,21.300,6488509.0,306000
2024-9-30,15:00,21.290,21.550,21.290,21.550,2534692.0,117800
2024-10-8,09:35,25.210,25.350,23.800,23.800,30850040.0,1266000
2024-10-8,09:40,23.810,23.970,23.470,23.470,21203346.0,891800
2024-10-8,09:45,23.340,23.350,22.610,22.630,26907320.0,1171600
2024-10-8,09:50,22.550,23.150,22.550,23.150,14687002.0,642100
2024-10-8,09:55,23.190,23.700,23.020,23.300,15221146.0,652700
2024-10-8,10:00,23.350,23.450,23.120,23.150,11039500.0,474800
2024-10-8,10:05,23.150,23.510,23.150,23.220,7659987.0,328200
2024-10-8,10:10,23.210,23.330,23.130,23.310,6138294.0,264400
2024-10-8,10:15,23.300,23.320,22.140,22.500,18454076.0,807900
2024-10-8,10:20,22.500,23.120,22.440,23.070,6108981.0,267900
2024-10-8,10:25,23.060,23.130,22.770,22.770,4168055.0,181600
2024-10-8,10:30,22.800,22.870,22.710,22.750,3950297.0,173700
2024-10-8,10:35,22.750,22.750,22.200,22.210,4856638.0,215400
2024-10-8,10:40,22.180,22.200,20.680,21.130,12144068.0,563000
2024-10-8,10:45,21.120,22.230,21.040,22.100,9604553.0,444900
2024-10-8,10:50,22.100,22.160,21.750,21.760,10632317.0,484900
2024-10-8,10:55,21.760,21.800,21.540,21.620,6513492.0,300900
2024-10-8,11:00,21.620,21.660,21.590,21.650,3347032.0,154700
2024-10-8,11:05,21.660,21.740,21.640,21.680,5187234.0,239200
2024-10-8,11:10,21.710,22.300,21.710,22.120,8546999.0,387800
2024-10-8,11:15,22.000,22.700,21.990,22.700,11844723.0,534500
2024-10-8,11:20,22.700,23.400,22.700,23.080,6298047.0,271900
2024-10-8,11:25,23.040,23.040,22.380,22.530,7547965.0,332000
2024-10-8,11:30,22.590,22.700,22.530,22.630,4120072.0,182100
2024-10-8,13:05,22.660,22.900,22.560,22.610,5955281.0,262200
2024-10-8,13:10,22.610,22.720,22.400,22.460,2457544.0,109000
2024-10-8,13:15,22.460,22.460,22.150,22.270,6225795.0,279600
2024-10-8,13:20,22.270,22.270,22.060,22.060,2816903.0,127200
2024-10-8,13:25,22.060,22.120,21.810,22.040,4174059.0,189900
2024-10-8,13:30,21.960,21.960,21.630,21.680,7459081.0,341500
2024-10-8,13:35,21.680,21.930,21.680,21.890,5936998.0,271700
2024-10-8,13:40,21.890,21.900,21.640,21.640,8125890.0,374300
2024-10-8,13:45,21.630,21.640,21.580,21.620,9233990.0,427500
2024-10-8,13:50,21.620,21.750,21.600,21.720,6861913.0,316800
2024-10-8,13:55,21.720,21.900,21.660,21.680,5955142.0,273800
2024-10-8,14:00,21.680,21.760,21.660,21.700,5902991.0,272300
2024-10-8,14:05,21.760,21.940,21.690,21.780,5368428.0,245800
2024-10-8,14:10,21.780,21.900,21.700,21.700,3831231.0,176000
2024-10-8,14:15,21.680,21.840,21.570,21.670,6946578.0,321000
2024-10-8,14:20,21.640,21.680,21.580,21.640,4098033.0,189500
2024-10-8,14:25,21.650,21.970,21.620,21.840,6467264.0,296700
2024-10-8,14:30,21.850,22.180,21.700,22.180,12650075.0,578200
2024-10-8,14:35,22.320,23.210,22.160,23.210,15722784.0,691100
2024-10-8,14:40,23.240,23.460,23.130,23.290,10824651.0,465400
2024-10-8,14:45,23.270,23.290,22.730,22.730,8498961.0,366900
2024-10-8,14:50,22.730,24.000,22.710,24.000,12538526.0,538400
2024-10-8,14:55,23.800,24.100,23.550,23.550,11206613.0,471200
2024-10-8,15:00,23.500,23.530,23.300,23.300,8116680.0,347900
2024-10-9,09:35,22.000,22.000,20.840,21.670,20320608.0,959200
2024-10-9,09:40,21.500,21.710,21.010,21.410,15367752.0,714700
2024-10-9,09:45,21.420,21.430,21.150,21.400,15189742.0,712300
2024-10-9,09:50,21.410,21.600,21.400,21.600,8738758.0,405700
2024-10-9,09:55,21.600,21.760,21.410,21.410,12042914.0,556200
2024-10-9,10:00,21.420,21.530,21.330,21.390,9898596.0,461800
2024-10-9,10:05,21.400,21.440,21.290,21.440,8125357.0,380600
2024-10-9,10:10,21.420,21.420,21.300,21.320,6743546.0,315900
2024-10-9,10:15,21.330,21.400,21.230,21.390,13282835.0,624200
2024-10-9,10:20,21.390,21.600,21.380,21.540,7005323.0,325900
2024-10-9,10:25,21.550,21.600,21.480,21.530,4398428.0,204300
2024-10-9,10:30,21.530,21.540,21.360,21.500,4415884.0,205800
2024-10-9,10:35,21.500,21.540,21.370,21.380,5392048.0,251500
2024-10-9,10:40,21.370,21.440,21.260,21.280,4609058.0,215900
2024-10-9,10:45,21.280,21.400,21.200,21.240,8194026.0,385600
2024-10-9,10:50,21.240,21.250,20.900,20.910,10779076.0,511300
2024-10-9,10:55,20.910,21.130,20.860,20.860,9350134.0,445300
2024-10-9,11:00,20.860,21.000,20.750,20.790,7941056.0,379900
2024-10-9,11:05,20.790,21.100,20.790,20.880,6586357.0,313900
2024-10-9,11:10,20.880,20.880,20.460,20.460,10584290.0,512600
2024-10-9,11:15,20.440,20.640,20.300,20.300,4055056.0,198000
2024-10-9,11:20,20.310,20.470,20.260,20.260,4565195.0,224300
2024-10-9,11:25,20.220,20.360,20.030,20.310,5126172.0,254300
2024-10-9,11:30,20.310,20.870,20.310,20.850,3424672.0,166400
2024-10-9,13:05,20.840,21.210,20.750,21.210,5095280.0,242900
2024-10-9,13:10,21.210,21.370,21.100,21.190,5847398.0,275100
2024-10-9,13:15,21.140,21.250,21.040,21.090,3961834.0,187500
2024-10-9,13:20,21.050,21.310,21.040,21.290,2273152.0,107300
2024-10-9,13:25,21.290,21.350,21.210,21.300,2574608.0,121000
2024-10-9,13:30,21.300,21.430,21.280,21.430,4528540.0,212200
2024-10-9,13:35,21.430,21.620,21.220,21.620,8073684.0,377300
2024-10-9,13:40,21.620,21.700,21.440,21.700,6000528.0,278000
2024-10-9,13:45,21.710,21.740,21.480,21.480,4743664.0,220100
2024-10-9,13:50,21.470,21.480,21.280,21.390,3080556.0,143900
2024-10-9,13:55,21.380,21.380,21.000,21.000,3295804.0,155300
2024-10-9,14:00,21.090,21.160,20.970,20.970,4357468.0,207300
2024-10-9,14:05,20.910,21.120,20.830,21.100,7094971.0,338400
2024-10-9,14:10,21.100,21.100,20.700,20.870,4176237.0,200100
2024-10-9,14:15,20.870,20.950,20.730,20.850,2387594.0,114700
2024-10-9,14:20,20.820,20.960,20.750,20.750,2373128.0,113900
2024-10-9,14:25,20.750,20.750,20.620,20.670,2997948.0,144900
2024-10-9,14:30,20.650,20.950,20.650,20.940,3844650.0,185300
2024-10-9,14:35,20.870,20.920,20.640,20.670,1823276.0,87600
2024-10-9,14:40,20.670,20.770,20.390,20.500,3947114.0,192000
2024-10-9,14:45,20.420,20.510,20.250,20.250,5424076.0,266500
2024-10-9,14:50,20.260,20.290,20.060,20.120,3609480.0,178800
2024-10-9,14:55,20.070,20.180,20.030,20.030,4815974.0,239700
2024-10-9,15:00,20.050,20.050,19.870,19.870,7883870.0,395200
2024-10-10,09:35,20.040,20.470,19.730,19.860,11892537.0,587900
2024-10-10,09:40,19.850,20.140,19.850,20.110,8185806.0,409400
2024-10-10,09:45,20.130,20.390,20.090,20.300,4755402.0,235000
2024-10-10,09:50,20.340,20.350,20.140,20.180,4827440.0,238600
2024-10-10,09:55,20.220,20.250,19.980,19.980,3477740.0,172900
2024-10-10,10:00,19.980,20.060,19.880,20.030,4484671.0,224500
2024-10-10,10:05,20.030,20.200,19.930,20.070,3276258.0,163400
2024-10-10,10:10,20.080,20.090,19.860,19.890,3375161.0,168800
2024-10-10,10:15,19.900,19.920,19.630,19.650,5199527.0,263000
2024-10-10,10:20,19.670,19.750,19.520,19.750,4237069.0,215800
2024-10-10,10:25,19.740,19.860,19.720,19.800,1812284.0,91500
2024-10-10,10:30,19.790,19.930,19.740,19.870,4328491.0,218800
2024-10-10,10:35,19.900,20.000,19.880,20.000,2604535.0,130800
2024-10-10,10:40,20.000,20.030,19.800,19.900,5814526.0,292400
2024-10-10,10:45,19.880,19.880,19.700,19.750,3196238.0,161900
2024-10-10,10:50,19.760,19.800,19.620,19.760,3967214.0,201200
2024-10-10,10:55,19.700,19.880,19.650,19.880,2821527.0,142900
2024-10-10,11:00,19.870,19.970,19.860,19.860,5651820.0,283900
2024-10-10,11:05,19.870,19.920,19.770,19.920,3548897.0,178900
2024-10-10,11:10,19.920,19.990,19.900,19.990,8716465.0,437500
2024-10-10,11:15,19.980,20.090,19.970,20.040,5596703.0,279700
2024-10-10,11:20,20.050,20.150,20.040,20.130,3448652.0,171900
2024-10-10,11:25,20.130,20.160,19.960,19.960,3065772.0,152600
2024-10-10,11:30,19.970,20.050,19.960,20.000,1953263.0,97600
2024-10-10,13:05,20.000,20.120,19.930,20.120,3175009.0,158600
2024-10-10,13:10,20.080,20.080,19.760,19.760,3535488.0,177700
2024-10-10,13:15,19.770,19.800,19.650,19.650,3211254.0,162900
2024-10-10,13:20,19.660,19.730,19.630,19.700,4973233.0,252700
2024-10-10,13:25,19.700,19.710,19.580,19.600,2397739.0,122100
2024-10-10,13:30,19.600,19.730,19.570,19.730,6423569.0,327600
2024-10-10,13:35,19.730,19.730,19.500,19.520,4391109.0,224300
2024-10-10,13:40,19.500,19.650,19.490,19.650,2296093.0,117500
2024-10-10,13:45,19.640,19.820,19.610,19.790,1339999.0,68100
2024-10-10,13:50,19.790,19.790,19.700,19.730,1269239.0,64300
2024-10-10,13:55,19.700,19.710,19.630,19.660,1112965.0,56500
2024-10-10,14:00,19.620,19.650,19.450,19.460,3331776.0,170900
2024-10-10,14:05,19.460,19.490,19.380,19.430,4275543.0,219800
2024-10-10,14:10,19.400,19.430,19.340,19.430,3493948.0,180300
2024-10-10,14:15,19.420,19.440,19.320,19.390,3710937.0,191500
2024-10-10,14:20,19.360,19.360,19.190,19.220,2202912.0,114300
2024-10-10,14:25,19.220,19.240,19.100,19.240,6858362.0,357700
2024-10-10,14:30,19.230,19.230,19.120,19.160,2355727.0,122900
2024-10-10,14:35,19.190,19.390,19.190,19.350,1688994.0,87600
2024-10-10,14:40,19.350,19.380,19.280,19.310,1352439.0,70000
2024-10-10,14:45,19.300,19.320,19.170,19.170,3547342.0,184500
2024-10-10,14:50,19.170,19.200,19.150,19.180,1772242.0,92400
2024-10-10,14:55,19.190,19.190,19.130,19.160,3212731.0,167600
2024-10-10,15:00,19.180,19.260,19.170,19.250,1767874.0,92000
2024-10-11,09:35,19.190,19.190,18.620,18.770,8013005.0,425200
2024-10-11,09:40,18.740,18.790,18.530,18.530,8009514.0,429300
2024-10-11,09:45,18.520,18.570,18.390,18.560,7955000.0,430900
