日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,223.070,223.880,220.020,221.000,77281640.0,349100
2024-12-31,09:40,222.000,222.000,218.000,218.600,93526976.0,426700
2024-12-31,09:45,218.540,219.010,217.020,217.300,69505896.0,318900
2024-12-31,09:50,217.000,219.490,216.880,218.710,73849360.0,338800
2024-12-31,09:55,219.000,223.950,218.590,223.950,49554240.0,224400
2024-12-31,10:00,223.900,224.940,219.140,219.140,43311196.0,195400
2024-12-31,10:05,219.500,221.260,219.200,220.970,23959212.0,108900
2024-12-31,10:10,220.350,223.400,219.660,223.380,26510200.0,119700
2024-12-31,10:15,222.930,223.440,221.800,222.280,31470060.0,141400
2024-12-31,10:20,223.000,224.350,222.330,223.530,24933796.0,111500
2024-12-31,10:25,223.380,226.000,223.200,223.200,36961348.0,164400
2024-12-31,10:30,223.140,224.980,222.710,224.390,21424052.0,95600
2024-12-31,10:35,224.090,225.580,224.030,224.130,30374964.0,135200
2024-12-31,10:40,224.070,224.070,222.340,222.490,10150373.0,45500
2024-12-31,10:45,222.670,223.280,222.040,222.110,12089230.0,54400
2024-12-31,10:50,222.110,222.200,221.000,222.060,11078950.0,49900
2024-12-31,10:55,222.300,222.300,221.000,221.200,9312424.0,42100
2024-12-31,11:00,221.730,222.400,221.170,222.400,15635729.0,70500
2024-12-31,11:05,222.390,223.370,222.000,223.000,15125081.0,67900
2024-12-31,11:10,223.030,223.040,221.450,221.450,15886009.0,71400
2024-12-31,11:15,221.450,224.600,221.440,224.000,15192441.0,68200
2024-12-31,11:20,223.670,224.600,223.000,223.000,12745875.0,56900
2024-12-31,11:25,223.360,224.110,222.460,223.360,12126527.0,54300
2024-12-31,11:30,223.350,224.080,222.280,222.290,7414307.0,33200
2024-12-31,13:05,222.300,224.000,221.550,222.540,14143659.0,63600
2024-12-31,13:10,222.200,222.520,221.000,221.370,8738456.0,39400
2024-12-31,13:15,221.300,221.590,220.610,220.650,8837044.0,40000
2024-12-31,13:20,221.210,221.450,219.320,220.200,11122449.0,50500
2024-12-31,13:25,220.200,220.640,219.750,220.000,18259992.0,82900
2024-12-31,13:30,220.000,220.000,219.260,219.630,11733507.0,53400
