日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,25.130,25.480,24.910,25.140,11027301.0,439200
2024-12-31,09:40,25.200,25.220,24.700,24.770,8887826.0,356700
2024-12-31,09:45,24.730,24.820,24.660,24.660,11956118.0,483600
2024-12-31,09:50,24.660,24.830,24.520,24.800,4815260.0,195100
2024-12-31,09:55,24.820,24.920,24.620,24.750,4955612.0,200200
2024-12-31,10:00,24.700,24.700,24.410,24.470,8075320.0,329300
2024-12-31,10:05,24.450,24.720,24.410,24.700,5403034.0,220600
2024-12-31,10:10,24.670,24.830,24.640,24.750,3122250.0,126300
2024-12-31,10:15,24.750,24.830,24.700,24.730,1900954.0,76800
2024-12-31,10:20,24.760,24.830,24.740,24.770,2926461.0,118100
2024-12-31,10:25,24.760,24.840,24.700,24.740,2335812.0,94300
2024-12-31,10:30,24.740,24.840,24.700,24.840,1510911.0,60900
2024-12-31,10:35,24.810,24.810,24.550,24.550,1836574.0,74500
2024-12-31,10:40,24.600,24.600,24.550,24.590,1327137.0,54000
2024-12-31,10:45,24.560,24.580,24.480,24.540,2302132.0,93900
2024-12-31,10:50,24.540,24.600,24.490,24.520,2555218.0,104100
2024-12-31,10:55,24.560,24.620,24.530,24.540,2028854.0,82600
2024-12-31,11:00,24.540,24.570,24.450,24.470,6417929.0,262000
2024-12-31,11:05,24.470,24.510,24.400,24.450,5422947.0,221900
2024-12-31,11:10,24.440,24.470,24.400,24.410,3075563.0,125900
2024-12-31,11:15,24.400,24.520,24.370,24.470,3588704.0,147000
2024-12-31,11:20,24.510,24.580,24.430,24.450,1723869.0,70300
2024-12-31,11:25,24.450,24.570,24.420,24.570,1417794.0,57900
2024-12-31,11:30,24.570,24.570,24.450,24.450,1778541.0,72600
2024-12-31,13:05,24.500,24.510,24.430,24.450,1339562.0,54800
2024-12-31,13:10,24.460,24.470,24.330,24.350,3446839.0,141300
2024-12-31,13:15,24.320,24.320,24.210,24.290,4115347.0,169600
2024-12-31,13:20,24.270,24.330,24.250,24.260,1321451.0,54400
2024-12-31,13:25,24.270,24.320,24.250,24.310,1953808.0,80500
2024-12-31,13:30,24.310,24.320,24.270,24.270,810462.0,33400
2024-12-31,13:35,24.260,24.280,24.110,24.150,6402822.0,264700
2024-12-31,13:40,24.170,24.310,24.130,24.170,2487606.0,102900
2024-12-31,13:45,24.190,24.230,24.150,24.160,1336303.0,55200
2024-12-31,13:50,24.150,24.360,24.150,24.360,1828588.0,75400
2024-12-31,13:55,24.380,24.380,24.190,24.250,2566469.0,105700
