日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,61.360,62.120,60.870,62.010,4113296.0,66700
2025-3-31,09:40,62.010,62.620,61.960,62.350,6269354.0,100500
2025-3-31,09:45,62.550,62.550,61.900,61.930,4325773.0,69600
2025-3-31,09:50,61.920,62.020,61.610,61.880,1863898.0,30200
2025-3-31,09:55,61.880,62.290,61.720,62.270,912340.0,14700
2025-3-31,10:00,62.270,62.890,62.270,62.840,4879218.0,77900
2025-3-31,10:05,62.840,62.960,62.610,62.910,2157671.0,34400
2025-3-31,10:10,62.900,63.370,62.880,63.090,5073878.0,80400
2025-3-31,10:15,63.090,63.090,62.860,62.990,1787772.0,28400
2025-3-31,10:20,63.000,63.000,62.610,62.800,1629822.0,26000
2025-3-31,10:25,62.790,62.790,62.330,62.630,1129234.0,18100
2025-3-31,10:30,62.630,62.730,62.130,62.130,2738841.0,43800
2025-3-31,10:35,62.090,62.210,61.900,61.900,1623990.0,26200
2025-3-31,10:40,62.060,62.200,61.910,61.940,1503853.0,24200
2025-3-31,10:45,61.890,61.910,61.720,61.810,824286.0,13300
2025-3-31,10:50,61.810,62.050,61.780,62.050,588615.0,9500
2025-3-31,10:55,61.870,62.050,61.710,61.710,580391.0,9400
2025-3-31,11:00,61.700,61.890,61.630,61.750,929978.0,15100
2025-3-31,11:05,61.890,61.890,61.500,61.530,1507736.0,24400
2025-3-31,11:10,61.590,61.620,61.300,61.460,1479533.0,24100
2025-3-31,11:15,61.580,61.890,61.460,61.680,542586.0,8800
2025-3-31,11:20,61.910,62.130,61.770,61.870,327479.0,5300
2025-3-31,11:25,62.030,62.030,61.350,61.360,941130.0,15300
2025-3-31,11:30,61.360,61.440,61.200,61.440,728248.0,11900
2025-3-31,13:05,61.260,61.780,61.260,61.780,1176595.0,19100
2025-3-31,13:10,61.770,61.870,61.700,61.760,283092.0,4600
2025-3-31,13:15,61.800,61.830,61.550,61.770,1174164.0,19000
2025-3-31,13:20,61.810,61.820,61.560,61.580,539198.0,8800
2025-3-31,13:25,61.580,61.580,61.420,61.560,214111.0,3500
2025-3-31,13:30,61.570,61.650,61.540,61.570,457039.0,7400
2025-3-31,13:35,61.560,61.780,61.500,61.500,690311.0,11200
2025-3-31,13:40,61.550,61.570,61.500,61.520,237332.0,3800
2025-3-31,13:45,61.570,61.640,61.340,61.340,792816.0,12900
2025-3-31,13:50,61.320,61.540,61.320,61.480,487932.0,8000
2025-3-31,13:55,61.480,61.480,61.380,61.390,2301656.0,37400
