日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,77.600,78.290,76.520,77.500,20384672.0,263800
2025-3-31,09:40,77.600,78.500,77.500,78.500,17248756.0,221000
2025-3-31,09:45,78.440,78.550,77.640,77.810,9148461.0,117000
2025-3-31,09:50,77.740,78.410,77.740,78.280,7588346.0,97000
2025-3-31,09:55,78.170,78.780,78.040,78.630,12076886.0,153900
2025-3-31,10:00,78.700,79.580,78.600,79.010,15717400.0,198700
2025-3-31,10:05,79.040,79.600,79.010,79.500,8421226.0,106100
2025-3-31,10:10,79.500,79.710,79.240,79.390,11260488.0,141700
2025-3-31,10:15,79.390,79.390,78.910,78.980,4623799.0,58500
2025-3-31,10:20,78.980,79.350,78.860,78.860,6055831.0,76600
2025-3-31,10:25,78.780,78.850,78.620,78.700,6191777.0,78600
2025-3-31,10:30,78.690,79.090,78.690,78.740,4919916.0,62400
2025-3-31,10:35,78.730,78.870,78.690,78.800,2392569.0,30400
2025-3-31,10:40,78.740,79.260,78.700,79.180,6947591.0,87900
2025-3-31,10:45,79.080,79.360,79.080,79.180,10609990.0,133900
2025-3-31,10:50,79.170,79.340,79.070,79.280,4297923.0,54300
2025-3-31,10:55,79.270,79.380,79.030,79.100,3714154.0,46900
2025-3-31,11:00,79.090,79.580,79.090,79.570,4821277.0,60700
2025-3-31,11:05,79.570,79.920,79.550,79.790,11409756.0,143000
2025-3-31,11:10,79.790,79.950,79.520,79.920,7522619.0,94400
2025-3-31,11:15,79.970,80.160,79.920,80.140,10055463.0,125600
2025-3-31,11:20,80.130,80.440,80.100,80.280,11232289.0,140000
2025-3-31,11:25,80.270,80.270,79.620,79.700,7166491.0,89700
2025-3-31,11:30,79.720,80.140,79.620,80.060,2962665.0,37100
2025-3-31,13:05,80.080,80.300,80.000,80.050,5867869.0,73200
2025-3-31,13:10,80.040,80.280,80.000,80.010,2842497.0,35500
2025-3-31,13:15,80.020,80.290,79.950,80.270,5778956.0,72200
2025-3-31,13:20,80.270,80.500,80.150,80.330,9433644.0,117300
2025-3-31,13:25,80.310,80.550,80.270,80.420,7181622.0,89400
2025-3-31,13:30,80.400,80.440,80.150,80.260,3819774.0,47500
2025-3-31,13:35,80.280,80.280,79.830,79.900,5723165.0,71600
2025-3-31,13:40,79.830,79.990,79.700,79.900,2767062.0,34600
2025-3-31,13:45,79.900,79.990,79.770,79.770,3784871.0,47400
2025-3-31,13:50,79.710,79.900,79.610,79.850,4229797.0,53100
2025-3-31,13:55,79.820,79.820,79.640,79.770,1524254.0,19100
2025-3-31,14:00,79.790,79.790,79.650,79.680,1617366.0,20300
2025-3-31,14:05,79.680,79.990,79.670,79.980,2552478.0,32000
2025-3-31,14:10,79.980,80.300,79.910,80.300,2899246.0,36200
2025-3-31,14:15,80.340,80.430,80.300,80.340,2883648.0,35800
2025-3-31,14:20,80.340,80.700,80.330,80.500,6806368.0,84500
2025-3-31,14:25,80.500,80.680,80.400,80.530,3050692.0,37900
2025-3-31,14:30,80.470,80.570,80.020,80.060,3749673.0,46800
2025-3-31,14:35,80.050,80.290,80.050,80.160,2208121.0,27500
2025-3-31,14:40,80.140,80.600,80.140,80.310,2989511.0,37200
2025-3-31,14:45,80.300,80.390,80.250,80.340,4102321.0,51100
2025-3-31,14:50,80.400,80.400,80.100,80.370,5171092.0,64400
2025-3-31,14:55,80.250,80.400,80.150,80.390,9918251.0,123500
2025-3-31,15:00,80.220,80.380,80.220,80.380,10406000.0,129500
2025-4-1,09:35,80.970,81.080,80.120,80.390,24246400.0,300600
2025-4-1,09:40,80.390,80.780,80.270,80.400,7487781.0,93000
2025-4-1,09:45,80.360,80.470,79.500,79.680,17952568.0,224600
2025-4-1,09:50,79.660,80.480,79.500,79.900,8816120.0,110400
2025-4-1,09:55,80.070,80.200,79.900,80.120,3479562.0,43500
2025-4-1,10:00,80.060,80.580,79.930,80.170,8730936.0,108700
2025-4-1,10:05,80.200,80.360,80.170,80.170,1933815.0,24100
2025-4-1,10:10,80.170,80.580,80.170,80.230,4527133.0,56400
2025-4-1,10:15,80.270,80.370,80.180,80.370,2924234.0,36400
2025-4-1,10:20,80.380,80.410,80.150,80.330,4238792.0,52800
2025-4-1,10:25,80.230,80.260,79.930,80.090,8356371.0,104400
2025-4-1,10:30,80.110,80.300,80.010,80.200,5363569.0,66900
2025-4-1,10:35,80.000,80.300,79.980,80.300,4327159.0,54000
2025-4-1,10:40,80.170,81.180,80.170,80.990,12956019.0,160500
2025-4-1,10:45,80.980,81.000,80.570,80.780,7383350.0,91400
2025-4-1,10:50,80.780,80.780,80.400,80.440,8313612.0,103200
