日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,11.370,11.370,11.160,11.190,7727139.0,687100
2025-3-31,09:40,11.210,11.300,11.210,11.280,3209801.0,285500
2025-3-31,09:45,11.280,11.290,11.220,11.240,2768590.0,246000
2025-3-31,09:50,11.230,11.230,11.110,11.190,4630533.0,414300
2025-3-31,09:55,11.190,11.260,11.150,11.250,2140174.0,191200
2025-3-31,10:00,11.250,11.420,11.200,11.420,4816396.0,424100
2025-3-31,10:05,11.420,11.490,11.370,11.440,18101060.0,1581200
2025-3-31,10:10,11.460,11.470,11.320,11.350,1736411.0,152500
2025-3-31,10:15,11.360,11.410,11.330,11.390,2941909.0,258700
2025-3-31,10:20,11.390,11.390,11.300,11.310,2609987.0,230100
2025-3-31,10:25,11.300,11.350,11.250,11.280,4526080.0,401100
2025-3-31,10:30,11.280,11.330,11.260,11.300,2333004.0,206600
2025-3-31,10:35,11.300,11.340,11.280,11.310,1476774.0,130400
2025-3-31,10:40,11.300,11.370,11.280,11.360,2065652.0,182300
2025-3-31,10:45,11.340,11.360,11.320,11.340,2202250.0,194100
2025-3-31,10:50,11.340,11.380,11.320,11.380,3114056.0,274100
2025-3-31,10:55,11.370,11.380,11.300,11.300,2314429.0,203600
2025-3-31,11:00,11.310,11.360,11.310,11.330,967261.0,85400
2025-3-31,11:05,11.330,11.380,11.310,11.360,1682815.0,148300
2025-3-31,11:10,11.360,11.390,11.340,11.390,1510208.0,132800
2025-3-31,11:15,11.380,11.410,11.360,11.380,3665475.0,321800
2025-3-31,11:20,11.370,11.460,11.370,11.450,9685290.0,847200
2025-3-31,11:25,11.440,11.450,11.370,11.390,2768335.0,242600
2025-3-31,11:30,11.390,11.450,11.380,11.440,3868719.0,338600
2025-3-31,13:05,11.450,11.460,11.350,11.440,6150825.0,538400
2025-3-31,13:10,11.440,11.470,11.400,11.470,2301366.0,200900
2025-3-31,13:15,11.460,11.470,11.420,11.440,5966711.0,521200
2025-3-31,13:20,11.440,11.450,11.400,11.430,3472764.0,303900
2025-3-31,13:25,11.410,11.450,11.400,11.410,4072742.0,356600
2025-3-31,13:30,11.410,11.440,11.390,11.410,3430410.0,300300
2025-3-31,13:35,11.410,11.430,11.370,11.410,3993522.0,350300
2025-3-31,13:40,11.420,11.440,11.410,11.430,3303503.0,289000
2025-3-31,13:45,11.450,11.450,11.390,11.410,3087101.0,270300
2025-3-31,13:50,11.410,11.410,11.300,11.300,2663055.0,234400
2025-3-31,13:55,11.300,11.380,11.230,11.360,7038637.0,623300
2025-3-31,14:00,11.360,11.380,11.350,11.380,2720588.0,239300
2025-3-31,14:05,11.370,11.420,11.360,11.380,4412995.0,387700
2025-3-31,14:10,11.380,11.450,11.360,11.440,7801843.0,684200
2025-3-31,14:15,11.430,11.430,11.400,11.410,1534270.0,134400
2025-3-31,14:20,11.410,11.580,11.410,11.510,16410914.0,1427900
2025-3-31,14:25,11.510,11.510,11.470,11.480,3540118.0,307800
2025-3-31,14:30,11.470,11.490,11.460,11.470,2362467.0,205900
2025-3-31,14:35,11.470,11.490,11.450,11.470,4919397.0,428800
2025-3-31,14:40,11.470,11.500,11.470,11.470,3138898.0,273200
2025-3-31,14:45,11.460,11.520,11.460,11.500,9960813.0,866400
2025-3-31,14:50,11.500,11.510,11.480,11.500,6366500.0,553800
2025-3-31,14:55,11.500,11.500,11.470,11.490,4894742.0,426000
2025-3-31,15:00,11.490,11.510,11.470,11.510,5717547.0,497100
2025-4-1,09:35,11.500,11.580,11.380,11.400,5684827.0,497100
2025-4-1,09:40,11.380,11.410,11.320,11.380,2631655.0,231600
2025-4-1,09:45,11.380,11.440,11.380,11.420,2280904.0,200000
2025-4-1,09:50,11.420,11.450,11.420,11.420,2179742.0,190600
2025-4-1,09:55,11.420,11.420,11.320,11.350,3730903.0,328000
2025-4-1,10:00,11.360,11.380,11.330,11.370,2379007.0,209500
2025-4-1,10:05,11.380,11.380,11.330,11.340,1606166.0,141500
2025-4-1,10:10,11.340,11.400,11.340,11.370,1983329.0,174500
2025-4-1,10:15,11.370,11.390,11.340,11.390,2452633.0,215700
2025-4-1,10:20,11.400,11.400,11.370,11.390,2670057.0,234500
2025-4-1,10:25,11.390,11.460,11.380,11.440,1577877.0,138000
2025-4-1,10:30,11.440,11.450,11.330,11.360,5255747.0,461900
2025-4-1,10:35,11.360,11.400,11.350,11.370,717369.0,63000
2025-4-1,10:40,11.380,11.390,11.350,11.380,1038530.0,91300
2025-4-1,10:45,11.380,11.500,11.370,11.490,2740474.0,239500
2025-4-1,10:50,11.500,11.540,11.490,11.540,3636854.0,315800
2025-4-1,10:55,11.540,11.590,11.500,11.550,7514363.0,650000
2025-4-1,11:00,11.560,11.600,11.540,11.560,4275862.0,369200
2025-4-1,11:05,11.590,11.650,11.570,11.580,6390413.0,550300
2025-4-1,11:10,11.570,11.580,11.500,11.530,1402483.0,121400
2025-4-1,11:15,11.550,11.620,11.550,11.600,3983326.0,344000
2025-4-1,11:20,11.600,11.600,11.580,11.590,1321464.0,113900
2025-4-1,11:25,11.590,11.730,11.590,11.650,7865762.0,674800
2025-4-1,11:30,11.650,11.690,11.640,11.680,2998468.0,257200
2025-4-1,13:05,11.660,11.720,11.630,11.670,6205109.0,531200
2025-4-1,13:10,11.660,11.680,11.650,11.650,1436818.0,123100
2025-4-1,13:15,11.670,11.670,11.640,11.650,1134608.0,97400
2025-4-1,13:20,11.660,11.700,11.630,11.700,1963739.0,168300
2025-4-1,13:25,11.700,11.700,11.640,11.680,1236557.0,106100
2025-4-1,13:30,11.670,11.740,11.640,11.670,5717916.0,488500
2025-4-1,13:35,11.670,11.710,11.660,11.690,3024506.0,258900
2025-4-1,13:40,11.690,11.720,11.660,11.670,3255355.0,278700
2025-4-1,13:45,11.680,11.700,11.660,11.680,2820374.0,241500
2025-4-1,13:50,11.670,11.690,11.650,11.680,2890465.0,247700
2025-4-1,13:55,11.680,11.700,11.640,11.680,5798920.0,497400
2025-4-1,14:00,11.680,11.680,11.610,11.610,4434964.0,381000
2025-4-1,14:05,11.610,11.630,11.570,11.590,3276157.0,282300
2025-4-1,14:10,11.590,11.640,11.560,11.630,1132495.0,97600
2025-4-1,14:15,11.630,11.630,11.550,11.570,6049596.0,522800
2025-4-1,14:20,11.570,11.600,11.530,11.540,4153195.0,359200
2025-4-1,14:25,11.550,11.550,11.490,11.510,10237250.0,889600
2025-4-1,14:30,11.530,11.560,11.510,11.540,2038754.0,176700
2025-4-1,14:35,11.560,11.560,11.520,11.560,3214996.0,278700
2025-4-1,14:40,11.580,11.590,11.560,11.580,1269129.0,109600
2025-4-1,14:45,11.580,11.580,11.540,11.540,1305988.0,113000
2025-4-1,14:50,11.540,11.560,11.520,11.540,2911325.0,252300
2025-4-1,14:55,11.530,11.530,11.500,11.530,2685249.0,233200
2025-4-1,15:00,11.530,11.540,11.520,11.520,2437882.0,211500
2025-4-2,09:35,11.510,11.740,11.480,11.600,13807685.0,1187900
2025-4-2,09:40,11.610,11.610,11.440,11.440,4054029.0,351900
2025-4-2,09:45,11.440,11.490,11.400,11.430,4375378.0,382700
2025-4-2,09:50,11.440,11.460,11.430,11.440,2009729.0,175600
2025-4-2,09:55,11.440,11.520,11.440,11.480,2116213.0,184600
2025-4-2,10:00,11.480,11.510,11.470,11.500,889362.0,77400
2025-4-2,10:05,11.510,11.520,11.460,11.460,1526777.0,132900
2025-4-2,10:10,11.460,11.460,11.390,11.440,4116374.0,360600
2025-4-2,10:15,11.430,11.460,11.420,11.440,1576277.0,137700
2025-4-2,10:20,11.440,11.470,11.440,11.460,1093304.0,95400
2025-4-2,10:25,11.450,11.490,11.450,11.490,961643.0,83900
