日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-4-14,09:35,28.390,28.390,24.200,24.980,133455288.0,5175800
2025-4-14,09:40,24.970,24.980,24.500,24.500,48613308.0,1967000
2025-4-14,09:45,24.500,25.090,24.340,25.090,40004732.0,1623400
2025-4-14,09:50,25.110,26.460,25.110,26.300,41814884.0,1625400
2025-4-14,09:55,26.300,26.460,25.670,25.670,23302732.0,891500
2025-4-14,10:00,25.670,26.060,25.650,25.820,15102907.0,583400
2025-4-14,10:05,25.800,25.820,25.600,25.600,9847681.0,383000
2025-4-14,10:10,25.600,25.650,25.500,25.650,6795831.0,266000
2025-4-14,10:15,25.650,25.950,25.450,25.450,15166076.0,590700
2025-4-14,10:20,25.450,25.450,25.160,25.160,6850153.0,270800
2025-4-14,10:25,25.130,25.740,25.130,25.740,6787655.0,266900
2025-4-14,10:30,25.750,25.820,25.620,25.760,5309926.0,206400
2025-4-14,10:35,25.760,25.820,25.640,25.820,4606186.0,179100
2025-4-14,10:40,25.800,25.830,25.650,25.830,2666807.0,103600
2025-4-14,10:45,25.810,26.040,25.800,26.040,8442214.0,325500
2025-4-14,10:50,26.000,26.060,25.720,25.820,4782784.0,184300
2025-4-14,10:55,25.820,26.100,25.710,26.100,6795162.0,261900
2025-4-14,11:00,26.060,26.100,25.710,25.740,6807088.0,262600
2025-4-14,11:05,25.760,26.400,25.760,26.390,13685398.0,522700
2025-4-14,11:10,26.400,26.600,26.250,26.250,10860024.0,411200
2025-4-14,11:15,26.300,26.300,25.860,25.900,2806251.0,107700
2025-4-14,11:20,25.870,25.990,25.870,25.890,1574398.0,60700
2025-4-14,11:25,25.890,26.000,25.890,25.920,2090238.0,80500
2025-4-14,11:30,25.920,25.930,25.710,25.710,2713478.0,105100
2025-4-14,13:05,25.710,25.770,25.500,25.570,7561427.0,294800
2025-4-14,13:10,25.590,25.600,25.440,25.440,4782115.0,187300
2025-4-14,13:15,25.430,25.430,25.250,25.370,2886817.0,113800
2025-4-14,13:20,25.370,25.390,25.180,25.180,5914782.0,233900
2025-4-14,13:25,25.180,25.220,25.080,25.090,5181890.0,206000
2025-4-14,13:30,25.090,25.230,25.050,25.120,7196975.0,286500
2025-4-14,13:35,25.120,25.180,25.050,25.140,2943142.0,117200
2025-4-14,13:40,25.130,25.140,25.070,25.080,2815102.0,112200
2025-4-14,13:45,25.080,25.080,24.930,25.070,4948067.0,197800
2025-4-14,13:50,25.070,25.150,25.000,25.000,3711521.0,147900
2025-4-14,13:55,24.990,25.040,24.990,25.000,2403291.0,96100
2025-4-14,14:00,25.010,25.180,25.010,25.030,3079745.0,122900
2025-4-14,14:05,25.030,25.250,25.030,25.250,3538675.0,140600
2025-4-14,14:10,25.180,25.280,25.000,25.010,5861044.0,233500
2025-4-14,14:15,25.000,25.010,24.970,24.980,3155558.0,126200
2025-4-14,14:20,24.980,25.020,24.970,24.970,3690223.0,147700
2025-4-14,14:25,24.970,24.980,24.900,24.910,4946291.0,198300
2025-4-14,14:30,24.910,25.040,24.910,25.040,3959046.0,158800
2025-4-14,14:35,25.020,25.020,24.920,24.920,4988255.0,199800
2025-4-14,14:40,24.920,24.930,24.750,24.870,9391474.0,377800
2025-4-14,14:45,24.840,24.870,24.730,24.740,4365690.0,176000
2025-4-14,14:50,24.740,24.800,24.650,24.750,9173028.0,370700
2025-4-14,14:55,24.660,24.730,24.570,24.700,11965908.0,485600
2025-4-14,15:00,24.700,24.920,24.700,24.920,14499337.0,582800
2025-4-15,09:35,25.000,25.240,24.470,24.510,36830264.0,1486500
2025-4-15,09:40,24.430,24.450,23.640,23.860,42803588.0,1788200
2025-4-15,09:45,23.870,23.880,23.670,23.710,20284012.0,853800
2025-4-15,09:50,23.710,23.960,23.710,23.900,9418521.0,394800
2025-4-15,09:55,23.860,24.090,23.780,24.030,5216381.0,217600
2025-4-15,10:00,24.030,24.070,23.670,23.730,17478618.0,734000
2025-4-15,10:05,23.730,23.810,23.700,23.760,6783107.0,285600
2025-4-15,10:10,23.760,23.790,23.610,23.780,11826069.0,498800
2025-4-15,10:15,23.760,23.760,23.500,23.570,11668853.0,494200
2025-4-15,10:20,23.570,23.600,23.500,23.510,6867599.0,291500
2025-4-15,10:25,23.490,23.520,23.360,23.430,11469795.0,489700
2025-4-15,10:30,23.380,23.400,23.230,23.230,9922593.0,425400
2025-4-15,10:35,23.230,23.340,23.230,23.310,4655388.0,199900
2025-4-15,10:40,23.310,23.460,23.310,23.460,2802145.0,119900
2025-4-15,10:45,23.460,23.490,23.390,23.490,2818682.0,120300
2025-4-15,10:50,23.470,23.520,23.380,23.380,6092576.0,259900
2025-4-15,10:55,23.370,23.370,23.290,23.340,4111831.0,176400
2025-4-15,11:00,23.340,23.450,23.340,23.430,2055638.0,87800
