日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,63.590,64.660,63.120,63.610,35090564.0,551100
2025-3-31,09:40,63.790,64.340,63.650,63.970,14361231.0,224600
2025-3-31,09:45,63.970,63.970,63.510,63.700,11582939.0,181800
2025-3-31,09:50,63.690,64.010,63.680,63.950,6934037.5,108700
2025-3-31,09:55,63.870,64.440,63.780,64.440,8506710.0,132700
2025-3-31,10:00,64.440,65.140,64.350,64.900,16160644.0,250100
2025-3-31,10:05,64.900,65.360,64.640,65.360,19561950.0,300800
2025-3-31,10:10,65.380,65.430,64.830,65.040,14040987.0,215700
2025-3-31,10:15,65.020,65.040,64.650,64.650,5418586.0,83600
2025-3-31,10:20,64.640,64.650,64.410,64.410,3484453.0,54000
2025-3-31,10:25,64.440,64.510,64.260,64.310,4758004.0,73900
2025-3-31,10:30,64.260,64.560,64.250,64.550,5299216.0,82300
2025-3-31,10:35,64.550,64.640,64.300,64.420,5272643.0,81800
2025-3-31,10:40,64.420,64.650,64.420,64.480,7440186.0,115300
2025-3-31,10:45,64.540,64.550,64.200,64.300,3995393.75,62100
2025-3-31,10:50,64.330,64.470,64.200,64.280,4115985.0,64000
2025-3-31,10:55,64.360,64.390,64.100,64.120,5075989.0,79000
2025-3-31,11:00,64.090,64.360,64.060,64.220,2970607.5,46300
2025-3-31,11:05,64.170,64.390,64.010,64.210,3838404.0,59800
2025-3-31,11:10,64.300,64.550,64.200,64.500,5964144.0,92700
2025-3-31,11:15,64.500,64.500,64.200,64.340,2314285.0,36000
2025-3-31,11:20,64.240,64.490,64.240,64.330,3959632.0,61500
2025-3-31,11:25,64.330,64.440,63.800,63.810,8268626.0,129100
2025-3-31,11:30,63.800,63.900,63.780,63.900,5272373.0,82600
2025-3-31,13:05,63.910,64.310,63.810,64.210,4188366.0,65500
2025-3-31,13:10,64.320,64.320,64.030,64.100,4282490.0,66800
2025-3-31,13:15,64.100,64.260,63.900,64.210,3357483.0,52400
2025-3-31,13:20,64.210,64.570,64.150,64.560,7028510.0,109200
2025-3-31,13:25,64.490,64.520,64.230,64.410,3705404.0,57500
2025-3-31,13:30,64.450,64.450,64.230,64.290,2497155.0,38800
2025-3-31,13:35,64.290,64.440,64.110,64.150,3792861.0,59000
2025-3-31,13:40,64.300,64.330,64.150,64.190,1856135.0,28900
2025-3-31,13:45,64.290,64.300,64.000,64.060,2309339.0,36000
2025-3-31,13:50,64.060,64.080,63.830,63.880,7663239.0,119900
2025-3-31,13:55,63.840,64.380,63.780,64.380,8612109.0,134600
2025-3-31,14:00,64.440,64.650,64.160,64.490,6667960.0,103400
2025-3-31,14:05,64.390,64.440,64.110,64.370,3759465.0,58500
2025-3-31,14:10,64.200,64.680,64.200,64.660,6624602.0,102600
2025-3-31,14:15,64.610,64.760,64.490,64.620,11521954.0,178200
2025-3-31,14:20,64.640,64.860,64.620,64.760,8775303.0,135500
2025-3-31,14:25,64.770,64.880,64.640,64.800,11066488.0,170800
2025-3-31,14:30,64.820,64.950,64.800,64.950,9303216.0,143400
2025-3-31,14:35,64.940,65.280,64.940,65.010,7971040.0,122300
2025-3-31,14:40,65.000,65.010,64.930,64.950,8235480.0,126800
2025-3-31,14:45,64.930,64.990,64.920,64.980,5703097.0,87900
2025-3-31,14:50,65.000,65.000,64.900,64.900,4115785.0,63300
2025-3-31,14:55,64.890,64.890,64.850,64.850,6085612.0,93900
2025-3-31,15:00,64.860,64.890,64.850,64.890,4431088.0,68300
2025-4-1,09:35,64.900,65.500,64.900,65.280,14036351.0,215500
