日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,166.360,167.970,165.900,167.360,29358044.0,175800
2025-6-30,09:40,167.160,167.600,166.730,166.730,23945228.0,143300
2025-6-30,09:45,166.990,167.180,166.060,166.290,11187144.0,67100
2025-6-30,09:50,166.350,168.340,166.200,168.090,13756713.0,82200
2025-6-30,09:55,168.090,168.500,167.280,167.660,13108009.0,78100
2025-6-30,10:00,167.670,167.690,167.000,167.610,10281263.0,61400
2025-6-30,10:05,167.690,167.970,166.600,166.620,16956868.0,101400
2025-6-30,10:10,166.530,166.760,166.140,166.550,12819894.0,77100
2025-6-30,10:15,166.550,166.600,165.800,165.970,8722837.0,52500
2025-6-30,10:20,165.970,166.390,165.830,166.200,6241886.0,37600
2025-6-30,10:25,166.200,166.330,165.510,166.170,7386604.0,44500
2025-6-30,10:30,166.000,166.390,165.670,165.780,2890822.0,17400
2025-6-30,10:35,165.820,166.150,165.820,165.900,4131296.0,24900
2025-6-30,10:40,165.900,166.190,165.700,165.900,5950763.0,35900
2025-6-30,10:45,165.900,166.050,165.810,166.010,3279783.0,19700
2025-6-30,10:50,166.030,166.150,165.600,165.600,7553013.0,45600
2025-6-30,10:55,165.600,165.860,165.480,165.760,6540480.0,39500
2025-6-30,11:00,165.800,165.960,165.530,165.830,3222643.0,19400
2025-6-30,11:05,165.830,166.000,165.640,165.660,3724332.0,22500
2025-6-30,11:10,165.820,165.830,165.160,165.160,5225397.0,31500
2025-6-30,11:15,165.180,165.600,165.180,165.600,3476664.0,21100
2025-6-30,11:20,165.590,165.820,165.320,165.350,2603156.0,15700
2025-6-30,11:25,165.370,165.780,165.370,165.780,3168254.0,19100
2025-6-30,11:30,165.700,165.820,165.630,165.820,2243928.0,13600
2025-6-30,13:05,165.820,165.970,165.330,165.380,5394069.0,32500
2025-6-30,13:10,165.380,166.190,165.380,166.190,3781066.0,22900
2025-6-30,13:15,166.070,166.500,165.940,166.080,4446786.0,26700
2025-6-30,13:20,166.080,166.200,165.970,166.120,4073389.0,24600
2025-6-30,13:25,166.100,166.260,165.930,166.120,3384099.0,20300
2025-6-30,13:30,166.120,166.370,165.900,166.350,3724718.0,22400
2025-6-30,13:35,166.150,166.350,165.940,165.950,2766830.0,16700
