日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,10.060,10.070,9.980,9.990,4532316.0,452200
2025-6-30,09:40,9.990,10.120,9.980,10.100,7084780.0,704600
2025-6-30,09:45,10.100,10.100,10.050,10.090,2295311.0,227500
2025-6-30,09:50,10.080,10.100,10.070,10.080,1632487.0,161900
2025-6-30,09:55,10.080,10.080,10.050,10.080,1020492.0,101300
2025-6-30,10:00,10.080,10.090,10.060,10.060,2605827.0,258700
2025-6-30,10:05,10.050,10.050,10.030,10.040,2105336.0,209600
2025-6-30,10:10,10.040,10.070,10.030,10.040,2004296.0,199500
2025-6-30,10:15,10.030,10.080,10.000,10.070,6694246.0,667000
2025-6-30,10:20,10.070,10.090,10.050,10.050,2103649.0,208900
2025-6-30,10:25,10.050,10.050,10.040,10.040,849042.0,84500
2025-6-30,10:30,10.040,10.070,10.040,10.040,1241428.0,123500
2025-6-30,10:35,10.040,10.040,10.020,10.020,1672432.0,166800
2025-6-30,10:40,10.020,10.020,9.990,10.000,3006410.0,300600
2025-6-30,10:45,10.000,10.030,10.000,10.030,679972.0,68000
2025-6-30,10:50,10.030,10.030,9.990,10.000,1707035.0,170500
2025-6-30,10:55,10.000,10.000,9.980,9.990,2027142.0,202900
2025-6-30,11:00,9.990,10.030,9.990,10.030,1032842.0,103200
2025-6-30,11:05,10.030,10.030,10.000,10.020,1143179.0,114200
2025-6-30,11:10,10.010,10.020,10.000,10.010,1538707.0,153700
2025-6-30,11:15,10.010,10.020,10.000,10.010,778370.0,77800
2025-6-30,11:20,10.010,10.010,9.990,10.000,1497795.0,149800
2025-6-30,11:25,10.000,10.010,9.990,10.000,700261.0,70000
2025-6-30,11:30,10.000,10.030,10.000,10.020,953788.0,95200
2025-6-30,13:05,10.030,10.030,9.990,9.990,2561321.0,255900
2025-6-30,13:10,10.000,10.010,9.980,10.000,1447834.0,144900
2025-6-30,13:15,9.990,10.000,9.980,9.990,3041352.0,304600
2025-6-30,13:20,9.990,10.010,9.980,10.010,1297133.0,129800
2025-6-30,13:25,10.010,10.020,9.990,10.010,1000789.0,100000
2025-6-30,13:30,10.010,10.010,9.990,10.000,1021589.0,102200
2025-6-30,13:35,9.990,10.010,9.990,10.010,1206318.0,120600
2025-6-30,13:40,10.000,10.020,9.990,10.010,810083.0,81000
2025-6-30,13:45,10.010,10.030,10.000,10.020,1617809.0,161600
2025-6-30,13:50,10.020,10.020,10.000,10.010,882254.0,88100
2025-6-30,13:55,10.010,10.010,9.990,10.010,841879.0,84100
2025-6-30,14:00,10.000,10.020,10.000,10.010,1153893.0,115400
2025-6-30,14:05,10.010,10.030,10.010,10.020,841253.0,83900
2025-6-30,14:10,10.030,10.040,10.020,10.040,1363580.0,136000
2025-6-30,14:15,10.030,10.040,10.010,10.030,891658.0,88900
2025-6-30,14:20,10.020,10.050,10.010,10.040,1429374.0,142500
2025-6-30,14:25,10.030,10.040,10.030,10.040,957599.0,95500
2025-6-30,14:30,10.040,10.040,10.020,10.030,1468199.0,146300
2025-6-30,14:35,10.030,10.040,10.020,10.030,1504258.0,150000
2025-6-30,14:40,10.030,10.040,10.020,10.020,1101478.0,109800
2025-6-30,14:45,10.020,10.050,10.020,10.030,1639248.0,163400
2025-6-30,14:50,10.040,10.040,10.020,10.040,1650286.0,164500
2025-6-30,14:55,10.040,10.040,10.020,10.020,2192055.0,218600
2025-6-30,15:00,10.020,10.040,10.020,10.020,3032294.0,302500
2025-7-1,09:35,10.060,10.060,9.990,10.010,4167284.0,415900
2025-7-1,09:40,10.010,10.050,10.010,10.010,2297941.0,229200
2025-7-1,09:45,10.010,10.040,10.000,10.040,2437900.0,243200
2025-7-1,09:50,10.040,10.040,10.020,10.020,1286353.0,128300
2025-7-1,09:55,10.020,10.050,10.020,10.030,1687887.0,168200
2025-7-1,10:00,10.030,10.050,10.030,10.040,1793054.0,178500
2025-7-1,10:05,10.040,10.070,10.040,10.060,953640.0,94800
2025-7-1,10:10,10.060,10.110,10.050,10.090,4301570.0,426500
2025-7-1,10:15,10.090,10.140,10.090,10.110,5484436.0,541900
2025-7-1,10:20,10.110,10.170,10.110,10.150,6478766.0,637800
2025-7-1,10:25,10.140,10.160,10.130,10.150,2926940.0,288500
2025-7-1,10:30,10.150,10.150,10.130,10.140,1999963.0,197200
2025-7-1,10:35,10.140,10.140,10.120,10.130,1384066.0,136600
2025-7-1,10:40,10.130,10.140,10.120,10.120,915707.0,90400
2025-7-1,10:45,10.120,10.140,10.100,10.120,3288876.0,325100
2025-7-1,10:50,10.110,10.140,10.110,10.130,641699.0,63400
2025-7-1,10:55,10.140,10.140,10.110,10.120,640925.0,63300
2025-7-1,11:00,10.110,10.130,10.110,10.130,805976.0,79600
2025-7-1,11:05,10.110,10.110,10.100,10.110,220695.0,21900
2025-7-1,11:10,10.100,10.110,10.100,10.100,1055167.0,104400
2025-7-1,11:15,10.100,10.120,10.090,10.090,1178426.0,116600
2025-7-1,11:20,10.090,10.100,10.070,10.090,1286368.0,127600
2025-7-1,11:25,10.090,10.100,10.080,10.090,578798.0,57300
2025-7-1,11:30,10.100,10.110,10.090,10.100,512450.0,50800
2025-7-1,13:05,10.100,10.130,10.090,10.130,1561916.0,154400
2025-7-1,13:10,10.150,10.170,10.140,10.140,4573991.0,450400
2025-7-1,13:15,10.140,10.180,10.140,10.170,4245382.0,417400
2025-7-1,13:20,10.150,10.190,10.150,10.170,5307145.0,521800
2025-7-1,13:25,10.170,10.170,10.130,10.160,6816127.0,671500
2025-7-1,13:30,10.150,10.170,10.150,10.160,1163827.0,114500
2025-7-1,13:35,10.160,10.180,10.160,10.170,1587505.0,156200
2025-7-1,13:40,10.170,10.220,10.170,10.210,7246629.0,710500
2025-7-1,13:45,10.210,10.220,10.200,10.210,3170164.0,310400
2025-7-1,13:50,10.210,10.290,10.210,10.260,10832512.0,1055200
2025-7-1,13:55,10.260,10.270,10.240,10.250,2477604.0,241600
2025-7-1,14:00,10.240,10.240,10.220,10.230,653163.0,63800
2025-7-1,14:05,10.230,10.230,10.210,10.220,1565523.0,153200
2025-7-1,14:10,10.220,10.240,10.220,10.240,1147507.0,112100
2025-7-1,14:15,10.240,10.250,10.210,10.210,1740774.0,170300
2025-7-1,14:20,10.200,10.210,10.190,10.210,3365212.0,329900
2025-7-1,14:25,10.200,10.210,10.190,10.210,1493161.0,146400
2025-7-1,14:30,10.210,10.210,10.200,10.200,2046475.0,200600
2025-7-1,14:35,10.210,10.210,10.200,10.200,505171.0,49500
2025-7-1,14:40,10.200,10.210,10.200,10.210,1484374.0,145400
2025-7-1,14:45,10.210,10.210,10.200,10.210,305781.0,30000
2025-7-1,14:50,10.210,10.210,10.190,10.200,1071849.0,105000
2025-7-1,14:55,10.190,10.210,10.190,10.200,2800926.0,274700
2025-7-1,15:00,10.190,10.200,10.190,10.190,1641002.0,161000
2025-7-2,09:35,10.160,10.180,10.120,10.150,5866621.0,578400
2025-7-2,09:40,10.140,10.150,10.100,10.110,3195452.0,315900
2025-7-2,09:45,10.110,10.110,10.090,10.090,2898577.0,286900
2025-7-2,09:50,10.090,10.130,10.080,10.120,2307337.0,228500
2025-7-2,09:55,10.120,10.130,10.110,10.110,986099.0,97400
2025-7-2,10:00,10.110,10.130,10.100,10.110,472680.0,46800
2025-7-2,10:05,10.110,10.140,10.080,10.100,2678413.0,265000
2025-7-2,10:10,10.100,10.120,10.080,10.110,3552151.0,351800
2025-7-2,10:15,10.110,10.120,10.090,10.100,1179256.0,116800
2025-7-2,10:20,10.090,10.100,10.080,10.090,1559789.0,154600
2025-7-2,10:25,10.090,10.110,10.090,10.090,825751.0,81700
2025-7-2,10:30,10.100,10.120,10.090,10.100,1362691.0,134900
2025-7-2,10:35,10.100,10.100,10.080,10.100,2199347.0,217900
2025-7-2,10:40,10.080,10.100,10.070,10.090,2053158.0,203700
2025-7-2,10:45,10.090,10.110,10.090,10.090,886917.0,87900
2025-7-2,10:50,10.100,10.110,10.080,10.090,739997.0,73300
2025-7-2,10:55,10.120,10.130,10.100,10.120,894682.0,88400
2025-7-2,11:00,10.120,10.140,10.110,10.120,1426026.0,140800
2025-7-2,11:05,10.110,10.130,10.110,10.120,1172681.0,115900
2025-7-2,11:10,10.120,10.140,10.120,10.120,709143.0,70000
2025-7-2,11:15,10.120,10.140,10.110,10.120,786212.0,77700
2025-7-2,11:20,10.130,10.140,10.090,10.100,2420531.0,239500
2025-7-2,11:25,10.100,10.120,10.090,10.100,1068798.0,105800
2025-7-2,11:30,10.090,10.120,10.090,10.110,853149.0,84400
2025-7-2,13:05,10.110,10.120,10.090,10.100,1222705.0,121000
2025-7-2,13:10,10.110,10.110,10.100,10.110,470901.0,46600
2025-7-2,13:15,10.100,10.110,10.100,10.100,541118.0,53600
2025-7-2,13:20,10.110,10.110,10.080,10.080,2573829.0,255000
2025-7-2,13:25,10.080,10.090,10.070,10.070,2310995.0,229200
2025-7-2,13:30,10.070,10.100,10.070,10.080,1138265.0,112800
2025-7-2,13:35,10.080,10.090,10.070,10.080,1226082.0,121700
2025-7-2,13:40,10.080,10.090,10.070,10.070,565164.0,56100
2025-7-2,13:45,10.080,10.090,10.070,10.070,1175196.0,116600
2025-7-2,13:50,10.070,10.080,10.050,10.060,2821064.0,280400
2025-7-2,13:55,10.050,10.050,10.030,10.040,2190271.0,218000
2025-7-2,14:00,10.040,10.060,10.040,10.050,910242.0,90700
2025-7-2,14:05,10.050,10.050,10.020,10.020,3096672.0,308700
2025-7-2,14:10,10.020,10.030,10.010,10.010,2101865.0,209800
2025-7-2,14:15,10.010,10.030,10.010,10.020,1358748.0,135700
2025-7-2,14:20,10.010,10.030,10.010,10.020,1692846.0,169000
2025-7-2,14:25,10.020,10.030,10.010,10.030,2176333.0,217200
2025-7-2,14:30,10.030,10.050,10.020,10.020,1739159.0,173200
2025-7-2,14:35,10.020,10.050,10.020,10.040,1332614.0,132900
