日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,18.190,18.330,18.060,18.110,20937592.0,1152500
2024-1-2,09:40,18.110,18.110,17.950,18.010,11152959.0,618900
2024-1-2,09:45,18.020,18.260,18.010,18.220,10202850.0,563000
2024-1-2,09:50,18.200,18.220,18.110,18.150,5923928.0,326100
2024-1-2,09:55,18.140,18.170,18.100,18.110,4529498.0,249600
2024-1-2,10:00,18.100,18.100,18.030,18.070,4201529.0,232700
2024-1-2,10:05,18.070,18.100,18.040,18.050,2892186.0,160100
2024-1-2,10:10,18.050,18.070,18.030,18.070,2989041.0,165600
2024-1-2,10:15,18.070,18.070,18.040,18.050,1906542.0,105600
2024-1-2,10:20,18.040,18.100,18.040,18.080,1962562.0,108600
2024-1-2,10:25,18.080,18.100,18.070,18.070,2972983.0,164400
2024-1-2,10:30,18.070,18.090,18.060,18.090,2378918.0,131600
2024-1-2,10:35,18.100,18.140,18.080,18.140,3232361.0,178400
2024-1-2,10:40,18.130,18.150,18.080,18.090,2908342.0,160500
2024-1-2,10:45,18.080,18.090,18.060,18.080,2385514.0,132000
2024-1-2,10:50,18.070,18.080,18.060,18.070,2087312.0,115500
2024-1-2,10:55,18.060,18.080,18.060,18.060,1937049.0,107200
2024-1-2,11:00,18.060,18.090,18.060,18.080,1279849.0,70800
2024-1-2,11:05,18.080,18.090,18.070,18.070,522561.0,28900
2024-1-2,11:10,18.080,18.100,18.070,18.090,1520662.0,84100
2024-1-2,11:15,18.090,18.110,18.080,18.090,788892.0,43600
2024-1-2,11:20,18.090,18.100,18.070,18.090,2983082.0,165000
2024-1-2,11:25,18.090,18.120,18.090,18.110,1106277.0,61100
2024-1-2,11:30,18.110,18.120,18.090,18.090,878368.0,48500
2024-1-2,13:05,18.090,18.100,18.070,18.080,1830010.0,101200
2024-1-2,13:10,18.080,18.080,18.060,18.060,1151257.0,63700
2024-1-2,13:15,18.060,18.060,18.030,18.040,5464497.0,302700
2024-1-2,13:20,18.040,18.050,18.030,18.030,795659.0,44100
2024-1-2,13:25,18.040,18.050,18.030,18.050,876997.0,48600
2024-1-2,13:30,18.050,18.070,18.040,18.050,841500.0,46600
2024-1-2,13:35,18.060,18.070,18.040,18.050,1633205.0,90500
2024-1-2,13:40,18.040,18.050,18.030,18.040,1277332.0,70800
2024-1-2,13:45,18.040,18.040,18.020,18.030,1993822.0,110600
2024-1-2,13:50,18.030,18.040,18.030,18.040,854727.0,47400
2024-1-2,13:55,18.030,18.030,18.020,18.020,2774224.0,153900
2024-1-2,14:00,18.020,18.040,18.020,18.030,1968776.0,109200
2024-1-2,14:05,18.020,18.040,18.020,18.040,2605995.0,144500
2024-1-2,14:10,18.030,18.060,18.030,18.060,1528126.0,84700
2024-1-2,14:15,18.050,18.060,18.030,18.030,2556420.0,141700
2024-1-2,14:20,18.030,18.040,18.020,18.020,3189038.0,176900
2024-1-2,14:25,18.020,18.020,17.980,17.980,5360819.0,297700
2024-1-2,14:30,17.990,17.990,17.960,17.960,4443431.0,247200
2024-1-2,14:35,17.960,17.990,17.960,17.980,2268773.0,126200
2024-1-2,14:40,17.980,17.990,17.970,17.970,2534641.0,141000
2024-1-2,14:45,17.970,17.980,17.950,17.960,4221819.0,235000
2024-1-2,14:50,17.960,17.960,17.920,17.940,4359165.0,243000
2024-1-2,14:55,17.930,17.950,17.930,17.930,3722039.0,207500
2024-1-2,15:00,17.930,17.950,17.930,17.940,3055286.0,170300
2024-1-3,09:35,17.870,17.930,17.850,17.900,5434556.0,303900
2024-1-3,09:40,17.910,17.950,17.900,17.920,2542917.0,141900
2024-1-3,09:45,17.920,17.950,17.900,17.930,3357633.0,187300
2024-1-3,09:50,17.920,17.940,17.900,17.920,1734565.0,96800
2024-1-3,09:55,17.920,17.940,17.890,17.900,2056309.0,114800
2024-1-3,10:00,17.900,17.900,17.860,17.890,2776333.0,155300
2024-1-3,10:05,17.890,17.940,17.880,17.920,2899012.0,161800
2024-1-3,10:10,17.920,17.920,17.890,17.890,1078193.0,60200
2024-1-3,10:15,17.900,17.910,17.880,17.900,2632540.0,147100
2024-1-3,10:20,17.910,17.920,17.890,17.900,662337.0,37000
2024-1-3,10:25,17.900,17.920,17.880,17.900,1397614.0,78100
2024-1-3,10:30,17.900,17.910,17.880,17.900,1785389.0,99800
2024-1-3,10:35,17.900,17.920,17.890,17.910,1469966.0,82100
2024-1-3,10:40,17.910,17.910,17.890,17.890,869943.0,48600
2024-1-3,10:45,17.890,17.910,17.890,17.900,780273.0,43600
2024-1-3,10:50,17.900,17.900,17.890,17.900,719565.0,40200
2024-1-3,10:55,17.910,17.930,17.900,17.900,1003283.0,56000
2024-1-3,11:00,17.900,17.910,17.880,17.890,1216632.0,68000
2024-1-3,11:05,17.910,17.910,17.860,17.880,4990851.0,279200
2024-1-3,11:10,17.870,17.870,17.810,17.810,4842147.0,271500
2024-1-3,11:15,17.800,17.800,17.710,17.720,5417515.0,305000
2024-1-3,11:20,17.720,17.730,17.700,17.720,3502071.0,197700
2024-1-3,11:25,17.720,17.720,17.600,17.670,7336317.0,415300
2024-1-3,11:30,17.690,17.690,17.630,17.680,2527409.0,143000
2024-1-3,13:05,17.690,17.700,17.600,17.610,2102937.0,119200
2024-1-3,13:10,17.600,17.660,17.590,17.630,4882492.0,277200
2024-1-3,13:15,17.600,17.650,17.600,17.610,1385335.0,78600
2024-1-3,13:20,17.620,17.650,17.620,17.640,661428.0,37500
2024-1-3,13:25,17.650,17.660,17.620,17.650,938467.0,53200
2024-1-3,13:30,17.660,17.680,17.640,17.650,1022200.0,57900
2024-1-3,13:35,17.640,17.680,17.630,17.680,1538440.0,87200
2024-1-3,13:40,17.680,17.730,17.650,17.650,2021662.0,114300
2024-1-3,13:45,17.650,17.670,17.640,17.650,2817946.0,159700
2024-1-3,13:50,17.660,17.680,17.650,17.650,1481318.0,83900
2024-1-3,13:55,17.650,17.650,17.620,17.620,3420067.0,193900
2024-1-3,14:00,17.630,17.650,17.600,17.630,1793801.0,101800
2024-1-3,14:05,17.640,17.650,17.610,17.640,3646544.0,206900
2024-1-3,14:10,17.640,17.670,17.640,17.650,1419227.0,80400
2024-1-3,14:15,17.650,17.680,17.650,17.660,2775740.0,157200
2024-1-3,14:20,17.650,17.700,17.650,17.680,2040073.0,115500
2024-1-3,14:25,17.700,17.720,17.680,17.680,1902962.0,107500
2024-1-3,14:30,17.690,17.740,17.690,17.730,2174275.0,122700
2024-1-3,14:35,17.720,17.740,17.710,17.710,1602596.0,90400
2024-1-3,14:40,17.710,17.720,17.700,17.700,1218409.0,68800
2024-1-3,14:45,17.700,17.730,17.680,17.710,3783248.0,213700
2024-1-3,14:50,17.710,17.730,17.710,17.720,1622824.0,91600
2024-1-3,14:55,17.720,17.730,17.690,17.700,3941139.0,222600
2024-1-3,15:00,17.700,17.730,17.700,17.730,2811759.0,158700
2024-1-4,09:35,17.740,17.740,17.550,17.570,5716869.0,324400
2024-1-4,09:40,17.570,17.600,17.560,17.570,4034453.0,229500
2024-1-4,09:45,17.570,17.600,17.560,17.590,4492165.0,255600
2024-1-4,09:50,17.600,17.700,17.600,17.680,4022720.0,227800
2024-1-4,09:55,17.680,17.780,17.680,17.760,4447821.0,250700
2024-1-4,10:00,17.770,17.860,17.750,17.820,5603750.0,314700
2024-1-4,10:05,17.800,17.810,17.740,17.750,2190394.0,123200
2024-1-4,10:10,17.760,17.780,17.740,17.750,1898177.0,106900
2024-1-4,10:15,17.750,17.780,17.740,17.760,2260641.0,127300
2024-1-4,10:20,17.750,17.810,17.750,17.810,2995165.0,168500
2024-1-4,10:25,17.810,17.850,17.810,17.820,3933106.0,220600
2024-1-4,10:30,17.810,17.840,17.800,17.830,1612713.0,90500
2024-1-4,10:35,17.820,17.930,17.820,17.910,6107008.0,341500
2024-1-4,10:40,17.910,17.970,17.910,17.930,4695196.0,261700
2024-1-4,10:45,17.920,17.920,17.870,17.870,1788963.0,100000
2024-1-4,10:50,17.870,17.960,17.870,17.930,4716834.0,263200
2024-1-4,10:55,17.930,18.130,17.930,18.090,14911604.0,826500
2024-1-4,11:00,18.090,18.140,18.010,18.020,7324095.0,404800
2024-1-4,11:05,18.020,18.020,17.970,18.000,3576794.0,198700
2024-1-4,11:10,18.010,18.010,17.940,17.970,2314183.0,128800
2024-1-4,11:15,17.970,18.010,17.940,18.000,3631090.0,201900
2024-1-4,11:20,18.010,18.160,18.000,18.150,7952054.0,439500
2024-1-4,11:25,18.160,18.200,18.100,18.110,6718600.0,370000
2024-1-4,11:30,18.110,18.130,18.060,18.060,2415406.0,133500
2024-1-4,13:05,18.080,18.080,18.000,18.020,2394068.0,132800
2024-1-4,13:10,18.020,18.040,17.960,17.970,2237195.0,124300
2024-1-4,13:15,17.970,18.000,17.950,17.950,2145999.0,119400
2024-1-4,13:20,17.960,17.970,17.940,17.960,1386135.0,77200
2024-1-4,13:25,17.960,18.000,17.950,17.960,2330929.0,129700
2024-1-4,13:30,17.960,17.970,17.930,17.930,2242236.0,124900
2024-1-4,13:35,17.930,17.930,17.880,17.880,2779921.0,155200
2024-1-4,13:40,17.880,17.900,17.850,17.900,1998063.0,111800
2024-1-4,13:45,17.900,17.920,17.890,17.920,823769.0,46000
2024-1-4,13:50,17.920,17.920,17.880,17.890,1131279.0,63200
2024-1-4,13:55,17.890,17.920,17.880,17.910,1130212.0,63100
2024-1-4,14:00,17.910,17.930,17.900,17.900,1565577.0,87400
2024-1-4,14:05,17.900,17.900,17.880,17.890,2012536.0,112500
2024-1-4,14:10,17.890,18.040,17.890,18.040,6250728.0,348100
2024-1-4,14:15,18.010,18.060,17.960,17.980,8012520.0,444800
2024-1-4,14:20,17.970,17.980,17.950,17.980,2005931.0,111700
2024-1-4,14:25,17.980,18.000,17.970,17.980,3095960.0,172100
2024-1-4,14:30,17.980,17.990,17.960,17.960,2696518.0,150000
2024-1-4,14:35,17.970,17.980,17.960,17.980,2041008.0,113600
2024-1-4,14:40,17.980,18.020,17.970,18.010,3479284.0,193300
2024-1-4,14:45,18.020,18.030,17.990,18.030,2975192.0,165200
2024-1-4,14:50,18.030,18.040,17.980,17.980,4476000.0,248500
