日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,45.240,45.440,45.120,45.250,61362696.0,1355200
2024-1-2,09:40,45.260,45.360,45.210,45.240,26988442.0,595900
2024-1-2,09:45,45.240,45.240,45.000,45.030,23521760.0,521700
2024-1-2,09:50,45.040,45.100,44.720,44.730,50614700.0,1127600
2024-1-2,09:55,44.760,44.810,44.600,44.600,34585452.0,773600
2024-1-2,10:00,44.590,44.640,44.500,44.540,38819336.0,871200
2024-1-2,10:05,44.550,44.550,44.420,44.470,44157216.0,992600
2024-1-2,10:10,44.470,44.600,44.450,44.600,21439812.0,481500
2024-1-2,10:15,44.600,44.620,44.530,44.570,12375176.0,277700
2024-1-2,10:20,44.580,44.750,44.570,44.670,18308872.0,409900
2024-1-2,10:25,44.660,44.660,44.470,44.490,17264528.0,387600
2024-1-2,10:30,44.490,44.660,44.490,44.610,9800301.0,219800
2024-1-2,10:35,44.600,44.700,44.550,44.650,12218827.0,273800
2024-1-2,10:40,44.630,44.740,44.630,44.690,14544429.0,325400
2024-1-2,10:45,44.690,44.720,44.650,44.660,15178414.0,339700
2024-1-2,10:50,44.700,44.700,44.610,44.630,10190308.0,228200
2024-1-2,10:55,44.640,44.650,44.560,44.600,9175044.0,205700
2024-1-2,11:00,44.570,44.620,44.500,44.570,11467857.0,257400
2024-1-2,11:05,44.570,44.600,44.540,44.600,10111237.0,226900
2024-1-2,11:10,44.590,44.650,44.540,44.640,9558746.0,214400
2024-1-2,11:15,44.640,44.680,44.600,44.640,8985401.0,201300
2024-1-2,11:20,44.640,44.670,44.600,44.630,7743668.0,173500
2024-1-2,11:25,44.610,44.650,44.590,44.620,7990462.0,179100
2024-1-2,11:30,44.610,44.660,44.520,44.520,9452645.0,212100
2024-1-2,13:05,44.580,44.590,44.470,44.510,19279380.0,433000
2024-1-2,13:10,44.530,44.680,44.510,44.650,13602041.0,304900
2024-1-2,13:15,44.650,44.650,44.590,44.590,8366263.0,187500
2024-1-2,13:20,44.580,44.590,44.410,44.420,19580722.0,440200
2024-1-2,13:25,44.410,44.460,44.360,44.440,19580704.0,440900
2024-1-2,13:30,44.450,44.520,44.440,44.510,8088853.0,181900
2024-1-2,13:35,44.500,44.500,44.440,44.450,8058217.0,181200
2024-1-2,13:40,44.450,44.520,44.450,44.520,8036218.0,180700
2024-1-2,13:45,44.520,44.580,44.490,44.560,10010811.0,224800
2024-1-2,13:50,44.560,44.620,44.510,44.590,10307597.0,231300
2024-1-2,13:55,44.570,44.660,44.550,44.650,16333098.0,366100
2024-1-2,14:00,44.650,44.690,44.580,44.660,10131083.0,227000
2024-1-2,14:05,44.660,44.680,44.570,44.630,11898231.0,266500
2024-1-2,14:10,44.590,44.640,44.520,44.530,11664169.0,261700
2024-1-2,14:15,44.530,44.550,44.480,44.520,13241386.0,297500
2024-1-2,14:20,44.530,44.550,44.480,44.550,12601594.0,283100
2024-1-2,14:25,44.550,44.580,44.500,44.580,15739075.0,353400
2024-1-2,14:30,44.580,44.650,44.540,44.620,13974158.0,313300
2024-1-2,14:35,44.620,44.670,44.580,44.580,13671513.0,306300
2024-1-2,14:40,44.580,44.610,44.560,44.580,8310461.0,186400
2024-1-2,14:45,44.570,44.610,44.510,44.550,17598284.0,394900
2024-1-2,14:50,44.540,44.540,44.460,44.500,25586078.0,575100
2024-1-2,14:55,44.490,44.530,44.460,44.480,23424982.0,526500
2024-1-2,15:00,44.480,44.500,44.460,44.470,10888841.0,244800
2024-1-3,09:35,44.210,44.820,44.200,44.770,62316724.0,1397200
2024-1-3,09:40,44.810,44.880,44.730,44.800,40714636.0,908300
2024-1-3,09:45,44.780,44.800,44.670,44.730,20756740.0,464100
2024-1-3,09:50,44.740,44.810,44.690,44.710,27345948.0,611100
2024-1-3,09:55,44.720,44.770,44.670,44.680,29002732.0,648500
2024-1-3,10:00,44.690,44.690,44.520,44.520,21602080.0,484200
2024-1-3,10:05,44.520,44.680,44.520,44.670,12385809.0,277800
2024-1-3,10:10,44.650,44.670,44.540,44.540,13314554.0,298600
2024-1-3,10:15,44.540,44.540,44.440,44.510,18815272.0,423000
2024-1-3,10:20,44.510,44.530,44.460,44.500,12488966.0,280700
2024-1-3,10:25,44.500,44.600,44.490,44.520,6837056.0,153500
2024-1-3,10:30,44.520,44.600,44.490,44.580,9060604.0,203300
2024-1-3,10:35,44.570,44.620,44.550,44.570,11555900.0,259200
2024-1-3,10:40,44.560,44.560,44.340,44.350,16448126.0,370200
2024-1-3,10:45,44.330,44.410,44.310,44.360,16569973.0,373500
2024-1-3,10:50,44.360,44.400,44.360,44.380,8671695.0,195500
2024-1-3,10:55,44.380,44.400,44.360,44.360,8084065.0,182100
2024-1-3,11:00,44.380,44.390,44.310,44.340,8747644.0,197300
2024-1-3,11:05,44.330,44.340,44.170,44.170,17692040.0,399800
2024-1-3,11:10,44.160,44.210,44.140,44.140,10663623.0,241400
2024-1-3,11:15,44.150,44.190,44.130,44.150,9012437.0,204100
2024-1-3,11:20,44.180,44.190,44.090,44.100,11764276.0,266500
2024-1-3,11:25,44.100,44.200,44.060,44.090,13752311.0,311800
2024-1-3,11:30,44.080,44.180,44.050,44.150,14241663.0,323000
2024-1-3,13:05,44.140,44.180,44.110,44.180,11664790.0,264200
2024-1-3,13:10,44.180,44.240,44.070,44.220,12455144.0,282100
2024-1-3,13:15,44.230,44.270,44.150,44.200,9501752.0,214900
2024-1-3,13:20,44.190,44.210,44.120,44.150,8314296.0,188200
2024-1-3,13:25,44.190,44.260,44.150,44.180,8982147.0,203200
2024-1-3,13:30,44.180,44.260,44.150,44.260,10632691.0,240500
2024-1-3,13:35,44.260,44.310,44.200,44.250,8643251.0,195300
2024-1-3,13:40,44.250,44.320,44.220,44.260,10347070.0,233700
2024-1-3,13:45,44.260,44.260,44.140,44.150,7327683.0,165800
2024-1-3,13:50,44.150,44.180,44.130,44.160,4762055.0,107900
2024-1-3,13:55,44.160,44.180,44.120,44.130,7986567.0,180900
2024-1-3,14:00,44.130,44.250,44.130,44.230,6980914.0,158000
2024-1-3,14:05,44.230,44.300,44.180,44.280,7880068.0,178100
2024-1-3,14:10,44.280,44.300,44.210,44.280,6275165.0,141700
2024-1-3,14:15,44.280,44.300,44.210,44.230,6050549.0,136700
2024-1-3,14:20,44.230,44.300,44.200,44.280,9857957.0,222800
2024-1-3,14:25,44.280,44.310,44.200,44.310,9957858.0,225000
2024-1-3,14:30,44.310,44.420,44.300,44.360,21433340.0,483100
2024-1-3,14:35,44.390,44.450,44.250,44.320,13046232.0,294000
2024-1-3,14:40,44.320,44.350,44.250,44.300,6139787.0,138600
2024-1-3,14:45,44.300,44.340,44.280,44.330,5371097.0,121200
2024-1-3,14:50,44.330,44.340,44.250,44.260,7997761.0,180600
2024-1-3,14:55,44.260,44.280,44.220,44.260,14537022.0,328500
2024-1-3,15:00,44.250,44.270,44.230,44.230,13700440.0,309700
2024-1-4,09:35,44.300,44.340,43.840,43.840,57674040.0,1309800
2024-1-4,09:40,43.860,43.910,43.130,43.180,97213976.0,2231900
2024-1-4,09:45,43.170,43.280,43.010,43.140,120524216.0,2794100
2024-1-4,09:50,43.200,43.450,43.200,43.450,61437128.0,1418900
2024-1-4,09:55,43.450,43.610,43.440,43.540,36415584.0,836800
2024-1-4,10:00,43.550,43.570,43.230,43.230,31518972.0,726000
2024-1-4,10:05,43.200,43.300,43.200,43.280,24331152.0,562600
2024-1-4,10:10,43.280,43.320,43.220,43.220,25627488.0,592100
2024-1-4,10:15,43.230,43.290,43.140,43.180,35028136.0,810700
2024-1-4,10:20,43.180,43.210,43.120,43.170,19136062.0,443400
2024-1-4,10:25,43.170,43.170,43.120,43.130,18629860.0,431700
2024-1-4,10:30,43.120,43.250,43.100,43.210,24041066.0,557200
2024-1-4,10:35,43.190,43.190,43.080,43.120,27419504.0,635700
2024-1-4,10:40,43.130,43.210,43.100,43.110,19143456.0,443800
2024-1-4,10:45,43.100,43.150,42.930,42.960,73197280.0,1701000
2024-1-4,10:50,42.960,43.000,42.900,42.960,33636844.0,783200
2024-1-4,10:55,42.950,43.090,42.910,43.060,27704914.0,644300
2024-1-4,11:00,43.060,43.060,42.900,42.910,38397852.0,894400
2024-1-4,11:05,42.910,42.990,42.880,42.910,28304568.0,659400
2024-1-4,11:10,42.910,42.950,42.880,42.900,22785330.0,531000
2024-1-4,11:15,42.910,43.100,42.910,43.030,22553362.0,524400
2024-1-4,11:20,43.020,43.140,43.010,43.100,20853752.0,484100
2024-1-4,11:25,43.100,43.110,42.930,43.000,23944064.0,556600
2024-1-4,11:30,42.970,43.080,42.900,43.080,29667022.0,690300
2024-1-4,13:05,43.130,43.130,42.990,43.050,32795500.0,761500
2024-1-4,13:10,43.030,43.100,43.000,43.010,14725681.0,342200
2024-1-4,13:15,43.010,43.110,43.000,43.080,14647631.0,340200
2024-1-4,13:20,43.080,43.210,43.030,43.210,13766512.0,319400
2024-1-4,13:25,43.180,43.250,43.140,43.160,17368220.0,401900
2024-1-4,13:30,43.170,43.210,43.120,43.170,17707588.0,410200
2024-1-4,13:35,43.130,43.250,43.100,43.210,18089748.0,418900
2024-1-4,13:40,43.220,43.280,43.200,43.280,17764420.0,410900
2024-1-4,13:45,43.260,43.340,43.230,43.300,20653616.0,477100
2024-1-4,13:50,43.300,43.390,43.300,43.370,21977502.0,507100
2024-1-4,13:55,43.370,43.370,43.260,43.260,22433250.0,518000
2024-1-4,14:00,43.260,43.300,43.190,43.200,20311070.0,469500
2024-1-4,14:05,43.200,43.340,43.190,43.340,21324036.0,492800
2024-1-4,14:10,43.330,43.520,43.310,43.520,27245088.0,627700
2024-1-4,14:15,43.520,43.620,43.500,43.530,26891326.0,617500
2024-1-4,14:20,43.530,43.610,43.470,43.610,24268654.0,557400
2024-1-4,14:25,43.580,43.670,43.550,43.610,33915568.0,777300
2024-1-4,14:30,43.610,43.690,43.580,43.650,25762330.0,590400
2024-1-4,14:35,43.650,43.730,43.590,43.690,23959476.0,548700
2024-1-4,14:40,43.700,43.800,43.670,43.780,29980620.0,685500
2024-1-4,14:45,43.780,43.790,43.670,43.730,24419638.0,558400
2024-1-4,14:50,43.730,43.780,43.700,43.770,26671748.0,609900
2024-1-4,14:55,43.740,43.800,43.720,43.780,31225420.0,713300
2024-1-4,15:00,43.780,43.800,43.720,43.790,21247096.0,485300
2024-1-5,09:35,43.310,43.500,42.910,42.930,89053128.0,2065200
2024-1-5,09:40,42.930,42.940,42.680,42.710,87456448.0,2043800
2024-1-5,09:45,42.700,42.710,41.510,41.980,227738528.0,5411200
2024-1-5,09:50,41.980,42.060,41.280,41.780,201466800.0,4837700
