日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,46.350,46.430,45.950,46.010,115166792.0,2493100
2024-1-2,09:40,46.000,46.010,45.810,45.840,72067656.0,1570800
2024-1-2,09:45,45.840,45.870,45.580,45.620,107519504.0,2350800
2024-1-2,09:50,45.620,45.830,45.600,45.820,43374060.0,949200
2024-1-2,09:55,45.810,45.820,45.510,45.520,52453304.0,1148800
2024-1-2,10:00,45.510,45.660,45.410,45.540,47663960.0,1047600
2024-1-2,10:05,45.530,45.800,45.470,45.780,42354308.0,928400
2024-1-2,10:10,45.790,45.830,45.610,45.620,29614344.0,647800
2024-1-2,10:15,45.620,45.620,45.480,45.510,40985584.0,900500
2024-1-2,10:20,45.510,45.640,45.490,45.550,21169986.0,464900
2024-1-2,10:25,45.550,45.640,45.500,45.610,22630198.0,497000
2024-1-2,10:30,45.640,45.720,45.600,45.620,13070231.0,286300
2024-1-2,10:35,45.620,45.620,45.530,45.620,14501188.0,318200
2024-1-2,10:40,45.620,45.620,45.510,45.550,17357346.0,381000
2024-1-2,10:45,45.550,45.640,45.520,45.620,11630096.0,255200
2024-1-2,10:50,45.630,45.650,45.550,45.560,12420178.0,272400
2024-1-2,10:55,45.560,45.560,45.470,45.480,29609516.0,650800
2024-1-2,11:00,45.480,45.510,45.460,45.490,12379375.0,272200
2024-1-2,11:05,45.500,45.550,45.490,45.550,8510824.0,186900
2024-1-2,11:10,45.550,45.610,45.500,45.600,10643458.0,233700
2024-1-2,11:15,45.610,45.650,45.520,45.530,7858359.0,172500
2024-1-2,11:20,45.520,45.590,45.520,45.570,7134808.0,156600
2024-1-2,11:25,45.570,45.570,45.510,45.540,12085029.0,265400
2024-1-2,11:30,45.530,45.540,45.500,45.520,11152574.0,245000
2024-1-2,13:05,45.520,45.530,45.470,45.520,21704274.0,477000
2024-1-2,13:10,45.520,45.590,45.510,45.520,8488716.0,186400
2024-1-2,13:15,45.520,45.520,45.470,45.490,11467883.0,252100
2024-1-2,13:20,45.480,45.520,45.460,45.480,12403884.0,272700
2024-1-2,13:25,45.480,45.500,45.470,45.470,12935594.0,284400
2024-1-2,13:30,45.480,45.570,45.470,45.520,11156980.0,245100
2024-1-2,13:35,45.520,45.520,45.460,45.510,12709454.0,279400
2024-1-2,13:40,45.520,45.530,45.400,45.400,42541968.0,935900
2024-1-2,13:45,45.420,45.480,45.400,45.420,25618292.0,564000
2024-1-2,13:50,45.410,45.430,45.220,45.230,62742448.0,1384300
2024-1-2,13:55,45.240,45.370,45.200,45.300,28332224.0,625900
2024-1-2,14:00,45.340,45.360,45.290,45.320,15449514.0,340900
2024-1-2,14:05,45.310,45.310,45.130,45.150,31185400.0,689500
2024-1-2,14:10,45.140,45.230,45.130,45.230,34491116.0,763400
2024-1-2,14:15,45.230,45.290,45.230,45.260,15230615.0,336500
2024-1-2,14:20,45.270,45.270,45.160,45.160,16629599.0,367900
2024-1-2,14:25,45.160,45.180,45.110,45.120,30814588.0,682500
2024-1-2,14:30,45.120,45.150,45.060,45.110,38133628.0,845400
2024-1-2,14:35,45.110,45.200,45.110,45.180,37674752.0,834500
2024-1-2,14:40,45.170,45.190,45.130,45.140,19917136.0,441000
2024-1-2,14:45,45.130,45.150,45.100,45.110,23206302.0,514300
2024-1-2,14:50,45.120,45.130,45.060,45.080,47556804.0,1054600
2024-1-2,14:55,45.080,45.120,45.080,45.090,35776984.0,793400
2024-1-2,15:00,45.090,45.110,45.080,45.100,43176916.0,957500
2024-1-3,09:35,45.000,45.000,44.530,44.670,117972616.0,2639900
2024-1-3,09:40,44.690,44.840,44.680,44.810,53388320.0,1193000
2024-1-3,09:45,44.810,44.870,44.750,44.820,31583666.0,704700
2024-1-3,09:50,44.820,45.010,44.810,44.880,29277470.0,651600
2024-1-3,09:55,44.880,45.050,44.810,44.820,30361856.0,675900
2024-1-3,10:00,44.810,44.820,44.680,44.730,53088148.0,1186900
2024-1-3,10:05,44.730,44.830,44.680,44.750,27435952.0,612900
2024-1-3,10:10,44.740,44.750,44.600,44.610,54644232.0,1223700
2024-1-3,10:15,44.610,44.610,44.500,44.530,67378256.0,1512700
2024-1-3,10:20,44.530,44.540,44.430,44.530,79516752.0,1787400
2024-1-3,10:25,44.520,44.590,44.450,44.540,29150272.0,654700
2024-1-3,10:30,44.550,44.630,44.540,44.600,19549308.0,438500
2024-1-3,10:35,44.580,44.670,44.580,44.610,17928512.0,401800
2024-1-3,10:40,44.610,44.610,44.470,44.470,28861102.0,648400
2024-1-3,10:45,44.490,44.490,44.400,44.430,54435440.0,1225000
2024-1-3,10:50,44.430,44.440,44.280,44.340,68303400.0,1539800
2024-1-3,10:55,44.340,44.350,44.290,44.320,32470360.0,732800
2024-1-3,11:00,44.320,44.370,44.280,44.360,32495110.0,733400
2024-1-3,11:05,44.340,44.360,44.090,44.130,77998496.0,1764900
2024-1-3,11:10,44.130,44.150,43.620,43.670,151435184.0,3448000
2024-1-3,11:15,43.690,43.710,42.910,43.180,222649888.0,5143300
2024-1-3,11:20,43.230,43.270,43.020,43.170,117200736.0,2717600
2024-1-3,11:25,43.170,43.210,42.960,43.050,102492640.0,2379500
2024-1-3,11:30,43.050,43.050,42.920,42.960,83805376.0,1950500
