日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,38.270,38.270,37.250,37.250,15453856.0,410000
2024-1-2,09:40,37.260,37.450,37.120,37.440,16336282.0,438800
2024-1-2,09:45,37.450,37.650,37.340,37.470,6364314.0,169800
2024-1-2,09:50,37.460,37.500,37.080,37.100,11185978.0,300500
2024-1-2,09:55,37.090,37.090,36.800,36.930,19366132.0,524100
2024-1-2,10:00,36.930,37.230,36.930,37.210,9352966.0,252300
2024-1-2,10:05,37.210,37.270,37.050,37.250,7447483.0,200500
2024-1-2,10:10,37.270,37.460,37.270,37.410,6285224.5,168200
2024-1-2,10:15,37.430,37.490,37.310,37.450,5415035.0,144700
2024-1-2,10:20,37.460,37.600,37.400,37.520,5165411.0,137700
2024-1-2,10:25,37.470,37.540,37.410,37.490,2502315.0,66800
2024-1-2,10:30,37.500,37.540,37.410,37.410,2170958.0,57900
2024-1-2,10:35,37.440,37.440,37.360,37.400,1746657.0,46700
2024-1-2,10:40,37.400,37.480,37.290,37.330,4898059.0,131100
2024-1-2,10:45,37.340,37.410,37.290,37.360,2068380.0,55400
2024-1-2,10:50,37.390,37.410,37.310,37.360,665021.0,17800
2024-1-2,10:55,37.400,37.420,37.340,37.360,549503.0,14700
2024-1-2,11:00,37.380,37.400,37.300,37.360,1030400.0,27600
2024-1-2,11:05,37.360,37.360,37.190,37.260,2916947.0,78300
2024-1-2,11:10,37.320,37.320,37.260,37.320,991966.0,26600
2024-1-2,11:15,37.320,37.360,37.250,37.320,1499182.0,40200
2024-1-2,11:20,37.370,37.410,37.260,37.270,1417994.0,38000
2024-1-2,11:25,37.280,37.290,37.230,37.230,2003916.0,53800
2024-1-2,11:30,37.230,37.240,37.100,37.110,4078625.0,109800
2024-1-2,13:05,37.100,37.210,37.060,37.130,2661405.0,71700
2024-1-2,13:10,37.130,37.180,37.120,37.160,1753796.0,47200
2024-1-2,13:15,37.160,37.160,37.100,37.100,2931735.0,79000
2024-1-2,13:20,37.050,37.140,37.020,37.020,6155928.0,166000
2024-1-2,13:25,37.020,37.040,37.000,37.020,2849784.0,77000
2024-1-2,13:30,37.020,37.140,37.020,37.080,1709243.0,46100
2024-1-2,13:35,37.070,37.070,36.990,37.070,3210126.0,86700
2024-1-2,13:40,37.080,37.080,36.980,37.020,4248427.0,114800
2024-1-2,13:45,37.050,37.080,37.000,37.030,4373301.0,118100
2024-1-2,13:50,37.020,37.020,36.990,37.000,2679242.0,72400
2024-1-2,13:55,37.000,37.000,36.910,37.000,3512547.0,95000
2024-1-2,14:00,37.000,37.100,36.950,37.070,2127712.0,57500
2024-1-2,14:05,37.020,37.050,36.960,36.990,1738807.0,47000
2024-1-2,14:10,36.990,37.010,36.950,36.980,1848789.0,50000
2024-1-2,14:15,36.970,37.020,36.970,37.000,2567928.0,69400
2024-1-2,14:20,37.000,37.000,36.950,36.970,2026126.0,54800
2024-1-2,14:25,36.960,36.980,36.900,36.910,3209381.0,86900
2024-1-2,14:30,36.900,36.960,36.900,36.960,3788483.0,102600
2024-1-2,14:35,36.960,37.020,36.950,36.960,1752729.0,47400
2024-1-2,14:40,36.960,37.050,36.960,36.970,2733993.0,73900
2024-1-2,14:45,37.010,37.010,36.920,36.930,2257499.0,61100
2024-1-2,14:50,36.930,36.930,36.840,36.880,5990553.0,162400
2024-1-2,14:55,36.890,36.890,36.830,36.830,6151624.0,166900
2024-1-2,15:00,36.830,36.850,36.800,36.800,6851190.0,186100
2024-1-3,09:35,36.640,36.880,36.100,36.850,18664822.0,510900
2024-1-3,09:40,36.890,36.980,36.710,36.750,5932092.0,160800
2024-1-3,09:45,36.750,37.030,36.750,36.890,3194906.75,86600
2024-1-3,09:50,36.890,37.140,36.880,36.980,7916050.0,213600
2024-1-3,09:55,36.980,36.980,36.770,36.770,3496037.0,94800
2024-1-3,10:00,36.790,36.840,36.540,36.740,10148758.0,276800
2024-1-3,10:05,36.670,36.770,36.610,36.650,5102136.0,139200
2024-1-3,10:10,36.660,36.750,36.610,36.610,2185200.0,59600
2024-1-3,10:15,36.610,36.730,36.510,36.720,5353832.0,146400
2024-1-3,10:20,36.670,36.720,36.550,36.700,1885952.0,51500
2024-1-3,10:25,36.690,36.880,36.670,36.800,2855429.0,77700
2024-1-3,10:30,36.740,36.910,36.730,36.890,2181319.0,59200
2024-1-3,10:35,36.900,36.920,36.850,36.850,1243316.0,33700
2024-1-3,10:40,36.850,36.890,36.710,36.840,2102556.0,57100
2024-1-3,10:45,36.830,36.840,36.720,36.810,1979568.0,53800
2024-1-3,10:50,36.790,36.930,36.790,36.930,1408388.0,38200
2024-1-3,10:55,36.940,37.000,36.830,36.990,3579487.0,96900
2024-1-3,11:00,37.000,37.000,36.830,36.910,2089156.0,56600
2024-1-3,11:05,36.900,36.910,36.800,36.810,1824307.0,49500
2024-1-3,11:10,36.810,36.870,36.800,36.810,1123378.0,30500
2024-1-3,11:15,36.830,36.850,36.750,36.810,2126306.0,57800
2024-1-3,11:20,36.820,36.880,36.750,36.860,1266226.0,34400
2024-1-3,11:25,36.800,36.850,36.750,36.770,1409422.0,38300
2024-1-3,11:30,36.840,36.840,36.660,36.700,1869976.0,50900
2024-1-3,13:05,36.690,36.730,36.620,36.650,2371132.25,64700
2024-1-3,13:10,36.650,36.740,36.520,36.610,3374342.0,92200
2024-1-3,13:15,36.580,36.660,36.580,36.590,1244546.0,34000
2024-1-3,13:20,36.580,36.730,36.580,36.680,1684383.0,46000
2024-1-3,13:25,36.680,36.750,36.600,36.630,821251.0,22400
2024-1-3,13:30,36.640,36.710,36.610,36.690,2068958.0,56400
2024-1-3,13:35,36.690,36.710,36.650,36.700,1277101.0,34800
2024-1-3,13:40,36.690,36.860,36.680,36.780,3116651.75,84700
2024-1-3,13:45,36.760,36.790,36.630,36.720,2318615.0,63200
2024-1-3,13:50,36.710,36.750,36.640,36.750,1235521.375,33700
2024-1-3,13:55,36.750,36.780,36.650,36.650,1236482.0,33700
2024-1-3,14:00,36.670,36.770,36.650,36.740,407422.6875,11100
2024-1-3,14:05,36.730,36.800,36.680,36.800,1127469.0,30700
2024-1-3,14:10,36.800,36.830,36.730,36.760,1872204.25,50900
2024-1-3,14:15,36.790,36.860,36.740,36.770,2006469.0,54500
2024-1-3,14:20,36.770,36.930,36.750,36.930,3275165.0,88900
2024-1-3,14:25,36.920,37.020,36.830,37.000,3837199.0,103800
2024-1-3,14:30,37.040,37.160,37.000,37.080,5682067.0,153100
2024-1-3,14:35,37.080,37.140,37.010,37.090,4564071.0,123000
2024-1-3,14:40,37.090,37.110,37.000,37.040,3159247.0,85200
2024-1-3,14:45,37.070,37.120,37.040,37.120,3103779.0,83700
2024-1-3,14:50,37.120,37.160,37.080,37.140,5387183.0,145100
2024-1-3,14:55,37.140,37.170,37.130,37.160,4833476.0,130100
2024-1-3,15:00,37.150,37.190,37.150,37.160,5385370.0,144900
2024-1-4,09:35,37.000,37.250,36.850,37.100,6571958.5,177300
2024-1-4,09:40,37.090,37.220,37.010,37.140,5717735.0,153900
2024-1-4,09:45,37.160,37.400,36.990,37.310,9445874.0,254000
2024-1-4,09:50,37.300,37.730,37.300,37.570,14830740.0,395200
2024-1-4,09:55,37.590,37.640,37.330,37.470,8375790.5,223300
2024-1-4,10:00,37.440,37.450,37.290,37.390,4189803.5,112100
2024-1-4,10:05,37.390,37.400,37.260,37.270,5276947.0,141400
2024-1-4,10:10,37.250,37.330,37.220,37.310,3159920.5,84800
2024-1-4,10:15,37.320,37.320,37.210,37.290,3137981.5,84200
2024-1-4,10:20,37.300,37.390,37.280,37.320,2368962.0,63500
2024-1-4,10:25,37.320,37.370,37.250,37.280,2791143.0,74800
2024-1-4,10:30,37.260,37.380,37.260,37.380,2276651.0,61000
2024-1-4,10:35,37.380,37.440,37.300,37.320,2168581.0,58000
2024-1-4,10:40,37.320,37.370,37.320,37.320,1639447.0,43900
2024-1-4,10:45,37.280,37.440,37.280,37.370,2821150.0,75500
2024-1-4,10:50,37.330,37.660,37.330,37.660,7602837.0,202600
2024-1-4,10:55,37.600,37.600,37.410,37.440,3934563.0,104700
2024-1-4,11:00,37.440,37.480,37.430,37.450,824051.0,22000
2024-1-4,11:05,37.460,37.480,37.430,37.450,977408.0,26100
2024-1-4,11:10,37.440,37.450,37.370,37.380,774340.0,20700
2024-1-4,11:15,37.380,37.430,37.370,37.420,815260.0,21800
2024-1-4,11:20,37.410,37.480,37.390,37.480,1389108.0,37100
2024-1-4,11:25,37.450,37.480,37.370,37.400,908003.9375,24200
2024-1-4,11:30,37.460,37.460,37.380,37.440,1414401.375,37800
2024-1-4,13:05,37.440,37.470,37.380,37.430,1153098.75,30800
2024-1-4,13:10,37.440,37.470,37.410,37.460,666521.0,17800
2024-1-4,13:15,37.460,37.530,37.410,37.480,1161726.0,31000
2024-1-4,13:20,37.470,37.520,37.420,37.510,1094545.5,29200
2024-1-4,13:25,37.510,37.590,37.450,37.470,2943648.0,78400
2024-1-4,13:30,37.500,37.550,37.470,37.550,1058479.0,28200
2024-1-4,13:35,37.540,37.550,37.510,37.540,2852343.0,76000
2024-1-4,13:40,37.540,37.560,37.470,37.540,1406413.0,37500
2024-1-4,13:45,37.510,37.540,37.450,37.520,1729483.0,46100
2024-1-4,13:50,37.510,37.520,37.460,37.460,1331599.0,35500
2024-1-4,13:55,37.450,37.510,37.440,37.500,1383047.0,36900
2024-1-4,14:00,37.500,37.500,37.450,37.450,1326769.0,35400
2024-1-4,14:05,37.440,37.480,37.250,37.250,5167788.0,138500
2024-1-4,14:10,37.250,37.490,37.230,37.480,3840485.5,102700
2024-1-4,14:15,37.520,37.600,37.460,37.500,5151875.0,137200
2024-1-4,14:20,37.500,37.550,37.470,37.530,1947655.0,51900
2024-1-4,14:25,37.540,37.650,37.540,37.560,3626105.0,96500
2024-1-4,14:30,37.560,37.610,37.540,37.570,1446896.0,38500
2024-1-4,14:35,37.540,37.580,37.480,37.550,1839172.375,49000
2024-1-4,14:40,37.580,37.640,37.550,37.570,4139537.0,110100
2024-1-4,14:45,37.600,37.610,37.560,37.600,2288868.0,60900
2024-1-4,14:50,37.560,37.600,37.520,37.550,3462729.0,92200
2024-1-4,14:55,37.530,37.540,37.480,37.480,3610933.25,96300
2024-1-4,15:00,37.490,37.490,37.410,37.410,4509591.5,120400
2024-1-5,09:35,37.410,37.700,37.220,37.660,8274769.0,220800
2024-1-5,09:40,37.660,38.130,37.660,38.050,18794538.0,495000
2024-1-5,09:45,38.040,38.690,37.940,38.630,29949682.0,783500
2024-1-5,09:50,38.640,38.800,38.250,38.580,23005736.0,596500
2024-1-5,09:55,38.570,38.720,38.200,38.200,12727153.0,330900
2024-1-5,10:00,38.180,38.180,37.950,37.950,9611245.0,252800
2024-1-5,10:05,37.900,38.020,37.830,37.880,4008899.0,105800
2024-1-5,10:10,37.870,37.900,37.730,37.760,4901217.5,129600
2024-1-5,10:15,37.740,37.840,37.650,37.690,4733930.5,125500
2024-1-5,10:20,37.710,37.720,37.520,37.680,3881247.0,103200
2024-1-5,10:25,37.680,37.850,37.610,37.840,4285236.0,113600
2024-1-5,10:30,37.850,38.000,37.800,37.970,3670910.0,96800
2024-1-5,10:35,37.960,37.960,37.710,37.720,1445190.0,38200
2024-1-5,10:40,37.710,37.750,37.620,37.680,1323466.0,35100
2024-1-5,10:45,37.690,37.780,37.660,37.680,1214649.0,32200
2024-1-5,10:50,37.680,37.780,37.660,37.730,693865.0,18400
2024-1-5,10:55,37.730,37.790,37.700,37.720,1460166.0,38700
2024-1-5,11:00,37.720,37.720,37.490,37.500,2968045.0,79000
2024-1-5,11:05,37.500,37.600,37.490,37.600,2101564.0,56000
2024-1-5,11:10,37.580,37.590,37.400,37.410,3289851.0,87800
2024-1-5,11:15,37.440,37.450,37.390,37.420,1485265.0,39700
2024-1-5,11:20,37.420,37.450,37.410,37.430,909629.0,24300
2024-1-5,11:25,37.410,37.450,37.400,37.450,1391955.0,37200
2024-1-5,11:30,37.450,37.450,37.400,37.400,1141160.0,30500
