日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,24.690,25.000,24.690,25.000,20894168.0,841600
2024-4-1,09:40,24.980,25.130,24.920,25.030,19929568.0,795900
2024-4-1,09:45,25.000,25.060,24.970,25.000,11202462.0,447900
2024-4-1,09:50,24.990,25.040,24.840,24.840,10033391.0,401900
2024-4-1,09:55,24.850,24.950,24.830,24.950,7365834.0,295900
2024-4-1,10:00,24.940,24.940,24.830,24.880,6487079.0,260800
2024-4-1,10:05,24.880,24.950,24.860,24.880,5333169.0,214200
2024-4-1,10:10,24.890,24.910,24.860,24.870,4391747.0,176500
2024-4-1,10:15,24.860,24.950,24.860,24.950,3581122.0,143800
2024-4-1,10:20,24.950,24.950,24.900,24.910,2801153.0,112400
2024-4-1,10:25,24.920,24.990,24.900,24.990,4980284.0,199600
2024-4-1,10:30,24.970,25.060,24.950,25.040,4353829.0,174100
2024-4-1,10:35,25.050,25.070,25.010,25.060,5111174.0,204200
2024-4-1,10:40,25.070,25.080,25.020,25.020,4926491.0,196600
2024-4-1,10:45,25.020,25.180,25.020,25.100,10431952.0,415300
2024-4-1,10:50,25.100,25.150,25.030,25.080,3915650.5,156100
2024-4-1,10:55,25.080,25.350,25.080,25.330,15120901.0,599200
2024-4-1,11:00,25.340,25.360,25.200,25.230,6803065.0,269000
2024-4-1,11:05,25.230,25.490,25.230,25.370,15083828.0,594000
2024-4-1,11:10,25.370,25.370,25.320,25.350,3475105.0,137100
2024-4-1,11:15,25.340,25.340,25.250,25.340,4793279.0,189400
2024-4-1,11:20,25.330,25.700,25.280,25.660,23551556.0,922300
2024-4-1,11:25,25.670,25.780,25.600,25.630,14380846.0,559700
2024-4-1,11:30,25.620,25.680,25.610,25.610,6073301.5,236800
2024-4-1,13:05,25.610,25.610,25.350,25.350,5898961.0,231400
2024-4-1,13:10,25.350,25.420,25.330,25.390,5870627.0,231400
2024-4-1,13:15,25.390,25.450,25.380,25.390,2350096.0,92500
2024-4-1,13:20,25.390,25.410,25.300,25.300,5387171.0,212500
2024-4-1,13:25,25.300,25.340,25.270,25.320,4113630.0,162600
2024-4-1,13:30,25.320,25.350,25.310,25.330,3087511.0,121900
2024-4-1,13:35,25.330,25.330,25.230,25.280,5266384.0,208400
