日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,21.520,21.570,21.280,21.390,6152906.0,287500
2024-4-1,09:40,21.390,21.550,21.270,21.470,5564886.0,259700
2024-4-1,09:45,21.470,21.590,21.400,21.470,5370622.0,250000
2024-4-1,09:50,21.430,21.620,21.430,21.450,6006648.0,278800
2024-4-1,09:55,21.450,21.640,21.450,21.640,4197906.0,194700
2024-4-1,10:00,21.640,21.750,21.630,21.710,5831020.0,268900
2024-4-1,10:05,21.700,21.780,21.620,21.650,4159937.0,191800
2024-4-1,10:10,21.660,21.680,21.630,21.650,1764444.0,81500
2024-4-1,10:15,21.650,21.670,21.620,21.630,1651422.0,76300
2024-4-1,10:20,21.630,21.770,21.620,21.750,3273285.0,150800
2024-4-1,10:25,21.750,21.810,21.720,21.740,3482202.75,159900
2024-4-1,10:30,21.740,21.770,21.690,21.730,3020463.0,138900
2024-4-1,10:35,21.730,21.760,21.680,21.760,1860649.75,85700
2024-4-1,10:40,21.760,21.760,21.660,21.680,2158863.0,99500
2024-4-1,10:45,21.680,21.710,21.630,21.650,969254.0,44700
2024-4-1,10:50,21.620,21.770,21.620,21.750,2942541.25,135600
2024-4-1,10:55,21.750,21.770,21.740,21.750,1879282.0,86400
2024-4-1,11:00,21.750,21.750,21.700,21.700,580061.0,26700
2024-4-1,11:05,21.710,21.750,21.680,21.690,864263.0,39800
2024-4-1,11:10,21.690,21.770,21.690,21.720,1401831.0,64500
2024-4-1,11:15,21.710,21.710,21.680,21.690,555469.0,25600
2024-4-1,11:20,21.680,21.710,21.640,21.700,1651764.0,76200
2024-4-1,11:25,21.700,21.770,21.700,21.740,1010519.0,46500
2024-4-1,11:30,21.740,21.840,21.740,21.810,3564231.0,163500
2024-4-1,13:05,21.810,21.870,21.790,21.820,4262325.0,195300
2024-4-1,13:10,21.830,21.850,21.750,21.750,1845761.0,84700
2024-4-1,13:15,21.750,21.760,21.710,21.740,2183051.0,100400
2024-4-1,13:20,21.740,21.770,21.690,21.710,2407030.0,110800
2024-4-1,13:25,21.690,21.740,21.690,21.730,1567249.0,72200
2024-4-1,13:30,21.740,21.750,21.710,21.710,1069273.0,49200
2024-4-1,13:35,21.710,21.720,21.670,21.710,1922161.0,88600
2024-4-1,13:40,21.730,21.730,21.710,21.710,1207658.0,55600
2024-4-1,13:45,21.720,21.720,21.670,21.700,1753085.0,80800
2024-4-1,13:50,21.700,21.710,21.690,21.710,536088.0,24700
2024-4-1,13:55,21.700,21.710,21.690,21.700,572776.0,26400
2024-4-1,14:00,21.710,21.730,21.710,21.710,638467.0,29400
2024-4-1,14:05,21.720,21.720,21.690,21.720,818276.0,37700
2024-4-1,14:10,21.720,21.720,21.700,21.700,551355.0,25400
2024-4-1,14:15,21.710,21.730,21.690,21.700,953167.0,43900
2024-4-1,14:20,21.700,21.720,21.690,21.710,781433.0,36000
2024-4-1,14:25,21.720,21.750,21.710,21.750,2314810.0,106500
2024-4-1,14:30,21.760,21.760,21.710,21.710,784363.0,36100
2024-4-1,14:35,21.710,21.800,21.710,21.800,1616335.0,74300
2024-4-1,14:40,21.800,21.840,21.770,21.810,1956194.0,89700
2024-4-1,14:45,21.810,21.820,21.780,21.820,1803248.0,82700
2024-4-1,14:50,21.820,21.860,21.820,21.830,3317176.0,151900
2024-4-1,14:55,21.810,21.840,21.800,21.840,5098631.0,233700
2024-4-1,15:00,21.830,21.840,21.800,21.830,2504941.0,114800
2024-4-2,09:35,21.880,21.880,21.640,21.690,3700092.0,170300
2024-4-2,09:40,21.690,21.710,21.600,21.630,4802630.0,221800
2024-4-2,09:45,21.610,21.660,21.580,21.650,4312832.0,199500
2024-4-2,09:50,21.650,21.720,21.620,21.650,2073944.0,95700
2024-4-2,09:55,21.640,21.670,21.510,21.550,4843705.0,224300
2024-4-2,10:00,21.570,21.610,21.510,21.540,6192687.0,287400
2024-4-2,10:05,21.560,21.570,21.500,21.550,3410479.0,158400
2024-4-2,10:10,21.550,21.600,21.500,21.500,2821212.0,131000
2024-4-2,10:15,21.530,21.530,21.400,21.490,2982762.0,139100
2024-4-2,10:20,21.490,21.500,21.420,21.450,1541434.0,71800
2024-4-2,10:25,21.430,21.480,21.400,21.450,2230868.0,104100
2024-4-2,10:30,21.450,21.450,21.370,21.370,3432365.0,160300
2024-4-2,10:35,21.360,21.400,21.310,21.380,4293108.0,201100
2024-4-2,10:40,21.390,21.400,21.310,21.340,2379901.0,111500
2024-4-2,10:45,21.330,21.380,21.310,21.340,1580712.0,74100
2024-4-2,10:50,21.360,21.420,21.310,21.400,1585599.0,74300
2024-4-2,10:55,21.400,21.440,21.370,21.400,826260.0,38600
2024-4-2,11:00,21.370,21.430,21.370,21.410,665646.0,31100
2024-4-2,11:05,21.410,21.410,21.360,21.360,949514.0,44400
2024-4-2,11:10,21.360,21.380,21.250,21.310,5335392.0,250300
2024-4-2,11:15,21.270,21.350,21.270,21.350,1512337.0,71000
2024-4-2,11:20,21.350,21.370,21.300,21.350,1897298.0,88900
2024-4-2,11:25,21.340,21.410,21.340,21.390,1794108.0,83900
2024-4-2,11:30,21.390,21.410,21.360,21.400,1167382.0,54600
