日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,33.180,33.340,32.780,33.290,4825415.0,145900
2024-7-1,09:40,33.290,33.300,32.930,33.160,4296994.0,129700
2024-7-1,09:45,33.070,33.180,32.700,32.800,7394297.0,224900
2024-7-1,09:50,32.810,33.000,32.810,32.830,6852718.0,208400
2024-7-1,09:55,32.940,33.090,32.810,32.830,4222366.0,128200
2024-7-1,10:00,32.840,32.910,32.740,32.760,4145632.0,126300
2024-7-1,10:05,32.750,32.750,32.000,32.280,14281185.0,440600
2024-7-1,10:10,32.290,32.290,32.160,32.250,8762050.0,272000
2024-7-1,10:15,32.260,32.270,32.030,32.200,11045988.0,343900
2024-7-1,10:20,32.190,32.510,32.140,32.160,3447595.0,106500
2024-7-1,10:25,32.230,32.390,32.220,32.340,2200726.0,68100
2024-7-1,10:30,32.350,32.510,32.310,32.510,2123962.0,65500
2024-7-1,10:35,32.490,32.490,32.290,32.350,1654266.0,51000
2024-7-1,10:40,32.330,32.360,32.290,32.330,2029244.0,62800
2024-7-1,10:45,32.320,32.440,32.280,32.300,3778734.0,116800
2024-7-1,10:50,32.310,32.440,32.260,32.440,1377004.0,42600
2024-7-1,10:55,32.420,32.460,32.300,32.350,1922551.0,59400
2024-7-1,11:00,32.340,32.450,32.300,32.410,1072470.0,33100
2024-7-1,11:05,32.340,32.380,32.330,32.350,2046665.0,63300
2024-7-1,11:10,32.350,32.360,32.300,32.340,3433857.0,106200
2024-7-1,11:15,32.350,32.420,32.350,32.370,720848.0,22300
2024-7-1,11:20,32.360,32.590,32.360,32.590,3817126.0,117500
2024-7-1,11:25,32.510,32.550,32.390,32.490,1330900.0,40900
2024-7-1,11:30,32.500,32.530,32.480,32.500,425463.0,13100
2024-7-1,13:05,32.510,32.680,32.420,32.680,2832380.0,87000
2024-7-1,13:10,32.670,32.690,32.520,32.570,2121498.0,65000
2024-7-1,13:15,32.520,32.590,32.510,32.550,596752.0,18300
2024-7-1,13:20,32.570,33.080,32.550,33.080,5419987.0,165100
2024-7-1,13:25,33.070,33.160,32.990,33.120,3882641.0,117400
2024-7-1,13:30,33.060,33.150,32.930,33.050,1014283.0,30700
2024-7-1,13:35,33.100,33.160,32.970,33.010,1376781.0,41600
2024-7-1,13:40,32.970,32.980,32.790,32.860,1291901.0,39300
2024-7-1,13:45,32.890,33.090,32.790,33.090,2184653.0,66300
2024-7-1,13:50,33.080,33.200,33.060,33.060,5413834.0,163300
2024-7-1,13:55,33.060,33.070,32.960,33.030,1037118.0,31400
2024-7-1,14:00,33.030,33.080,32.990,33.080,812688.0,24600
2024-7-1,14:05,33.080,33.300,33.050,33.190,6046151.0,182000
2024-7-1,14:10,33.130,33.300,33.130,33.230,2976198.0,89500
2024-7-1,14:15,33.230,33.250,33.130,33.140,1076159.0,32400
2024-7-1,14:20,33.170,33.170,32.910,32.940,1349552.0,40900
2024-7-1,14:25,32.980,33.020,32.940,33.020,1597135.0,48400
2024-7-1,14:30,33.020,33.020,32.930,33.000,2069151.0,62700
2024-7-1,14:35,33.000,33.020,32.920,32.920,1154102.0,35100
2024-7-1,14:40,32.920,32.960,32.900,32.920,1151774.0,35000
2024-7-1,14:45,32.920,32.970,32.880,32.940,1012826.0,30700
2024-7-1,14:50,32.930,32.940,32.860,32.930,1425638.0,43300
2024-7-1,14:55,32.910,32.980,32.900,32.940,1534235.0,46600
2024-7-1,15:00,32.940,32.960,32.910,32.960,1056481.0,32100
2024-7-2,09:35,32.800,32.960,32.570,32.670,3256217.0,99600
2024-7-2,09:40,32.740,32.800,32.510,32.720,3733131.0,114300
2024-7-2,09:45,32.760,32.900,32.600,32.740,1334821.0,40800
2024-7-2,09:50,32.740,32.910,32.690,32.720,1422592.0,43400
2024-7-2,09:55,32.730,32.830,32.610,32.830,2724135.0,83400
2024-7-2,10:00,32.760,32.780,32.530,32.710,2486492.0,76200
2024-7-2,10:05,32.690,32.690,32.300,32.400,4229226.0,130300
2024-7-2,10:10,32.400,32.490,32.340,32.440,4335649.0,133900
2024-7-2,10:15,32.420,32.540,32.310,32.500,2793277.0,86100
2024-7-2,10:20,32.500,32.580,32.360,32.450,1437972.0,44300
2024-7-2,10:25,32.540,32.620,32.460,32.520,1829961.0,56300
2024-7-2,10:30,32.520,32.560,32.410,32.540,1065159.0,32700
2024-7-2,10:35,32.500,32.560,32.420,32.420,1221291.0,37600
2024-7-2,10:40,32.450,32.590,32.410,32.460,926863.0,28600
2024-7-2,10:45,32.400,32.500,32.400,32.450,2144416.0,66100
2024-7-2,10:50,32.410,32.450,32.250,32.260,4603934.0,142300
