日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,250.250,251.850,249.500,250.980,145136240.0,579200
2024-7-1,09:40,250.990,250.990,248.700,248.850,101827712.0,407200
2024-7-1,09:45,248.660,248.660,247.500,247.870,169438672.0,683100
2024-7-1,09:50,247.860,247.860,244.370,245.500,301740352.0,1226500
2024-7-1,09:55,245.540,246.650,245.210,246.190,130780288.0,532100
2024-7-1,10:00,246.180,246.180,244.800,245.800,139095472.0,567000
2024-7-1,10:05,245.750,245.800,244.400,245.040,151927776.0,620300
2024-7-1,10:10,245.000,245.860,244.970,245.860,72858728.0,297200
2024-7-1,10:15,245.840,246.080,245.500,245.850,54019836.0,219700
2024-7-1,10:20,245.870,246.730,245.870,246.350,53004416.0,215300
2024-7-1,10:25,246.250,246.360,244.910,244.990,47826184.0,194900
2024-7-1,10:30,244.930,244.990,244.600,244.600,45292244.0,185000
2024-7-1,10:35,244.610,244.900,244.500,244.650,51973008.0,212500
2024-7-1,10:40,244.770,244.770,243.050,243.570,157544576.0,645700
2024-7-1,10:45,243.570,244.380,243.400,244.180,63929648.0,262300
2024-7-1,10:50,244.180,244.190,242.920,243.780,104398392.0,429100
2024-7-1,10:55,243.790,244.310,243.760,243.760,31035208.0,127200
2024-7-1,11:00,243.680,243.990,242.600,242.610,94544432.0,388800
2024-7-1,11:05,242.700,243.510,242.640,243.510,59894840.0,246500
2024-7-1,11:10,243.570,243.570,242.940,243.280,31566528.0,129800
2024-7-1,11:15,243.250,243.420,243.000,243.000,42655164.0,175400
2024-7-1,11:20,243.000,243.420,242.800,243.090,48623524.0,200100
2024-7-1,11:25,243.090,243.420,242.880,242.880,31273428.0,128600
2024-7-1,11:30,242.810,243.100,242.500,242.990,56942344.0,234600
2024-7-1,13:05,242.990,244.460,242.990,244.460,54113668.0,222300
2024-7-1,13:10,244.470,245.320,244.470,245.100,49868372.0,203400
2024-7-1,13:15,245.080,245.910,244.960,245.810,47512864.0,193500
2024-7-1,13:20,245.810,247.240,245.700,247.040,102295664.0,414900
2024-7-1,13:25,247.040,247.300,246.360,246.580,42258848.0,171100
2024-7-1,13:30,246.600,247.270,246.420,247.200,34284508.0,138800
2024-7-1,13:35,247.200,248.200,247.200,247.950,76319072.0,307900
2024-7-1,13:40,247.960,247.960,247.000,247.000,31482296.0,127200
2024-7-1,13:45,247.000,247.400,246.490,246.810,25833780.0,104700
2024-7-1,13:50,246.810,247.290,246.650,247.290,21950758.0,88900
2024-7-1,13:55,247.350,247.480,247.090,247.090,25330448.0,102400
2024-7-1,14:00,247.090,247.310,246.850,247.230,18985602.0,76900
2024-7-1,14:05,247.130,248.310,247.080,248.310,50725212.0,204600
2024-7-1,14:10,248.300,248.500,248.250,248.500,44101488.0,177600
2024-7-1,14:15,248.500,248.510,247.800,247.850,37483212.0,151000
2024-7-1,14:20,247.960,248.020,247.590,247.750,32730424.0,132000
2024-7-1,14:25,248.010,248.010,246.430,246.480,38552236.0,156000
2024-7-1,14:30,246.450,247.270,246.450,247.250,19504432.0,79000
2024-7-1,14:35,247.240,247.600,247.240,247.240,22309008.0,90100
2024-7-1,14:40,247.220,247.220,246.880,247.000,21712010.0,87900
2024-7-1,14:45,247.000,247.150,246.880,247.110,26376836.0,106800
2024-7-1,14:50,247.110,247.260,246.980,247.160,59352192.0,240200
2024-7-1,14:55,247.160,247.240,247.130,247.180,50879312.0,205800
2024-7-1,15:00,247.180,247.190,246.800,246.800,58336564.0,236200
2024-7-2,09:35,246.870,246.870,243.600,245.300,308566016.0,1258600
2024-7-2,09:40,245.300,247.000,245.300,247.000,101362352.0,411900
2024-7-2,09:45,247.020,247.640,246.170,247.100,78438920.0,317400
2024-7-2,09:50,247.100,247.610,246.890,247.170,70559760.0,285400
