日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,18.020,18.200,17.900,17.990,112478208.0,6245100
2024-7-1,09:40,17.980,18.230,17.980,18.190,50429784.0,2783100
2024-7-1,09:45,18.170,18.180,17.860,17.880,43793992.0,2437900
2024-7-1,09:50,17.870,17.870,17.800,17.810,40250176.0,2257100
2024-7-1,09:55,17.800,17.950,17.790,17.860,32225072.0,1804900
2024-7-1,10:00,17.860,17.930,17.850,17.920,19922232.0,1113600
2024-7-1,10:05,17.910,17.980,17.870,17.940,18729870.0,1045700
2024-7-1,10:10,17.940,18.000,17.940,17.950,13595919.0,756600
2024-7-1,10:15,17.950,17.960,17.880,17.900,17132744.0,956600
2024-7-1,10:20,17.900,17.950,17.830,17.890,24542544.0,1372600
2024-7-1,10:25,17.890,17.920,17.880,17.910,12712436.0,710200
2024-7-1,10:30,17.920,18.050,17.900,18.050,18092496.0,1005900
2024-7-1,10:35,18.050,18.070,17.870,17.930,20604076.0,1147300
2024-7-1,10:40,17.930,17.960,17.880,17.960,13974641.0,780200
2024-7-1,10:45,17.970,18.000,17.910,17.960,12396657.0,690900
2024-7-1,10:50,17.960,17.990,17.890,17.950,9102428.0,508200
2024-7-1,10:55,17.960,17.960,17.920,17.940,7297623.0,407000
2024-7-1,11:00,17.930,17.940,17.900,17.940,8930839.0,498500
2024-7-1,11:05,17.920,17.940,17.900,17.930,10299160.0,575000
2024-7-1,11:10,17.920,17.950,17.870,17.870,14619219.0,816300
2024-7-1,11:15,17.860,17.860,17.710,17.750,44759928.0,2517500
2024-7-1,11:20,17.750,17.830,17.700,17.830,19907686.0,1121900
2024-7-1,11:25,17.830,17.850,17.790,17.830,11034581.0,619700
2024-7-1,11:30,17.850,17.890,17.820,17.880,7503566.0,420500
2024-7-1,13:05,17.880,18.010,17.850,17.990,18627236.0,1038100
2024-7-1,13:10,18.000,18.000,17.930,17.960,11343766.0,631500
2024-7-1,13:15,17.950,17.990,17.910,17.960,6284722.0,350200
2024-7-1,13:20,17.970,18.140,17.960,18.090,18469256.0,1022600
2024-7-1,13:25,18.090,18.110,18.030,18.100,12970417.0,717400
2024-7-1,13:30,18.100,18.110,18.010,18.040,10067098.0,557300
2024-7-1,13:35,18.030,18.100,18.010,18.020,11815637.0,654100
2024-7-1,13:40,18.020,18.030,17.990,18.000,5733339.0,318500
2024-7-1,13:45,17.990,18.040,17.990,18.040,7940813.0,440600
2024-7-1,13:50,18.040,18.050,17.990,18.050,7271645.0,403600
2024-7-1,13:55,18.040,18.130,18.040,18.130,9574753.0,529300
2024-7-1,14:00,18.120,18.130,18.070,18.090,7044843.0,389200
2024-7-1,14:05,18.090,18.110,18.070,18.080,8820358.0,487500
2024-7-1,14:10,18.080,18.100,18.060,18.100,11176330.0,618200
2024-7-1,14:15,18.090,18.100,18.050,18.090,13232392.0,731900
2024-7-1,14:20,18.090,18.100,18.060,18.070,9266698.0,512500
2024-7-1,14:25,18.060,18.090,18.060,18.080,8280013.0,458200
2024-7-1,14:30,18.080,18.090,18.070,18.070,6445130.0,356600
2024-7-1,14:35,18.080,18.100,18.070,18.090,9142159.0,505600
2024-7-1,14:40,18.090,18.100,18.070,18.070,10436956.0,577100
2024-7-1,14:45,18.070,18.090,18.060,18.080,11033317.0,610300
2024-7-1,14:50,18.080,18.090,18.060,18.090,11166032.0,617700
2024-7-1,14:55,18.080,18.160,18.080,18.160,21698980.0,1197400
2024-7-1,15:00,18.170,18.170,18.150,18.160,22761224.0,1253400
2024-7-2,09:35,18.200,18.370,18.080,18.240,102032968.0,5602300
2024-7-2,09:40,18.210,18.250,17.950,18.030,45204728.0,2497400
2024-7-2,09:45,18.030,18.030,17.810,17.850,53853840.0,3007600
2024-7-2,09:50,17.860,17.880,17.690,17.710,72480048.0,4077800
2024-7-2,09:55,17.720,17.890,17.710,17.840,25164432.0,1413800
2024-7-2,10:00,17.840,17.840,17.710,17.730,21844212.0,1229400
2024-7-2,10:05,17.730,17.730,17.630,17.720,48583680.0,2746400
2024-7-2,10:10,17.720,17.870,17.710,17.810,23375354.0,1314500
2024-7-2,10:15,17.830,17.840,17.760,17.780,15966408.0,897200
2024-7-2,10:20,17.790,17.840,17.770,17.830,12950708.0,727500
2024-7-2,10:25,17.840,17.930,17.810,17.900,26562476.0,1487100
2024-7-2,10:30,17.890,17.980,17.860,17.970,20151752.0,1124600
2024-7-2,10:35,17.980,18.000,17.820,17.820,15371112.0,857800
2024-7-2,10:40,17.850,17.890,17.810,17.880,11113383.0,622800
2024-7-2,10:45,17.900,17.900,17.800,17.800,10793169.0,604800
2024-7-2,10:50,17.800,17.900,17.780,17.850,11339566.0,635800
2024-7-2,10:55,17.870,17.890,17.790,17.800,8945444.0,501700
2024-7-2,11:00,17.800,17.810,17.780,17.790,7483357.0,420600
2024-7-2,11:05,17.790,17.800,17.740,17.750,14155657.0,796900
2024-7-2,11:10,17.760,17.800,17.730,17.790,15620753.0,879500
2024-7-2,11:15,17.780,17.800,17.720,17.730,16593654.0,934600
2024-7-2,11:20,17.750,17.770,17.710,17.740,12113777.0,683200
2024-7-2,11:25,17.740,17.780,17.720,17.750,8775689.0,494700
2024-7-2,11:30,17.750,17.790,17.740,17.770,5594106.0,314900
2024-7-2,13:05,17.760,17.800,17.740,17.790,10692450.0,601800
2024-7-2,13:10,17.790,17.860,17.780,17.840,6996700.0,392400
2024-7-2,13:15,17.840,17.850,17.820,17.820,4430494.0,248400
2024-7-2,13:20,17.820,17.830,17.780,17.780,4778267.0,268400
2024-7-2,13:25,17.780,17.850,17.780,17.810,8626916.0,484600
2024-7-2,13:30,17.810,17.810,17.730,17.740,10414621.0,586100
2024-7-2,13:35,17.750,17.750,17.700,17.700,13759926.0,776800
2024-7-2,13:40,17.700,17.740,17.690,17.710,10467584.0,590900
2024-7-2,13:45,17.710,17.760,17.710,17.730,10168740.0,573400
2024-7-2,13:50,17.730,17.760,17.730,17.730,6948827.0,391600
2024-7-2,13:55,17.740,17.740,17.710,17.730,8648266.0,488000
2024-7-2,14:00,17.730,17.740,17.690,17.720,10203439.0,576200
2024-7-2,14:05,17.720,17.840,17.720,17.800,12018273.0,675100
2024-7-2,14:10,17.790,17.830,17.760,17.780,8608347.0,483800
2024-7-2,14:15,17.780,17.810,17.760,17.800,6448731.0,362700
2024-7-2,14:20,17.800,17.800,17.730,17.760,7130516.0,401400
2024-7-2,14:25,17.770,17.820,17.760,17.820,11275961.0,633800
2024-7-2,14:30,17.820,17.820,17.710,17.730,10212992.0,575200
2024-7-2,14:35,17.720,17.740,17.650,17.670,27178262.0,1537000
2024-7-2,14:40,17.660,17.700,17.660,17.660,20240944.0,1145500
2024-7-2,14:45,17.650,17.700,17.650,17.680,15542730.0,879400
2024-7-2,14:50,17.690,17.710,17.670,17.700,17561288.0,992600
2024-7-2,14:55,17.710,17.720,17.690,17.720,12856201.0,725900
2024-7-2,15:00,17.710,17.720,17.680,17.690,27246892.0,1539800
2024-7-3,09:35,17.700,18.050,17.690,17.860,74199664.0,4144600
2024-7-3,09:40,17.860,17.960,17.760,17.850,43430984.0,2434400
2024-7-3,09:45,17.830,17.830,17.710,17.710,35476648.0,1996200
2024-7-3,09:50,17.730,17.770,17.660,17.740,28421198.0,1604800
2024-7-3,09:55,17.720,17.870,17.710,17.830,31459822.0,1768200
2024-7-3,10:00,17.840,17.870,17.770,17.770,23142996.0,1298800
2024-7-3,10:05,17.770,17.820,17.750,17.770,13022776.0,732300
2024-7-3,10:10,17.790,17.870,17.770,17.870,18389130.0,1031500
2024-7-3,10:15,17.860,17.880,17.790,17.840,9618174.0,539400
2024-7-3,10:20,17.850,17.850,17.770,17.770,12007298.0,674100
2024-7-3,10:25,17.780,17.780,17.690,17.710,12415026.0,700800
2024-7-3,10:30,17.710,17.790,17.710,17.780,7668840.0,432000
2024-7-3,10:35,17.780,17.890,17.770,17.820,15270242.0,855900
2024-7-3,10:40,17.830,17.830,17.740,17.770,4523270.0,254400
2024-7-3,10:45,17.770,17.790,17.690,17.690,9514916.0,536500
2024-7-3,10:50,17.690,17.730,17.690,17.700,10797625.0,609600
2024-7-3,10:55,17.700,17.710,17.630,17.660,18712732.0,1059200
2024-7-3,11:00,17.660,17.770,17.660,17.740,5112567.5,288900
2024-7-3,11:05,17.730,17.750,17.720,17.750,3955086.0,223000
2024-7-3,11:10,17.750,17.820,17.730,17.780,9546154.0,537000
2024-7-3,11:15,17.780,17.820,17.710,17.710,5734122.0,322600
2024-7-3,11:20,17.710,17.770,17.710,17.760,8036047.0,453000
2024-7-3,11:25,17.770,17.800,17.740,17.750,4378717.0,246300
2024-7-3,11:30,17.750,17.800,17.750,17.800,4402100.0,247500
2024-7-3,13:05,17.810,17.810,17.660,17.680,12372932.0,698500
2024-7-3,13:10,17.680,17.760,17.670,17.740,4910434.0,277200
2024-7-3,13:15,17.770,17.820,17.730,17.820,14529260.0,817100
2024-7-3,13:20,17.810,17.880,17.780,17.880,16608506.0,931300
2024-7-3,13:25,17.890,17.960,17.870,17.890,25724924.0,1435700
2024-7-3,13:30,17.890,17.900,17.860,17.890,8266553.0,462400
2024-7-3,13:35,17.880,17.940,17.860,17.920,17572352.0,981200
2024-7-3,13:40,17.920,17.940,17.890,17.930,16708490.0,932800
2024-7-3,13:45,17.910,18.000,17.910,17.950,31494776.0,1753200
2024-7-3,13:50,17.950,17.950,17.900,17.920,8812717.0,491700
2024-7-3,13:55,17.900,17.930,17.850,17.850,7733002.0,432000
2024-7-3,14:00,17.850,17.910,17.830,17.870,6392070.0,357700
2024-7-3,14:05,17.880,17.900,17.850,17.890,5936482.0,332300
