日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,24.300,24.980,24.300,24.620,783138688.0,31835700
2024-9-30,09:40,24.670,24.670,24.120,24.120,476769408.0,19529600
2024-9-30,09:45,24.100,24.200,23.970,24.100,419575840.0,17414700
2024-9-30,09:50,24.110,24.300,23.740,23.740,355022176.0,14733100
2024-9-30,09:55,23.760,24.030,23.500,24.030,321918496.0,13599300
2024-9-30,10:00,24.020,24.060,23.850,24.040,183997120.0,7681300
2024-9-30,10:05,24.040,24.170,23.970,24.140,160805328.0,6686400
2024-9-30,10:10,24.140,24.240,24.020,24.160,126281160.0,5236500
2024-9-30,10:15,24.180,24.190,24.090,24.170,112157776.0,4646900
2024-9-30,10:20,24.170,24.220,24.110,24.200,104235056.0,4311800
2024-9-30,10:25,24.200,24.440,24.200,24.430,143052576.0,5881500
2024-9-30,10:30,24.440,24.500,24.390,24.410,141900368.0,5801100
2024-9-30,10:35,24.400,24.420,24.260,24.300,94728432.0,3895700
2024-9-30,10:40,24.300,24.380,24.290,24.340,62508372.0,2568800
2024-9-30,10:45,24.320,24.490,24.320,24.420,66802108.0,2736200
2024-9-30,10:50,24.420,24.500,24.410,24.490,52920212.0,2163600
2024-9-30,10:55,24.490,24.690,24.490,24.630,118894768.0,4834300
2024-9-30,11:00,24.620,24.900,24.610,24.860,160495168.0,6478000
2024-9-30,11:05,24.850,24.890,24.530,24.540,93196736.0,3776200
2024-9-30,11:10,24.530,24.800,24.530,24.800,140764288.0,5701300
2024-9-30,11:15,24.790,24.800,24.700,24.800,58275876.0,2354000
2024-9-30,11:20,24.790,24.840,24.790,24.830,52275040.0,2106100
2024-9-30,11:25,24.830,24.890,24.800,24.890,65395768.0,2632500
2024-9-30,11:30,24.880,24.930,24.810,24.900,88460408.0,3554800
2024-9-30,13:05,24.910,25.200,24.910,25.040,254813392.0,10183000
2024-9-30,13:10,25.030,25.150,25.000,25.150,112876696.0,4506700
2024-9-30,13:15,25.150,25.160,24.900,24.900,148219776.0,5929200
2024-9-30,13:20,24.920,25.010,24.830,25.010,82655808.0,3318200
2024-9-30,13:25,25.010,25.060,24.980,25.060,55890264.0,2234400
2024-9-30,13:30,25.060,25.120,25.030,25.090,53930720.0,2149500
2024-9-30,13:35,25.080,25.100,25.030,25.030,72325440.0,2885200
2024-9-30,13:40,25.040,25.140,25.030,25.120,76830864.0,3062800
2024-9-30,13:45,25.120,25.140,25.070,25.140,59419972.0,2366300
2024-9-30,13:50,25.130,25.230,25.110,25.170,127689944.0,5072200
2024-9-30,13:55,25.170,25.210,25.140,25.160,55010840.0,2185800
2024-9-30,14:00,25.160,25.210,25.160,25.200,59391264.0,2358100
2024-9-30,14:05,25.200,25.250,25.190,25.230,60650436.0,2404800
2024-9-30,14:10,25.230,25.250,25.160,25.160,90937456.0,3606400
2024-9-30,14:15,25.160,25.250,25.150,25.240,102644352.0,4070600
2024-9-30,14:20,25.240,25.290,25.230,25.250,122055240.0,4831000
2024-9-30,14:25,25.230,25.230,24.670,24.680,216538368.0,8682400
2024-9-30,14:30,24.680,24.910,24.530,24.820,163389360.0,6615000
2024-9-30,14:35,24.830,24.850,24.770,24.790,76663024.0,3092200
2024-9-30,14:40,24.790,25.020,24.780,25.010,78030768.0,3129700
2024-9-30,14:45,25.020,25.090,24.970,25.080,75400976.0,3014300
2024-9-30,14:50,25.080,25.150,25.060,25.140,85628352.0,3411600
2024-9-30,14:55,25.150,25.210,25.150,25.210,120947952.0,4801700
2024-9-30,15:00,25.220,25.220,25.180,25.190,128433432.0,5096900
2024-10-8,09:35,27.710,27.710,27.480,27.640,858714176.0,31020400
2024-10-8,09:40,27.650,27.710,27.640,27.710,434676288.0,15692900
2024-10-8,09:45,27.710,27.710,27.620,27.660,402335680.0,14524100
2024-10-8,09:50,27.700,27.710,27.230,27.710,483332608.0,17533500
2024-10-8,09:55,27.700,27.710,27.690,27.710,225871184.0,8152500
2024-10-8,10:00,27.700,27.710,27.650,27.700,169039584.0,6103100
2024-10-8,10:05,27.700,27.710,27.600,27.620,191423520.0,6918100
2024-10-8,10:10,27.630,27.690,27.600,27.650,157383136.0,5693400
2024-10-8,10:15,27.640,27.650,27.110,27.120,251778368.0,9186400
2024-10-8,10:20,27.120,27.500,27.080,27.500,241399488.0,8824100
2024-10-8,10:25,27.500,27.500,27.210,27.280,151261552.0,5523700
2024-10-8,10:30,27.260,27.420,27.110,27.110,177609984.0,6514300
2024-10-8,10:35,27.110,27.210,26.650,26.700,326949888.0,12154200
2024-10-8,10:40,26.700,26.700,25.320,25.780,372535168.0,14368200
2024-10-8,10:45,25.800,27.240,25.800,27.200,246693504.0,9228900
2024-10-8,10:50,27.220,27.230,26.700,27.000,173610144.0,6420900
2024-10-8,10:55,26.970,26.970,26.770,26.890,139913872.0,5207100
2024-10-8,11:00,26.890,26.960,26.520,26.520,79863360.0,2975800
2024-10-8,11:05,26.510,26.960,26.510,26.950,151869760.0,5687200
2024-10-8,11:10,26.960,27.350,26.950,27.300,135679584.0,5008300
2024-10-8,11:15,27.320,27.330,27.130,27.280,97835240.0,3587800
2024-10-8,11:20,27.280,27.500,27.250,27.420,111599312.0,4072700
2024-10-8,11:25,27.410,27.420,27.190,27.270,78265544.0,2866900
2024-10-8,11:30,27.270,27.270,27.090,27.250,67934656.0,2499800
2024-10-8,13:05,27.250,27.430,27.170,27.170,123459792.0,4519200
2024-10-8,13:10,27.170,27.170,26.850,26.850,119132288.0,4406800
2024-10-8,13:15,26.860,27.000,26.800,26.880,137236672.0,5104300
2024-10-8,13:20,26.880,27.060,26.870,26.960,77709104.0,2883300
2024-10-8,13:25,26.970,26.980,26.750,26.750,100858320.0,3751900
2024-10-8,13:30,26.730,26.860,26.630,26.840,105750344.0,3954200
2024-10-8,13:35,26.850,26.960,26.690,26.730,77923800.0,2903000
2024-10-8,13:40,26.710,26.730,26.610,26.610,65134592.0,2441000
2024-10-8,13:45,26.610,26.840,26.580,26.820,74226272.0,2782300
2024-10-8,13:50,26.840,26.840,26.610,26.620,60848928.0,2278600
2024-10-8,13:55,26.600,26.620,26.360,26.360,88040528.0,3315900
2024-10-8,14:00,26.360,26.640,26.310,26.640,117352264.0,4447000
2024-10-8,14:05,26.660,26.860,26.640,26.660,85653992.0,3198700
2024-10-8,14:10,26.670,26.720,26.600,26.620,62441736.0,2340900
2024-10-8,14:15,26.630,26.910,26.620,26.910,62805908.0,2345700
2024-10-8,14:20,26.910,26.910,26.750,26.750,71312928.0,2658500
2024-10-8,14:25,26.750,27.170,26.750,27.170,120765280.0,4478800
2024-10-8,14:30,27.190,27.500,27.150,27.490,260834416.0,9536600
2024-10-8,14:35,27.490,27.670,27.450,27.670,167762320.0,6091400
2024-10-8,14:40,27.670,27.710,27.670,27.710,392779904.0,14179700
2024-10-8,14:45,27.710,27.710,27.710,27.710,90096288.0,3251400
2024-10-8,14:50,27.710,27.710,27.710,27.710,82238656.0,2967900
2024-10-8,14:55,27.710,27.710,27.710,27.710,38334016.0,1383400
2024-10-8,15:00,27.710,27.710,27.710,27.710,43692240.0,1576700
2024-10-9,09:35,27.700,27.700,25.860,27.050,663643840.0,24707500
2024-10-9,09:40,27.020,27.490,27.000,27.140,394266624.0,14461500
2024-10-9,09:45,27.110,27.300,27.000,27.300,300310336.0,11060800
2024-10-9,09:50,27.320,27.640,27.270,27.630,276039232.0,10059000
2024-10-9,09:55,27.640,27.880,27.500,27.500,367525952.0,13269700
2024-10-9,10:00,27.500,27.540,27.250,27.400,184264736.0,6723800
2024-10-9,10:05,27.420,27.510,27.210,27.510,175373376.0,6410100
2024-10-9,10:10,27.500,27.530,27.130,27.130,120924816.0,4431300
2024-10-9,10:15,27.130,27.250,27.000,27.200,165824320.0,6117900
2024-10-9,10:20,27.200,27.420,27.170,27.190,109314520.0,3999700
2024-10-9,10:25,27.220,27.360,27.130,27.260,98505968.0,3618600
2024-10-9,10:30,27.270,27.270,26.940,26.940,122894728.0,4547700
2024-10-9,10:35,26.940,27.000,26.670,26.670,146922768.0,5469000
2024-10-9,10:40,26.670,26.770,26.330,26.330,194820352.0,7330000
2024-10-9,10:45,26.340,26.820,26.330,26.820,160539312.0,6031700
2024-10-9,10:50,26.820,26.930,26.650,26.670,75580816.0,2818900
2024-10-9,10:55,26.670,26.850,26.540,26.570,57311708.0,2151800
2024-10-9,11:00,26.570,26.670,26.410,26.410,89140176.0,3358400
2024-10-9,11:05,26.420,26.530,26.360,26.370,139050016.0,5256000
2024-10-9,11:10,26.370,26.370,26.170,26.180,113439464.0,4316800
2024-10-9,11:15,26.170,26.260,26.080,26.090,131018624.0,5009700
2024-10-9,11:20,26.080,26.090,25.800,25.840,185036608.0,7133300
2024-10-9,11:25,25.840,26.380,25.670,26.380,146066224.0,5626400
2024-10-9,11:30,26.380,26.620,26.380,26.620,99884400.0,3764800
2024-10-9,13:05,26.630,27.150,26.630,27.100,113554128.0,4211600
2024-10-9,13:10,27.080,27.230,26.910,27.180,113256912.0,4176700
