日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,21.700,22.330,21.700,22.300,365059008.0,16622300
2024-9-30,09:40,22.260,22.350,21.810,21.810,199758656.0,9028000
2024-9-30,09:45,21.850,21.950,21.800,21.860,184044832.0,8419400
2024-9-30,09:50,21.840,21.870,21.490,21.500,200792704.0,9270600
2024-9-30,09:55,21.500,21.520,21.200,21.520,152830208.0,7152200
2024-9-30,10:00,21.510,21.640,21.480,21.520,126766960.0,5882900
2024-9-30,10:05,21.530,21.720,21.530,21.670,88768416.0,4102500
2024-9-30,10:10,21.670,21.740,21.610,21.700,56060992.0,2584500
2024-9-30,10:15,21.690,21.780,21.640,21.780,53996344.0,2488900
2024-9-30,10:20,21.760,21.850,21.690,21.850,55998656.0,2572500
2024-9-30,10:25,21.840,22.000,21.840,22.000,76542832.0,3485400
2024-9-30,10:30,22.000,22.030,21.970,21.980,53702320.0,2441600
2024-9-30,10:35,21.980,22.020,21.860,21.950,54287848.0,2473500
2024-9-30,10:40,21.960,21.990,21.930,21.990,25455430.0,1159600
2024-9-30,10:45,21.980,22.080,21.970,22.050,44998768.0,2043400
2024-9-30,10:50,22.060,22.120,22.040,22.120,33619096.0,1522700
2024-9-30,10:55,22.120,22.200,22.090,22.200,52584244.0,2375500
2024-9-30,11:00,22.200,22.300,22.190,22.270,61675352.0,2771600
2024-9-30,11:05,22.270,22.330,22.080,22.080,70543968.0,3173500
2024-9-30,11:10,22.080,22.190,22.020,22.190,48533720.0,2198900
2024-9-30,11:15,22.190,22.270,22.180,22.220,33712004.0,1517400
2024-9-30,11:20,22.210,22.280,22.200,22.260,30676022.0,1379800
2024-9-30,11:25,22.260,22.300,22.240,22.270,32603084.0,1463900
2024-9-30,11:30,22.280,22.280,22.250,22.260,35133396.0,1577700
2024-9-30,13:05,22.260,22.590,22.260,22.580,162895872.0,7258900
2024-9-30,13:10,22.580,22.670,22.550,22.610,68756096.0,3042500
2024-9-30,13:15,22.610,22.650,22.390,22.400,78477752.0,3486300
2024-9-30,13:20,22.390,22.530,22.360,22.500,59783220.0,2662000
2024-9-30,13:25,22.500,22.500,22.420,22.500,34363492.0,1529400
2024-9-30,13:30,22.480,22.500,22.430,22.490,40566116.0,1805200
2024-9-30,13:35,22.490,22.600,22.490,22.580,44811000.0,1986600
2024-9-30,13:40,22.580,22.620,22.470,22.510,68087696.0,3020800
2024-9-30,13:45,22.480,22.640,22.480,22.640,62123240.0,2754700
2024-9-30,13:50,22.640,22.660,22.530,22.570,88483408.0,3921700
2024-9-30,13:55,22.560,22.670,22.560,22.630,48132084.0,2127700
2024-9-30,14:00,22.630,22.730,22.630,22.720,38813836.0,1711800
2024-9-30,14:05,22.720,22.780,22.650,22.780,52393932.0,2306600
2024-9-30,14:10,22.790,22.800,22.750,22.770,51103704.0,2244200
2024-9-30,14:15,22.760,22.920,22.760,22.910,62784756.0,2749800
2024-9-30,14:20,22.890,22.890,22.710,22.710,52524628.0,2301900
2024-9-30,14:25,22.720,22.720,22.270,22.270,113707760.0,5066100
2024-9-30,14:30,22.260,22.470,22.060,22.350,118222240.0,5311600
2024-9-30,14:35,22.340,22.460,22.340,22.460,55422540.0,2477600
2024-9-30,14:40,22.460,22.620,22.420,22.600,47266800.0,2100400
2024-9-30,14:45,22.600,22.630,22.550,22.630,44963196.0,1990300
2024-9-30,14:50,22.630,22.690,22.630,22.660,52038672.0,2296400
2024-9-30,14:55,22.660,22.700,22.660,22.700,76548536.0,3374900
2024-9-30,15:00,22.700,22.700,22.670,22.670,79009264.0,3483400
2024-10-8,09:35,24.940,24.940,24.380,24.630,559272320.0,22575200
2024-10-8,09:40,24.620,24.730,24.390,24.390,326001184.0,13246200
2024-10-8,09:45,24.390,24.460,23.800,23.810,385010368.0,15946200
2024-10-8,09:50,23.810,24.390,23.760,24.380,257637696.0,10698500
2024-10-8,09:55,24.380,24.590,24.350,24.560,186902720.0,7639600
2024-10-8,10:00,24.570,24.570,24.390,24.480,114623008.0,4686300
2024-10-8,10:05,24.490,24.570,24.360,24.370,127220944.0,5196200
2024-10-8,10:10,24.350,24.370,24.160,24.170,151306880.0,6233100
2024-10-8,10:15,24.190,24.190,24.000,24.090,155023536.0,6438600
2024-10-8,10:20,24.070,24.300,24.050,24.250,80740608.0,3335000
2024-10-8,10:25,24.270,24.320,24.110,24.110,70742520.0,2920400
2024-10-8,10:30,24.110,24.110,23.860,23.880,110284840.0,4598300
2024-10-8,10:35,23.880,23.930,23.600,23.600,147635136.0,6211100
2024-10-8,10:40,23.580,23.580,22.600,22.790,230689312.0,10072300
2024-10-8,10:45,22.790,23.840,22.790,23.840,194329808.0,8302000
2024-10-8,10:50,23.830,23.910,23.490,23.490,129298352.0,5447400
2024-10-8,10:55,23.490,23.610,23.430,23.570,54910392.0,2331700
2024-10-8,11:00,23.570,23.580,23.410,23.420,38847532.0,1650800
2024-10-8,11:05,23.410,23.610,23.310,23.590,67758640.0,2888100
2024-10-8,11:10,23.570,23.930,23.570,23.930,71424648.0,3002200
2024-10-8,11:15,23.930,24.070,23.890,24.070,67887136.0,2834900
2024-10-8,11:20,24.080,24.190,24.030,24.170,74516912.0,3089200
2024-10-8,11:25,24.170,24.170,23.980,24.000,49568904.0,2059300
2024-10-8,11:30,24.000,24.040,23.890,24.040,38567016.0,1609500
2024-10-8,13:05,24.040,24.270,24.040,24.200,90059464.0,3724100
2024-10-8,13:10,24.170,24.170,23.850,23.850,57508380.0,2396500
2024-10-8,13:15,23.860,23.920,23.810,23.830,51094260.0,2140900
2024-10-8,13:20,23.820,23.980,23.820,23.840,39863276.0,1668700
2024-10-8,13:25,23.840,23.850,23.790,23.800,59130416.0,2483900
2024-10-8,13:30,23.810,23.820,23.710,23.820,63274688.0,2660600
2024-10-8,13:35,23.820,23.910,23.600,23.600,50933036.0,2143500
2024-10-8,13:40,23.600,23.640,23.510,23.520,49988528.0,2121200
2024-10-8,13:45,23.520,23.630,23.450,23.600,62349836.0,2648700
2024-10-8,13:50,23.610,23.630,23.460,23.470,44057152.0,1872800
2024-10-8,13:55,23.470,23.470,23.380,23.410,42108352.0,1797700
2024-10-8,14:00,23.400,23.600,23.370,23.600,54389344.0,2320300
2024-10-8,14:05,23.600,23.790,23.600,23.660,48880600.0,2060500
2024-10-8,14:10,23.660,23.730,23.640,23.650,35433940.0,1496600
2024-10-8,14:15,23.620,23.670,23.620,23.660,31170162.0,1317800
2024-10-8,14:20,23.660,23.740,23.630,23.680,48735940.0,2058100
2024-10-8,14:25,23.680,23.950,23.660,23.950,53202536.0,2231700
2024-10-8,14:30,23.950,24.190,23.940,24.190,62651160.0,2607300
2024-10-8,14:35,24.180,24.260,24.170,24.200,98705448.0,4076200
2024-10-8,14:40,24.190,24.410,24.190,24.370,111056240.0,4568400
2024-10-8,14:45,24.380,24.500,24.360,24.460,152349664.0,6231700
2024-10-8,14:50,24.460,24.490,24.420,24.420,94147312.0,3850500
2024-10-8,14:55,24.430,24.440,24.360,24.440,105741088.0,4333100
2024-10-8,15:00,24.440,24.450,24.430,24.450,133958704.0,5480300
2024-10-9,09:35,23.680,23.680,22.600,23.080,422105280.0,18381300
2024-10-9,09:40,23.080,23.280,23.000,23.000,248995808.0,10760300
2024-10-9,09:45,23.000,23.150,22.930,23.130,157594752.0,6839500
2024-10-9,09:50,23.130,23.450,23.100,23.450,138650144.0,5964700
2024-10-9,09:55,23.450,23.600,23.420,23.420,146464336.0,6227000
2024-10-9,10:00,23.440,23.580,23.340,23.410,126606080.0,5396900
2024-10-9,10:05,23.410,23.430,23.250,23.380,82840976.0,3548800
2024-10-9,10:10,23.390,23.410,23.120,23.120,84142592.0,3620600
2024-10-9,10:15,23.140,23.180,23.030,23.180,82571904.0,3572200
2024-10-9,10:20,23.190,23.310,23.110,23.110,74588192.0,3213800
2024-10-9,10:25,23.140,23.260,23.140,23.210,66194572.0,2852500
2024-10-9,10:30,23.250,23.250,23.000,23.010,46284800.0,2004400
2024-10-9,10:35,23.010,23.030,22.820,22.840,97504656.0,4252400
2024-10-9,10:40,22.820,22.870,22.620,22.620,116619824.0,5125800
2024-10-9,10:45,22.600,22.810,22.600,22.810,138798560.0,6121700
2024-10-9,10:50,22.800,22.870,22.730,22.730,65417212.0,2868200
2024-10-9,10:55,22.720,22.780,22.620,22.630,52505148.0,2311800
2024-10-9,11:00,22.630,22.710,22.600,22.600,44346108.0,1959000
2024-10-9,11:05,22.600,22.730,22.510,22.520,65350872.0,2889400
2024-10-9,11:10,22.530,22.530,22.420,22.440,63885312.0,2841800
2024-10-9,11:15,22.440,22.510,22.370,22.370,47756968.0,2129500
2024-10-9,11:20,22.370,22.380,22.200,22.260,59797552.0,2684500
2024-10-9,11:25,22.260,22.480,22.200,22.480,53566504.0,2404000
2024-10-9,11:30,22.480,22.750,22.470,22.750,42024664.0,1861300
2024-10-9,13:05,22.750,22.960,22.750,22.960,61922256.0,2707200
2024-10-9,13:10,22.980,23.200,22.960,23.020,82621144.0,3588600
2024-10-9,13:15,23.020,23.030,22.800,22.820,65631180.0,2867900
2024-10-9,13:20,22.820,22.990,22.810,22.990,24914360.0,1086200
2024-10-9,13:25,22.980,23.070,22.910,23.030,51076728.0,2221400
2024-10-9,13:30,23.040,23.090,23.030,23.050,55102232.0,2389500
2024-10-9,13:35,23.050,23.280,23.040,23.280,74191968.0,3201400
2024-10-9,13:40,23.280,23.470,23.280,23.430,86802896.0,3714200
2024-10-9,13:45,23.420,23.450,23.150,23.150,78638816.0,3374200
2024-10-9,13:50,23.150,23.210,23.100,23.130,33412064.0,1443200
2024-10-9,13:55,23.130,23.130,22.990,23.030,37014484.0,1604700
2024-10-9,14:00,23.040,23.040,22.880,22.950,31130984.0,1357200
2024-10-9,14:05,22.950,23.090,22.950,23.040,24953480.0,1083700
2024-10-9,14:10,23.060,23.060,22.850,22.860,30258602.0,1315600
2024-10-9,14:15,22.840,22.900,22.830,22.840,31495916.0,1377100
2024-10-9,14:20,22.820,22.850,22.680,22.690,36245740.0,1590700
2024-10-9,14:25,22.680,22.690,22.600,22.670,44739776.0,1976100
