日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,20.000,20.640,20.000,20.600,106649600.0,5242900
2024-9-30,09:40,20.570,20.650,20.010,20.030,54585832.0,2683100
2024-9-30,09:45,20.000,20.080,19.900,19.900,59386004.0,2971700
2024-9-30,09:50,19.920,20.000,19.720,19.730,39826764.0,2003300
2024-9-30,09:55,19.720,19.870,19.570,19.870,38278688.0,1945100
2024-9-30,10:00,19.860,19.930,19.790,19.860,25723252.0,1294700
2024-9-30,10:05,19.850,19.990,19.790,19.940,23560450.0,1185300
2024-9-30,10:10,19.910,19.980,19.860,19.870,26778628.0,1344200
2024-9-30,10:15,19.850,19.890,19.760,19.830,19245096.0,970500
2024-9-30,10:20,19.830,19.920,19.800,19.920,15629679.0,787300
2024-9-30,10:25,19.920,20.170,19.910,20.160,23746704.0,1184500
2024-9-30,10:30,20.150,20.170,20.100,20.160,16016598.0,795300
2024-9-30,10:35,20.150,20.170,19.960,20.010,18512142.0,923600
2024-9-30,10:40,20.000,20.060,20.000,20.040,10497506.0,523800
2024-9-30,10:45,20.040,20.140,20.040,20.140,12687819.0,631200
2024-9-30,10:50,20.130,20.250,20.130,20.210,17310640.0,856900
2024-9-30,10:55,20.210,20.390,20.210,20.360,16669294.0,820800
2024-9-30,11:00,20.360,20.490,20.350,20.480,19077156.0,933500
2024-9-30,11:05,20.470,20.520,20.330,20.330,40953540.0,2001000
2024-9-30,11:10,20.330,20.350,20.210,20.350,13705708.0,676000
2024-9-30,11:15,20.350,20.380,20.330,20.380,6832250.0,335600
2024-9-30,11:20,20.370,20.500,20.370,20.490,12591763.0,615600
2024-9-30,11:25,20.490,20.500,20.400,20.450,9996069.0,489200
2024-9-30,11:30,20.460,20.490,20.430,20.480,8807451.0,430600
2024-9-30,13:05,20.490,20.700,20.490,20.640,40055128.0,1944200
2024-9-30,13:10,20.640,20.770,20.640,20.710,19811620.0,956300
2024-9-30,13:15,20.710,20.720,20.510,20.520,18683272.0,905200
2024-9-30,13:20,20.530,20.600,20.510,20.550,14282500.0,695100
2024-9-30,13:25,20.550,20.570,20.500,20.560,14901409.0,725700
2024-9-30,13:30,20.560,20.570,20.540,20.550,13456205.0,654500
2024-9-30,13:35,20.550,20.640,20.550,20.640,12703816.0,616800
2024-9-30,13:40,20.640,20.700,20.640,20.690,13468672.0,651500
2024-9-30,13:45,20.700,20.800,20.690,20.800,13983317.0,673900
2024-9-30,13:50,20.800,20.800,20.720,20.780,18528266.0,892500
