日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,95.210,95.560,94.880,95.260,22964768.0,241100
2024-12-31,09:40,95.230,95.480,94.980,95.020,10389089.0,109000
2024-12-31,09:45,95.200,95.800,94.820,95.610,25148428.0,263800
2024-12-31,09:50,95.690,96.290,95.500,96.190,31599062.0,329300
2024-12-31,09:55,96.300,96.590,96.230,96.350,25186160.0,261300
2024-12-31,10:00,96.360,96.420,95.910,96.010,16670761.0,173300
2024-12-31,10:05,95.950,96.280,95.640,95.780,16979310.0,177000
2024-12-31,10:10,95.800,96.360,95.800,96.190,17971432.0,187000
2024-12-31,10:15,96.200,96.250,96.060,96.250,12838398.0,133500
2024-12-31,10:20,96.240,96.280,95.990,95.990,17178086.0,178600
2024-12-31,10:25,95.930,96.870,95.930,96.590,31151820.0,322900
2024-12-31,10:30,96.680,96.690,96.330,96.500,9518207.0,98600
2024-12-31,10:35,96.500,96.870,96.500,96.650,14947565.0,154600
2024-12-31,10:40,96.660,96.670,96.270,96.480,11763941.0,121900
2024-12-31,10:45,96.480,96.480,96.180,96.410,9009733.0,93500
2024-12-31,10:50,96.410,96.540,96.310,96.430,9064339.0,94000
2024-12-31,10:55,96.430,96.560,95.840,95.870,12218054.0,127000
2024-12-31,11:00,95.900,95.900,95.500,95.800,11758311.0,122900
2024-12-31,11:05,95.760,96.220,95.450,96.120,14690391.0,153600
2024-12-31,11:10,96.000,96.000,95.660,95.750,9264861.0,96700
2024-12-31,11:15,95.800,96.140,95.750,95.880,8725085.0,91000
2024-12-31,11:20,95.790,96.200,95.790,95.990,8657638.0,90100
2024-12-31,11:25,96.080,96.320,95.910,96.300,13178167.0,137000
2024-12-31,11:30,96.320,96.750,96.270,96.350,16468442.0,170600
2024-12-31,13:05,96.300,96.350,96.070,96.220,5555112.0,57700
2024-12-31,13:10,96.220,96.220,95.800,96.030,6405537.0,66800
2024-12-31,13:15,96.030,96.290,95.880,95.930,7893758.0,82100
2024-12-31,13:20,95.930,96.260,95.900,96.200,11546044.0,120200
2024-12-31,13:25,96.200,96.200,95.950,96.120,6961771.0,72400
2024-12-31,13:30,96.130,96.370,95.990,96.370,12851877.0,133500
2024-12-31,13:35,96.380,96.390,95.900,95.960,10085722.0,104900
2024-12-31,13:40,95.960,96.240,95.920,96.030,18053648.0,187900
2024-12-31,13:45,96.030,96.160,95.910,95.910,10366108.0,107900
2024-12-31,13:50,95.920,96.020,95.900,96.010,8691262.0,90600
2024-12-31,13:55,96.040,96.080,95.890,96.010,10525941.0,109600
2024-12-31,14:00,96.010,96.010,95.800,95.860,5906591.0,61600
2024-12-31,14:05,95.940,95.950,95.600,95.750,9192109.0,96000
2024-12-31,14:10,95.720,96.060,95.710,95.790,14529945.0,151500
2024-12-31,14:15,95.830,95.890,95.550,95.890,15888016.0,165900
2024-12-31,14:20,95.890,95.900,95.550,95.640,9617618.0,100600
2024-12-31,14:25,95.620,95.640,95.310,95.570,10876074.0,113900
2024-12-31,14:30,95.570,95.580,95.220,95.410,16106841.0,168800
2024-12-31,14:35,95.460,95.840,95.380,95.770,24028660.0,251200
2024-12-31,14:40,95.760,96.090,95.680,95.930,21712284.0,226300
2024-12-31,14:45,95.900,96.070,95.810,95.990,14410498.0,150200
2024-12-31,14:50,95.980,96.070,95.630,95.750,19818036.0,206500
2024-12-31,14:55,95.600,95.710,95.180,95.200,10977113.0,115200
