日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,31.050,31.070,30.760,30.830,56235312.0,1818600
2024-12-31,09:40,30.820,30.840,30.720,30.760,59054052.0,1918100
2024-12-31,09:45,30.740,30.790,30.660,30.680,64048868.0,2085800
2024-12-31,09:50,30.680,30.750,30.630,30.730,37459180.0,1220800
2024-12-31,09:55,30.730,30.740,30.660,30.720,31857204.0,1037700
2024-12-31,10:00,30.740,30.740,30.610,30.650,44434332.0,1449300
2024-12-31,10:05,30.660,30.710,30.620,30.620,34989004.0,1141000
2024-12-31,10:10,30.610,30.650,30.600,30.610,48187352.0,1574000
2024-12-31,10:15,30.630,30.640,30.600,30.610,20866668.0,681500
2024-12-31,10:20,30.610,30.610,30.470,30.500,85473264.0,2800100
2024-12-31,10:25,30.530,30.580,30.510,30.570,23999432.0,785700
2024-12-31,10:30,30.570,30.630,30.560,30.630,22532932.0,736400
2024-12-31,10:35,30.620,30.680,30.570,30.580,23726762.0,774600
2024-12-31,10:40,30.580,30.680,30.580,30.630,18137024.0,591700
2024-12-31,10:45,30.630,30.680,30.610,30.660,12435984.0,405900
2024-12-31,10:50,30.660,30.770,30.660,30.690,22253720.0,724400
2024-12-31,10:55,30.690,30.720,30.570,30.570,18189360.0,594000
2024-12-31,11:00,30.560,30.640,30.550,30.560,18831796.0,616000
2024-12-31,11:05,30.560,30.570,30.480,30.560,30600178.0,1002900
2024-12-31,11:10,30.560,30.560,30.460,30.470,29321344.0,962000
2024-12-31,11:15,30.470,30.470,30.380,30.380,49586392.0,1630100
2024-12-31,11:20,30.380,30.450,30.370,30.410,28313184.0,930900
2024-12-31,11:25,30.410,30.530,30.360,30.530,29267488.0,962400
2024-12-31,11:30,30.520,30.570,30.450,30.450,19522988.0,639600
2024-12-31,13:05,30.450,30.590,30.430,30.560,24180732.0,792300
2024-12-31,13:10,30.560,30.580,30.490,30.520,20419906.0,668800
2024-12-31,13:15,30.520,30.530,30.470,30.500,26714444.0,875800
2024-12-31,13:20,30.500,30.500,30.460,30.460,19239752.0,631200
2024-12-31,13:25,30.470,30.550,30.470,30.510,15027821.0,492600
2024-12-31,13:30,30.510,30.620,30.510,30.580,21585924.0,705700
2024-12-31,13:35,30.580,30.620,30.550,30.620,21195602.0,692900
2024-12-31,13:40,30.610,30.770,30.610,30.740,49268324.0,1604300
2024-12-31,13:45,30.730,30.730,30.630,30.650,25391658.0,827300
2024-12-31,13:50,30.640,30.710,30.620,30.700,22228340.0,724900
2024-12-31,13:55,30.700,30.770,30.650,30.770,26018204.0,847300
2024-12-31,14:00,30.780,30.860,30.770,30.800,42271596.0,1371800
2024-12-31,14:05,30.790,30.870,30.770,30.840,32053064.0,1039800
2024-12-31,14:10,30.840,30.850,30.740,30.750,29687900.0,964200
2024-12-31,14:15,30.750,30.750,30.690,30.690,31625148.0,1029700
2024-12-31,14:20,30.690,30.690,30.570,30.600,30246848.0,988200
2024-12-31,14:25,30.610,30.650,30.590,30.620,17089056.0,558300
2024-12-31,14:30,30.620,30.620,30.490,30.490,20730020.0,678300
2024-12-31,14:35,30.500,30.630,30.500,30.570,20080440.0,656900
2024-12-31,14:40,30.580,30.830,30.570,30.790,36105228.0,1174700
2024-12-31,14:45,30.770,30.770,30.660,30.760,21784020.0,708800
2024-12-31,14:50,30.760,30.780,30.700,30.720,29048002.0,945000
2024-12-31,14:55,30.710,30.870,30.670,30.860,110421600.0,3584600
2024-12-31,15:00,30.840,30.850,30.700,30.700,44968760.0,1460800
2025-1-2,09:35,30.580,30.580,30.030,30.300,116021344.0,3829200
2025-1-2,09:40,30.320,30.460,30.300,30.410,42112848.0,1386400
2025-1-2,09:45,30.440,30.450,30.330,30.400,35745624.0,1176600
2025-1-2,09:50,30.400,30.400,30.250,30.260,26513860.0,874500
2025-1-2,09:55,30.270,30.450,30.270,30.370,20133720.0,663500
2025-1-2,10:00,30.370,30.380,30.280,30.280,22681170.0,747700
2025-1-2,10:05,30.270,30.300,30.200,30.210,32999028.0,1091400
2025-1-2,10:10,30.210,30.260,30.180,30.220,27308680.0,904100
2025-1-2,10:15,30.220,30.250,30.160,30.160,26183124.0,867400
2025-1-2,10:20,30.160,30.180,30.130,30.150,21891380.0,726100
2025-1-2,10:25,30.150,30.200,30.120,30.130,22933892.0,760400
2025-1-2,10:30,30.130,30.210,30.120,30.200,13204995.0,437700
2025-1-2,10:35,30.200,30.220,30.170,30.180,12364358.0,409500
2025-1-2,10:40,30.180,30.200,30.150,30.170,15692225.0,520100
2025-1-2,10:45,30.170,30.190,30.060,30.060,41206472.0,1368600
2025-1-2,10:50,30.070,30.170,30.070,30.170,15789833.0,524500
2025-1-2,10:55,30.170,30.220,30.140,30.140,33953944.0,1125300
2025-1-2,11:00,30.140,30.140,30.030,30.060,39017844.0,1297700
2025-1-2,11:05,30.060,30.070,29.990,30.030,62756864.0,2090800
2025-1-2,11:10,30.030,30.050,29.980,29.990,28427756.0,947300
2025-1-2,11:15,29.990,29.990,29.910,29.940,26389232.0,881200
2025-1-2,11:20,29.930,29.970,29.920,29.950,19823158.0,662100
2025-1-2,11:25,29.930,29.990,29.930,29.970,11517720.0,384400
2025-1-2,11:30,29.980,29.990,29.930,29.940,11884621.0,396700
2025-1-2,13:05,29.940,29.980,29.880,29.960,35880816.0,1199500
2025-1-2,13:10,29.960,29.970,29.890,29.900,14912138.0,498400
2025-1-2,13:15,29.900,29.910,29.870,29.880,25683788.0,859400
2025-1-2,13:20,29.890,29.900,29.880,29.880,17198572.0,575400
2025-1-2,13:25,29.880,29.880,29.830,29.840,22220276.0,744400
2025-1-2,13:30,29.840,29.860,29.800,29.860,24310284.0,815100
2025-1-2,13:35,29.860,29.900,29.830,29.860,15558083.0,521000
2025-1-2,13:40,29.860,29.870,29.780,29.800,30669440.0,1029000
2025-1-2,13:45,29.790,29.800,29.700,29.720,33930748.0,1140900
2025-1-2,13:50,29.730,29.730,29.640,29.700,38386324.0,1293000
2025-1-2,13:55,29.690,29.700,29.650,29.670,25241878.0,850600
2025-1-2,14:00,29.680,29.740,29.660,29.740,20648736.0,695200
2025-1-2,14:05,29.740,29.810,29.680,29.810,38363688.0,1290200
2025-1-2,14:10,29.790,29.810,29.630,29.630,33701888.0,1134800
2025-1-2,14:15,29.630,29.640,29.500,29.520,47459728.0,1605700
2025-1-2,14:20,29.510,29.540,29.500,29.530,37380056.0,1266600
2025-1-2,14:25,29.540,29.610,29.500,29.580,32199220.0,1090400
2025-1-2,14:30,29.590,29.670,29.570,29.590,28901334.0,976100
2025-1-2,14:35,29.600,29.600,29.470,29.470,37844424.0,1282000
2025-1-2,14:40,29.480,29.490,29.410,29.430,26347542.0,894500
2025-1-2,14:45,29.430,29.480,29.420,29.450,37503676.0,1273600
2025-1-2,14:50,29.460,29.490,29.430,29.490,49609740.0,1683900
2025-1-2,14:55,29.490,29.590,29.490,29.570,35796704.0,1211300
2025-1-2,15:00,29.570,29.600,29.560,29.600,27192242.0,919000
2025-1-3,09:35,29.660,29.780,29.490,29.490,63977168.0,2160100
2025-1-3,09:40,29.490,29.500,29.390,29.430,53956892.0,1832200
2025-1-3,09:45,29.420,29.480,29.350,29.470,44215324.0,1503400
2025-1-3,09:50,29.480,29.480,29.360,29.360,32613380.0,1108600
2025-1-3,09:55,29.360,29.420,29.260,29.310,41242624.0,1406200
2025-1-3,10:00,29.300,29.460,29.290,29.390,23409044.0,797400
2025-1-3,10:05,29.390,29.470,29.370,29.370,21821358.0,741700
2025-1-3,10:10,29.390,29.460,29.370,29.410,21639588.0,735700
2025-1-3,10:15,29.390,29.430,29.350,29.380,12688296.0,431800
2025-1-3,10:20,29.390,29.440,29.350,29.360,14688306.0,499700
2025-1-3,10:25,29.350,29.420,29.350,29.410,15786582.0,537300
2025-1-3,10:30,29.420,29.460,29.410,29.440,20828160.0,707500
2025-1-3,10:35,29.430,29.520,29.430,29.520,16238605.0,551100
2025-1-3,10:40,29.510,29.520,29.400,29.400,15804898.0,536700
2025-1-3,10:45,29.400,29.410,29.320,29.320,22730600.0,774200
2025-1-3,10:50,29.330,29.340,29.250,29.260,30907576.0,1055100
2025-1-3,10:55,29.270,29.290,29.250,29.280,17920282.0,612300
2025-1-3,11:00,29.280,29.280,29.210,29.220,20211068.0,691000
2025-1-3,11:05,29.220,29.300,29.210,29.290,12680268.0,433400
2025-1-3,11:10,29.280,29.310,29.220,29.230,10442996.0,356800
2025-1-3,11:15,29.240,29.240,29.200,29.240,21769484.0,745200
2025-1-3,11:20,29.240,29.240,29.220,29.230,12789421.0,437500
2025-1-3,11:25,29.230,29.230,29.160,29.220,29711968.0,1017900
2025-1-3,11:30,29.220,29.240,29.200,29.200,10500567.0,359300
2025-1-3,13:05,29.210,29.390,29.190,29.220,40429988.0,1382700
2025-1-3,13:10,29.220,29.240,29.180,29.190,21284782.0,728900
2025-1-3,13:15,29.190,29.210,29.080,29.090,32026640.0,1098600
2025-1-3,13:20,29.100,29.190,29.090,29.100,16668624.0,572200
2025-1-3,13:25,29.090,29.110,29.030,29.060,20833208.0,716400
2025-1-3,13:30,29.050,29.090,29.000,29.080,30644940.0,1055300
2025-1-3,13:35,29.090,29.170,29.070,29.140,20981608.0,720600
2025-1-3,13:40,29.140,29.140,29.050,29.070,23007128.0,791100
2025-1-3,13:45,29.070,29.070,29.010,29.030,19995540.0,688700
2025-1-3,13:50,29.030,29.040,29.000,29.000,28539328.0,983500
2025-1-3,13:55,29.010,29.010,28.950,28.970,40270808.0,1389100
2025-1-3,14:00,28.970,28.990,28.940,28.990,19049344.0,657700
2025-1-3,14:05,28.990,28.990,28.880,28.900,32014964.0,1107100
2025-1-3,14:10,28.890,28.930,28.860,28.870,30710110.0,1063100
2025-1-3,14:15,28.870,28.870,28.700,28.740,53431328.0,1856400
2025-1-3,14:20,28.780,28.820,28.710,28.810,28464828.0,989800
2025-1-3,14:25,28.820,28.960,28.820,28.940,29897608.0,1034400
2025-1-3,14:30,28.950,29.010,28.940,28.970,22645544.0,781600
2025-1-3,14:35,28.970,28.990,28.800,28.820,27123536.0,939400
2025-1-3,14:40,28.820,28.960,28.810,28.930,22711384.0,786700
2025-1-3,14:45,28.910,28.970,28.900,28.960,26806624.0,926900
2025-1-3,14:50,28.960,28.960,28.900,28.900,23590240.0,815500
2025-1-3,14:55,28.910,28.910,28.830,28.840,30648224.0,1061800
2025-1-3,15:00,28.840,28.840,28.810,28.830,23253894.0,806700
2025-1-6,09:35,28.840,28.890,28.700,28.820,61890976.0,2148500
2025-1-6,09:40,28.830,28.880,28.710,28.710,32172196.0,1116800
2025-1-6,09:45,28.710,28.730,28.600,28.620,43924964.0,1531100
2025-1-6,09:50,28.640,28.710,28.600,28.710,30008666.0,1047500
2025-1-6,09:55,28.720,28.720,28.510,28.540,44308680.0,1549200
2025-1-6,10:00,28.540,28.550,28.480,28.500,37916948.0,1329100
2025-1-6,10:05,28.520,28.580,28.500,28.560,23750602.0,831800
2025-1-6,10:10,28.550,28.740,28.550,28.730,17197756.0,600100
2025-1-6,10:15,28.720,28.760,28.690,28.750,18908920.0,658100
2025-1-6,10:20,28.750,28.820,28.730,28.730,22979458.0,798900
2025-1-6,10:25,28.730,28.730,28.660,28.710,17481560.0,609300
2025-1-6,10:30,28.710,28.730,28.650,28.660,10953521.0,381700
2025-1-6,10:35,28.650,28.680,28.640,28.660,10762866.0,375500
2025-1-6,10:40,28.660,28.660,28.550,28.570,20738542.0,725100
2025-1-6,10:45,28.580,28.580,28.510,28.510,20233084.0,709000
2025-1-6,10:50,28.520,28.600,28.400,28.530,42565168.0,1493500
2025-1-6,10:55,28.540,28.540,28.450,28.500,16350367.0,573900
2025-1-6,11:00,28.500,28.530,28.480,28.520,8182712.0,287100
2025-1-6,11:05,28.520,28.540,28.480,28.500,14611646.0,512600
2025-1-6,11:10,28.480,28.610,28.470,28.500,16324821.0,572600
2025-1-6,11:15,28.500,28.590,28.490,28.570,11477420.0,402100
2025-1-6,11:20,28.570,28.570,28.400,28.420,28419564.0,998500
2025-1-6,11:25,28.430,28.520,28.350,28.470,27271242.0,959800
2025-1-6,11:30,28.460,28.470,28.400,28.420,11559735.0,406600
2025-1-6,13:05,28.430,28.430,28.360,28.410,26682344.0,939400
2025-1-6,13:10,28.400,28.450,28.390,28.410,16422167.0,577900
2025-1-6,13:15,28.420,28.430,28.350,28.350,15387194.0,542000
2025-1-6,13:20,28.370,28.380,28.310,28.320,19018522.0,670700
2025-1-6,13:25,28.310,28.380,28.310,28.340,17993464.0,634800
2025-1-6,13:30,28.340,28.350,28.310,28.330,17031596.0,601300
2025-1-6,13:35,28.320,28.330,28.260,28.280,26429188.0,934100
2025-1-6,13:40,28.280,28.290,28.200,28.230,31099182.0,1101600
2025-1-6,13:45,28.230,28.310,28.220,28.240,23110122.0,817300
2025-1-6,13:50,28.240,28.420,28.230,28.340,33172268.0,1169000
2025-1-6,13:55,28.340,28.460,28.260,28.310,60627156.0,2131200
2025-1-6,14:00,28.300,28.330,28.280,28.300,14920361.0,527200
2025-1-6,14:05,28.330,28.400,28.310,28.350,13815671.0,487300
2025-1-6,14:10,28.360,28.410,28.330,28.340,16390059.0,577700
2025-1-6,14:15,28.350,28.370,28.300,28.320,19906720.0,702500
2025-1-6,14:20,28.320,28.350,28.300,28.300,12921243.0,456300
2025-1-6,14:25,28.310,28.310,28.250,28.280,15280897.0,540300
2025-1-6,14:30,28.270,28.290,28.250,28.280,15377964.0,544000
2025-1-6,14:35,28.260,28.270,28.210,28.210,22743364.0,805400
2025-1-6,14:40,28.220,28.260,28.200,28.240,21226032.0,752000
2025-1-6,14:45,28.250,28.310,28.240,28.310,19638324.0,694700
2025-1-6,14:50,28.300,28.360,28.290,28.350,23166436.0,818000
2025-1-6,14:55,28.350,28.350,28.290,28.310,19300082.0,681600
2025-1-6,15:00,28.310,28.320,28.300,28.320,16899882.0,596900
2025-1-7,09:35,28.330,28.440,28.240,28.350,43543280.0,1537300
2025-1-7,09:40,28.350,28.420,28.300,28.420,28406992.0,1002000
2025-1-7,09:45,28.420,28.420,28.350,28.420,33796964.0,1190400
2025-1-7,09:50,28.430,28.470,28.420,28.420,22967624.0,807500
2025-1-7,09:55,28.420,28.440,28.380,28.430,20532614.0,722800
2025-1-7,10:00,28.420,28.450,28.350,28.350,22135652.0,779500
2025-1-7,10:05,28.340,28.440,28.340,28.430,16988900.0,598100
2025-1-7,10:10,28.420,28.420,28.360,28.400,10717244.0,377600
2025-1-7,10:15,28.390,28.420,28.380,28.400,8528065.0,300300
2025-1-7,10:20,28.410,28.410,28.330,28.330,12692577.0,447400
2025-1-7,10:25,28.340,28.350,28.330,28.330,8499387.0,299900
2025-1-7,10:30,28.330,28.400,28.320,28.390,19547240.0,689500
2025-1-7,10:35,28.390,28.390,28.330,28.340,7492490.0,264200
2025-1-7,10:40,28.340,28.360,28.330,28.330,10622816.0,374800
2025-1-7,10:45,28.320,28.330,28.300,28.300,11896606.0,420200
2025-1-7,10:50,28.310,28.340,28.310,28.320,4126310.0,145700
2025-1-7,10:55,28.320,28.320,28.230,28.250,22248700.0,786900
2025-1-7,11:00,28.260,28.300,28.250,28.260,5626393.0,199000
2025-1-7,11:05,28.260,28.290,28.240,28.290,7385803.0,261300
2025-1-7,11:10,28.290,28.300,28.270,28.290,5767164.0,203900
2025-1-7,11:15,28.290,28.350,28.280,28.330,6349781.5,224300
2025-1-7,11:20,28.330,28.340,28.300,28.310,6307705.0,222700
2025-1-7,11:25,28.320,28.370,28.310,28.350,9274264.0,327200
2025-1-7,11:30,28.360,28.360,28.320,28.350,6771248.0,239000
2025-1-7,13:05,28.340,28.400,28.300,28.300,30928980.0,1090700
2025-1-7,13:10,28.300,28.300,28.270,28.280,7011923.0,247900
2025-1-7,13:15,28.290,28.290,28.250,28.260,10670263.0,377500
2025-1-7,13:20,28.250,28.260,28.230,28.230,12408209.0,439300
2025-1-7,13:25,28.240,28.250,28.210,28.230,12812650.0,453900
2025-1-7,13:30,28.230,28.290,28.220,28.240,14343795.0,507700
2025-1-7,13:35,28.240,28.270,28.200,28.260,22378572.0,792800
2025-1-7,13:40,28.250,28.270,28.230,28.260,12265042.0,434200
2025-1-7,13:45,28.270,28.270,28.230,28.250,14741318.0,521900
2025-1-7,13:50,28.250,28.330,28.230,28.280,14502550.0,512700
2025-1-7,13:55,28.290,28.320,28.280,28.300,12049088.0,425800
2025-1-7,14:00,28.290,28.300,28.260,28.270,11836193.0,418600
2025-1-7,14:05,28.270,28.280,28.240,28.270,10881808.0,385100
2025-1-7,14:10,28.280,28.290,28.270,28.270,8158601.0,288500
2025-1-7,14:15,28.280,28.320,28.270,28.320,9434006.0,333400
2025-1-7,14:20,28.320,28.350,28.310,28.340,14429746.0,509300
2025-1-7,14:25,28.350,28.370,28.330,28.340,21605020.0,762000
2025-1-7,14:30,28.340,28.390,28.340,28.370,31569932.0,1112700
2025-1-7,14:35,28.370,28.380,28.360,28.370,27501446.0,969300
2025-1-7,14:40,28.370,28.380,28.360,28.370,20432460.0,720200
