日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,90.390,91.700,90.300,91.100,198440272.0,2181900
2025-3-31,09:40,91.110,91.120,90.510,90.610,91444600.0,1007800
2025-3-31,09:45,90.560,90.730,90.010,90.020,68886896.0,762700
2025-3-31,09:50,90.020,90.210,89.800,89.880,102429856.0,1138600
2025-3-31,09:55,89.820,90.180,89.710,90.170,75800080.0,843000
2025-3-31,10:00,90.200,90.600,90.060,90.560,44985196.0,497900
2025-3-31,10:05,90.550,90.730,90.340,90.400,43637800.0,482200
2025-3-31,10:10,90.460,90.630,90.340,90.500,30188962.0,333700
2025-3-31,10:15,90.530,90.560,90.280,90.300,18648756.0,206300
2025-3-31,10:20,90.300,90.480,90.020,90.020,20993372.0,232600
2025-3-31,10:25,90.020,90.130,89.990,89.990,29339280.0,325900
2025-3-31,10:30,89.950,90.010,89.820,89.860,38604144.0,429300
2025-3-31,10:35,89.860,89.900,89.580,89.670,56295056.0,627500
2025-3-31,10:40,89.660,89.680,89.360,89.610,90397648.0,1009300
2025-3-31,10:45,89.570,89.570,89.330,89.390,50015176.0,559300
2025-3-31,10:50,89.400,89.490,89.340,89.340,37713648.0,421900
2025-3-31,10:55,89.340,89.350,88.900,89.030,132382872.0,1485600
2025-3-31,11:00,89.010,89.230,88.970,89.100,48172288.0,540800
2025-3-31,11:05,89.090,89.240,88.980,89.080,33793348.0,379400
2025-3-31,11:10,89.070,89.120,88.970,89.040,34599032.0,388600
2025-3-31,11:15,89.030,89.100,88.920,89.100,33972924.0,381700
2025-3-31,11:20,89.070,89.280,88.990,89.260,29142356.0,327000
2025-3-31,11:25,89.250,89.270,88.800,88.820,81437392.0,915800
2025-3-31,11:30,88.890,89.000,88.820,88.820,30613952.0,344400
2025-3-31,13:05,88.800,89.200,88.720,89.160,84315968.0,948500
2025-3-31,13:10,89.160,89.190,89.000,89.170,26740140.0,300100
2025-3-31,13:15,89.160,89.170,88.910,89.150,29455896.0,330700
2025-3-31,13:20,89.150,89.180,88.950,88.970,27341228.0,307000
2025-3-31,13:25,88.970,88.970,88.880,88.930,26166920.0,294300
2025-3-31,13:30,88.950,88.980,88.690,88.710,38253872.0,430600
2025-3-31,13:35,88.720,88.750,88.520,88.630,43568420.0,491500
2025-3-31,13:40,88.620,88.770,88.600,88.760,29914438.0,337400
2025-3-31,13:45,88.760,88.760,88.360,88.550,62979716.0,711300
2025-3-31,13:50,88.540,88.640,88.450,88.560,30443344.0,343900
2025-3-31,13:55,88.570,88.880,88.520,88.850,27592872.0,311000
2025-3-31,14:00,88.850,88.850,88.580,88.600,28153216.0,317500
2025-3-31,14:05,88.600,88.600,88.440,88.580,43833416.0,495200
2025-3-31,14:10,88.580,88.900,88.580,88.870,39031276.0,439800
2025-3-31,14:15,88.870,89.200,88.870,89.100,45986760.0,516400
2025-3-31,14:20,89.110,89.660,89.110,89.460,69464936.0,776500
2025-3-31,14:25,89.490,89.800,89.310,89.480,53334840.0,595600
2025-3-31,14:30,89.490,89.590,89.190,89.220,38610124.0,431900
2025-3-31,14:35,89.180,89.530,89.180,89.450,38079348.0,426100
2025-3-31,14:40,89.390,89.550,89.330,89.380,27923220.0,312200
2025-3-31,14:45,89.380,89.500,89.220,89.500,41123264.0,460300
2025-3-31,14:50,89.490,89.520,89.380,89.440,33556144.0,375200
2025-3-31,14:55,89.420,89.420,89.260,89.320,48812232.0,546400
2025-3-31,15:00,89.320,89.500,89.320,89.330,44490376.0,497900
2025-4-1,09:35,89.500,89.750,89.300,89.530,127344968.0,1423200
2025-4-1,09:40,89.520,89.520,88.900,88.930,125920792.0,1413200
2025-4-1,09:45,88.940,88.940,88.620,88.850,105332760.0,1186300
2025-4-1,09:50,88.840,88.970,88.720,88.920,59386300.0,668400
2025-4-1,09:55,88.870,88.900,88.730,88.890,48571984.0,546900
2025-4-1,10:00,88.880,88.970,88.680,88.950,66929068.0,753800
2025-4-1,10:05,88.930,88.930,88.820,88.830,47701380.0,536700
2025-4-1,10:10,88.820,88.890,88.790,88.850,50444384.0,567800
2025-4-1,10:15,88.850,89.340,88.800,89.340,69472872.0,780800
2025-4-1,10:20,89.360,89.450,89.030,89.150,58506864.0,655700
2025-4-1,10:25,89.200,89.300,88.980,89.100,48127580.0,540000
2025-4-1,10:30,89.090,89.160,88.950,89.010,41451432.0,465500
2025-4-1,10:35,89.010,89.150,88.930,89.140,24735204.0,277900
2025-4-1,10:40,89.130,89.260,88.930,89.260,31347338.0,351900
2025-4-1,10:45,89.220,89.260,89.120,89.160,29077356.0,326000
2025-4-1,10:50,89.160,89.320,89.120,89.290,29253664.0,327900
2025-4-1,10:55,89.300,89.310,89.130,89.160,24069484.0,269800
2025-4-1,11:00,89.150,89.170,88.940,88.950,25822596.0,290000
2025-4-1,11:05,88.940,89.060,88.890,88.900,29172624.0,328000
2025-4-1,11:10,88.900,88.950,88.880,88.950,14876714.0,167300
2025-4-1,11:15,88.940,89.000,88.860,89.000,23774942.0,267400
2025-4-1,11:20,89.000,89.260,88.950,89.210,24961044.0,280000
2025-4-1,11:25,89.220,89.320,89.080,89.150,26658248.0,298800
2025-4-1,11:30,89.150,89.210,89.100,89.170,13690778.0,153500
2025-4-1,13:05,89.200,89.200,88.680,88.680,67756616.0,762000
2025-4-1,13:10,88.680,88.680,87.410,88.240,277126816.0,3149800
2025-4-1,13:15,88.210,88.390,88.120,88.310,41472264.0,470000
2025-4-1,13:20,88.330,88.340,87.870,87.980,74761576.0,848700
2025-4-1,13:25,87.960,88.050,87.920,87.970,34236684.0,389200
2025-4-1,13:30,87.990,88.350,87.950,88.130,40764044.0,462600
2025-4-1,13:35,88.010,88.110,87.890,87.890,43474632.0,494100
2025-4-1,13:40,87.880,88.030,87.670,87.700,77845848.0,886400
2025-4-1,13:45,87.700,87.720,87.470,87.470,124153080.0,1417400
2025-4-1,13:50,87.490,87.770,87.490,87.600,82434624.0,940700
2025-4-1,13:55,87.590,87.690,87.500,87.570,62373704.0,712400
2025-4-1,14:00,87.560,87.680,87.460,87.490,56628716.0,646900
2025-4-1,14:05,87.480,87.480,87.000,87.090,130160400.0,1491900
2025-4-1,14:10,87.100,87.100,86.860,86.980,150202240.0,1726400
2025-4-1,14:15,86.970,86.980,86.650,86.870,159993136.0,1843100
2025-4-1,14:20,86.870,86.950,86.560,86.580,122681328.0,1414400
2025-4-1,14:25,86.590,86.590,86.250,86.550,148582352.0,1718900
2025-4-1,14:30,86.570,86.780,86.480,86.670,88730528.0,1024400
2025-4-1,14:35,86.670,86.900,86.550,86.550,81741552.0,942300
2025-4-1,14:40,86.560,86.740,86.560,86.680,94798176.0,1093900
2025-4-1,14:45,86.680,86.780,86.440,86.450,108106192.0,1248600
2025-4-1,14:50,86.460,86.510,86.350,86.350,118459992.0,1370300
2025-4-1,14:55,86.360,86.360,86.190,86.320,193037456.0,2237200
2025-4-1,15:00,86.320,86.500,86.320,86.500,88439288.0,1022900
2025-4-2,09:35,86.380,86.760,86.100,86.320,150802016.0,1746500
2025-4-2,09:40,86.300,86.350,85.870,85.890,133141728.0,1545400
2025-4-2,09:45,85.880,86.100,85.720,85.980,139265328.0,1621200
2025-4-2,09:50,86.010,86.270,85.970,86.260,78845872.0,915800
2025-4-2,09:55,86.260,86.410,86.080,86.100,58952296.0,683300
2025-4-2,10:00,86.100,86.200,85.880,86.170,73686856.0,856500
2025-4-2,10:05,86.160,86.910,86.130,86.660,101154816.0,1168600
2025-4-2,10:10,86.690,86.750,86.550,86.710,78890768.0,910400
2025-4-2,10:15,86.720,87.000,86.670,86.810,95950968.0,1104600
2025-4-2,10:20,86.840,87.300,86.840,87.140,98996688.0,1136700
2025-4-2,10:25,87.120,87.220,87.020,87.220,53668192.0,616100
2025-4-2,10:30,87.220,87.450,87.060,87.090,75100288.0,860400
2025-4-2,10:35,87.080,87.090,86.860,86.860,56075828.0,644700
2025-4-2,10:40,86.840,86.920,86.740,86.910,36144384.0,416200
2025-4-2,10:45,86.880,87.060,86.800,87.030,45039436.0,518200
2025-4-2,10:50,87.050,87.050,86.780,86.780,21220560.0,244200
2025-4-2,10:55,86.780,86.900,86.720,86.860,23732096.0,273300
2025-4-2,11:00,86.860,86.940,86.760,86.760,21451160.0,247000
2025-4-2,11:05,86.770,86.910,86.760,86.830,20685292.0,238300
2025-4-2,11:10,86.830,86.840,86.730,86.820,16735506.0,192900
2025-4-2,11:15,86.840,87.140,86.810,87.060,37492340.0,431100
2025-4-2,11:20,87.070,87.070,86.720,86.720,23101916.0,266000
2025-4-2,11:25,86.710,86.860,86.710,86.730,16006126.0,184500
2025-4-2,11:30,86.730,86.760,86.660,86.700,18800948.0,216800
2025-4-2,13:05,86.720,86.880,86.640,86.760,25211720.0,290700
2025-4-2,13:10,86.760,86.800,86.560,86.560,17090832.0,197300
2025-4-2,13:15,86.560,86.600,86.480,86.580,29793352.0,344200
2025-4-2,13:20,86.520,86.580,86.490,86.570,18906256.0,218600
2025-4-2,13:25,86.570,86.720,86.540,86.620,18250196.0,210600
2025-4-2,13:30,86.620,86.720,86.590,86.670,20949780.0,241800
2025-4-2,13:35,86.670,86.720,86.560,86.610,17307828.0,199700
2025-4-2,13:40,86.610,86.670,86.450,86.510,26882690.0,310600
2025-4-2,13:45,86.460,86.630,86.400,86.610,31595640.0,365300
2025-4-2,13:50,86.610,86.610,86.430,86.550,17047118.0,197000
2025-4-2,13:55,86.570,86.620,86.550,86.550,19420728.0,224300
2025-4-2,14:00,86.560,86.560,86.490,86.490,16313810.0,188500
2025-4-2,14:05,86.490,86.620,86.480,86.520,16582303.0,191600
2025-4-2,14:10,86.550,86.610,86.520,86.610,13130765.0,151700
2025-4-2,14:15,86.600,86.640,86.430,86.560,25413688.0,293600
2025-4-2,14:20,86.550,86.630,86.500,86.600,17910484.0,206900
2025-4-2,14:25,86.600,86.640,86.510,86.570,15379154.0,177700
2025-4-2,14:30,86.570,86.590,86.510,86.590,11854605.0,136900
2025-4-2,14:35,86.570,86.650,86.520,86.520,32949664.0,380500
2025-4-2,14:40,86.570,86.580,86.500,86.550,22360364.0,258400
2025-4-2,14:45,86.540,86.640,86.510,86.630,48087308.0,555600
2025-4-2,14:50,86.620,86.810,86.610,86.800,61536068.0,709700
2025-4-2,14:55,86.800,86.850,86.730,86.850,41627936.0,479700
2025-4-2,15:00,86.840,86.860,86.820,86.850,42303760.0,487100
2025-4-3,09:35,85.970,87.250,85.900,87.100,278370176.0,3212600
2025-4-3,09:40,87.100,87.840,87.100,87.670,194106784.0,2217800
2025-4-3,09:45,87.680,88.680,87.430,88.670,233499744.0,2652800
2025-4-3,09:50,88.600,89.200,88.430,88.910,306330880.0,3448800
2025-4-3,09:55,88.950,88.960,88.290,88.420,133785464.0,1510400
2025-4-3,10:00,88.410,88.590,88.300,88.450,92165296.0,1042400
2025-4-3,10:05,88.400,88.470,87.920,88.050,81405344.0,922900
