日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,86.520,87.680,86.400,87.280,19322996.0,222300
2025-3-31,09:40,87.390,87.400,87.000,87.180,15566703.0,178500
2025-3-31,09:45,87.230,87.400,86.830,87.140,14448905.0,165800
2025-3-31,09:50,87.140,87.170,86.820,87.000,10768313.0,123800
2025-3-31,09:55,86.930,87.300,86.800,87.290,9494311.0,109100
2025-3-31,10:00,87.290,87.700,87.120,87.450,10128712.0,115800
2025-3-31,10:05,87.500,87.880,87.310,87.780,19734830.0,225200
2025-3-31,10:10,87.760,87.850,87.550,87.800,7474319.0,85200
2025-3-31,10:15,87.810,87.810,87.320,87.460,11424169.0,130600
2025-3-31,10:20,87.460,87.590,87.190,87.230,8376989.0,95900
2025-3-31,10:25,87.310,87.360,86.750,86.750,7644866.0,87800
2025-3-31,10:30,86.760,86.940,86.660,86.700,5262787.0,60700
2025-3-31,10:35,86.680,86.720,86.470,86.470,7447186.0,86000
2025-3-31,10:40,86.480,86.550,86.200,86.360,6725685.5,77800
2025-3-31,10:45,86.430,86.500,86.250,86.350,5743172.0,66500
2025-3-31,10:50,86.350,86.360,86.220,86.280,3080395.0,35700
2025-3-31,10:55,86.260,86.330,86.100,86.130,5223220.0,60600
2025-3-31,11:00,86.130,86.270,86.040,86.200,4367635.0,50700
2025-3-31,11:05,86.210,86.270,86.000,86.140,4219430.0,49000
2025-3-31,11:10,86.100,86.180,86.000,86.080,2177606.0,25300
2025-3-31,11:15,86.150,86.210,86.010,86.100,4390313.0,51000
2025-3-31,11:20,86.210,86.260,86.020,86.160,3851769.0,44700
2025-3-31,11:25,86.160,86.370,85.580,85.580,8745662.0,101800
2025-3-31,11:30,85.600,85.760,85.460,85.710,5230916.0,61100
2025-3-31,13:05,85.740,86.430,85.740,86.360,9192414.0,106800
2025-3-31,13:10,86.390,86.410,86.130,86.380,3374590.0,39100
2025-3-31,13:15,86.380,86.530,86.150,86.530,4092465.0,47400
2025-3-31,13:20,86.530,86.530,86.080,86.090,2416515.0,28000
2025-3-31,13:25,86.110,86.300,86.070,86.240,2567837.0,29800
2025-3-31,13:30,86.240,86.240,86.110,86.110,1732116.0,20100
2025-3-31,13:35,86.110,86.250,86.000,86.020,3642427.0,42300
2025-3-31,13:40,86.140,86.260,86.020,86.180,1473338.0,17100
2025-3-31,13:45,86.170,86.220,85.870,85.960,2606498.0,30300
2025-3-31,13:50,85.960,85.960,85.800,85.800,2198029.0,25600
2025-3-31,13:55,85.800,85.950,85.790,85.920,1837389.0,21400
2025-3-31,14:00,85.950,85.950,85.770,85.920,1845976.0,21500
2025-3-31,14:05,85.920,86.250,85.770,86.160,2516518.0,29300
2025-3-31,14:10,86.150,86.280,86.010,86.200,5187093.0,60200
2025-3-31,14:15,86.150,86.400,86.150,86.310,4021662.0,46600
2025-3-31,14:20,86.310,86.670,86.310,86.640,7971210.0,92100
2025-3-31,14:25,86.620,87.270,86.550,86.870,9605879.0,110500
2025-3-31,14:30,86.880,87.030,86.660,86.860,3900333.0,44900
2025-3-31,14:35,86.850,87.140,86.850,87.090,6822988.5,78400
2025-3-31,14:40,87.100,87.360,86.990,87.290,13202161.0,151300
2025-3-31,14:45,87.290,87.510,87.060,87.510,8628000.0,98800
2025-3-31,14:50,87.510,87.530,87.310,87.450,7316494.0,83700
2025-3-31,14:55,87.480,87.520,87.300,87.500,18572836.0,212400
2025-3-31,15:00,87.500,87.510,87.260,87.260,8934157.0,102300
2025-4-1,09:35,87.670,87.990,87.000,87.190,19577804.0,224000
2025-4-1,09:40,87.270,87.270,86.780,86.980,14816263.0,170300
2025-4-1,09:45,86.940,86.940,86.500,86.550,12996030.0,150000
2025-4-1,09:50,86.550,87.020,86.270,86.950,10975435.0,126600
2025-4-1,09:55,86.920,87.380,86.820,87.320,8960626.0,102900
2025-4-1,10:00,87.310,87.360,87.010,87.290,7648645.0,87700
2025-4-1,10:05,87.180,87.460,87.160,87.410,7878452.0,90200
2025-4-1,10:10,87.380,87.620,87.350,87.420,9204301.0,105200
2025-4-1,10:15,87.420,87.490,87.200,87.490,7540254.0,86300
2025-4-1,10:20,87.490,87.550,87.290,87.450,7788688.0,89100
2025-4-1,10:25,87.400,87.590,87.270,87.380,10112107.0,115700
2025-4-1,10:30,87.380,87.380,87.130,87.180,6903286.0,79100
2025-4-1,10:35,87.200,87.310,87.110,87.290,3767049.0,43200
2025-4-1,10:40,87.310,87.340,87.110,87.290,4982051.0,57100
2025-4-1,10:45,87.290,87.290,87.180,87.280,3350836.0,38400
2025-4-1,10:50,87.300,87.340,87.170,87.310,7625309.0,87400
2025-4-1,10:55,87.320,87.340,87.230,87.250,3630336.0,41600
2025-4-1,11:00,87.250,87.300,87.180,87.260,4047715.0,46400
2025-4-1,11:05,87.260,87.300,86.800,86.830,9326926.0,107100
2025-4-1,11:10,86.820,86.870,86.710,86.780,5293608.0,61000
2025-4-1,11:15,86.780,86.970,86.780,86.970,3084193.0,35500
