日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,41.000,41.370,40.840,41.270,136980064.0,3331100
2025-3-31,09:40,41.270,41.390,41.150,41.180,88713336.0,2149300
2025-3-31,09:45,41.240,41.260,41.030,41.080,53625756.0,1302700
2025-3-31,09:50,41.030,41.100,40.850,40.950,70362800.0,1718400
2025-3-31,09:55,40.950,40.970,40.880,40.940,40755000.0,996100
2025-3-31,10:00,40.950,41.040,40.920,41.020,26877998.0,655900
2025-3-31,10:05,41.020,41.170,41.010,41.130,45379408.0,1104700
2025-3-31,10:10,41.120,41.140,40.950,40.960,22166502.0,540200
2025-3-31,10:15,40.960,41.020,40.960,40.990,26862460.0,655500
2025-3-31,10:20,40.990,41.050,40.870,40.870,48267128.0,1179100
2025-3-31,10:25,40.900,40.970,40.890,40.930,23566126.0,576000
2025-3-31,10:30,40.940,40.990,40.890,40.890,21492132.0,525000
2025-3-31,10:35,40.900,40.940,40.870,40.900,24274840.0,593600
2025-3-31,10:40,40.920,40.980,40.900,40.920,17259924.0,421500
2025-3-31,10:45,40.910,40.970,40.870,40.920,25049056.0,612200
2025-3-31,10:50,40.920,40.930,40.880,40.890,24277872.0,593600
2025-3-31,10:55,40.890,40.900,40.740,40.760,67176448.0,1645900
2025-3-31,11:00,40.760,40.780,40.700,40.750,31882324.0,782600
2025-3-31,11:05,40.750,40.760,40.680,40.730,31959920.0,784900
2025-3-31,11:10,40.720,40.740,40.620,40.630,32589252.0,801000
2025-3-31,11:15,40.630,40.670,40.610,40.630,22491350.0,553500
2025-3-31,11:20,40.640,40.800,40.630,40.800,15362575.0,377400
2025-3-31,11:25,40.800,40.840,40.670,40.710,19637048.0,481800
2025-3-31,11:30,40.690,40.690,40.580,40.590,34587540.0,851600
2025-3-31,13:05,40.590,40.630,40.520,40.550,54752564.0,1349300
2025-3-31,13:10,40.550,40.600,40.500,40.600,29697632.0,732300
2025-3-31,13:15,40.600,40.670,40.590,40.600,23433444.0,577100
2025-3-31,13:20,40.600,40.700,40.600,40.620,17305348.0,425800
2025-3-31,13:25,40.640,40.640,40.450,40.530,48611264.0,1199600
2025-3-31,13:30,40.530,40.560,40.500,40.500,17490940.0,431700
2025-3-31,13:35,40.500,40.510,40.410,40.470,33659932.0,832000
2025-3-31,13:40,40.470,40.850,40.470,40.790,54905084.0,1349100
2025-3-31,13:45,40.780,40.890,40.770,40.850,49306056.0,1207300
2025-3-31,13:50,40.850,40.880,40.770,40.840,40926804.0,1002000
2025-3-31,13:55,40.840,40.940,40.800,40.880,35152244.0,859900
2025-3-31,14:00,40.880,40.930,40.850,40.890,21170822.0,517700
2025-3-31,14:05,40.920,40.940,40.830,40.900,19832870.0,485100
2025-3-31,14:10,40.890,40.940,40.860,40.930,23790578.0,581700
2025-3-31,14:15,40.890,40.900,40.810,40.870,13850390.0,338900
2025-3-31,14:20,40.870,40.960,40.860,40.950,28139720.0,687800
2025-3-31,14:25,40.960,41.000,40.910,40.930,27168952.0,663400
2025-3-31,14:30,40.950,40.970,40.900,40.920,23780502.0,580900
2025-3-31,14:35,40.900,40.950,40.880,40.920,20468054.0,500200
2025-3-31,14:40,40.910,40.980,40.910,40.940,24078414.0,588000
2025-3-31,14:45,40.950,40.950,40.850,40.910,32011726.0,783000
2025-3-31,14:50,40.920,40.950,40.910,40.930,22272978.0,544200
2025-3-31,14:55,40.920,40.930,40.900,40.920,33943348.0,829600
2025-3-31,15:00,40.930,40.950,40.890,40.890,37357736.0,913200
