日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,128.800,129.800,128.300,128.500,866047168.0,67172
2025-3-31,09:40,128.600,128.700,127.400,127.600,450049344.0,35170
2025-3-31,09:45,127.600,128.700,127.600,128.000,277600768.0,21660
2025-3-31,09:50,128.000,128.700,127.800,128.600,203893248.0,15882
2025-3-31,09:55,128.600,129.400,128.400,129.300,167111680.0,12965
2025-3-31,10:00,129.400,130.000,129.100,129.700,179648640.0,13869
2025-3-31,10:05,129.800,129.900,128.800,128.900,175682176.0,13591
2025-3-31,10:10,128.800,129.100,128.300,128.500,102672640.0,7984
2025-3-31,10:15,128.500,128.900,128.300,128.400,112843008.0,8776
2025-3-31,10:20,128.500,128.700,128.200,128.400,58857728.0,4583
2025-3-31,10:25,128.400,128.600,128.200,128.300,86664192.0,6752
2025-3-31,10:30,128.300,128.600,128.200,128.200,63720448.0,4964
2025-3-31,10:35,128.300,128.500,127.800,127.900,156268544.0,12204
2025-3-31,10:40,128.100,128.600,128.000,128.400,98922752.0,7709
2025-3-31,10:45,128.200,128.400,128.000,128.000,44509952.0,3472
2025-3-31,10:50,128.000,128.200,127.500,127.500,216164864.0,16923
2025-3-31,10:55,127.500,127.600,126.600,126.900,698192896.0,54937
2025-3-31,11:00,126.900,127.000,126.400,126.500,241591552.0,19067
2025-3-31,11:05,126.500,126.800,126.400,126.700,152883968.0,12081
2025-3-31,11:10,126.800,127.000,126.300,126.500,207147008.0,16355
2025-3-31,11:15,126.500,126.700,126.100,126.500,177066496.0,14022
2025-3-31,11:20,126.500,127.100,126.400,127.000,122915840.0,9693
2025-3-31,11:25,127.000,127.300,126.900,127.000,181418496.0,14271
2025-3-31,11:30,127.000,127.100,126.500,126.700,67443712.0,5322
2025-3-31,11:35,126.700,126.700,126.100,126.100,132972544.0,10526
2025-3-31,11:40,126.100,126.600,126.100,126.500,78600704.0,6221
2025-3-31,11:45,126.600,126.800,126.400,126.600,54769664.0,4325
2025-3-31,11:50,126.700,126.800,126.400,126.400,69392384.0,5483
2025-3-31,11:55,126.500,126.500,126.100,126.200,79962624.0,6332
2025-3-31,12:00,126.200,126.300,126.100,126.300,57406464.0,4549
2025-3-31,13:05,126.300,126.700,126.200,126.700,156093952.0,12345
2025-3-31,13:10,126.700,127.400,126.600,127.300,124195840.0,9782
2025-3-31,13:15,127.300,127.600,127.300,127.500,89930752.0,7056
2025-3-31,13:20,127.500,127.500,126.900,127.100,96989184.0,7622
2025-3-31,13:25,127.000,127.400,126.900,127.300,100407296.0,7901
2025-3-31,13:30,127.200,127.400,127.000,127.100,44770304.0,3520
2025-3-31,13:35,127.100,127.100,126.800,126.900,99793920.0,7861
2025-3-31,13:40,126.800,127.100,126.700,127.100,73255424.0,5773
2025-3-31,13:45,127.000,127.300,127.000,127.200,53164544.0,4180
2025-3-31,13:50,127.200,127.500,127.100,127.500,63066624.0,4953
2025-3-31,13:55,127.400,127.500,127.100,127.400,71962624.0,5653
2025-3-31,14:00,127.300,127.400,127.000,127.100,69587456.0,5473
2025-3-31,14:05,127.000,127.200,127.000,127.000,57595392.0,4531
2025-3-31,14:10,127.100,127.500,127.100,127.300,62545920.0,4914
2025-3-31,14:15,127.400,127.600,127.200,127.600,88324096.0,6928
2025-3-31,14:20,127.500,128.100,127.500,127.800,145210368.0,11356
2025-3-31,14:25,127.700,128.100,127.600,127.800,94321152.0,7378
2025-3-31,14:30,127.900,128.000,127.600,127.700,54005248.0,4227
2025-3-31,14:35,127.600,127.900,127.500,127.900,60611072.0,4745
2025-3-31,14:40,127.900,127.900,127.700,127.800,77121024.0,6033
2025-3-31,14:45,127.800,128.100,127.600,128.000,90604032.0,7083
2025-3-31,14:50,128.000,128.200,127.800,128.000,95656448.0,7475
2025-3-31,14:55,127.900,128.100,127.800,128.000,81522688.0,6369
2025-3-31,15:00,128.100,128.300,128.000,128.200,59674624.0,4656
2025-3-31,15:05,128.200,128.400,128.100,128.300,111476224.0,8689
2025-3-31,15:10,128.300,128.600,128.200,128.400,125369856.0,9760
2025-3-31,15:15,128.400,129.000,128.300,128.900,120643072.0,9377
2025-3-31,15:20,128.900,129.200,128.600,128.800,153643520.0,11914
2025-3-31,15:25,128.800,128.800,128.600,128.600,71577088.0,5560
2025-3-31,15:30,128.600,129.000,128.400,128.900,112445440.0,8733
2025-3-31,15:35,128.900,129.000,128.600,128.700,108229120.0,8401
2025-3-31,15:40,128.700,129.100,128.600,129.000,124345856.0,9642
2025-3-31,15:45,129.000,129.000,128.800,128.900,97625088.0,7573
2025-3-31,15:50,128.800,128.900,128.700,128.900,124486656.0,9666
2025-3-31,15:55,128.900,129.000,128.700,128.700,149659648.0,11613
2025-3-31,16:00,128.800,128.900,128.000,128.000,1170469888.0,91363
2025-4-1,09:35,129.100,130.700,129.100,130.600,712455680.0,54934
2025-4-1,09:40,130.500,130.600,129.300,129.300,293908096.0,22648
2025-4-1,09:45,129.400,129.900,129.000,129.500,201173632.0,15553
2025-4-1,09:50,129.500,130.300,129.500,129.800,196109056.0,15085
2025-4-1,09:55,129.800,129.900,129.200,129.700,159393920.0,12302
2025-4-1,10:00,129.600,130.200,129.300,129.900,116501632.0,8977
2025-4-1,10:05,129.800,130.000,129.500,129.600,78581248.0,6057
2025-4-1,10:10,129.600,129.800,129.400,129.700,97606528.0,7531
2025-4-1,10:15,129.700,130.300,129.600,130.200,109933568.0,8459
2025-4-1,10:20,130.200,130.300,129.800,130.100,82792576.0,6368
2025-4-1,10:25,130.100,130.600,130.000,130.400,168055552.0,12895
2025-4-1,10:30,130.400,130.900,130.300,130.500,227267584.0,17392
2025-4-1,10:35,130.600,130.600,129.900,130.300,81795072.0,6280
2025-4-1,10:40,130.300,130.400,129.800,130.300,95903744.0,7373
2025-4-1,10:45,130.200,130.300,129.900,130.100,63779584.0,4902
2025-4-1,10:50,130.100,130.900,130.100,130.800,106513664.0,8163
2025-4-1,10:55,130.800,130.900,130.400,130.500,84605696.0,6479
2025-4-1,11:00,130.600,130.700,130.200,130.400,105367808.0,8073
2025-4-1,11:05,130.300,130.700,130.200,130.700,105568000.0,8087
2025-4-1,11:10,130.700,130.900,130.400,130.800,96195072.0,7362
2025-4-1,11:15,130.800,130.900,130.400,130.800,97797120.0,7480
2025-4-1,11:20,130.700,130.800,130.500,130.700,43914240.0,3359
2025-4-1,11:25,130.800,131.300,130.700,131.100,258606336.0,19736
2025-4-1,11:30,131.000,131.200,130.900,131.000,62074112.0,4738
2025-4-1,11:35,131.000,131.400,130.900,131.100,106506240.0,8118
2025-4-1,11:40,131.100,131.500,131.100,131.300,70862080.0,5395
2025-4-1,11:45,131.200,131.400,131.100,131.200,31247872.0,2381
2025-4-1,11:50,131.100,131.300,131.100,131.100,30419968.0,2319
2025-4-1,11:55,131.200,131.300,130.900,130.900,58358272.0,4452
2025-4-1,12:00,131.000,131.000,130.700,130.700,31787264.0,2430
2025-4-1,13:05,130.700,130.700,130.000,130.300,127900672.0,9811
2025-4-1,13:10,130.300,130.400,129.600,129.700,171551488.0,13207
2025-4-1,13:15,129.800,130.000,129.500,129.600,104069120.0,8020
2025-4-1,13:20,129.600,129.800,128.900,129.400,219996672.0,17021
2025-4-1,13:25,129.300,130.000,129.300,129.800,120579072.0,9297
2025-4-1,13:30,129.800,130.300,129.800,129.800,108585472.0,8352
2025-4-1,13:35,129.800,129.900,129.300,129.300,91208192.0,7036
2025-4-1,13:40,129.400,129.600,129.200,129.400,57568768.0,4447
2025-4-1,13:45,129.400,129.500,129.100,129.200,72191488.0,5582
2025-4-1,13:50,129.200,129.600,128.900,129.500,143922688.0,11130
2025-4-1,13:55,129.700,130.000,129.500,129.900,106499584.0,8207
2025-4-1,14:00,129.900,130.000,129.700,129.700,61991936.0,4772
2025-4-1,14:05,129.700,130.000,129.600,129.600,43100672.0,3320
2025-4-1,14:10,129.600,130.000,129.500,129.700,60902912.0,4694
2025-4-1,14:15,129.900,129.900,129.500,129.800,43575808.0,3361
2025-4-1,14:20,129.800,129.800,129.500,129.700,43979776.0,3392
2025-4-1,14:25,129.800,129.800,129.300,129.300,69539840.0,5367
2025-4-1,14:30,129.300,129.800,129.300,129.700,43267072.0,3339
2025-4-1,14:35,129.800,130.100,129.700,129.800,127321088.0,9796
2025-4-1,14:40,129.900,130.200,129.800,130.000,41376256.0,3183
2025-4-1,14:45,130.000,130.200,129.900,130.100,70260224.0,5400
2025-4-1,14:50,130.100,130.300,130.000,130.200,67149824.0,5158
2025-4-1,14:55,130.300,130.400,130.200,130.300,57076224.0,4380
2025-4-1,15:00,130.200,130.500,130.200,130.400,83685888.0,6421
2025-4-1,15:05,130.400,130.600,130.300,130.600,93176832.0,7143
2025-4-1,15:10,130.600,130.800,130.500,130.700,82838016.0,6339
