日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,9.080,9.090,8.980,9.010,64801292.0,7179500
2025-3-31,09:40,9.020,9.030,9.000,9.020,38651304.0,4287300
2025-3-31,09:45,9.020,9.050,8.980,8.990,30706152.0,3407700
2025-3-31,09:50,8.980,9.020,8.950,8.970,43463288.0,4840600
2025-3-31,09:55,8.960,8.970,8.920,8.950,37604136.0,4202900
2025-3-31,10:00,8.950,9.000,8.940,9.000,20916784.0,2335100
2025-3-31,10:05,9.000,9.080,8.980,9.050,41007060.0,4539400
2025-3-31,10:10,9.050,9.070,9.040,9.050,14325211.0,1582500
2025-3-31,10:15,9.050,9.060,8.980,8.990,41343824.0,4578400
2025-3-31,10:20,8.980,8.980,8.920,8.920,23910204.0,2672700
2025-3-31,10:25,8.940,8.970,8.930,8.960,15607070.0,1744800
2025-3-31,10:30,8.960,9.000,8.960,8.980,15339264.0,1707500
2025-3-31,10:35,8.980,8.990,8.960,8.970,11053060.0,1231400
2025-3-31,10:40,8.970,8.980,8.950,8.960,9593112.0,1070400
2025-3-31,10:45,8.970,8.980,8.950,8.960,12265881.0,1368600
2025-3-31,10:50,8.960,8.970,8.930,8.930,10169499.0,1136300
2025-3-31,10:55,8.930,9.010,8.930,8.950,25461916.0,2833900
2025-3-31,11:00,8.950,8.970,8.940,8.970,7794381.0,870400
2025-3-31,11:05,8.960,9.010,8.940,8.970,13597949.0,1514700
2025-3-31,11:10,8.960,8.970,8.930,8.940,5638860.0,630300
2025-3-31,11:15,8.940,8.980,8.930,8.960,15666314.0,1745100
2025-3-31,11:20,8.960,8.990,8.950,8.970,7425129.0,828000
2025-3-31,11:25,8.970,8.970,8.920,8.930,16514564.0,1847800
2025-3-31,11:30,8.930,8.940,8.920,8.930,13721062.0,1537800
2025-3-31,13:05,8.930,8.960,8.910,8.950,13907257.0,1555400
2025-3-31,13:10,8.950,8.980,8.950,8.970,4703862.0,524900
2025-3-31,13:15,8.980,8.990,8.960,8.980,5899247.0,657100
2025-3-31,13:20,8.980,9.000,8.960,8.960,8277022.0,921600
2025-3-31,13:25,8.950,8.970,8.930,8.950,6256939.0,699400
2025-3-31,13:30,8.950,8.950,8.930,8.930,3852261.0,430900
2025-3-31,13:35,8.930,8.960,8.920,8.940,8513445.0,953100
2025-3-31,13:40,8.930,8.960,8.930,8.950,3395822.0,379800
2025-3-31,13:45,8.960,8.960,8.940,8.950,3438582.0,384100
2025-3-31,13:50,8.940,8.950,8.930,8.930,5022900.0,562100
2025-3-31,13:55,8.930,8.950,8.930,8.940,4167962.0,466300
2025-3-31,14:00,8.940,8.960,8.930,8.960,4298506.0,480800
2025-3-31,14:05,8.950,8.970,8.940,8.960,4814991.0,537900
2025-3-31,14:10,8.970,9.020,8.960,9.020,16271446.0,1808900
2025-3-31,14:15,9.020,9.050,9.010,9.040,17918032.0,1982700
2025-3-31,14:20,9.040,9.070,9.040,9.040,26543468.0,2931200
2025-3-31,14:25,9.050,9.060,9.040,9.050,8463016.0,935100
2025-3-31,14:30,9.050,9.060,9.040,9.050,14674016.0,1620700
2025-3-31,14:35,9.040,9.070,9.040,9.050,11332849.0,1251200
2025-3-31,14:40,9.060,9.100,9.050,9.090,22879940.0,2520700
2025-3-31,14:45,9.090,9.100,9.060,9.060,12360548.0,1361400
2025-3-31,14:50,9.060,9.070,9.050,9.060,13271730.0,1465300
2025-3-31,14:55,9.050,9.060,9.030,9.050,25001672.0,2765700
2025-3-31,15:00,9.050,9.060,9.040,9.050,15757249.0,1740900
2025-4-1,09:35,9.140,9.170,9.110,9.160,51589080.0,5640300
2025-4-1,09:40,9.160,9.160,9.100,9.120,28231970.0,3094700
2025-4-1,09:45,9.120,9.120,9.060,9.070,22086056.0,2430000
2025-4-1,09:50,9.080,9.100,9.060,9.080,16093563.0,1773300
