日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,179.350,179.350,176.270,176.470,155519680.0,876800
2024-1-2,09:40,176.520,176.520,174.750,175.520,117261136.0,668300
2024-1-2,09:45,175.490,175.890,175.010,175.230,54708984.0,311700
2024-1-2,09:50,175.210,175.700,174.750,174.870,55981632.0,319800
2024-1-2,09:55,174.760,174.880,173.740,174.070,84779696.0,486500
2024-1-2,10:00,174.070,174.500,173.850,174.010,53532556.0,307500
2024-1-2,10:05,174.000,174.120,173.390,174.010,81847328.0,471000
2024-1-2,10:10,174.000,174.340,173.740,173.740,69045720.0,396900
2024-1-2,10:15,173.700,173.700,173.330,173.650,71179872.0,410300
2024-1-2,10:20,173.630,173.690,173.230,173.360,47870808.0,276100
2024-1-2,10:25,173.360,173.780,173.070,173.450,39626440.0,228600
2024-1-2,10:30,173.440,173.450,173.180,173.280,29005322.0,167300
2024-1-2,10:35,173.250,173.250,172.800,173.070,76033792.0,439500
2024-1-2,10:40,173.070,173.220,172.920,172.990,31249314.0,180600
2024-1-2,10:45,172.980,173.020,172.760,172.980,33727264.0,195000
2024-1-2,10:50,173.070,173.100,172.550,172.800,35481072.0,205500
2024-1-2,10:55,172.800,173.210,172.780,172.790,22537248.0,130300
2024-1-2,11:00,172.880,172.990,172.500,172.640,27207514.0,157600
2024-1-2,11:05,172.530,172.890,172.530,172.860,22539158.0,130500
2024-1-2,11:10,172.860,172.900,172.520,172.860,24402826.0,141300
2024-1-2,11:15,172.900,172.970,172.560,172.700,24422812.0,141400
2024-1-2,11:20,172.770,173.500,172.770,173.000,35195016.0,203200
2024-1-2,11:25,172.920,173.000,172.700,172.800,21522320.0,124500
2024-1-2,11:30,172.840,172.850,172.550,172.780,18910212.0,109500
2024-1-2,13:05,172.870,173.000,172.660,173.000,44442592.0,257100
2024-1-2,13:10,173.000,173.560,173.000,173.380,29329832.0,169200
2024-1-2,13:15,173.350,173.650,173.100,173.330,22436132.0,129400
2024-1-2,13:20,173.310,173.440,173.000,173.170,33712320.0,194600
2024-1-2,13:25,173.300,173.370,172.710,172.900,17917488.0,103500
2024-1-2,13:30,172.800,172.900,172.630,172.840,31528832.0,182500
