日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,26.480,26.940,26.300,26.920,4543885.5,169900
2024-7-1,09:40,26.880,27.060,26.800,26.820,3343700.5,124100
2024-7-1,09:45,26.880,26.880,26.510,26.620,3200088.75,119900
2024-7-1,09:50,26.620,26.750,26.610,26.740,1718416.0,64400
2024-7-1,09:55,26.720,26.870,26.670,26.780,1813995.0,67800
2024-7-1,10:00,26.780,26.870,26.740,26.830,958162.375,35700
2024-7-1,10:05,26.790,26.790,26.600,26.710,2243238.75,84100
2024-7-1,10:10,26.700,26.880,26.630,26.880,3514089.0,131400
2024-7-1,10:15,26.840,26.940,26.810,26.810,2609415.25,97100
2024-7-1,10:20,26.810,26.810,26.630,26.720,1135932.0,42600
2024-7-1,10:25,26.720,26.720,26.550,26.640,1146533.0,43000
2024-7-1,10:30,26.640,26.670,26.620,26.630,747964.375,28100
2024-7-1,10:35,26.640,26.690,26.630,26.670,956641.625,35900
2024-7-1,10:40,26.670,26.870,26.640,26.830,1441614.25,53800
2024-7-1,10:45,26.830,26.860,26.700,26.800,709434.375,26500
2024-7-1,10:50,26.790,26.790,26.710,26.760,1056722.0,39500
2024-7-1,10:55,26.760,26.810,26.670,26.780,998056.0,37300
2024-7-1,11:00,26.790,26.800,26.710,26.730,812531.8125,30400
2024-7-1,11:05,26.730,26.750,26.630,26.730,1333392.375,49900
2024-7-1,11:10,26.730,26.850,26.720,26.810,881851.625,32900
2024-7-1,11:15,26.810,26.920,26.810,26.860,1459234.25,54300
2024-7-1,11:20,26.860,26.870,26.750,26.790,1032927.1875,38500
2024-7-1,11:25,26.780,26.830,26.700,26.720,527344.0,19700
2024-7-1,11:30,26.720,26.960,26.720,26.910,1595204.5,59400
2024-7-1,13:05,26.950,27.230,26.920,27.230,4239348.5,156600
2024-7-1,13:10,27.250,27.380,27.130,27.170,2457980.25,90100
2024-7-1,13:15,27.150,27.160,26.930,26.960,3383243.75,125000
2024-7-1,13:20,26.990,27.290,26.990,27.260,3680558.5,135300
2024-7-1,13:25,27.270,27.300,27.250,27.300,3776794.75,138400
2024-7-1,13:30,27.300,27.300,27.230,27.260,2308801.0,84700
2024-7-1,13:35,27.280,27.450,27.280,27.350,5989477.0,218800
2024-7-1,13:40,27.340,27.340,27.250,27.280,1597656.375,58500
2024-7-1,13:45,27.280,27.300,27.240,27.260,880744.0,32300
2024-7-1,13:50,27.240,27.260,27.220,27.240,974410.625,35800
2024-7-1,13:55,27.220,27.250,27.220,27.250,1057730.625,38800
2024-7-1,14:00,27.240,27.240,27.210,27.220,1068861.375,39300
2024-7-1,14:05,27.230,27.300,27.220,27.300,985379.625,36100
2024-7-1,14:10,27.290,27.340,27.280,27.330,1646855.0,60300
2024-7-1,14:15,27.340,27.340,27.190,27.280,2783127.5,102200
2024-7-1,14:20,27.280,27.280,27.180,27.210,1786830.25,65700
2024-7-1,14:25,27.220,27.220,27.180,27.210,948203.0625,34800
2024-7-1,14:30,27.210,27.210,27.120,27.120,551320.0,20300
2024-7-1,14:35,27.120,27.190,27.120,27.190,792805.0,29200
2024-7-1,14:40,27.170,27.190,27.120,27.190,1452893.0,53500
2024-7-1,14:45,27.170,27.300,27.170,27.260,2020426.375,74200
2024-7-1,14:50,27.270,27.340,27.250,27.320,3966326.25,145200
2024-7-1,14:55,27.310,27.340,27.280,27.300,2391091.5,87500
2024-7-1,15:00,27.300,27.340,27.300,27.340,2643657.25,96800
2024-7-2,09:35,27.150,27.250,26.900,27.070,4852838.0,179500
2024-7-2,09:40,27.070,27.180,26.960,27.040,4252102.0,157100
2024-7-2,09:45,27.010,27.030,26.800,26.880,4168871.5,155000
2024-7-2,09:50,26.880,27.060,26.870,26.990,2330481.25,86400
2024-7-2,09:55,26.890,27.020,26.890,27.000,2663698.75,98900
2024-7-2,10:00,26.940,27.020,26.700,26.960,5815953.5,216700
2024-7-2,10:05,26.880,26.880,26.600,26.610,5494918.0,205500
2024-7-2,10:10,26.600,26.850,26.580,26.670,2726330.25,102300
2024-7-2,10:15,26.670,26.720,26.640,26.720,1296934.375,48600
2024-7-2,10:20,26.720,26.720,26.650,26.650,1133025.0,42500
