日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,209.390,211.490,209.150,209.800,22076494.0,104900
2024-7-1,09:40,209.610,210.080,208.110,209.160,19187516.0,91800
2024-7-1,09:45,208.870,209.100,207.600,207.900,14734182.0,70800
2024-7-1,09:50,207.900,208.990,207.900,208.540,8047730.0,38600
2024-7-1,09:55,208.450,208.500,207.580,207.790,12923525.0,62100
2024-7-1,10:00,207.620,208.370,207.620,208.020,11397792.0,54800
2024-7-1,10:05,208.150,208.950,208.000,208.000,11446167.0,54900
2024-7-1,10:10,208.000,208.500,207.860,207.870,9556474.0,45900
2024-7-1,10:15,207.900,207.990,207.190,207.370,6728657.0,32400
2024-7-1,10:20,207.370,207.370,206.830,207.360,7684072.0,37100
2024-7-1,10:25,207.300,207.470,206.520,206.760,8195370.0,39600
2024-7-1,10:30,206.750,206.950,206.310,206.910,9419954.0,45600
2024-7-1,10:35,207.000,207.580,206.940,207.580,6464023.0,31200
2024-7-1,10:40,207.280,208.000,207.280,207.920,6377658.0,30700
2024-7-1,10:45,207.900,208.000,207.300,207.720,5753120.0,27700
2024-7-1,10:50,207.720,208.300,207.470,208.260,5218114.0,25100
2024-7-1,10:55,208.350,209.600,208.350,209.200,10342347.0,49500
2024-7-1,11:00,209.090,209.270,208.510,208.750,9154707.0,43800
2024-7-1,11:05,208.630,209.500,208.530,209.000,5206960.0,24900
2024-7-1,11:10,208.850,209.390,208.830,209.120,3659002.0,17500
2024-7-1,11:15,209.120,209.530,209.010,209.450,4834183.0,23100
2024-7-1,11:20,209.400,209.490,208.840,208.870,3430732.0,16400
2024-7-1,11:25,208.870,209.000,208.550,208.630,3236089.0,15500
2024-7-1,11:30,208.630,208.630,208.100,208.430,4335306.0,20800
2024-7-1,13:05,208.500,209.900,208.220,209.690,8155061.0,39000
2024-7-1,13:10,209.700,210.510,209.150,209.210,7239492.0,34500
2024-7-1,13:15,209.340,209.830,209.260,209.490,4732306.0,22600
2024-7-1,13:20,209.490,210.490,209.380,210.200,5354132.0,25500
2024-7-1,13:25,210.200,210.350,209.260,209.440,3211560.0,15300
2024-7-1,13:30,209.600,209.820,209.280,209.380,3309602.0,15800
2024-7-1,13:35,209.380,210.270,209.380,209.780,4321238.0,20600
2024-7-1,13:40,209.780,209.780,208.510,208.510,4871162.0,23300
2024-7-1,13:45,208.410,208.680,208.120,208.300,3811942.0,18300
2024-7-1,13:50,208.300,208.470,208.020,208.130,2934575.0,14100
2024-7-1,13:55,208.430,208.440,208.130,208.310,2061421.0,9900
2024-7-1,14:00,208.140,208.350,208.080,208.110,3880086.0,18700
2024-7-1,14:05,208.100,208.600,208.050,208.100,3768825.0,18100
2024-7-1,14:10,208.360,208.690,208.080,208.290,8586003.0,41200
2024-7-1,14:15,208.570,208.570,207.660,207.680,7771808.0,37300
2024-7-1,14:20,207.650,208.040,207.500,207.590,6417994.0,30900
2024-7-1,14:25,207.580,207.910,207.250,207.680,8823488.0,42500
2024-7-1,14:30,207.660,208.190,207.260,207.330,17971964.0,86600
2024-7-1,14:35,207.330,207.890,207.330,207.550,16465629.0,79300
2024-7-1,14:40,207.560,207.880,207.360,207.380,13926748.0,67100
2024-7-1,14:45,207.360,207.630,207.200,207.520,10761967.0,51900
2024-7-1,14:50,207.510,207.640,207.210,207.210,13968910.0,67400
2024-7-1,14:55,207.530,207.820,207.280,207.690,7596424.0,36600
2024-7-1,15:00,207.670,207.800,207.520,207.770,4611747.0,22200
2024-7-2,09:35,206.000,206.350,204.240,204.510,25303062.0,123300
2024-7-2,09:40,204.510,206.460,204.510,206.450,16000292.0,77900
2024-7-2,09:45,206.460,206.800,204.620,205.550,23058682.0,112100
2024-7-2,09:50,205.350,207.500,205.350,207.300,12057040.0,58400
2024-7-2,09:55,207.300,208.500,206.590,208.220,22001402.0,105900
2024-7-2,10:00,208.600,209.300,207.500,209.180,16369369.0,78600
2024-7-2,10:05,209.200,210.200,208.560,210.000,25258242.0,120600
2024-7-2,10:10,210.000,210.160,208.100,208.100,18667644.0,89200
2024-7-2,10:15,208.390,208.620,207.600,208.510,10781812.0,51800
2024-7-2,10:20,208.520,209.200,208.360,209.050,7760377.0,37200
2024-7-2,10:25,209.050,209.190,208.480,209.170,6139500.0,29400
2024-7-2,10:30,209.200,210.390,209.200,210.370,10974970.0,52300
2024-7-2,10:35,210.370,211.300,210.250,210.910,18621636.0,88300
2024-7-2,10:40,210.760,211.490,210.220,210.920,14653268.0,69500
2024-7-2,10:45,211.020,211.880,210.850,210.970,10564890.0,50000
2024-7-2,10:50,210.970,212.560,210.970,211.990,14712988.0,69400
2024-7-2,10:55,211.990,212.870,211.990,212.540,11413469.0,53700
2024-7-2,11:00,212.670,212.670,211.910,211.910,9084885.0,42800
2024-7-2,11:05,211.910,211.910,211.200,211.830,7217614.0,34100
2024-7-2,11:10,211.830,211.960,210.830,211.150,8179298.0,38700
2024-7-2,11:15,211.150,211.150,210.650,210.710,4005770.0,19000
2024-7-2,11:20,210.720,210.820,210.650,210.750,3687653.0,17500
2024-7-2,11:25,210.760,210.780,210.540,210.700,4423927.0,21000
2024-7-2,11:30,210.700,211.200,210.700,211.150,2488825.0,11800
2024-7-2,13:05,211.160,212.420,211.160,211.740,14854928.0,70100
2024-7-2,13:10,211.850,212.670,211.620,211.750,7513792.0,35400
2024-7-2,13:15,211.780,212.000,211.760,212.000,5996143.0,28300
2024-7-2,13:20,212.000,212.070,211.660,211.910,5445106.0,25700
2024-7-2,13:25,211.900,211.900,211.320,211.590,3575667.0,16900
2024-7-2,13:30,211.690,211.700,211.350,211.480,3068004.0,14500
2024-7-2,13:35,211.470,211.470,211.150,211.150,3001160.0,14200
2024-7-2,13:40,211.150,211.160,210.680,210.690,7174241.0,34000
2024-7-2,13:45,210.700,210.800,210.630,210.630,3097384.0,14700
2024-7-2,13:50,210.630,210.640,210.170,210.330,3786868.0,18000
2024-7-2,13:55,210.250,210.680,210.100,210.650,3511042.0,16700
2024-7-2,14:00,210.590,210.890,210.400,210.470,4167783.0,19800
2024-7-2,14:05,210.490,211.180,210.460,210.770,5818266.0,27600
2024-7-2,14:10,210.760,210.780,210.330,210.350,3136335.0,14900
2024-7-2,14:15,210.340,210.640,210.340,210.440,2357722.0,11200
2024-7-2,14:20,210.530,210.600,210.130,210.290,4692104.0,22300
2024-7-2,14:25,210.290,210.290,210.110,210.150,3530972.0,16800
2024-7-2,14:30,210.120,210.260,210.100,210.260,4034655.0,19200
