日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,61.160,63.580,61.020,63.540,148178704.0,2378300
2024-9-30,09:40,63.680,63.980,62.600,62.760,89164248.0,1406000
2024-9-30,09:45,62.800,62.980,61.810,61.810,64520188.0,1032700
2024-9-30,09:50,61.810,61.810,60.500,60.750,48641800.0,796800
2024-9-30,09:55,60.740,61.500,60.000,61.500,38950800.0,642700
2024-9-30,10:00,61.490,61.490,60.500,61.050,31656180.0,520000
2024-9-30,10:05,61.180,61.180,60.580,60.690,29348384.0,483000
2024-9-30,10:10,60.700,60.700,60.580,60.590,26190966.0,432000
2024-9-30,10:15,60.570,60.580,59.620,59.950,40752484.0,678600
2024-9-30,10:20,59.950,60.000,59.630,59.780,31179316.0,521100
2024-9-30,10:25,59.780,60.750,59.670,60.740,38893556.0,646100
2024-9-30,10:30,60.700,61.000,60.520,60.870,28603926.0,470500
2024-9-30,10:35,60.790,60.870,59.800,59.870,31986408.0,531700
2024-9-30,10:40,59.870,59.960,59.700,59.770,25727692.0,430300
2024-9-30,10:45,59.780,59.930,59.780,59.820,26234776.0,438400
2024-9-30,10:50,59.810,60.270,59.730,60.270,22841324.0,380700
2024-9-30,10:55,60.260,60.370,60.240,60.340,24698892.0,409600
2024-9-30,11:00,60.340,60.690,60.190,60.670,27307408.0,452000
2024-9-30,11:05,60.700,60.830,60.390,60.510,30841028.0,509200
2024-9-30,11:10,60.510,60.530,60.010,60.170,21228776.0,352500
2024-9-30,11:15,60.170,60.250,60.050,60.250,16307668.0,271200
2024-9-30,11:20,60.260,60.510,60.200,60.500,13608461.0,225700
2024-9-30,11:25,60.470,60.810,60.300,60.800,12613568.0,208100
2024-9-30,11:30,60.800,61.760,60.800,61.730,16965278.0,276800
2024-9-30,13:05,61.780,62.270,61.780,61.830,35199320.0,567900
2024-9-30,13:10,61.840,62.340,61.830,62.220,26232358.0,422000
2024-9-30,13:15,62.200,62.380,61.790,61.870,27631028.0,444900
2024-9-30,13:20,61.880,61.880,61.300,61.330,28777424.0,467300
2024-9-30,13:25,61.310,61.390,61.130,61.380,16741175.0,273200
2024-9-30,13:30,61.380,61.420,61.290,61.420,19805700.0,322800
2024-9-30,13:35,61.430,61.980,61.420,61.980,21753746.0,352900
2024-9-30,13:40,61.980,61.990,61.600,61.780,17571938.0,284300
2024-9-30,13:45,61.750,61.890,61.610,61.890,17193896.0,278600
2024-9-30,13:50,61.900,62.470,61.900,62.410,19556036.0,314000
2024-9-30,13:55,62.410,62.410,62.020,62.220,17789676.0,286100
2024-9-30,14:00,62.220,62.230,62.120,62.190,15552652.0,250100
2024-9-30,14:05,62.180,62.840,62.180,62.830,20495912.0,328300
2024-9-30,14:10,62.840,63.010,62.840,62.960,25163872.0,399600
2024-9-30,14:15,62.960,63.270,62.960,63.030,14100714.0,223400
2024-9-30,14:20,63.030,63.050,62.180,62.200,18858536.0,301200
2024-9-30,14:25,62.170,62.200,61.520,61.570,17808360.0,287200
2024-9-30,14:30,61.520,61.570,60.660,61.130,34824116.0,569900
2024-9-30,14:35,61.120,61.200,61.000,61.150,22952252.0,375600
2024-9-30,14:40,61.120,61.180,61.000,61.170,20156140.0,330000
2024-9-30,14:45,61.170,61.390,61.150,61.380,20166004.0,329500
2024-9-30,14:50,61.390,61.680,61.390,61.680,16501939.0,268100
2024-9-30,14:55,61.690,61.690,61.600,61.610,28711604.0,465900
2024-9-30,15:00,61.610,61.700,61.600,61.700,29808878.0,483300
2024-10-8,09:35,67.700,67.700,64.220,64.800,183464320.0,2765400
2024-10-8,09:40,64.980,64.980,64.000,64.860,133029064.0,2066600
2024-10-8,09:45,64.880,64.920,62.740,62.760,59887440.0,937400
2024-10-8,09:50,62.760,64.680,62.680,64.680,56419356.0,888200
2024-10-8,09:55,64.710,64.710,63.830,63.840,41813612.0,649800
2024-10-8,10:00,63.800,63.990,63.200,63.570,46115988.0,725600
2024-10-8,10:05,63.590,63.820,63.570,63.610,29651080.0,465300
2024-10-8,10:10,63.600,63.610,63.000,63.000,28116938.0,444000
2024-10-8,10:15,62.990,62.990,61.800,61.990,58227248.0,933900
