日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,17.900,18.300,17.880,18.270,111489960.0,6148400
2024-9-30,09:40,18.310,18.450,18.020,18.020,71799200.0,3931000
2024-9-30,09:45,18.010,18.140,18.000,18.070,67179512.0,3719500
2024-9-30,09:50,18.060,18.110,17.920,17.950,64389112.0,3574200
2024-9-30,09:55,17.950,18.040,17.760,18.040,56075472.0,3139900
2024-9-30,10:00,18.020,18.150,18.000,18.140,27260872.0,1509300
2024-9-30,10:05,18.130,18.200,18.070,18.160,29084016.0,1604000
2024-9-30,10:10,18.150,18.200,18.100,18.170,17417900.0,959800
2024-9-30,10:15,18.150,18.170,18.030,18.100,18061748.0,999000
2024-9-30,10:20,18.090,18.180,18.080,18.180,16724777.0,922900
2024-9-30,10:25,18.180,18.330,18.180,18.310,24633236.0,1348000
2024-9-30,10:30,18.300,18.380,18.300,18.370,24867828.0,1355000
2024-9-30,10:35,18.390,18.400,18.260,18.360,26710020.0,1456100
2024-9-30,10:40,18.350,18.400,18.300,18.330,18312182.0,997400
2024-9-30,10:45,18.320,18.410,18.320,18.400,14395747.0,783700
2024-9-30,10:50,18.390,18.580,18.390,18.530,53861480.0,2912600
2024-9-30,10:55,18.530,18.660,18.500,18.650,22395650.0,1205400
2024-9-30,11:00,18.660,18.680,18.600,18.670,18325666.0,982800
2024-9-30,11:05,18.670,18.680,18.520,18.540,16054257.0,863800
2024-9-30,11:10,18.540,18.580,18.420,18.580,13428954.0,726400
2024-9-30,11:15,18.560,18.590,18.540,18.560,10876575.0,585900
2024-9-30,11:20,18.570,18.630,18.500,18.600,9412082.0,507000
2024-9-30,11:25,18.610,18.680,18.590,18.680,8245401.0,442800
2024-9-30,11:30,18.670,18.740,18.640,18.710,11856166.0,634300
2024-9-30,13:05,18.720,18.900,18.710,18.900,29828476.0,1584500
2024-9-30,13:10,18.910,18.920,18.860,18.890,15898573.0,841500
2024-9-30,13:15,18.890,18.940,18.720,18.720,20581500.0,1093000
2024-9-30,13:20,18.730,18.840,18.680,18.830,16121003.0,859200
2024-9-30,13:25,18.830,18.840,18.750,18.800,11013561.0,585800
2024-9-30,13:30,18.820,18.840,18.800,18.820,8602959.0,457000
2024-9-30,13:35,18.830,18.870,18.820,18.870,11310507.0,600500
2024-9-30,13:40,18.870,18.940,18.850,18.890,15290896.0,809100
2024-9-30,13:45,18.890,18.920,18.880,18.890,12570587.0,665300
2024-9-30,13:50,18.900,18.930,18.890,18.920,12696536.0,671400
2024-9-30,13:55,18.920,18.930,18.900,18.910,11002585.0,581700
2024-9-30,14:00,18.920,18.950,18.900,18.930,12453818.0,658100
2024-9-30,14:05,18.940,18.980,18.930,18.970,10850387.0,572500
2024-9-30,14:10,18.970,18.980,18.940,18.950,10404362.0,548800
2024-9-30,14:15,18.950,18.960,18.930,18.950,10664339.0,562800
2024-9-30,14:20,18.950,18.960,18.870,18.870,16018222.0,846700
2024-9-30,14:25,18.870,18.870,18.500,18.540,37256680.0,1995100
2024-9-30,14:30,18.510,18.700,18.390,18.640,35351496.0,1909300
2024-9-30,14:35,18.650,18.720,18.610,18.720,14829520.0,795100
2024-9-30,14:40,18.720,18.840,18.720,18.820,16333625.0,870500
2024-9-30,14:45,18.810,18.850,18.800,18.850,13166653.0,699800
2024-9-30,14:50,18.840,18.870,18.830,18.870,15027294.0,796800
2024-9-30,14:55,18.870,18.870,18.840,18.860,21915014.0,1162200
2024-9-30,15:00,18.860,18.930,18.860,18.930,26156344.0,1383900
2024-10-8,09:35,20.820,20.820,20.520,20.740,171984480.0,8293500
2024-10-8,09:40,20.700,20.770,20.380,20.400,64518432.0,3122900
2024-10-8,09:45,20.410,20.430,19.880,19.880,82968168.0,4113600
2024-10-8,09:50,19.880,20.400,19.860,20.360,58311932.0,2894300
2024-10-8,09:55,20.350,20.540,20.340,20.480,58456192.0,2862900
2024-10-8,10:00,20.470,20.480,20.190,20.210,40418252.0,1990700
2024-10-8,10:05,20.210,20.410,20.200,20.330,31516548.0,1549500
2024-10-8,10:10,20.330,20.350,20.150,20.200,25384048.0,1253500
2024-10-8,10:15,20.200,20.220,19.950,19.980,40035716.0,1996400
2024-10-8,10:20,19.970,20.200,19.950,20.140,32053556.0,1595600
2024-10-8,10:25,20.150,20.220,19.970,19.970,31780750.0,1581800
2024-10-8,10:30,19.970,20.000,19.770,19.770,38954784.0,1957800
2024-10-8,10:35,19.780,19.780,19.300,19.330,47182420.0,2411200
2024-10-8,10:40,19.310,19.330,18.720,19.020,71315440.0,3753000
2024-10-8,10:45,19.020,19.680,19.020,19.630,41808456.0,2152200
2024-10-8,10:50,19.630,19.710,19.390,19.440,46887616.0,2389900
