日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,86.100,87.000,85.250,86.400,19887520.0,2305
2024-12-31,09:40,86.400,87.300,86.300,86.950,13329920.0,1535
2024-12-31,09:45,86.900,87.650,86.800,87.450,17798880.0,2040
2024-12-31,09:50,87.500,87.600,86.800,86.850,28242192.0,3231
2024-12-31,09:55,86.950,87.450,86.650,87.250,12458000.0,1432
2024-12-31,10:00,87.250,88.000,87.250,87.700,22533272.0,2569
2024-12-31,10:05,87.750,88.000,87.500,88.000,10490784.0,1196
2024-12-31,10:10,88.000,88.550,87.850,87.900,31302904.0,3547
2024-12-31,10:15,87.950,88.450,87.900,88.300,8936160.0,1013
2024-12-31,10:20,88.350,88.500,88.000,88.150,12194432.0,1380
2024-12-31,10:25,88.150,88.600,88.100,88.400,8011280.0,906
2024-12-31,10:30,88.450,88.800,88.400,88.800,11686720.0,1318
2024-12-31,10:35,88.800,88.950,88.650,88.950,15926128.0,1794
2024-12-31,10:40,88.950,89.000,88.700,88.850,19253792.0,2166
2024-12-31,10:45,88.900,89.650,88.900,89.450,23749152.0,2656
2024-12-31,10:50,89.250,89.550,89.000,89.050,10870080.0,1218
2024-12-31,10:55,89.100,89.400,89.050,89.250,11643152.0,1304
2024-12-31,11:00,89.250,89.400,88.950,89.150,13794016.0,1546
2024-12-31,11:05,89.200,89.200,88.950,89.150,12099712.0,1358
2024-12-31,11:10,89.150,89.300,88.800,88.800,13963840.0,1568
2024-12-31,11:15,88.800,89.150,88.550,89.000,10238688.0,1153
2024-12-31,11:20,89.000,89.300,88.950,89.100,9772224.0,1096
2024-12-31,11:25,89.150,89.250,88.950,89.150,10034304.0,1126
2024-12-31,11:30,89.200,89.550,89.150,89.500,22097632.0,2472
2024-12-31,11:35,89.550,89.950,89.500,89.900,28197920.0,3142
2024-12-31,11:40,89.900,89.950,89.300,89.600,16862912.0,1882
2024-12-31,11:45,89.600,90.000,89.400,89.850,15291808.0,1704
2024-12-31,11:50,89.900,90.000,89.700,89.950,16579872.0,1844
2024-12-31,11:55,89.950,90.050,89.800,89.950,15538784.0,1728
2024-12-31,12:00,89.950,90.200,89.900,90.000,25538688.0,2835
2024-12-31,13:05,89.650,89.650,89.650,89.650,15957696.0,1780
2024-12-31,13:10,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:15,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:20,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:25,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:30,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:35,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:40,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:45,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:50,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,13:55,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:00,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:05,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:10,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:15,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:20,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:25,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:30,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:35,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:40,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:45,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:50,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,14:55,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:00,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:05,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:10,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:15,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:20,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:25,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:30,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:35,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:40,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:45,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:50,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,15:55,89.650,89.650,89.650,89.650,0.0,0
2024-12-31,16:00,89.650,89.650,89.650,89.650,0.0,0
2025-1-2,09:35,89.800,91.500,89.250,91.400,45157752.0,5012
2025-1-2,09:40,91.400,92.000,90.500,91.050,48492016.0,5308
2025-1-2,09:45,91.100,91.300,90.150,90.800,28560408.0,3146
2025-1-2,09:50,90.850,90.900,89.850,90.200,18250848.0,2025
2025-1-2,09:55,90.500,90.700,90.150,90.350,15708176.0,1738
2025-1-2,10:00,90.450,90.600,90.250,90.350,11394752.0,1260
2025-1-2,10:05,90.350,90.650,90.250,90.300,11623664.0,1286
2025-1-2,10:10,90.300,90.700,90.250,90.550,7175216.0,794
2025-1-2,10:15,90.550,91.050,90.550,90.950,18523216.0,2040
2025-1-2,10:20,91.000,91.650,90.950,91.650,10552432.0,1156
2025-1-2,10:25,91.650,92.650,91.650,92.100,34627296.0,3754
2025-1-2,10:30,92.050,92.200,91.500,91.950,12843456.0,1398
2025-1-2,10:35,91.950,92.300,91.900,92.050,9538928.0,1036
2025-1-2,10:40,92.000,92.150,91.900,92.100,6293184.0,684
2025-1-2,10:45,92.150,92.150,91.900,92.050,5299616.0,576
2025-1-2,10:50,92.050,92.200,92.000,92.050,3315552.0,360
2025-1-2,10:55,92.150,92.650,92.150,92.350,9874176.0,1068
2025-1-2,11:00,92.350,92.800,92.300,92.450,13312960.0,1438
2025-1-2,11:05,92.450,92.700,92.150,92.500,7467616.0,807
2025-1-2,11:10,92.500,92.500,92.050,92.300,9106528.0,988
2025-1-2,11:15,92.300,92.600,92.250,92.600,6001888.0,649
2025-1-2,11:20,92.600,92.600,92.000,92.000,8157472.0,884
2025-1-2,11:25,92.150,92.400,92.150,92.400,5332576.0,578
2025-1-2,11:30,92.400,92.400,92.000,92.100,4513472.0,490
2025-1-2,11:35,92.050,92.300,92.050,92.100,3336032.0,362
2025-1-2,11:40,92.100,92.100,91.900,91.900,14683328.0,1596
2025-1-2,11:45,91.900,91.950,91.550,91.750,9210048.0,1004
2025-1-2,11:50,91.700,92.050,91.700,91.900,3968800.0,432
2025-1-2,11:55,91.900,92.000,91.800,91.950,5365632.0,584
2025-1-2,12:00,91.950,92.050,91.800,92.050,4467008.0,486
2025-1-2,13:05,92.050,92.050,91.300,91.450,10529472.0,1148
2025-1-2,13:10,91.300,91.400,91.050,91.100,7605216.0,834
2025-1-2,13:15,91.100,91.400,91.050,91.250,7041920.0,772
2025-1-2,13:20,91.250,91.350,91.100,91.100,5803616.0,636
2025-1-2,13:25,91.200,91.200,90.800,90.800,6901184.0,758
2025-1-2,13:30,90.850,90.850,90.700,90.800,7823712.0,862
2025-1-2,13:35,90.800,91.200,90.800,91.000,10420928.0,1146
2025-1-2,13:40,91.000,91.100,90.950,91.050,3549792.0,390
2025-1-2,13:45,91.050,91.050,91.000,91.050,3058176.0,336
2025-1-2,13:50,91.000,91.050,90.800,90.800,7617472.0,838
2025-1-2,13:55,90.850,90.850,90.600,90.600,6061632.0,668
2025-1-2,14:00,90.600,91.050,90.600,91.050,12825088.0,1414
2025-1-2,14:05,91.050,91.150,90.750,90.800,4762816.0,524
2025-1-2,14:10,90.800,90.850,90.700,90.800,3922240.0,432
2025-1-2,14:15,90.700,90.750,90.650,90.700,4534752.0,500
