日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,64.800,65.480,64.520,65.000,21960288.0,337700
2025-3-31,09:40,64.860,65.000,64.010,64.120,20087220.0,311400
2025-3-31,09:45,64.120,64.830,64.030,64.790,26305296.0,408600
2025-3-31,09:50,64.760,64.970,64.530,64.600,5729189.0,88600
2025-3-31,09:55,64.610,64.800,64.480,64.800,11118743.0,172000
2025-3-31,10:00,64.810,65.960,64.810,65.890,20892980.0,319300
2025-3-31,10:05,65.950,66.880,65.860,66.570,30718630.0,463300
2025-3-31,10:10,66.580,66.600,65.980,66.190,11486000.0,173000
2025-3-31,10:15,66.240,66.240,65.940,65.970,9601370.0,145300
2025-3-31,10:20,65.980,66.000,65.610,65.640,6437951.0,97900
2025-3-31,10:25,65.700,65.790,65.480,65.600,8829899.0,134600
2025-3-31,10:30,65.590,65.720,65.360,65.540,6559022.0,100100
2025-3-31,10:35,65.540,65.670,65.440,65.530,6057222.0,92400
2025-3-31,10:40,65.540,65.670,65.480,65.480,8937417.0,136300
2025-3-31,10:45,65.450,65.620,65.240,65.520,12795861.0,195600
2025-3-31,10:50,65.580,65.580,65.440,65.460,8233821.0,125700
2025-3-31,10:55,65.470,65.640,65.250,65.410,9337292.0,142700
2025-3-31,11:00,65.410,65.560,65.220,65.460,13054651.0,199700
2025-3-31,11:05,65.300,65.550,65.080,65.090,12983381.0,198800
2025-3-31,11:10,65.090,65.150,64.880,64.880,12475016.0,191800
2025-3-31,11:15,64.880,65.190,64.780,65.190,10481329.0,161300
2025-3-31,11:20,65.180,65.320,65.100,65.200,6217565.0,95400
2025-3-31,11:25,65.220,65.360,64.950,64.990,6113202.0,93900
2025-3-31,11:30,64.970,65.200,64.940,65.070,4604137.0,70800
2025-3-31,13:05,64.940,65.310,64.860,65.110,10308145.0,158500
2025-3-31,13:10,65.110,65.420,65.000,65.250,6449804.0,98900
2025-3-31,13:15,65.290,65.560,65.290,65.510,7164082.0,109500
2025-3-31,13:20,65.510,65.510,65.140,65.140,5069545.0,77600
2025-3-31,13:25,65.150,65.220,65.000,65.010,13407099.0,205900
2025-3-31,13:30,65.010,65.200,64.880,65.070,11738355.0,180600
2025-3-31,13:35,65.070,65.210,64.960,65.110,5000010.0,76800
2025-3-31,13:40,65.100,65.210,65.000,65.130,4614240.0,70900
2025-3-31,13:45,65.130,65.480,65.130,65.160,8804221.0,134900
2025-3-31,13:50,65.180,65.350,65.140,65.190,8715418.0,133600
2025-3-31,13:55,65.220,65.330,65.150,65.310,6732955.0,103100
2025-3-31,14:00,65.300,65.310,64.580,64.590,23415030.0,359500
2025-3-31,14:05,64.550,64.550,63.900,64.380,28284934.0,440500
2025-3-31,14:10,64.330,64.860,64.300,64.660,5897680.0,91500
2025-3-31,14:15,64.780,64.950,64.640,64.800,5948811.0,91800
2025-3-31,14:20,64.740,65.100,64.740,65.040,8025464.0,123500
2025-3-31,14:25,65.050,65.350,64.970,65.060,5985074.0,91900
2025-3-31,14:30,64.970,65.060,64.940,65.000,12657326.0,194800
2025-3-31,14:35,65.000,65.010,64.830,64.860,6825187.0,105000
2025-3-31,14:40,64.860,65.160,64.820,65.040,5350112.0,82300
2025-3-31,14:45,65.010,65.300,64.950,65.290,12431163.0,191000
2025-3-31,14:50,65.300,65.350,65.230,65.350,6207784.0,95100
2025-3-31,14:55,65.350,65.350,65.210,65.220,9918138.0,152000
2025-3-31,15:00,65.210,65.210,65.160,65.200,6803611.0,104300
2025-4-1,09:35,65.260,65.600,64.700,65.210,18848912.0,289500
2025-4-1,09:40,65.100,65.330,64.670,64.720,11764305.0,180700
2025-4-1,09:45,64.710,64.710,64.000,64.110,29667508.0,460800
2025-4-1,09:50,64.070,64.250,63.760,63.810,30269438.0,473400
2025-4-1,09:55,63.810,64.090,63.190,64.080,31839386.0,500300
2025-4-1,10:00,64.080,64.470,64.000,64.220,22020564.0,342500
