日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,45.390,45.800,44.150,44.850,10894498.0,243800
2025-3-31,09:40,44.810,45.090,44.620,45.040,7422844.0,165600
2025-3-31,09:45,45.030,45.030,44.700,44.730,3067690.0,68300
2025-3-31,09:50,44.760,44.760,44.470,44.500,3988866.0,89500
2025-3-31,09:55,44.400,44.600,44.240,44.580,4532865.0,102000
2025-3-31,10:00,44.580,44.930,44.580,44.810,2964052.0,66200
2025-3-31,10:05,44.860,44.890,44.650,44.820,2789066.0,62300
2025-3-31,10:10,44.820,44.970,44.710,44.900,1785328.0,39800
2025-3-31,10:15,44.900,45.120,44.900,45.110,3736863.0,83000
2025-3-31,10:20,45.110,45.110,44.910,44.950,2637865.0,58600
2025-3-31,10:25,44.960,45.150,44.920,45.110,3217246.0,71500
2025-3-31,10:30,45.110,45.650,45.110,45.600,11488190.0,253300
2025-3-31,10:35,45.640,45.700,45.390,45.390,5843219.0,128100
2025-3-31,10:40,45.390,45.450,45.190,45.240,1581344.0,34900
2025-3-31,10:45,45.240,45.240,45.040,45.110,1267562.0,28100
2025-3-31,10:50,45.110,45.350,45.070,45.070,2004812.0,44400
2025-3-31,10:55,45.060,45.200,45.030,45.030,2192712.0,48600
2025-3-31,11:00,45.030,45.150,45.000,45.000,1500075.0,33300
2025-3-31,11:05,45.100,45.200,45.040,45.110,1448448.0,32100
2025-3-31,11:10,45.080,45.150,44.960,44.960,783947.0,17400
2025-3-31,11:15,44.960,45.060,44.830,44.850,1284222.0,28600
2025-3-31,11:20,44.850,45.000,44.820,44.940,1464411.0,32600
2025-3-31,11:25,44.940,44.980,44.620,44.680,1433862.0,32000
2025-3-31,11:30,44.630,44.750,44.600,44.720,1014498.0,22700
2025-3-31,13:05,44.730,44.930,44.660,44.700,2210620.0,49400
2025-3-31,13:10,44.680,44.760,44.660,44.680,1082156.0,24200
2025-3-31,13:15,44.720,44.890,44.700,44.850,1441858.0,32200
2025-3-31,13:20,44.850,44.950,44.710,44.710,1447895.0,32300
2025-3-31,13:25,44.710,44.780,44.680,44.750,1363832.0,30500
2025-3-31,13:30,44.790,44.920,44.790,44.820,1712499.0,38200
2025-3-31,13:35,44.810,44.830,44.730,44.800,962594.0,21500
2025-3-31,13:40,44.770,44.860,44.760,44.860,1827334.0,40700
2025-3-31,13:45,44.850,45.090,44.850,45.020,1566687.0,34800
2025-3-31,13:50,45.020,45.030,44.940,44.970,2439263.0,54200
2025-3-31,13:55,44.950,45.030,44.940,44.940,1102046.0,24500
2025-3-31,14:00,44.940,44.950,44.700,44.710,6618455.0,147800
2025-3-31,14:05,44.720,44.800,44.680,44.730,1637051.0,36600
2025-3-31,14:10,44.730,44.790,44.680,44.710,2325553.0,52000
2025-3-31,14:15,44.710,44.750,44.600,44.650,1527661.0,34200
2025-3-31,14:20,44.650,44.880,44.600,44.720,4516953.0,101000
2025-3-31,14:25,44.730,44.770,44.600,44.670,3692847.0,82600
2025-3-31,14:30,44.680,44.690,44.490,44.560,2839878.0,63700
2025-3-31,14:35,44.570,44.640,44.500,44.580,2773039.0,62200
2025-3-31,14:40,44.560,44.620,44.500,44.540,2000574.0,44900
2025-3-31,14:45,44.560,44.590,44.480,44.550,2716650.0,61000
2025-3-31,14:50,44.570,44.600,44.500,44.510,3647228.0,81900
2025-3-31,14:55,44.510,44.550,44.310,44.310,6094338.0,137200
2025-3-31,15:00,44.330,44.400,44.330,44.380,6273621.0,141400
2025-4-1,09:35,44.380,45.040,44.010,44.970,8895211.0,199400
2025-4-1,09:40,44.970,44.970,44.670,44.840,4074722.0,91000
2025-4-1,09:45,44.760,44.760,44.610,44.670,1970084.0,44100
