日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,7.320,7.500,7.250,7.430,82411984.0,111980
2025-3-31,09:40,7.430,7.430,7.270,7.270,32159000.0,43882
2025-3-31,09:45,7.270,7.370,7.270,7.290,27716120.0,37899
2025-3-31,09:50,7.290,7.380,7.280,7.380,22712000.0,30967
2025-3-31,09:55,7.380,7.380,7.330,7.360,14600944.0,19860
2025-3-31,10:00,7.360,7.430,7.320,7.370,24233728.0,32860
2025-3-31,10:05,7.370,7.490,7.370,7.450,11068672.0,14880
2025-3-31,10:10,7.450,7.450,7.390,7.400,8167264.0,11020
2025-3-31,10:15,7.380,7.410,7.360,7.360,11155696.0,15100
2025-3-31,10:20,7.360,7.390,7.340,7.350,8299600.0,11276
2025-3-31,10:25,7.340,7.350,7.310,7.340,12531344.0,17100
2025-3-31,10:30,7.340,7.340,7.270,7.290,12638560.0,17320
2025-3-31,10:35,7.290,7.300,7.270,7.280,8693728.0,11940
2025-3-31,10:40,7.280,7.340,7.280,7.330,10869184.0,14860
2025-3-31,10:45,7.330,7.340,7.310,7.320,5347904.0,7300
2025-3-31,10:50,7.310,7.320,7.270,7.280,12817600.0,17580
2025-3-31,10:55,7.270,7.280,7.210,7.230,32831040.0,45299
2025-3-31,11:00,7.240,7.250,7.190,7.200,51202784.0,70960
2025-3-31,11:05,7.200,7.200,7.130,7.170,37330144.0,52161
2025-3-31,11:10,7.180,7.180,7.130,7.140,12331808.0,17240
2025-3-31,11:15,7.130,7.210,7.130,7.190,17782976.0,24780
2025-3-31,11:20,7.190,7.230,7.180,7.200,11322464.0,15720
2025-3-31,11:25,7.200,7.210,7.150,7.150,13459200.0,18780
2025-3-31,11:30,7.150,7.160,7.120,7.120,11426816.0,16000
2025-3-31,11:35,7.140,7.140,7.110,7.120,10278752.0,14440
2025-3-31,11:40,7.120,7.140,7.100,7.130,6324416.0,8880
2025-3-31,11:45,7.130,7.130,7.110,7.110,8255040.0,11600
2025-3-31,11:50,7.110,7.120,7.100,7.110,5219392.0,7340
2025-3-31,11:55,7.110,7.130,7.110,7.120,7889792.0,11080
2025-3-31,12:00,7.130,7.130,7.120,7.130,3206688.0,4500
2025-3-31,13:05,7.130,7.270,7.120,7.260,30982560.0,43000
2025-3-31,13:10,7.260,7.370,7.250,7.360,20842624.0,28459
2025-3-31,13:15,7.360,7.390,7.290,7.330,17264384.0,23500
2025-3-31,13:20,7.330,7.330,7.280,7.280,10244224.0,14040
2025-3-31,13:25,7.280,7.330,7.280,7.330,8939200.0,12240
2025-3-31,13:30,7.330,7.390,7.320,7.340,11468480.0,15580
2025-3-31,13:35,7.330,7.330,7.290,7.310,9079040.0,12420
2025-3-31,13:40,7.300,7.310,7.260,7.290,6039424.0,8300
2025-3-31,13:45,7.290,7.320,7.260,7.260,7548928.0,10360
2025-3-31,13:50,7.260,7.270,7.230,7.270,11967040.0,16520
2025-3-31,13:55,7.270,7.300,7.260,7.270,3741696.0,5140
2025-3-31,14:00,7.270,7.270,7.230,7.250,2884416.0,3980
2025-3-31,14:05,7.240,7.260,7.220,7.260,3245952.0,4480
2025-3-31,14:10,7.270,7.330,7.260,7.330,3985408.0,5460
2025-3-31,14:15,7.320,7.360,7.320,7.350,5797440.0,7900
2025-3-31,14:20,7.340,7.430,7.340,7.390,17714816.0,23960
2025-3-31,14:25,7.370,7.390,7.350,7.370,6645568.0,9020
2025-3-31,14:30,7.370,7.390,7.360,7.360,4971648.0,6740
2025-3-31,14:35,7.360,7.390,7.360,7.380,3232128.0,4380
2025-3-31,14:40,7.380,7.390,7.370,7.370,4104896.0,5560
2025-3-31,14:45,7.380,7.400,7.370,7.370,7695104.0,10420
2025-3-31,14:50,7.370,7.370,7.340,7.340,4311744.0,5860
2025-3-31,14:55,7.330,7.330,7.320,7.330,1744064.0,2380
2025-3-31,15:00,7.320,7.340,7.310,7.340,8650560.0,11820
2025-3-31,15:05,7.340,7.360,7.340,7.340,3424064.0,4660
2025-3-31,15:10,7.340,7.370,7.340,7.350,4647808.0,6320
2025-3-31,15:15,7.350,7.420,7.350,7.410,24816832.0,33620
2025-3-31,15:20,7.410,7.450,7.390,7.410,11081216.0,14920
2025-3-31,15:25,7.410,7.410,7.380,7.390,4673920.0,6320
2025-3-31,15:30,7.390,7.400,7.380,7.380,6249728.0,8460
2025-3-31,15:35,7.370,7.370,7.350,7.360,4742080.0,6440
2025-3-31,15:40,7.360,7.400,7.360,7.390,5449472.0,7380
2025-3-31,15:45,7.390,7.400,7.380,7.390,4568064.0,6180
2025-3-31,15:50,7.390,7.390,7.370,7.390,5744960.0,7780
2025-3-31,15:55,7.390,7.390,7.380,7.390,6102976.0,8260
2025-3-31,16:00,7.390,7.390,7.350,7.350,16232768.0,22040
2025-4-1,09:35,7.520,7.630,7.430,7.450,50582004.0,67320
2025-4-1,09:40,7.460,7.460,7.370,7.420,17451260.0,23540
2025-4-1,09:45,7.400,7.400,7.270,7.280,27628872.0,37720
2025-4-1,09:50,7.290,7.390,7.280,7.340,13842480.0,18840
2025-4-1,09:55,7.340,7.340,7.280,7.310,10094920.0,13820
2025-4-1,10:00,7.310,7.380,7.290,7.360,10911480.0,14900
2025-4-1,10:05,7.360,7.360,7.310,7.350,9011064.0,12280
2025-4-1,10:10,7.340,7.370,7.320,7.320,5345344.0,7280
2025-4-1,10:15,7.330,7.350,7.320,7.350,4954112.0,6760
2025-4-1,10:20,7.360,7.360,7.320,7.320,6915136.0,9440
2025-4-1,10:25,7.320,7.380,7.320,7.380,6506544.0,8860
2025-4-1,10:30,7.380,7.400,7.380,7.380,7109424.0,9620
2025-4-1,10:35,7.380,7.380,7.340,7.360,4249600.0,5780
2025-4-1,10:40,7.360,7.410,7.330,7.410,4890320.0,6640
2025-4-1,10:45,7.420,7.440,7.400,7.440,10748016.0,14480
2025-4-1,10:50,7.440,7.490,7.420,7.460,18636048.0,24990
2025-4-1,10:55,7.470,7.520,7.440,7.450,12926864.0,17260
2025-4-1,11:00,7.450,7.480,7.430,7.430,5488672.0,7360
2025-4-1,11:05,7.430,7.460,7.410,7.430,5200784.0,7000
2025-4-1,11:10,7.430,7.450,7.420,7.430,2630624.0,3540
2025-4-1,11:15,7.440,7.450,7.430,7.450,3451968.0,4640
2025-4-1,11:20,7.450,7.480,7.450,7.480,3418000.0,4580
2025-4-1,11:25,7.480,7.480,7.460,7.460,3585520.0,4800
2025-4-1,11:30,7.470,7.470,7.430,7.460,7852736.0,10540
2025-4-1,11:35,7.470,7.500,7.460,7.490,5435424.0,7260
2025-4-1,11:40,7.490,7.500,7.480,7.490,3430896.0,4580
2025-4-1,11:45,7.480,7.490,7.460,7.460,1719008.0,2300
2025-4-1,11:50,7.460,7.490,7.460,7.480,2244192.0,3000
2025-4-1,11:55,7.480,7.480,7.460,7.460,1343728.0,1800
