日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,29.000,29.400,28.700,29.000,2840850.25,980
2025-3-31,09:40,29.050,29.100,28.950,29.000,2843200.25,980
2025-3-31,09:45,29.000,29.050,28.800,28.850,2169400.0,750
2025-3-31,09:50,28.850,29.250,28.850,29.150,1511099.5,520
2025-3-31,09:55,29.150,29.150,28.750,28.900,3932951.0,1360
2025-3-31,10:00,28.850,29.150,28.850,28.950,3968399.0,1370
2025-3-31,10:05,29.000,29.050,28.900,29.000,1651250.0,570
2025-3-31,10:10,29.000,29.000,28.800,28.950,1328700.0,460
2025-3-31,10:15,28.900,29.000,28.800,28.800,3438952.0,1190
2025-3-31,10:20,28.800,28.850,28.700,28.700,1755600.0,610
2025-3-31,10:25,28.700,28.800,28.700,28.800,690300.0,240
2025-3-31,10:30,28.800,28.850,28.700,28.700,1150500.0,400
2025-3-31,10:35,28.700,28.750,28.600,28.600,1433900.0,500
2025-3-31,10:40,28.600,28.800,28.600,28.750,1378600.0,480
2025-3-31,10:45,28.750,28.750,28.600,28.650,1519900.0,530
2025-3-31,10:50,28.650,28.700,28.600,28.600,659350.0,230
2025-3-31,10:55,28.600,28.600,28.500,28.500,713400.0,250
2025-3-31,11:00,28.500,28.550,28.500,28.550,798200.0,280
2025-3-31,11:05,28.550,28.550,28.400,28.450,1195900.0,420
2025-3-31,11:10,28.500,28.550,28.400,28.400,740148.0,260
2025-3-31,11:15,28.450,28.450,28.400,28.400,1791500.0,630
2025-3-31,11:20,28.400,28.450,28.300,28.450,2810252.0,990
2025-3-31,11:25,28.400,28.450,28.200,28.300,3248952.0,1150
2025-3-31,11:30,28.350,28.350,28.100,28.200,1975048.0,700
2025-3-31,11:35,28.200,28.250,28.100,28.150,929300.0,330
2025-3-31,11:40,28.100,28.200,28.050,28.100,871352.0,310
2025-3-31,11:45,28.050,28.200,28.050,28.100,1320600.0,470
2025-3-31,11:50,28.100,28.100,27.950,28.100,3361348.0,1200
2025-3-31,11:55,28.100,28.100,27.850,27.900,3661852.0,1310
2025-3-31,12:00,27.900,28.000,27.800,28.000,1311548.0,470
2025-3-31,13:05,28.000,28.100,28.000,28.000,1261852.0,450
2025-3-31,13:10,28.050,28.200,28.000,28.000,6516648.0,2320
2025-3-31,13:15,28.000,28.300,28.000,28.300,957752.0,340
2025-3-31,13:20,28.300,28.400,28.250,28.300,1442700.0,510
2025-3-31,13:25,28.350,28.400,28.200,28.400,1923800.0,680
2025-3-31,13:30,28.250,28.450,28.250,28.400,1362048.0,480
2025-3-31,13:35,28.400,28.400,28.250,28.350,878800.0,310
2025-3-31,13:40,28.350,28.600,28.250,28.550,2106000.0,740
2025-3-31,13:45,28.500,28.600,28.450,28.550,856200.0,300
2025-3-31,13:50,28.550,28.550,28.400,28.550,1254248.0,440
2025-3-31,13:55,28.400,28.500,28.250,28.350,2185904.0,770
2025-3-31,14:00,28.300,28.400,28.250,28.300,1500448.0,530
2025-3-31,14:05,28.250,28.450,28.250,28.350,878704.0,310
2025-3-31,14:10,28.350,28.550,28.350,28.550,1109248.0,390
2025-3-31,14:15,28.500,28.750,28.500,28.600,2632096.0,920
2025-3-31,14:20,28.600,28.900,28.600,28.900,2499808.0,870
2025-3-31,14:25,28.900,28.950,28.650,28.750,2190496.0,760
2025-3-31,14:30,28.700,28.750,28.500,28.600,1460752.0,510
2025-3-31,14:35,28.550,28.650,28.500,28.600,1800448.0,630
2025-3-31,14:40,28.600,28.650,28.600,28.600,973304.0,340
2025-3-31,14:45,28.600,28.800,28.550,28.800,2088144.0,730
2025-3-31,14:50,28.800,28.800,28.650,28.750,947552.0,330
2025-3-31,14:55,28.750,28.750,28.600,28.650,1232000.0,430
2025-3-31,15:00,28.650,28.750,28.550,28.700,1491600.0,520
2025-3-31,15:05,28.700,28.750,28.650,28.700,1032800.0,360
2025-3-31,15:10,28.700,28.850,28.700,28.850,1438448.0,500
2025-3-31,15:15,28.850,28.850,28.750,28.850,1095152.0,380
2025-3-31,15:20,28.850,29.000,28.800,28.800,3728000.0,1290
2025-3-31,15:25,28.800,28.900,28.650,28.750,948504.0,330
2025-3-31,15:30,28.750,28.800,28.650,28.800,1062800.0,370
2025-3-31,15:35,28.750,28.850,28.750,28.800,1440344.0,500
2025-3-31,15:40,28.800,28.950,28.800,28.900,1849552.0,640
2025-3-31,15:45,28.850,28.950,28.850,28.950,1097448.0,380
2025-3-31,15:50,28.900,28.900,28.800,28.850,1673856.0,580
2025-3-31,15:55,28.850,28.850,28.650,28.650,690296.0,240
2025-3-31,16:00,28.700,28.800,28.650,28.700,1636800.0,570
2025-4-1,09:35,28.600,29.000,28.600,28.700,3349900.25,1160
2025-4-1,09:40,28.700,28.850,28.700,28.850,345749.5,120
2025-4-1,09:45,28.700,28.700,28.350,28.550,3316500.25,1160
2025-4-1,09:50,28.600,28.600,28.500,28.500,541600.0,190
2025-4-1,09:55,28.500,28.500,28.400,28.400,1138900.0,400
2025-4-1,10:00,28.400,28.600,28.300,28.600,1874600.0,660
2025-4-1,10:05,28.600,28.650,28.550,28.650,457450.0,160
2025-4-1,10:10,28.650,28.850,28.650,28.750,2586486.0,899
2025-4-1,10:15,28.750,28.950,28.750,28.850,2770100.0,960
2025-4-1,10:20,28.850,28.900,28.800,28.850,1327100.0,460
2025-4-1,10:25,28.850,28.900,28.800,28.800,519200.0,180
2025-4-1,10:30,28.950,28.950,28.850,28.900,2282900.0,790
2025-4-1,10:35,28.900,29.100,28.900,28.950,2405450.0,830
2025-4-1,10:40,28.900,29.000,28.850,29.000,1245050.0,429
2025-4-1,10:45,29.000,29.000,28.950,28.950,579800.0,200
2025-4-1,10:50,28.950,29.300,28.950,29.300,3344350.0,1150
2025-4-1,10:55,29.300,29.550,29.300,29.350,6452852.0,2190
2025-4-1,11:00,29.200,29.250,29.100,29.200,1253648.0,430
2025-4-1,11:05,29.150,29.150,29.100,29.100,1135144.0,390
2025-4-1,11:10,29.150,29.150,29.050,29.100,669500.0,230
2025-4-1,11:15,29.100,29.250,29.100,29.250,1224700.0,420
2025-4-1,11:20,29.250,29.350,29.250,29.350,762000.0,260
2025-4-1,11:25,29.350,29.350,29.200,29.200,731600.0,250
2025-4-1,11:30,29.200,29.200,29.150,29.150,1749748.0,600
2025-4-1,11:35,29.150,29.200,29.150,29.200,350352.0,120
2025-4-1,11:40,29.200,29.200,29.200,29.200,0.0,0
2025-4-1,11:45,29.150,29.200,29.150,29.200,700400.0,240
2025-4-1,11:50,29.200,29.200,29.200,29.200,29200.0,10
2025-4-1,11:55,29.150,29.200,29.150,29.150,349848.0,120
2025-4-1,12:00,29.150,29.150,29.150,29.150,29152.0,10
2025-4-1,13:05,29.150,29.450,29.150,29.400,3840300.0,1310
2025-4-1,13:10,29.400,29.400,29.150,29.150,2021200.0,690
2025-4-1,13:15,29.150,29.350,29.150,29.250,2631500.0,900
2025-4-1,13:20,29.200,29.250,29.150,29.200,1958100.0,670
2025-4-1,13:25,29.150,29.200,29.150,29.150,758200.0,260
2025-4-1,13:30,29.250,29.400,29.250,29.400,5305552.0,1810
2025-4-1,13:35,29.400,29.500,29.400,29.500,1823200.0,620
2025-4-1,13:40,29.500,29.700,29.500,29.600,2784048.0,940
2025-4-1,13:45,29.600,29.650,29.600,29.650,1185452.0,400
2025-4-1,13:50,29.650,29.650,29.450,29.450,3105952.0,1050
2025-4-1,13:55,29.500,29.850,29.450,29.650,2402648.0,810
2025-4-1,14:00,29.750,29.900,29.700,29.850,5516800.0,1850
2025-4-1,14:05,29.900,29.950,29.700,29.750,1852000.0,620
2025-4-1,14:10,29.750,29.850,29.750,29.800,1700248.0,570
2025-4-1,14:15,29.850,29.900,29.800,29.900,1343048.0,450
2025-4-1,14:20,29.900,29.950,29.850,29.950,2005152.0,670
2025-4-1,14:25,29.950,30.000,29.750,29.750,2478800.0,830
2025-4-1,14:30,29.700,30.000,29.700,29.950,2450648.0,820
2025-4-1,14:35,29.950,30.000,29.850,29.850,1046800.0,350
2025-4-1,14:40,29.900,29.950,29.850,29.950,508200.0,170
2025-4-1,14:45,29.950,29.950,29.950,29.950,359400.0,120
2025-4-1,14:50,29.950,29.950,29.800,29.800,2748152.0,920
2025-4-1,14:55,29.750,29.900,29.750,29.900,1549152.0,520
2025-4-1,15:00,29.900,29.900,29.900,29.900,358800.0,120
2025-4-1,15:05,29.900,29.900,29.850,29.900,1463552.0,490
2025-4-1,15:10,29.900,29.900,29.850,29.900,746896.0,250
2025-4-1,15:15,29.900,29.900,29.800,29.850,1760000.0,590
2025-4-1,15:20,29.850,29.850,29.700,29.700,1339752.0,450
2025-4-1,15:25,29.700,29.700,29.700,29.700,475200.0,160
2025-4-1,15:30,29.700,29.700,29.650,29.650,1513000.0,510
2025-4-1,15:35,29.650,29.700,29.600,29.700,948352.0,320
2025-4-1,15:40,29.650,29.650,29.600,29.600,503496.0,170
2025-4-1,15:45,29.550,29.600,29.550,29.600,272192.0,92
2025-4-1,15:50,29.600,29.600,29.500,29.500,1271096.0,430
2025-4-1,15:55,29.450,29.600,29.450,29.500,767656.0,260
2025-4-1,16:00,29.450,29.500,29.450,29.500,5987800.0,2030
2025-4-2,09:35,29.500,29.500,29.250,29.500,1324950.125,450
2025-4-2,09:40,29.500,29.500,29.300,29.300,1588500.125,540
2025-4-2,09:45,29.250,29.450,29.100,29.350,1608549.75,550
2025-4-2,09:50,29.300,29.350,29.150,29.250,556000.0,190
2025-4-2,09:55,29.200,29.750,29.200,29.600,798250.5,270
2025-4-2,10:00,29.600,29.850,29.600,29.750,1697300.0,570
2025-4-2,10:05,29.750,29.900,29.650,29.800,1074099.5,360
2025-4-2,10:10,29.900,29.900,29.700,29.850,1282350.0,430
2025-4-2,10:15,29.800,29.950,29.800,29.950,1851401.0,620
2025-4-2,10:20,29.900,29.900,29.750,29.900,1015300.0,340
2025-4-2,10:25,29.950,30.200,29.950,30.200,2044050.0,680
2025-4-2,10:30,30.200,30.800,30.200,30.800,6435701.0,2110
2025-4-2,10:35,30.850,30.950,30.700,30.800,5330850.0,1730
2025-4-2,10:40,30.750,30.800,30.500,30.700,2052350.0,670
2025-4-2,10:45,30.650,30.700,30.550,30.700,827050.0,270
2025-4-2,10:50,30.650,30.800,30.550,30.550,2703950.0,880
2025-4-2,10:55,30.550,30.550,30.400,30.500,792600.0,260
2025-4-2,11:00,30.500,30.550,30.350,30.500,2469348.0,810
2025-4-2,11:05,30.500,30.550,30.500,30.500,579900.0,190
2025-4-2,11:10,30.500,30.550,30.500,30.550,671700.0,220
2025-4-2,11:15,30.500,30.600,30.500,30.600,886552.0,290
2025-4-2,11:20,30.600,30.600,30.500,30.500,977600.0,320
2025-4-2,11:25,30.500,30.550,30.450,30.450,945100.0,310
2025-4-2,11:30,30.500,30.500,30.450,30.450,791900.0,260
2025-4-2,11:35,30.400,30.400,30.250,30.250,908848.0,300
2025-4-2,11:40,30.250,30.300,30.200,30.250,967852.0,320
2025-4-2,11:45,30.250,30.250,30.100,30.100,3170952.0,1050
2025-4-2,11:50,30.100,30.100,30.050,30.100,872200.0,290
2025-4-2,11:55,30.100,30.100,29.850,29.900,629648.0,210
2025-4-2,12:00,29.850,29.950,29.850,29.950,808052.0,270
2025-4-2,13:05,29.950,30.150,29.700,30.150,4942500.0,1650
2025-4-2,13:10,30.150,30.200,29.850,29.900,1985800.0,660
2025-4-2,13:15,30.000,30.050,29.900,30.050,899900.0,300
2025-4-2,13:20,30.050,30.050,29.950,30.000,2160200.0,720
2025-4-2,13:25,30.000,30.000,30.000,30.000,630000.0,210
2025-4-2,13:30,30.050,30.050,29.900,29.900,1169800.0,390
2025-4-2,13:35,29.900,30.000,29.850,29.850,1584900.0,530
2025-4-2,13:40,29.850,29.950,29.800,29.900,896048.0,300
2025-4-2,13:45,29.800,30.000,29.800,30.000,1286300.0,430
2025-4-2,13:50,30.000,30.050,29.950,29.950,629452.0,210
2025-4-2,13:55,29.950,30.050,29.950,30.000,690048.0,230
2025-4-2,14:00,30.000,30.050,29.950,29.950,869400.0,290
2025-4-2,14:05,29.950,30.050,29.900,29.900,839152.0,280
2025-4-2,14:10,29.900,29.950,29.900,29.900,777600.0,260
2025-4-2,14:15,29.850,29.950,29.800,29.950,1016748.0,340
2025-4-2,14:20,29.950,29.950,29.900,29.900,628304.0,210
2025-4-2,14:25,29.950,29.950,29.850,29.850,597600.0,200
2025-4-2,14:30,29.850,29.900,29.850,29.850,776544.0,260
2025-4-2,14:35,29.850,29.850,29.800,29.850,626856.0,210
2025-4-2,14:40,29.850,29.850,29.800,29.850,924496.0,310
2025-4-2,14:45,29.850,29.950,29.800,29.850,1044400.0,350
2025-4-2,14:50,29.850,30.050,29.850,30.050,1077400.0,360
2025-4-2,14:55,30.050,30.050,30.000,30.050,780448.0,260
2025-4-2,15:00,30.050,30.050,30.000,30.000,930200.0,310
2025-4-2,15:05,30.000,30.150,30.000,30.050,811656.0,270
2025-4-2,15:10,30.050,30.200,30.050,30.200,1175144.0,390
2025-4-2,15:15,30.300,30.450,30.250,30.300,4331504.0,1430
2025-4-2,15:20,30.300,30.400,30.300,30.400,1092576.0,360
2025-4-2,15:25,30.400,30.450,30.300,30.450,2037448.0,670
2025-4-2,15:30,30.450,30.500,30.300,30.350,2129600.0,700
2025-4-2,15:35,30.350,30.500,30.350,30.500,3261152.0,1070
2025-4-2,15:40,30.500,30.500,30.350,30.450,4388600.0,1440
2025-4-2,15:45,30.500,30.550,30.500,30.500,1678096.0,550
2025-4-2,15:50,30.500,30.700,30.500,30.650,2996000.0,980
2025-4-2,15:55,30.600,30.750,30.300,30.600,6156752.0,2010
2025-4-2,16:00,30.600,30.600,30.300,30.300,2551200.0,840
2025-4-3,09:35,29.250,29.350,27.850,28.200,37808284.0,13360
2025-4-3,09:40,28.150,28.200,27.500,28.100,28476684.0,10215
2025-4-3,09:45,28.050,28.050,27.550,27.600,24480304.0,8830
2025-4-3,09:50,27.800,27.800,27.350,27.450,25546248.0,9310
2025-4-3,09:55,27.450,27.500,27.200,27.250,8249256.0,3020
2025-4-3,10:00,27.300,27.600,27.050,27.100,9623696.0,3520
2025-4-3,10:05,27.050,27.300,27.000,27.100,15008952.0,5530
2025-4-3,10:10,27.100,27.350,26.650,26.750,25302400.0,9360
2025-4-3,10:15,26.750,26.900,26.500,26.900,9203248.0,3450
2025-4-3,10:20,27.000,27.000,26.500,26.550,9290352.0,3470
2025-4-3,10:25,26.500,26.600,26.100,26.500,9307504.0,3530
2025-4-3,10:30,26.500,26.600,26.300,26.400,4708800.0,1780
2025-4-3,10:35,26.400,26.500,26.100,26.450,6270144.0,2380
2025-4-3,10:40,26.400,26.550,26.200,26.400,6364560.0,2410
2025-4-3,10:45,26.400,26.750,26.350,26.750,7418640.0,2800
2025-4-3,10:50,26.750,26.900,26.450,26.500,8304400.0,3110
2025-4-3,10:55,26.500,26.500,26.050,26.050,7362912.0,2800
2025-4-3,11:00,26.050,26.150,25.950,26.050,6278288.0,2410
2025-4-3,11:05,26.050,26.450,26.050,26.350,7994864.0,3050
2025-4-3,11:10,26.200,26.300,25.900,25.900,9817264.0,3770
2025-4-3,11:15,25.900,25.900,25.600,25.650,3942048.0,1530
2025-4-3,11:20,25.600,25.700,25.550,25.650,3896064.0,1520
2025-4-3,11:25,25.550,25.750,25.550,25.750,6854944.0,2670
2025-4-3,11:30,25.650,25.750,25.300,25.400,8257856.0,3230
2025-4-3,11:35,25.450,25.550,25.400,25.450,4048896.0,1590
2025-4-3,11:40,25.450,25.700,25.450,25.700,2101632.0,822
2025-4-3,11:45,25.700,25.700,25.600,25.600,307712.0,120
2025-4-3,11:50,25.650,25.650,25.550,25.550,1332096.0,520
2025-4-3,11:55,25.600,25.650,25.550,25.650,793696.0,310
2025-4-3,12:00,25.650,25.750,25.600,25.750,1206496.0,470
2025-4-3,13:05,25.750,26.000,25.300,25.450,9525568.0,3720
2025-4-3,13:10,25.400,25.500,25.100,25.100,8494784.0,3360
2025-4-3,13:15,25.100,25.100,24.550,25.050,20044512.0,8090
2025-4-3,13:20,25.050,25.150,24.850,24.850,12230816.0,4890
2025-4-3,13:25,25.000,25.000,24.750,24.900,9880800.0,3970
2025-4-3,13:30,25.000,25.000,24.600,25.000,11967968.0,4830
2025-4-3,13:35,24.900,24.900,24.700,24.900,4735840.0,1910
2025-4-3,13:40,24.900,25.300,24.850,25.300,4931712.0,1970
2025-4-3,13:45,25.300,25.450,25.200,25.250,5590368.0,2210
2025-4-3,13:50,25.250,25.300,25.100,25.200,5747488.0,2280
2025-4-3,13:55,25.200,25.450,25.200,25.450,4936064.0,1950
