日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,7.140,7.250,7.090,7.240,54363712.0,7589300
2025-6-30,09:40,7.240,7.250,7.180,7.200,12970246.0,1794900
2025-6-30,09:45,7.200,7.200,7.160,7.160,12170665.0,1695300
2025-6-30,09:50,7.160,7.170,7.140,7.140,13689258.0,1914800
2025-6-30,09:55,7.140,7.150,7.130,7.130,10517972.0,1473300
2025-6-30,10:00,7.130,7.160,7.130,7.130,20590812.0,2883200
2025-6-30,10:05,7.130,7.140,7.110,7.130,10623426.0,1491400
2025-6-30,10:10,7.130,7.150,7.130,7.140,7977258.0,1117900
2025-6-30,10:15,7.130,7.160,7.130,7.150,9083796.0,1271800
2025-6-30,10:20,7.140,7.140,7.080,7.100,32804330.0,4618700
2025-6-30,10:25,7.100,7.110,7.070,7.100,21690456.0,3060600
2025-6-30,10:30,7.110,7.130,7.100,7.100,7725528.0,1086500
2025-6-30,10:35,7.100,7.120,7.100,7.110,8528389.0,1199400
2025-6-30,10:40,7.110,7.130,7.100,7.130,8781737.0,1235000
2025-6-30,10:45,7.130,7.140,7.120,7.140,7048590.0,988500
2025-6-30,10:50,7.130,7.140,7.100,7.120,17465356.0,2455000
2025-6-30,10:55,7.120,7.120,7.110,7.120,1268812.0,178300
2025-6-30,11:00,7.110,7.130,7.110,7.120,5240625.0,736000
2025-6-30,11:05,7.120,7.130,7.100,7.100,5699188.0,801200
2025-6-30,11:10,7.100,7.110,7.100,7.110,3316160.0,466800
2025-6-30,11:15,7.100,7.110,7.080,7.090,11228271.0,1583800
2025-6-30,11:20,7.100,7.120,7.090,7.110,6059003.0,853500
2025-6-30,11:25,7.110,7.110,7.090,7.090,13475889.0,1898700
2025-6-30,11:30,7.090,7.100,7.090,7.090,3785964.0,533800
2025-6-30,13:05,7.080,7.110,7.080,7.100,10798934.0,1521800
2025-6-30,13:10,7.100,7.110,7.090,7.110,10828152.0,1524700
2025-6-30,13:15,7.110,7.110,7.100,7.110,4983041.0,701100
2025-6-30,13:20,7.110,7.120,7.100,7.120,4874313.0,685100
