日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,39.390,39.680,39.310,39.380,61919128.0,1569600
2024-1-2,09:40,39.410,39.880,39.380,39.850,66612396.0,1679200
2024-1-2,09:45,39.870,40.080,39.780,39.910,88692072.0,2219900
2024-1-2,09:50,39.900,39.900,39.760,39.790,36460780.0,916100
2024-1-2,09:55,39.790,39.790,39.540,39.620,47718092.0,1203600
2024-1-2,10:00,39.590,39.610,39.550,39.610,24073216.0,608200
2024-1-2,10:05,39.620,40.000,39.590,39.900,43623132.0,1094400
2024-1-2,10:10,39.900,39.900,39.750,39.750,23417256.0,588000
2024-1-2,10:15,39.750,39.760,39.640,39.710,19147280.0,482300
2024-1-2,10:20,39.720,39.820,39.710,39.770,12527032.0,315100
2024-1-2,10:25,39.770,39.800,39.640,39.680,17142144.0,431800
2024-1-2,10:30,39.680,39.840,39.650,39.770,18140692.0,456800
2024-1-2,10:35,39.780,39.780,39.670,39.740,8012033.0,201700
2024-1-2,10:40,39.740,39.740,39.670,39.670,9842388.0,247900
2024-1-2,10:45,39.670,39.800,39.670,39.800,8153524.0,205300
2024-1-2,10:50,39.800,39.990,39.800,39.880,45309368.0,1134800
2024-1-2,10:55,39.870,39.900,39.750,39.790,11208017.0,281300
2024-1-2,11:00,39.760,39.800,39.750,39.780,8581627.0,215700
2024-1-2,11:05,39.770,39.900,39.770,39.880,12360668.0,310100
2024-1-2,11:10,39.880,39.880,39.820,39.870,5482820.0,137600
2024-1-2,11:15,39.860,39.970,39.860,39.930,25950274.0,649700
2024-1-2,11:20,39.930,39.950,39.910,39.910,9483625.0,237500
2024-1-2,11:25,39.900,39.910,39.780,39.800,8857780.0,222300
2024-1-2,11:30,39.820,39.840,39.760,39.800,6116059.0,153700
2024-1-2,13:05,39.810,39.810,39.670,39.690,13511357.0,340100
2024-1-2,13:10,39.700,39.770,39.690,39.740,7858676.0,197800
2024-1-2,13:15,39.740,39.740,39.660,39.660,9975173.0,251300
2024-1-2,13:20,39.660,39.660,39.590,39.610,17365764.0,438400
2024-1-2,13:25,39.600,39.650,39.600,39.650,7061434.0,178200
2024-1-2,13:30,39.660,39.700,39.600,39.620,10886087.0,274700
2024-1-2,13:35,39.610,39.610,39.570,39.600,12008773.0,303300
2024-1-2,13:40,39.590,39.620,39.590,39.600,6197861.0,156500
2024-1-2,13:45,39.600,39.620,39.600,39.610,4951059.0,125000
2024-1-2,13:50,39.610,39.620,39.590,39.590,5789524.0,146200
2024-1-2,13:55,39.580,39.580,39.360,39.360,38328352.0,971200
2024-1-2,14:00,39.350,39.480,39.330,39.420,12068955.0,306200
2024-1-2,14:05,39.420,39.470,39.380,39.380,12722294.0,322700
2024-1-2,14:10,39.380,39.400,39.340,39.380,15170627.0,385400
2024-1-2,14:15,39.380,39.440,39.350,39.400,10672403.0,271000
2024-1-2,14:20,39.400,39.410,39.340,39.340,14794027.0,375700
2024-1-2,14:25,39.340,39.350,39.210,39.210,26421880.0,672400
2024-1-2,14:30,39.230,39.310,39.210,39.210,18751038.0,477900
2024-1-2,14:35,39.230,39.300,39.220,39.270,11820609.0,301000
2024-1-2,14:40,39.250,39.280,39.230,39.230,9683647.0,246700
2024-1-2,14:45,39.240,39.240,39.200,39.200,16679249.0,425300
2024-1-2,14:50,39.200,39.210,39.180,39.200,16269908.0,415100
2024-1-2,14:55,39.190,39.190,39.100,39.100,35133540.0,897700
2024-1-2,15:00,39.100,39.130,39.090,39.110,23314028.0,596100
2024-1-3,09:35,39.100,39.360,39.050,39.200,58105148.0,1483100
2024-1-3,09:40,39.180,39.200,38.880,38.960,46085768.0,1181500
2024-1-3,09:45,38.950,39.010,38.930,39.000,25466956.0,653500
2024-1-3,09:50,38.980,39.190,38.970,39.180,22796280.0,583600
2024-1-3,09:55,39.190,39.260,39.150,39.150,19794124.0,504900
2024-1-3,10:00,39.100,39.100,38.900,38.960,32552262.0,835600
2024-1-3,10:05,38.960,39.140,38.960,39.010,13439726.0,344400
2024-1-3,10:10,39.010,39.120,39.000,39.010,11480141.0,294100
2024-1-3,10:15,38.990,38.990,38.900,38.930,23258244.0,597500
2024-1-3,10:20,38.940,39.000,38.900,38.990,11548349.0,296600
2024-1-3,10:25,38.990,39.100,38.910,39.000,13486696.0,345900
2024-1-3,10:30,39.000,39.100,38.990,39.100,9406656.0,240800
2024-1-3,10:35,39.100,39.180,39.090,39.150,11990928.0,306400
2024-1-3,10:40,39.150,39.170,38.940,38.950,8657109.0,221800
2024-1-3,10:45,38.930,39.020,38.930,39.000,7711063.0,197900
2024-1-3,10:50,39.000,39.000,38.910,38.980,6404800.0,164400
2024-1-3,10:55,38.980,39.010,38.900,38.910,12372459.0,317800
2024-1-3,11:00,38.910,39.000,38.910,38.990,5226189.0,134200
2024-1-3,11:05,38.960,38.970,38.820,38.820,17231900.0,443100
2024-1-3,11:10,38.830,38.830,38.700,38.730,27209108.0,702100
2024-1-3,11:15,38.740,38.740,38.100,38.130,73517288.0,1914200
2024-1-3,11:20,38.140,38.250,37.970,38.180,67157440.0,1761600
2024-1-3,11:25,38.170,38.220,38.030,38.090,28811292.0,755300
2024-1-3,11:30,38.100,38.120,38.020,38.040,34995216.0,919200
2024-1-3,13:05,38.040,38.040,37.900,37.930,43207116.0,1137000
2024-1-3,13:10,37.930,38.030,37.930,38.000,32200332.0,847800
2024-1-3,13:15,38.000,38.050,37.930,37.950,32800784.0,863700
2024-1-3,13:20,37.950,38.000,37.940,38.000,26334324.0,693600
2024-1-3,13:25,37.990,38.020,37.920,38.020,24477600.0,644700
2024-1-3,13:30,38.020,38.050,37.980,38.010,15534998.0,408700
2024-1-3,13:35,38.020,38.060,37.980,38.050,15018646.0,395100
2024-1-3,13:40,38.030,38.280,38.020,38.160,23901266.0,626300
2024-1-3,13:45,38.150,38.170,38.030,38.050,13326117.0,349800
2024-1-3,13:50,38.050,38.080,37.980,37.980,21121496.0,555600
2024-1-3,13:55,38.000,38.030,37.970,38.010,9040416.0,238000
2024-1-3,14:00,38.020,38.110,38.010,38.080,7836248.0,205800
