日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,22.100,22.100,21.910,21.940,30557752.0,1390200
2024-1-2,09:40,21.940,22.120,21.920,22.080,13991790.0,635900
2024-1-2,09:45,22.070,22.190,22.030,22.110,11410141.0,516100
2024-1-2,09:50,22.100,22.220,22.040,22.170,15852753.0,715400
2024-1-2,09:55,22.170,22.190,22.090,22.090,10211739.0,461200
2024-1-2,10:00,22.090,22.140,22.080,22.130,6013656.5,272000
2024-1-2,10:05,22.120,22.360,22.090,22.250,24059388.0,1083200
2024-1-2,10:10,22.250,22.250,22.150,22.160,10256933.0,462000
2024-1-2,10:15,22.160,22.160,22.090,22.100,10352423.0,468100
2024-1-2,10:20,22.100,22.200,22.090,22.120,8134022.0,367500
2024-1-2,10:25,22.120,22.150,22.080,22.150,6638850.0,300300
2024-1-2,10:30,22.140,22.180,22.110,22.150,3343953.0,151000
2024-1-2,10:35,22.140,22.150,22.110,22.130,2535573.75,114600
2024-1-2,10:40,22.130,22.140,22.090,22.110,3312983.5,149800
2024-1-2,10:45,22.120,22.170,22.110,22.170,3412603.0,154100
2024-1-2,10:50,22.160,22.180,22.140,22.170,2056287.0,92800
2024-1-2,10:55,22.160,22.180,22.120,22.150,3093113.0,139600
2024-1-2,11:00,22.150,22.150,22.100,22.150,2888130.0,130500
2024-1-2,11:05,22.150,22.180,22.140,22.160,3757361.25,169500
2024-1-2,11:10,22.160,22.180,22.150,22.180,1855291.0,83700
2024-1-2,11:15,22.180,22.190,22.150,22.160,1944226.0,87700
2024-1-2,11:20,22.160,22.180,22.160,22.170,2638206.0,119000
2024-1-2,11:25,22.160,22.170,22.150,22.170,2754374.0,124300
2024-1-2,11:30,22.170,22.180,22.150,22.170,3326944.0,150100
2024-1-2,13:05,22.160,22.230,22.130,22.220,6972244.0,314300
2024-1-2,13:10,22.220,22.290,22.220,22.220,14807285.0,665500
2024-1-2,13:15,22.220,22.230,22.110,22.120,8548224.0,385900
2024-1-2,13:20,22.150,22.150,22.090,22.100,11667120.0,527600
2024-1-2,13:25,22.100,22.130,22.090,22.130,3872438.0,175200
2024-1-2,13:30,22.130,22.210,22.120,22.200,7752296.0,349600
2024-1-2,13:35,22.190,22.200,22.100,22.120,7287785.0,329100
2024-1-2,13:40,22.110,22.180,22.100,22.160,7847984.5,354800
2024-1-2,13:45,22.160,22.160,22.130,22.140,2608872.0,117800
2024-1-2,13:50,22.140,22.150,22.120,22.120,2948081.0,133200
2024-1-2,13:55,22.120,22.130,22.110,22.120,3490801.0,157800
2024-1-2,14:00,22.120,22.140,22.120,22.130,4138687.0,187000
2024-1-2,14:05,22.140,22.160,22.110,22.110,4985592.0,225200
2024-1-2,14:10,22.120,22.150,22.120,22.150,5197514.0,234800
2024-1-2,14:15,22.150,22.180,22.140,22.150,5045210.5,227700
2024-1-2,14:20,22.150,22.160,22.110,22.120,4765251.0,215300
2024-1-2,14:25,22.120,22.130,22.090,22.090,6224258.0,281500
2024-1-2,14:30,22.100,22.130,22.090,22.110,9935606.0,449400
2024-1-2,14:35,22.120,22.140,22.080,22.080,7127568.0,322300
2024-1-2,14:40,22.080,22.100,22.020,22.040,12009413.0,544500
2024-1-2,14:45,22.040,22.070,22.030,22.060,4873208.5,221000
2024-1-2,14:50,22.080,22.080,22.030,22.030,5224673.0,236900
2024-1-2,14:55,22.040,22.050,22.000,22.010,12500027.0,567500
2024-1-2,15:00,22.020,22.050,22.020,22.020,9041654.0,410500
2024-1-3,09:35,21.900,22.090,21.800,21.900,23406062.0,1070000
2024-1-3,09:40,21.880,21.900,21.710,21.820,27828688.0,1274700
2024-1-3,09:45,21.830,21.920,21.800,21.800,12229050.0,559400
2024-1-3,09:50,21.790,21.860,21.750,21.750,10592090.0,485900
