日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,70.770,71.050,70.210,70.300,63727008.0,902500
2024-1-2,09:40,70.310,70.640,70.130,70.600,34190808.0,485800
2024-1-2,09:45,70.650,71.120,70.640,71.070,40110976.0,566800
2024-1-2,09:50,71.040,71.560,70.940,71.380,64748536.0,908100
2024-1-2,09:55,71.410,72.140,71.330,72.070,133945888.0,1866700
2024-1-2,10:00,72.050,72.150,71.730,71.970,78034536.0,1084400
2024-1-2,10:05,71.980,73.390,71.860,73.050,120459448.0,1656000
2024-1-2,10:10,73.100,73.220,72.600,72.610,63183148.0,867100
2024-1-2,10:15,72.610,72.610,72.290,72.360,43588008.0,601800
2024-1-2,10:20,72.400,72.870,72.380,72.630,28512736.0,392400
2024-1-2,10:25,72.630,72.630,72.280,72.600,32824684.0,453000
2024-1-2,10:30,72.600,73.090,72.380,72.830,37599060.0,516700
2024-1-2,10:35,72.800,73.080,72.660,73.080,28287388.0,388400
2024-1-2,10:40,73.050,73.200,72.890,73.160,40519744.0,554400
2024-1-2,10:45,73.190,73.250,72.830,73.120,34382364.0,470200
2024-1-2,10:50,73.120,73.130,72.740,72.880,14828101.0,203300
2024-1-2,10:55,72.990,72.990,72.540,72.620,16073690.0,221100
2024-1-2,11:00,72.640,72.760,72.480,72.750,18048460.0,248700
2024-1-2,11:05,72.700,72.720,72.520,72.640,17160304.0,236300
2024-1-2,11:10,72.730,72.780,72.580,72.710,11913941.0,164000
2024-1-2,11:15,72.710,73.000,72.700,72.710,15735301.0,215900
2024-1-2,11:20,72.750,72.880,72.600,72.790,11761573.0,161800
2024-1-2,11:25,72.780,72.900,72.690,72.800,11067074.0,152000
2024-1-2,11:30,72.820,72.880,72.690,72.790,13323247.0,183000
2024-1-2,13:05,72.770,73.050,72.690,72.780,16555687.0,227400
2024-1-2,13:10,72.800,72.870,72.590,72.590,12270064.0,168800
2024-1-2,13:15,72.590,72.720,72.540,72.580,9188964.0,126600
2024-1-2,13:20,72.580,72.800,72.580,72.660,10569380.0,145400
2024-1-2,13:25,72.650,72.660,72.580,72.600,9334050.0,128500
2024-1-2,13:30,72.650,72.990,72.600,72.940,15123571.0,207600
2024-1-2,13:35,72.950,72.980,72.800,72.940,16188697.0,222000
2024-1-2,13:40,72.960,73.060,72.890,73.040,18462000.0,253000
2024-1-2,13:45,73.050,73.050,72.850,72.910,13049820.0,178800
2024-1-2,13:50,72.890,72.970,72.690,72.690,9034308.0,124000
2024-1-2,13:55,72.700,72.750,72.620,72.660,10547592.0,145200
2024-1-2,14:00,72.670,72.670,72.370,72.470,16696721.0,230300
2024-1-2,14:05,72.450,72.520,72.330,72.370,13966100.0,192800
2024-1-2,14:10,72.320,72.510,72.260,72.490,16531646.0,228400
2024-1-2,14:15,72.500,72.700,72.470,72.700,9067933.0,125000
2024-1-2,14:20,72.690,72.700,72.510,72.590,11065381.0,152400
2024-1-2,14:25,72.580,72.590,72.380,72.380,12195986.0,168200
