日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,31.510,31.550,30.860,31.420,119171464.0,3821700
2024-7-1,09:40,31.440,31.750,31.420,31.470,56362180.0,1785400
2024-7-1,09:45,31.450,31.480,31.160,31.260,40520232.0,1294400
2024-7-1,09:50,31.260,31.420,31.180,31.190,29719670.0,950700
2024-7-1,09:55,31.180,31.420,31.160,31.330,32583860.0,1041600
2024-7-1,10:00,31.310,31.460,31.290,31.360,18472336.0,589200
2024-7-1,10:05,31.350,31.360,31.180,31.220,20871154.0,668200
2024-7-1,10:10,31.230,31.340,31.230,31.270,22468430.0,718400
2024-7-1,10:15,31.280,31.280,31.100,31.150,24918800.0,799200
2024-7-1,10:20,31.110,31.180,31.070,31.130,51347232.0,1650500
2024-7-1,10:25,31.090,31.140,30.930,30.940,29707022.0,957000
2024-7-1,10:30,30.910,31.070,30.850,31.070,57682628.0,1865000
2024-7-1,10:35,31.060,31.080,30.870,30.870,22356116.0,721800
2024-7-1,10:40,30.870,30.980,30.840,30.950,32936756.0,1066100
2024-7-1,10:45,30.920,31.080,30.910,30.980,16048236.0,517600
2024-7-1,10:50,31.010,31.040,30.980,31.020,10086419.0,325300
2024-7-1,10:55,31.020,31.020,30.700,30.700,36537744.0,1185300
2024-7-1,11:00,30.700,30.830,30.660,30.820,31952028.0,1039500
2024-7-1,11:05,30.820,30.840,30.700,30.760,25164520.0,818200
2024-7-1,11:10,30.750,30.770,30.570,30.700,40431752.0,1317600
2024-7-1,11:15,30.700,30.860,30.700,30.770,25655384.0,833500
2024-7-1,11:20,30.780,30.910,30.750,30.900,17177992.0,557200
2024-7-1,11:25,30.900,30.900,30.740,30.760,16566772.0,538400
2024-7-1,11:30,30.760,30.890,30.760,30.830,9862987.0,320200
2024-7-1,13:05,30.830,31.030,30.770,30.990,18713844.0,605100
2024-7-1,13:10,30.990,31.020,30.920,30.920,7562275.0,244100
2024-7-1,13:15,30.920,31.050,30.900,31.020,7212454.0,233000
2024-7-1,13:20,31.060,31.360,31.050,31.300,26051992.0,834000
2024-7-1,13:25,31.300,31.350,31.210,31.260,11532615.0,368700
2024-7-1,13:30,31.280,31.290,31.200,31.290,10814494.0,345900
2024-7-1,13:35,31.300,31.370,31.250,31.260,14211466.0,454000
2024-7-1,13:40,31.250,31.260,31.120,31.150,10309021.0,330800
2024-7-1,13:45,31.150,31.220,31.140,31.200,8579397.0,275200
2024-7-1,13:50,31.200,31.260,31.110,31.240,8813087.0,282700
2024-7-1,13:55,31.240,31.260,31.160,31.240,6047308.0,193700
2024-7-1,14:00,31.230,31.250,31.180,31.240,9086146.0,291000
2024-7-1,14:05,31.230,31.310,31.230,31.280,8844019.0,282800
2024-7-1,14:10,31.280,31.440,31.280,31.400,24316928.0,774800
2024-7-1,14:15,31.400,31.400,31.290,31.360,14426774.0,460200
2024-7-1,14:20,31.370,31.400,31.280,31.280,11744402.0,374400
2024-7-1,14:25,31.280,31.280,31.210,31.220,6549079.0,209600
2024-7-1,14:30,31.220,31.300,31.200,31.260,8186005.0,261900
2024-7-1,14:35,31.250,31.260,31.200,31.250,7936659.0,254100
2024-7-1,14:40,31.240,31.280,31.200,31.270,10868720.0,347900
2024-7-1,14:45,31.270,31.340,31.260,31.330,13484224.0,430700
2024-7-1,14:50,31.310,31.400,31.300,31.390,21856360.0,697100
2024-7-1,14:55,31.390,31.400,31.340,31.360,28842296.0,919200
2024-7-1,15:00,31.370,31.390,31.360,31.370,22847832.0,728200
2024-7-2,09:35,31.300,31.600,31.300,31.510,62960700.0,2000100
2024-7-2,09:40,31.520,31.620,31.300,31.380,41200752.0,1310300
2024-7-2,09:45,31.370,31.580,31.320,31.460,64479256.0,2051100
2024-7-2,09:50,31.430,31.460,31.250,31.260,29966426.0,956900
2024-7-2,09:55,31.230,31.300,31.110,31.220,20970412.0,672000
2024-7-2,10:00,31.230,31.380,31.170,31.360,18006188.0,576600
2024-7-2,10:05,31.350,31.350,31.100,31.130,20297800.0,651200
2024-7-2,10:10,31.130,31.280,31.100,31.220,23155972.0,743500
2024-7-2,10:15,31.220,31.220,31.100,31.100,13559690.0,435300
2024-7-2,10:20,31.110,31.190,31.040,31.160,15232606.0,489900
2024-7-2,10:25,31.160,31.280,31.160,31.160,12752885.0,408600
2024-7-2,10:30,31.160,31.250,31.130,31.190,16436332.0,527000
2024-7-2,10:35,31.190,31.200,31.050,31.060,14666067.0,471600
2024-7-2,10:40,31.070,31.070,30.990,31.000,31928300.0,1029200
2024-7-2,10:45,31.010,31.090,30.940,30.960,15884964.0,512100
2024-7-2,10:50,30.950,31.040,30.920,31.020,13721189.0,443000
2024-7-2,10:55,31.000,31.000,30.860,30.910,34400144.0,1113300
2024-7-2,11:00,30.910,30.970,30.860,30.960,25953802.0,839700
2024-7-2,11:05,30.960,30.960,30.890,30.910,11740420.0,379600
2024-7-2,11:10,30.910,30.920,30.810,30.840,33014488.0,1070300
2024-7-2,11:15,30.830,30.880,30.790,30.850,21354240.0,692800
2024-7-2,11:20,30.850,30.910,30.830,30.840,8398983.0,272100
2024-7-2,11:25,30.830,30.880,30.810,30.850,15513545.0,502800
2024-7-2,11:30,30.870,30.930,30.830,30.900,6593966.0,213500
2024-7-2,13:05,30.890,30.930,30.840,30.870,11995559.0,388500
2024-7-2,13:10,30.870,30.890,30.840,30.850,5718086.0,185300
2024-7-2,13:15,30.860,30.900,30.830,30.890,7254094.0,235100
2024-7-2,13:20,30.890,30.900,30.860,30.860,4480058.0,145000
2024-7-2,13:25,30.860,30.980,30.830,30.980,14575685.0,471800
2024-7-2,13:30,30.980,30.990,30.910,30.930,6672768.0,215600
2024-7-2,13:35,30.930,30.970,30.870,30.930,4997868.0,161700
2024-7-2,13:40,30.920,30.970,30.880,30.930,5859367.0,189500
2024-7-2,13:45,30.930,31.090,30.930,31.010,13925662.0,448900
2024-7-2,13:50,31.020,31.040,30.960,30.960,4783391.0,154300
2024-7-2,13:55,30.950,30.990,30.930,30.960,4409986.0,142500
2024-7-2,14:00,30.960,30.990,30.870,30.940,10674464.0,345300
2024-7-2,14:05,30.980,31.030,30.880,30.880,14772779.0,476900
2024-7-2,14:10,30.900,30.920,30.860,30.860,10011537.0,324100
2024-7-2,14:15,30.870,30.870,30.820,30.820,5693954.0,184600
2024-7-2,14:20,30.830,30.830,30.740,30.770,22770436.0,739500
2024-7-2,14:25,30.770,30.770,30.650,30.670,22846376.0,744100
2024-7-2,14:30,30.650,30.730,30.640,30.720,18325852.0,597200
2024-7-2,14:35,30.720,30.740,30.560,30.630,29057598.0,948000
2024-7-2,14:40,30.640,30.710,30.610,30.630,15696810.0,512200
