日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,28.630,29.790,28.630,29.790,118009800.0,4029300
2024-9-30,09:40,29.790,30.120,29.290,29.290,77319704.0,2596800
2024-9-30,09:45,29.240,29.590,29.190,29.530,52216948.0,1777900
2024-9-30,09:50,29.500,29.530,28.900,29.170,40261656.0,1381200
2024-9-30,09:55,29.120,29.160,28.710,29.100,40321952.0,1395900
2024-9-30,10:00,29.060,29.570,29.060,29.530,31525444.0,1073200
2024-9-30,10:05,29.550,29.650,29.480,29.590,26959792.0,912100
2024-9-30,10:10,29.600,29.610,29.510,29.510,15953297.0,539800
2024-9-30,10:15,29.520,29.550,29.300,29.470,18891896.0,642200
2024-9-30,10:20,29.460,29.600,29.410,29.600,23889752.0,809900
2024-9-30,10:25,29.610,29.850,29.610,29.830,21472536.0,721600
2024-9-30,10:30,29.830,29.900,29.800,29.820,17998292.0,602600
2024-9-30,10:35,29.830,29.960,29.720,29.960,16098526.0,539700
2024-9-30,10:40,29.980,30.100,29.900,29.970,24432740.0,813900
2024-9-30,10:45,29.970,30.220,29.970,30.150,26410512.0,876800
2024-9-30,10:50,30.170,31.470,30.120,31.470,31003906.0,1008700
2024-9-30,10:55,31.480,31.680,31.020,31.090,38371540.0,1218300
2024-9-30,11:00,31.090,31.320,31.090,31.280,21263572.0,680800
2024-9-30,11:05,31.290,31.300,30.620,30.650,18191318.0,584700
2024-9-30,11:10,30.650,31.170,30.540,31.170,15703733.0,511000
2024-9-30,11:15,31.160,31.160,31.010,31.050,10567622.0,339800
2024-9-30,11:20,31.060,31.200,31.050,31.190,11946802.0,383400
2024-9-30,11:25,31.200,31.210,31.120,31.180,10268967.0,329400
2024-9-30,11:30,31.200,31.290,31.200,31.260,8060998.0,258000
2024-9-30,13:05,31.310,31.990,31.300,31.970,34047476.0,1075500
2024-9-30,13:10,31.980,31.980,31.560,31.570,16778952.0,527600
2024-9-30,13:15,31.570,31.690,31.310,31.350,18733760.0,593400
2024-9-30,13:20,31.350,31.510,31.230,31.510,12650762.0,403800
2024-9-30,13:25,31.470,31.500,31.350,31.480,7641761.0,243200
2024-9-30,13:30,31.520,31.550,31.450,31.510,8677704.0,275400
2024-9-30,13:35,31.520,31.800,31.510,31.690,14000580.0,441800
2024-9-30,13:40,31.700,31.800,31.690,31.790,11970107.0,376700
2024-9-30,13:45,31.790,31.890,31.790,31.870,14554440.0,456800
2024-9-30,13:50,31.880,31.890,31.810,31.870,12213735.0,383300
2024-9-30,13:55,31.870,31.870,31.800,31.800,10416804.0,327300
2024-9-30,14:00,31.800,31.890,31.800,31.870,11962252.0,375600
2024-9-30,14:05,31.880,31.980,31.870,31.970,17062010.0,534500
2024-9-30,14:10,31.980,31.990,31.930,31.960,14991042.0,469000
2024-9-30,14:15,31.980,32.100,31.960,32.090,19992738.0,624700
2024-9-30,14:20,32.090,32.220,32.070,32.070,16325016.0,507600
2024-9-30,14:25,32.050,32.060,30.520,30.520,23293098.0,745300
2024-9-30,14:30,30.510,31.500,30.500,31.440,30581938.0,985700
2024-9-30,14:35,31.470,31.540,31.390,31.410,18054724.0,574000
2024-9-30,14:40,31.410,31.540,31.380,31.530,13228044.0,421000
2024-9-30,14:45,31.550,31.850,31.540,31.850,11632255.0,366700
2024-9-30,14:50,31.840,31.930,31.800,31.850,16721181.0,524900
2024-9-30,14:55,31.850,31.980,31.810,31.980,19572394.0,614300
2024-9-30,15:00,31.980,32.050,31.980,32.050,19449776.0,607500
2024-10-8,09:35,38.460,38.460,36.080,37.950,231918768.0,6130200
2024-10-8,09:40,37.930,38.200,37.910,38.020,121145576.0,3183200
2024-10-8,09:45,38.020,38.140,36.890,37.190,106419064.0,2841600
2024-10-8,09:50,37.450,38.160,37.250,38.150,68146976.0,1803000
2024-10-8,09:55,38.120,38.410,38.120,38.250,80073160.0,2090900
2024-10-8,10:00,38.270,38.310,37.860,38.170,50710936.0,1328300
2024-10-8,10:05,38.200,38.370,38.170,38.280,39513296.0,1032100
2024-10-8,10:10,38.300,38.350,38.000,38.120,47952676.0,1252300
2024-10-8,10:15,38.120,38.220,37.500,37.550,47598352.0,1260300
2024-10-8,10:20,37.550,38.310,37.510,38.270,61800416.0,1631900
2024-10-8,10:25,38.280,38.300,38.110,38.280,28171908.0,736800
2024-10-8,10:30,38.250,38.270,37.800,37.840,26712178.0,702000
2024-10-8,10:35,37.840,37.850,37.080,37.080,49775288.0,1330000
2024-10-8,10:40,37.050,37.080,36.090,36.430,81668320.0,2237500
2024-10-8,10:45,36.440,37.950,36.440,37.700,48588060.0,1304400
2024-10-8,10:50,37.700,37.900,37.370,37.370,52098548.0,1384400
2024-10-8,10:55,37.320,37.390,36.910,37.000,32241268.0,869700
2024-10-8,11:00,37.190,37.190,36.640,36.670,27981844.0,758300
2024-10-8,11:05,36.620,37.160,36.600,37.000,29895276.0,810700
2024-10-8,11:10,37.010,37.670,37.000,37.480,32792128.0,878700
2024-10-8,11:15,37.480,37.720,37.340,37.650,34802380.0,927000
2024-10-8,11:20,37.520,37.970,37.510,37.700,32054256.0,848600
2024-10-8,11:25,37.810,37.860,37.600,37.750,24507376.0,649800
2024-10-8,11:30,37.680,37.980,37.680,37.970,20623572.0,544300
2024-10-8,13:05,37.980,38.260,37.610,37.650,83549376.0,2200900
2024-10-8,13:10,37.510,37.660,36.970,37.000,60663192.0,1630000
2024-10-8,13:15,36.990,37.550,36.880,36.880,40108680.0,1081700
2024-10-8,13:20,36.880,37.100,36.880,36.920,28778376.0,778000
2024-10-8,13:25,36.920,36.970,36.810,36.910,21475964.0,582400
2024-10-8,13:30,36.950,37.370,36.600,37.020,52419664.0,1422300
2024-10-8,13:35,37.000,37.450,37.000,37.360,21863944.0,586600
2024-10-8,13:40,37.190,37.450,37.000,37.000,20596424.0,553500
2024-10-8,13:45,37.000,37.340,36.970,37.240,18131490.0,488900
2024-10-8,13:50,37.230,37.420,37.090,37.090,21289838.0,571100
2024-10-8,13:55,37.080,37.080,36.810,36.980,20098160.0,543500
2024-10-8,14:00,36.870,37.160,36.810,37.110,18938128.0,512200
2024-10-8,14:05,37.110,37.610,37.110,37.540,29833044.0,797400
2024-10-8,14:10,37.650,37.660,37.200,37.290,13512605.0,360600
2024-10-8,14:15,37.290,37.400,37.230,37.300,11777254.0,315800
2024-10-8,14:20,37.250,37.500,37.230,37.470,20594984.0,550500
2024-10-8,14:25,37.470,37.500,37.360,37.500,20937612.0,559300
2024-10-8,14:30,37.510,38.040,37.510,38.040,46077012.0,1217600
2024-10-8,14:35,38.060,38.400,38.050,38.390,65915988.0,1721900
2024-10-8,14:40,38.390,38.400,38.310,38.370,46586084.0,1214400
2024-10-8,14:45,38.370,38.380,38.300,38.370,48531656.0,1265600
2024-10-8,14:50,38.370,38.420,38.340,38.400,44928332.0,1170900
2024-10-8,14:55,38.420,38.460,38.410,38.460,71365768.0,1856200
2024-10-8,15:00,38.450,38.460,38.450,38.460,41035528.0,1067000
2024-10-9,09:35,37.000,37.000,35.500,36.610,151714784.0,4199600
2024-10-9,09:40,36.660,37.490,36.660,36.850,103613056.0,2798000
2024-10-9,09:45,36.820,37.180,36.530,37.180,70360112.0,1913100
2024-10-9,09:50,37.170,37.380,36.890,37.380,60866976.0,1641700
2024-10-9,09:55,37.400,37.770,37.260,37.350,55803336.0,1487700
2024-10-9,10:00,37.250,37.400,36.890,36.910,39982976.0,1076300
2024-10-9,10:05,36.910,36.910,36.500,36.790,40364000.0,1100100
2024-10-9,10:10,36.730,36.730,36.000,36.000,47257788.0,1300600
2024-10-9,10:15,36.000,36.180,35.880,36.180,59000800.0,1639800
2024-10-9,10:20,36.180,36.570,36.180,36.200,28115652.0,772500
2024-10-9,10:25,36.220,36.690,36.100,36.350,29517512.0,811600
2024-10-9,10:30,36.360,36.430,36.010,36.010,26106588.0,720600
2024-10-9,10:35,36.000,36.270,35.600,35.600,42111656.0,1171700
2024-10-9,10:40,35.590,35.790,35.250,35.270,50623304.0,1422800
2024-10-9,10:45,35.250,35.810,35.110,35.810,41416668.0,1166900
2024-10-9,10:50,35.820,35.960,35.580,35.660,21111046.0,590400
2024-10-9,10:55,35.650,35.920,35.600,35.890,18280754.0,511300
2024-10-9,11:00,35.880,36.000,35.480,35.500,24622592.0,690200
2024-10-9,11:05,35.540,35.710,35.240,35.300,23673196.0,667600
2024-10-9,11:10,35.290,35.370,34.880,34.900,44187172.0,1260300
2024-10-9,11:15,34.870,35.000,34.710,34.830,42235936.0,1212600
2024-10-9,11:20,34.800,34.850,34.000,34.000,44410896.0,1289300
2024-10-9,11:25,34.000,35.190,33.940,35.190,39633536.0,1152100
2024-10-9,11:30,35.170,35.380,35.090,35.290,22781210.0,646300
2024-10-9,13:05,35.360,36.500,35.360,36.500,36312172.0,1007600
2024-10-9,13:10,36.500,36.670,36.350,36.350,40393296.0,1107400
2024-10-9,13:15,36.360,36.540,36.110,36.110,30312652.0,834400
2024-10-9,13:20,36.100,36.370,36.010,36.260,23039344.0,637300
2024-10-9,13:25,36.280,36.630,36.150,36.580,20413016.0,560400
2024-10-9,13:30,36.580,36.740,36.500,36.610,20051992.0,547400
2024-10-9,13:35,36.600,37.140,36.600,37.140,29673736.0,805100
2024-10-9,13:40,37.140,37.640,37.140,37.600,33076702.0,883100
2024-10-9,13:45,37.600,37.600,36.650,36.940,23438868.0,632600
2024-10-9,13:50,36.920,37.000,36.850,36.850,16458138.0,445700
2024-10-9,13:55,36.840,36.840,36.300,36.420,17789864.0,486200
2024-10-9,14:00,36.480,36.590,36.180,36.250,17874784.0,492000
2024-10-9,14:05,36.220,36.700,36.220,36.700,15963186.0,438300
2024-10-9,14:10,36.690,36.710,36.280,36.290,13728575.0,376300
2024-10-9,14:15,36.280,36.500,36.260,36.290,13707285.0,377400
