日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,24.900,25.270,24.510,25.250,64426916.0,2571500
2024-9-30,09:40,25.240,25.500,24.950,24.960,29433720.0,1166900
2024-9-30,09:45,24.980,25.140,24.840,25.030,34042572.0,1363100
2024-9-30,09:50,25.020,25.210,24.700,24.900,23692492.0,950700
2024-9-30,09:55,24.900,24.900,24.500,24.830,23065128.0,935400
2024-9-30,10:00,24.830,25.100,24.820,25.070,20192468.0,807700
2024-9-30,10:05,25.070,25.270,25.040,25.210,21570936.0,857300
2024-9-30,10:10,25.230,25.320,25.180,25.260,15391407.0,609300
2024-9-30,10:15,25.240,25.280,25.170,25.200,16712392.0,662800
2024-9-30,10:20,25.210,25.480,25.200,25.480,19532878.0,770900
2024-9-30,10:25,25.470,25.630,25.460,25.520,21886738.0,857700
2024-9-30,10:30,25.520,25.550,25.430,25.470,13561053.0,532100
2024-9-30,10:35,25.470,25.530,25.260,25.350,10766012.0,424300
2024-9-30,10:40,25.390,25.420,25.300,25.380,4381059.5,172700
2024-9-30,10:45,25.380,25.480,25.360,25.430,6407289.0,252100
2024-9-30,10:50,25.420,25.500,25.410,25.470,8016664.0,314900
2024-9-30,10:55,25.490,25.640,25.470,25.630,12369000.0,484000
2024-9-30,11:00,25.640,25.730,25.600,25.720,9476837.0,369300
2024-9-30,11:05,25.720,25.750,25.470,25.480,6899533.5,269100
2024-9-30,11:10,25.470,25.630,25.340,25.600,7944716.0,312200
2024-9-30,11:15,25.620,25.640,25.570,25.620,5265455.0,205600
2024-9-30,11:20,25.620,25.720,25.620,25.720,7405659.0,288500
2024-9-30,11:25,25.710,25.790,25.690,25.750,8280272.5,321800
2024-9-30,11:30,25.750,25.800,25.740,25.790,5409009.0,209900
2024-9-30,13:05,25.790,26.000,25.790,26.000,22679112.0,874600
2024-9-30,13:10,26.000,26.100,26.000,26.080,11667817.0,448300
2024-9-30,13:15,26.100,26.110,25.780,25.780,13506013.0,519800
2024-9-30,13:20,25.780,25.960,25.770,25.940,6926037.0,267700
2024-9-30,13:25,25.940,25.960,25.850,25.950,8312026.5,320900
2024-9-30,13:30,25.950,25.960,25.930,25.950,4808998.5,185400
2024-9-30,13:35,25.950,26.000,25.940,26.000,7523067.0,289500
2024-9-30,13:40,26.000,26.080,25.990,26.050,6693136.5,257000
2024-9-30,13:45,26.050,26.070,26.030,26.040,5968950.0,229200
2024-9-30,13:50,26.040,26.050,26.000,26.050,8483898.0,326100
2024-9-30,13:55,26.050,26.100,26.050,26.080,9370321.0,359200
2024-9-30,14:00,26.080,26.090,26.060,26.070,9321771.0,357500
2024-9-30,14:05,26.070,26.100,26.050,26.090,7630440.0,292600
2024-9-30,14:10,26.100,26.180,26.100,26.150,12258384.0,469000
2024-9-30,14:15,26.160,26.200,26.150,26.200,7270015.0,277800
2024-9-30,14:20,26.200,26.200,26.100,26.110,9454802.0,361300
2024-9-30,14:25,26.100,26.110,25.620,25.710,17897260.0,692100
2024-9-30,14:30,25.700,25.810,25.640,25.810,11375686.0,442400
2024-9-30,14:35,25.850,25.860,25.730,25.810,15804952.0,613000
2024-9-30,14:40,25.830,26.000,25.830,25.990,6947099.5,267900
2024-9-30,14:45,25.980,26.020,25.790,25.940,30218008.0,1167700
2024-9-30,14:50,25.890,25.940,25.790,25.900,19891188.0,769500
2024-9-30,14:55,25.900,25.970,25.890,25.920,18283946.0,705300
2024-9-30,15:00,25.930,26.020,25.910,26.020,15541206.0,597900
2024-10-8,09:35,28.620,28.620,28.030,28.460,114134240.0,3991800
2024-10-8,09:40,28.460,28.610,28.260,28.610,54285108.0,1906300
2024-10-8,09:45,28.510,28.510,27.750,27.780,46818464.0,1662000
2024-10-8,09:50,27.740,28.490,27.600,28.480,30158324.0,1075200
2024-10-8,09:55,28.470,28.600,28.430,28.480,17874678.0,626800
2024-10-8,10:00,28.480,28.550,28.430,28.460,12838200.0,450900
2024-10-8,10:05,28.440,28.510,28.420,28.490,10972298.0,385400
2024-10-8,10:10,28.500,28.520,28.220,28.400,13406012.0,471600
2024-10-8,10:15,28.400,28.480,28.070,28.110,17852436.0,632000
2024-10-8,10:20,28.070,28.460,28.000,28.460,16042475.0,568600
2024-10-8,10:25,28.450,28.450,28.290,28.360,11017270.0,388700
2024-10-8,10:30,28.340,28.350,28.020,28.050,12037767.0,427200
2024-10-8,10:35,28.010,28.020,27.660,27.700,21267528.0,763700
2024-10-8,10:40,27.700,27.700,26.900,27.180,41864460.0,1538100
2024-10-8,10:45,27.150,28.070,27.150,28.040,21698642.0,784900
2024-10-8,10:50,28.050,28.140,27.940,28.000,15308334.0,546500
2024-10-8,10:55,27.980,28.020,27.730,27.880,8836671.0,316300
2024-10-8,11:00,27.780,27.870,27.400,27.420,11542208.0,417500
2024-10-8,11:05,27.410,27.770,27.410,27.670,18427176.0,667000
2024-10-8,11:10,27.670,28.170,27.670,28.120,23376816.0,837800
2024-10-8,11:15,28.110,28.180,27.900,28.150,22045690.0,786500
2024-10-8,11:20,28.160,28.350,28.160,28.200,11020033.0,389900
2024-10-8,11:25,28.200,28.320,28.030,28.140,7467152.0,265100
2024-10-8,11:30,28.140,28.260,28.010,28.230,4441140.5,157900
2024-10-8,13:05,28.250,28.370,28.140,28.190,13637931.0,482900
2024-10-8,13:10,28.190,28.190,27.830,27.890,14888114.0,532400
2024-10-8,13:15,27.900,27.920,27.730,27.780,15653206.0,562700
2024-10-8,13:20,27.780,27.810,27.630,27.690,11335775.0,408500
2024-10-8,13:25,27.700,27.740,27.610,27.650,9946757.0,359400
2024-10-8,13:30,27.680,27.680,27.460,27.540,15260369.0,553500
2024-10-8,13:35,27.540,27.730,27.430,27.460,12441861.0,451300
2024-10-8,13:40,27.440,27.590,27.400,27.420,9111244.0,331700
2024-10-8,13:45,27.430,27.600,27.370,27.540,9376664.0,341100
2024-10-8,13:50,27.540,27.540,27.330,27.380,9469136.0,345400
2024-10-8,13:55,27.350,27.410,27.210,27.220,15994258.0,585100
2024-10-8,14:00,27.200,27.530,27.140,27.530,18093308.0,663300
2024-10-8,14:05,27.540,27.670,27.540,27.600,14261085.0,516800
2024-10-8,14:10,27.570,27.620,27.430,27.460,9001370.0,326800
2024-10-8,14:15,27.440,27.610,27.410,27.600,13769147.0,500900
2024-10-8,14:20,27.610,27.700,27.580,27.700,13421302.0,485800
2024-10-8,14:25,27.700,27.840,27.680,27.840,11623541.0,418800
2024-10-8,14:30,27.840,28.130,27.840,28.130,9965739.0,356300
2024-10-8,14:35,28.130,28.300,28.130,28.260,12135314.0,429800
2024-10-8,14:40,28.250,28.300,28.150,28.270,16018592.0,567100
2024-10-8,14:45,28.200,28.290,28.200,28.290,12331083.0,436500
2024-10-8,14:50,28.280,28.350,28.280,28.340,10486883.0,370500
2024-10-8,14:55,28.340,28.620,28.340,28.610,27226540.0,954300
2024-10-8,15:00,28.620,28.620,28.580,28.600,22197128.0,775900
2024-10-9,09:35,27.280,27.730,26.660,27.540,61689628.0,2281700
2024-10-9,09:40,27.550,27.890,27.410,27.410,34937268.0,1263700
2024-10-9,09:45,27.420,27.550,27.360,27.460,33827704.0,1233200
2024-10-9,09:50,27.460,28.070,27.420,28.070,34070256.0,1232000
2024-10-9,09:55,28.070,28.220,27.820,27.900,27174528.0,969500
2024-10-9,10:00,27.900,28.020,27.670,27.700,13884394.0,498500
2024-10-9,10:05,27.700,27.860,27.550,27.720,13633015.0,491700
2024-10-9,10:10,27.810,27.810,27.310,27.330,14320608.0,520800
2024-10-9,10:15,27.270,27.440,27.250,27.410,17079096.0,624900
2024-10-9,10:20,27.420,27.680,27.350,27.350,14930000.0,542300
2024-10-9,10:25,27.450,27.650,27.380,27.420,11024367.0,401500
2024-10-9,10:30,27.460,27.600,27.420,27.440,6703174.0,243700
2024-10-9,10:35,27.440,27.500,27.090,27.100,13023712.0,477600
2024-10-9,10:40,27.090,27.260,26.950,26.950,18179958.0,671100
2024-10-9,10:45,26.960,27.510,26.960,27.510,15025473.0,552300
2024-10-9,10:50,27.500,27.600,27.410,27.460,8890774.0,323300
2024-10-9,10:55,27.460,27.590,27.160,27.260,12723614.0,464900
2024-10-9,11:00,27.260,27.390,27.120,27.160,6202032.0,227500
2024-10-9,11:05,27.150,27.380,27.150,27.180,7388581.5,271000
2024-10-9,11:10,27.180,27.230,27.070,27.090,6135874.5,225900
2024-10-9,11:15,27.080,27.110,26.930,26.930,10496063.0,388400
2024-10-9,11:20,26.930,26.970,26.700,26.790,12576570.0,469300
2024-10-9,11:25,26.790,26.990,26.620,26.990,16737268.0,626500
2024-10-9,11:30,26.980,27.210,26.980,27.210,7691431.0,283700
2024-10-9,13:05,27.230,27.740,27.230,27.720,14446727.0,524900
2024-10-9,13:10,27.720,27.900,27.650,27.750,14451293.0,520400
2024-10-9,13:15,27.750,27.800,27.460,27.520,11412814.0,413000
2024-10-9,13:20,27.560,27.730,27.520,27.670,7395106.0,268000
2024-10-9,13:25,27.700,27.780,27.530,27.760,7751528.5,280400
2024-10-9,13:30,27.770,27.840,27.750,27.770,9210498.0,331300
2024-10-9,13:35,27.770,28.160,27.770,28.160,25855428.0,925400
2024-10-9,13:40,28.150,28.320,28.150,28.230,23022368.0,815800
2024-10-9,13:45,28.230,28.260,27.870,28.000,13988828.0,499000
2024-10-9,13:50,27.960,27.960,27.750,27.810,14299740.0,513500
2024-10-9,13:55,27.810,27.910,27.780,27.830,8378098.0,300700
2024-10-9,14:00,27.830,27.840,27.660,27.660,6414477.0,231500
2024-10-9,14:05,27.650,27.830,27.630,27.720,6569428.0,237000
2024-10-9,14:10,27.710,27.760,27.480,27.480,6253710.0,226400
2024-10-9,14:15,27.490,27.710,27.490,27.710,5958544.0,216000
2024-10-9,14:20,27.590,27.660,27.400,27.460,8444791.0,307000
2024-10-9,14:25,27.460,27.510,27.330,27.420,7409979.0,270200
2024-10-9,14:30,27.430,27.630,27.420,27.470,5476375.5,198800
2024-10-9,14:35,27.470,27.630,27.260,27.260,6778480.0,247100
2024-10-9,14:40,27.250,27.250,26.980,27.000,17350628.0,640700
2024-10-9,14:45,27.000,27.000,26.750,26.750,13809304.0,512600
2024-10-9,14:50,26.750,26.760,26.480,26.500,21779918.0,818500
2024-10-9,14:55,26.500,26.800,26.480,26.630,13044990.0,489000
2024-10-9,15:00,26.620,26.650,26.280,26.280,16485520.0,624900
2024-10-10,09:35,26.820,27.430,26.820,27.050,60589800.0,2239000
2024-10-10,09:40,27.170,27.560,27.140,27.530,51229644.0,1875100
2024-10-10,09:45,27.550,27.800,27.430,27.490,51768436.0,1875900
2024-10-10,09:50,27.470,27.510,27.160,27.260,21649126.0,791100
2024-10-10,09:55,27.300,27.300,26.900,26.980,14695474.0,541900
2024-10-10,10:00,26.950,27.080,26.850,27.010,26693352.0,991000
2024-10-10,10:05,27.010,27.210,26.930,27.070,11932347.0,440500
2024-10-10,10:10,27.100,27.160,26.860,26.860,9728206.0,360400
2024-10-10,10:15,26.890,26.890,26.620,26.620,14343451.0,535800
2024-10-10,10:20,26.610,26.770,26.470,26.720,16824544.0,632500
