日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,23.300,23.390,23.040,23.080,98682432.0,4254600
2024-12-31,09:40,23.080,23.200,22.770,22.810,116521504.0,5079500
2024-12-31,09:45,22.810,22.830,22.550,22.590,99943384.0,4406300
2024-12-31,09:50,22.560,22.640,22.480,22.570,92917840.0,4120500
2024-12-31,09:55,22.570,22.740,22.560,22.660,53304812.0,2351800
2024-12-31,10:00,22.650,22.650,22.400,22.440,70091560.0,3114800
2024-12-31,10:05,22.400,22.560,22.380,22.560,46596092.0,2075100
2024-12-31,10:10,22.560,22.690,22.500,22.660,31490840.0,1392500
2024-12-31,10:15,22.650,22.750,22.620,22.710,26109532.0,1150600
2024-12-31,10:20,22.710,22.780,22.630,22.690,25153204.0,1107000
2024-12-31,10:25,22.700,22.830,22.670,22.730,19333612.0,849400
2024-12-31,10:30,22.750,22.870,22.740,22.780,31049692.0,1361500
2024-12-31,10:35,22.790,22.810,22.560,22.580,32041448.0,1410500
2024-12-31,10:40,22.580,22.620,22.530,22.590,17647018.0,781700
2024-12-31,10:45,22.590,22.640,22.560,22.640,14887426.0,658500
2024-12-31,10:50,22.640,22.640,22.520,22.570,20003594.0,886800
2024-12-31,10:55,22.570,22.580,22.480,22.480,29234632.0,1298900
2024-12-31,11:00,22.490,22.500,22.430,22.480,22155526.0,986300
2024-12-31,11:05,22.480,22.500,22.420,22.480,16223766.0,722500
2024-12-31,11:10,22.470,22.480,22.340,22.370,39345536.0,1756300
2024-12-31,11:15,22.390,22.490,22.370,22.450,17443980.0,777600
2024-12-31,11:20,22.450,22.490,22.370,22.380,17627630.0,785500
2024-12-31,11:25,22.380,22.510,22.370,22.500,9210210.0,410700
2024-12-31,11:30,22.500,22.500,22.380,22.390,17021204.0,758400
2024-12-31,13:05,22.400,22.440,22.240,22.350,41285008.0,1849200
2024-12-31,13:10,22.360,22.360,22.230,22.260,18893356.0,847900
2024-12-31,13:15,22.260,22.330,22.200,22.250,23393232.0,1051500
2024-12-31,13:20,22.250,22.320,22.250,22.270,14746861.0,661700
2024-12-31,13:25,22.270,22.310,22.260,22.300,11081848.0,497300
2024-12-31,13:30,22.290,22.340,22.270,22.270,14686937.0,658600
