日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,26.600,26.630,26.350,26.380,86928208.0,3281200
2025-3-31,09:40,26.410,26.420,26.230,26.260,87555056.0,3325500
2025-3-31,09:45,26.240,26.270,26.160,26.180,66154000.0,2525100
2025-3-31,09:50,26.180,26.250,26.100,26.140,52501024.0,2008200
2025-3-31,09:55,26.130,26.170,26.030,26.150,60363100.0,2313200
2025-3-31,10:00,26.160,26.270,26.110,26.260,29951616.0,1144000
2025-3-31,10:05,26.270,26.270,26.170,26.210,33508720.0,1278400
2025-3-31,10:10,26.210,26.210,26.110,26.150,31544472.0,1206200
2025-3-31,10:15,26.150,26.180,26.000,26.000,45861280.0,1759100
2025-3-31,10:20,26.000,26.010,25.910,25.970,80587032.0,3102500
2025-3-31,10:25,25.980,25.990,25.850,25.920,59597248.0,2300400
2025-3-31,10:30,25.910,25.910,25.800,25.840,73162024.0,2831300
2025-3-31,10:35,25.850,25.960,25.830,25.960,36899944.0,1424400
2025-3-31,10:40,25.950,26.050,25.950,25.990,22192296.0,853400
2025-3-31,10:45,25.990,26.010,25.870,25.900,25185428.0,971500
2025-3-31,10:50,25.900,25.920,25.840,25.870,24890104.0,961900
2025-3-31,10:55,25.880,25.920,25.860,25.860,13987686.0,540300
2025-3-31,11:00,25.850,25.850,25.810,25.820,22274784.0,862400
2025-3-31,11:05,25.820,25.850,25.810,25.840,40980508.0,1587000
2025-3-31,11:10,25.840,25.850,25.800,25.800,26581060.0,1029800
2025-3-31,11:15,25.810,25.850,25.800,25.820,22113450.0,856800
2025-3-31,11:20,25.820,25.960,25.810,25.940,16766917.0,647300
2025-3-31,11:25,25.960,25.960,25.800,25.810,16281389.0,628900
2025-3-31,11:30,25.800,25.810,25.780,25.790,21826664.0,846300
2025-3-31,13:05,25.800,25.940,25.800,25.890,22548344.0,872100
2025-3-31,13:10,25.910,25.940,25.880,25.910,17428398.0,672500
2025-3-31,13:15,25.910,25.950,25.860,25.950,18150604.0,700400
2025-3-31,13:20,25.960,25.980,25.890,25.890,20324644.0,783900
