日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,25.500,25.600,25.150,25.230,91361216.0,3596200
2025-3-31,09:40,25.250,25.340,25.180,25.280,42905472.0,1699400
2025-3-31,09:45,25.280,25.330,25.220,25.280,31820220.0,1259300
2025-3-31,09:50,25.280,25.340,25.240,25.250,21723360.0,859700
2025-3-31,09:55,25.250,25.390,25.200,25.390,20619436.0,816400
2025-3-31,10:00,25.390,25.550,25.390,25.520,17094796.0,671300
2025-3-31,10:05,25.510,25.520,25.450,25.490,20434108.0,801800
2025-3-31,10:10,25.490,25.490,25.340,25.410,21392128.0,841900
2025-3-31,10:15,25.410,25.410,25.270,25.290,18533672.0,731800
2025-3-31,10:20,25.290,25.350,25.280,25.320,14920270.0,589500
2025-3-31,10:25,25.320,25.350,25.300,25.330,13069492.0,515900
2025-3-31,10:30,25.330,25.350,25.260,25.270,12676832.0,500800
2025-3-31,10:35,25.270,25.330,25.220,25.240,16903806.0,668900
2025-3-31,10:40,25.240,25.300,25.230,25.240,13449581.0,532500
2025-3-31,10:45,25.240,25.300,25.200,25.270,18855648.0,747000
2025-3-31,10:50,25.280,25.300,25.220,25.220,8091418.0,320400
2025-3-31,10:55,25.220,25.270,25.200,25.200,11264251.0,446500
2025-3-31,11:00,25.220,25.230,25.180,25.190,13140423.0,521500
2025-3-31,11:05,25.180,25.260,25.180,25.220,10377102.0,411400
2025-3-31,11:10,25.220,25.250,25.190,25.220,7295077.0,289200
2025-3-31,11:15,25.220,25.240,25.190,25.210,8675794.0,344200
2025-3-31,11:20,25.210,25.280,25.200,25.220,7575711.0,300200
2025-3-31,11:25,25.220,25.240,25.050,25.080,25124984.0,999400
2025-3-31,11:30,25.080,25.090,25.030,25.030,19191052.0,765900
2025-3-31,13:05,25.050,25.170,25.050,25.150,22400932.0,892000
2025-3-31,13:10,25.140,25.190,25.100,25.190,14898071.0,592500
2025-3-31,13:15,25.190,25.200,25.100,25.190,13867123.0,551600
2025-3-31,13:20,25.180,25.200,25.070,25.080,10983106.0,437000
2025-3-31,13:25,25.080,25.130,25.050,25.120,11104438.0,442800
2025-3-31,13:30,25.120,25.130,25.080,25.090,14529144.0,578700
2025-3-31,13:35,25.090,25.120,25.050,25.060,15718534.0,626700
2025-3-31,13:40,25.060,25.090,25.010,25.090,18944804.0,756400
2025-3-31,13:45,25.090,25.140,25.070,25.110,8208825.0,327000
2025-3-31,13:50,25.110,25.110,25.040,25.070,13904336.0,554900
2025-3-31,13:55,25.060,25.110,25.050,25.090,12304561.0,490600
2025-3-31,14:00,25.090,25.100,25.060,25.080,7740602.0,308700
