日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,109.000,110.120,107.960,108.000,162777120.0,1495600
2025-6-30,09:40,108.000,108.880,107.960,108.220,64207832.0,592800
2025-6-30,09:45,108.180,108.300,107.000,107.060,87274536.0,809400
2025-6-30,09:50,107.220,107.710,107.080,107.680,36654916.0,341400
2025-6-30,09:55,107.660,108.000,107.370,107.370,38332724.0,356200
2025-6-30,10:00,107.380,108.200,107.340,107.900,40796984.0,378200
2025-6-30,10:05,107.940,108.090,107.500,107.930,28573736.0,265200
2025-6-30,10:10,107.860,108.600,107.700,107.970,32097792.0,296700
2025-6-30,10:15,107.960,108.030,107.550,107.820,26393716.0,244800
2025-6-30,10:20,107.840,107.990,107.490,107.700,29127886.0,270100
2025-6-30,10:25,107.780,107.940,107.140,107.750,32260764.0,300200
2025-6-30,10:30,107.770,108.290,107.730,107.930,27416824.0,253700
2025-6-30,10:35,107.930,108.000,107.700,107.820,15402638.0,142800
2025-6-30,10:40,107.850,108.000,107.000,107.170,35728720.0,332500
2025-6-30,10:45,107.170,108.030,107.170,108.020,33532120.0,312100
2025-6-30,10:50,108.080,108.360,108.080,108.160,13574487.0,125400
2025-6-30,10:55,108.160,108.370,107.830,108.080,21192350.0,196100
2025-6-30,11:00,108.080,108.670,108.070,108.280,20923210.0,193100
2025-6-30,11:05,108.370,108.400,107.890,107.890,10233973.0,94600
2025-6-30,11:10,107.880,108.250,107.880,108.170,8253682.0,76300
2025-6-30,11:15,108.170,108.380,107.860,108.100,26518194.0,245400
2025-6-30,11:20,108.100,108.530,108.100,108.390,12697576.0,117100
2025-6-30,11:25,108.310,108.400,108.100,108.360,7865947.0,72700
2025-6-30,11:30,108.360,108.890,108.170,108.890,17956700.0,165400
2025-6-30,13:05,108.900,108.980,108.360,108.450,18652728.0,171600
2025-6-30,13:10,108.460,109.100,108.300,109.100,27078724.0,249400
2025-6-30,13:15,109.090,109.490,108.400,108.400,42408172.0,388500
2025-6-30,13:20,108.330,108.700,108.230,108.320,12665505.0,116900
2025-6-30,13:25,108.310,108.310,107.750,107.760,21558610.0,199700
2025-6-30,13:30,107.710,107.710,107.400,107.430,15438948.0,143500
2025-6-30,13:35,107.500,107.750,107.470,107.680,10888997.0,101200
2025-6-30,13:40,107.750,107.770,107.250,107.250,21893436.0,203700
2025-6-30,13:45,107.220,107.220,106.000,106.600,70444720.0,660200
2025-6-30,13:50,106.600,106.660,106.050,106.060,33612588.0,316100
2025-6-30,13:55,106.110,106.800,106.030,106.790,24311490.0,228800
2025-6-30,14:00,106.770,106.890,106.570,106.710,13666132.0,128100
2025-6-30,14:05,106.740,107.720,106.740,107.500,32438708.0,302500
2025-6-30,14:10,107.500,107.550,107.360,107.360,13900921.0,129300
2025-6-30,14:15,107.370,107.380,106.910,107.010,17786760.0,165900
2025-6-30,14:20,107.280,107.300,106.990,107.140,12062537.0,112700
2025-6-30,14:25,107.100,107.230,107.080,107.190,12044938.0,112400
2025-6-30,14:30,107.230,107.680,107.160,107.630,41005496.0,382100
2025-6-30,14:35,107.640,107.670,107.300,107.480,18155622.0,168900
2025-6-30,14:40,107.530,107.600,107.480,107.600,8713183.0,81000
2025-6-30,14:45,107.640,107.680,107.490,107.600,21578166.0,200600
2025-6-30,14:50,107.610,107.860,107.570,107.780,17059618.0,158400
2025-6-30,14:55,107.770,107.820,107.580,107.780,17193040.0,159600
2025-6-30,15:00,107.810,107.830,107.800,107.810,24170512.0,224200
2025-7-1,09:35,107.040,113.280,107.040,112.200,248653328.0,2240500
2025-7-1,09:40,112.290,112.640,110.300,110.990,136609840.0,1219600
2025-7-1,09:45,110.980,111.550,110.670,110.850,64427020.0,579800
2025-7-1,09:50,111.360,112.000,111.020,111.600,52234840.0,468200
2025-7-1,09:55,111.600,112.300,111.470,111.480,47243752.0,422000
2025-7-1,10:00,111.480,111.480,110.310,110.900,40425640.0,364700
2025-7-1,10:05,110.840,110.840,109.410,110.120,31741246.0,288500
2025-7-1,10:10,110.120,110.400,109.850,110.120,35366344.0,321500
2025-7-1,10:15,110.000,110.410,109.830,110.140,16350959.0,148400
2025-7-1,10:20,110.150,110.330,109.330,109.720,22789732.0,207800
2025-7-1,10:25,109.780,111.000,109.580,110.530,26883412.0,243400
2025-7-1,10:30,110.560,111.280,110.400,110.600,22840124.0,206100
