日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,625.590,629.020,621.260,624.000,249150816.0,398500
2025-3-31,09:40,624.050,625.060,621.000,622.060,166198944.0,266900
2025-3-31,09:45,622.500,623.500,621.000,621.130,92674832.0,148900
2025-3-31,09:50,621.000,621.990,620.000,621.510,107322800.0,172900
2025-3-31,09:55,621.490,627.810,621.000,627.810,85436208.0,137100
2025-3-31,10:00,627.950,631.000,627.140,630.000,132988192.0,211400
2025-3-31,10:05,630.300,634.660,628.030,632.000,102726144.0,162800
2025-3-31,10:10,632.000,632.020,626.510,627.500,69597208.0,110600
2025-3-31,10:15,627.000,627.800,625.100,625.100,42944720.0,68500
2025-3-31,10:20,625.000,625.990,623.120,623.140,49413936.0,79100
2025-3-31,10:25,623.120,623.620,621.000,621.650,51397912.0,82700
2025-3-31,10:30,621.630,622.330,620.000,620.660,68867120.0,110900
2025-3-31,10:35,620.180,620.550,617.610,617.630,115550152.0,186600
2025-3-31,10:40,617.620,618.990,616.000,618.870,56382672.0,91300
2025-3-31,10:45,618.700,619.590,618.010,619.380,22728114.0,36700
2025-3-31,10:50,618.740,619.510,618.100,619.100,20461760.0,33100
2025-3-31,10:55,619.100,619.100,616.500,616.710,31420722.0,50900
2025-3-31,11:00,616.700,620.070,616.560,617.700,52852744.0,85300
2025-3-31,11:05,617.300,618.610,616.490,616.510,28616904.0,46400
2025-3-31,11:10,616.500,616.600,615.000,615.270,44656868.0,72500
2025-3-31,11:15,615.510,615.640,612.020,613.910,72181776.0,117700
2025-3-31,11:20,613.070,614.770,613.070,613.860,56734560.0,92400
2025-3-31,11:25,614.570,614.990,612.110,612.610,59697236.0,97400
2025-3-31,11:30,612.610,613.240,612.240,612.380,47004548.0,76700
2025-3-31,13:05,612.100,614.990,611.000,614.990,167974464.0,274400
2025-3-31,13:10,615.000,615.620,612.260,614.240,73447944.0,119500
2025-3-31,13:15,615.020,615.670,611.700,613.480,58762772.0,95700
2025-3-31,13:20,613.520,613.520,611.000,611.000,70329408.0,115000
2025-3-31,13:25,611.000,613.010,611.000,613.010,47720876.0,78000
2025-3-31,13:30,613.040,613.970,612.000,613.110,33263932.0,54300
2025-3-31,13:35,613.100,613.650,611.500,612.590,33902184.0,55300
2025-3-31,13:40,612.000,614.010,611.320,613.320,61234652.0,100100
2025-3-31,13:45,613.320,615.600,613.310,614.960,40918752.0,66500
2025-3-31,13:50,614.970,615.600,613.760,615.600,41467176.0,67400
2025-3-31,13:55,615.590,616.990,614.800,616.500,46398400.0,75300
2025-3-31,14:00,616.500,618.130,614.820,618.090,43428036.0,70500
2025-3-31,14:05,617.780,619.570,615.780,618.900,41244872.0,66700
2025-3-31,14:10,619.060,625.380,618.800,625.110,84626952.0,135900
2025-3-31,14:15,623.720,626.880,623.720,626.200,58108448.0,92900
2025-3-31,14:20,626.100,629.740,626.030,627.000,82739984.0,131700
2025-3-31,14:25,626.700,630.110,624.920,628.050,112161120.0,178600
2025-3-31,14:30,628.000,628.940,626.000,626.490,44407912.0,70800
2025-3-31,14:35,626.020,627.190,625.000,626.020,56364392.0,90000
2025-3-31,14:40,626.350,627.000,625.060,625.340,43683416.0,69700
2025-3-31,14:45,625.340,625.840,624.070,625.380,44832836.0,71800
2025-3-31,14:50,625.380,625.390,624.260,624.660,38721760.0,61900
2025-3-31,14:55,624.660,624.660,622.570,623.000,78483536.0,125900
2025-3-31,15:00,623.000,623.770,623.000,623.000,70615824.0,113400
2025-4-1,09:35,634.190,639.970,631.000,634.830,468311168.0,736500
2025-4-1,09:40,635.590,636.630,632.180,632.900,166010992.0,261400
2025-4-1,09:45,632.900,634.740,631.110,634.500,106611232.0,168600
2025-4-1,09:50,634.000,637.000,632.580,635.970,166983328.0,262700
2025-4-1,09:55,635.480,635.720,633.500,634.900,72575752.0,114300
2025-4-1,10:00,634.980,634.980,631.680,631.940,92454528.0,146100
2025-4-1,10:05,631.940,633.670,629.050,633.550,97117024.0,154000
2025-4-1,10:10,633.670,635.970,632.950,633.890,73362080.0,115600
2025-4-1,10:15,634.020,641.000,634.000,640.180,183022688.0,286900
2025-4-1,10:20,641.230,646.360,641.230,645.000,262706208.0,408300
2025-4-1,10:25,645.000,647.950,643.200,643.990,224034944.0,346900
2025-4-1,10:30,644.000,646.180,640.500,646.180,78287696.0,121700
2025-4-1,10:35,646.700,646.880,643.140,646.400,121409048.0,188000
2025-4-1,10:40,645.490,646.200,642.000,645.390,72305544.0,112300
2025-4-1,10:45,645.020,645.020,641.130,641.130,57433528.0,89400
2025-4-1,10:50,641.110,641.150,639.040,639.270,58855360.0,91900
2025-4-1,10:55,639.300,639.680,636.380,636.510,72093200.0,113100
2025-4-1,11:00,636.510,636.530,634.300,634.470,61333700.0,96500
2025-4-1,11:05,634.760,634.800,633.640,633.800,67602672.0,106600
2025-4-1,11:10,633.800,634.800,633.010,633.690,58709296.0,92700
2025-4-1,11:15,633.720,635.670,633.500,635.660,30691272.0,48300
2025-4-1,11:20,635.660,641.000,635.360,639.570,64398712.0,100800
2025-4-1,11:25,639.560,640.480,638.550,639.000,38016916.0,59400
2025-4-1,11:30,639.030,639.520,638.020,638.990,19103908.0,29900
2025-4-1,13:05,639.300,640.000,634.190,634.560,51177728.0,80400
2025-4-1,13:10,635.600,635.650,634.140,634.900,31460910.0,49500
2025-4-1,13:15,634.800,636.840,634.600,635.530,28655540.0,45100
2025-4-1,13:20,635.530,635.880,634.230,634.380,33356928.0,52600
2025-4-1,13:25,634.390,634.390,632.100,632.450,57017304.0,90000
2025-4-1,13:30,632.490,634.030,632.490,633.400,27345952.0,43200
2025-4-1,13:35,633.500,633.800,632.500,633.330,25244846.0,39900
2025-4-1,13:40,633.740,633.760,632.250,633.000,19222980.0,30400
2025-4-1,13:45,633.030,633.280,632.500,632.540,16092281.0,25400
2025-4-1,13:50,632.680,633.830,632.680,632.860,20380376.0,32200
2025-4-1,13:55,632.830,633.820,632.580,633.280,16725285.0,26400
2025-4-1,14:00,633.130,633.810,632.900,633.060,18432116.0,29100
2025-4-1,14:05,633.020,633.200,631.570,632.000,49121128.0,77700
2025-4-1,14:10,632.030,632.910,631.500,632.020,29200376.0,46200
2025-4-1,14:15,632.010,632.640,631.190,631.990,53344424.0,84400
2025-4-1,14:20,631.640,631.980,631.080,631.600,27313720.0,43300
2025-4-1,14:25,631.600,633.980,630.880,633.010,56456956.0,89300
2025-4-1,14:30,633.050,633.710,632.000,632.810,38530372.0,60900
2025-4-1,14:35,633.000,634.210,632.020,633.800,52483360.0,82900
2025-4-1,14:40,633.130,633.130,632.100,632.850,41391076.0,65400
2025-4-1,14:45,632.850,633.880,632.840,633.300,53379744.0,84300
2025-4-1,14:50,633.300,633.470,632.160,632.590,58896048.0,93000
2025-4-1,14:55,632.590,633.080,632.580,632.950,71707104.0,113400
2025-4-1,15:00,632.790,633.000,632.790,632.940,65132232.0,102900
2025-4-2,09:35,632.000,641.400,627.010,639.860,254494400.0,400200
2025-4-2,09:40,640.000,645.000,638.000,641.120,251945536.0,392200
2025-4-2,09:45,641.000,642.300,638.000,638.000,109083280.0,170300
2025-4-2,09:50,638.000,641.000,638.000,639.720,93799312.0,146700
2025-4-2,09:55,640.000,640.960,633.500,635.770,95768576.0,150400
2025-4-2,10:00,635.830,636.930,633.250,635.580,68928000.0,108500
2025-4-2,10:05,635.100,636.000,633.300,635.500,41053912.0,64700
