日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,29.280,29.500,28.630,28.910,53906192.0,1857500
2025-3-31,09:40,28.930,29.000,28.710,28.800,20414624.0,706800
2025-3-31,09:45,28.830,28.950,28.720,28.730,14257815.0,494600
2025-3-31,09:50,28.720,28.800,28.650,28.730,24443828.0,851800
2025-3-31,09:55,28.730,28.940,28.660,28.940,16951100.0,588800
2025-3-31,10:00,28.940,29.500,28.930,29.340,19583442.0,670700
2025-3-31,10:05,29.340,29.510,29.020,29.020,17827452.0,607800
2025-3-31,10:10,29.020,29.050,28.850,28.880,9184494.0,317000
2025-3-31,10:15,28.870,28.910,28.800,28.800,7937558.0,275100
2025-3-31,10:20,28.800,28.810,28.710,28.750,7475867.0,260000
2025-3-31,10:25,28.760,28.760,28.660,28.660,8514186.0,296600
2025-3-31,10:30,28.670,28.670,28.490,28.530,11482592.0,401900
2025-3-31,10:35,28.530,28.640,28.520,28.610,6216620.0,217400
2025-3-31,10:40,28.610,28.670,28.540,28.540,4191814.0,146500
2025-3-31,10:45,28.540,28.540,28.450,28.450,9052571.0,317600
2025-3-31,10:50,28.450,28.500,28.440,28.440,11879164.0,417300
2025-3-31,10:55,28.440,28.470,28.250,28.320,23821756.0,840200
2025-3-31,11:00,28.320,28.540,28.320,28.510,6484764.0,228000
2025-3-31,11:05,28.530,28.600,28.440,28.450,10280420.0,360400
2025-3-31,11:10,28.460,28.510,28.400,28.450,7756239.0,272700
2025-3-31,11:15,28.480,28.500,28.380,28.450,9514039.0,334500
2025-3-31,11:20,28.440,28.550,28.440,28.500,7326765.0,257000
2025-3-31,11:25,28.510,28.530,28.370,28.380,5701666.0,200500
2025-3-31,11:30,28.380,28.480,28.370,28.430,5171134.0,182000
2025-3-31,13:05,28.430,29.850,28.430,29.800,42214960.0,1442600
2025-3-31,13:10,29.800,30.610,29.710,30.490,78994016.0,2611600
2025-3-31,13:15,30.500,30.590,30.040,30.140,40565144.0,1337300
2025-3-31,13:20,30.120,30.120,29.880,30.000,21834954.0,727700
2025-3-31,13:25,30.000,30.070,29.730,30.000,17580452.0,587900
2025-3-31,13:30,30.000,30.540,30.000,30.380,32069956.0,1057200
2025-3-31,13:35,30.370,31.260,30.350,31.220,89838872.0,2915800
2025-3-31,13:40,31.220,32.220,31.220,31.960,146946864.0,4638000
2025-3-31,13:45,31.990,32.080,31.600,31.950,82187936.0,2576300
2025-3-31,13:50,32.050,32.540,31.860,32.540,98158192.0,3040700
2025-3-31,13:55,32.540,32.540,32.540,32.540,58766592.0,1806000
2025-3-31,14:00,32.540,32.540,32.540,32.540,45579688.0,1400700
2025-3-31,14:05,32.540,32.540,32.540,32.540,9007072.0,276800
2025-3-31,14:10,32.540,32.540,32.540,32.540,3123872.5,96000
2025-3-31,14:15,32.540,32.540,32.540,32.540,4282264.0,131600
2025-3-31,14:20,32.540,32.540,32.540,32.540,2433992.0,74800
2025-3-31,14:25,32.540,32.540,32.540,32.540,2684550.0,82500
2025-3-31,14:30,32.540,32.540,32.540,32.540,3247492.0,99800
2025-3-31,14:35,32.540,32.540,32.540,32.540,2043512.0,62800
2025-3-31,14:40,32.540,32.540,32.540,32.540,920882.0,28300
2025-3-31,14:45,32.540,32.540,32.540,32.540,4783380.0,147000
2025-3-31,14:50,32.540,32.540,32.540,32.540,1757160.0,54000
2025-3-31,14:55,32.540,32.540,32.540,32.540,3159634.0,97100
2025-3-31,15:00,32.540,32.540,32.540,32.540,11359714.0,349100
2025-4-1,09:35,33.290,35.290,33.290,35.120,455675680.0,13168000
2025-4-1,09:40,35.110,35.110,34.140,34.150,139659984.0,4032000
2025-4-1,09:45,34.150,34.150,33.550,34.000,101155888.0,2982700
2025-4-1,09:50,33.980,33.980,33.720,33.790,53301896.0,1575300
2025-4-1,09:55,33.770,33.770,33.350,33.550,54107920.0,1613400
2025-4-1,10:00,33.580,33.780,33.340,33.780,43986888.0,1314400
2025-4-1,10:05,33.780,34.010,33.600,33.860,36747136.0,1088300
2025-4-1,10:10,33.860,34.040,33.760,33.980,25472008.0,751700
2025-4-1,10:15,34.040,34.270,33.890,34.150,33548772.0,984900
2025-4-1,10:20,34.150,34.150,33.890,34.100,31394708.0,923000
2025-4-1,10:25,34.100,34.110,33.920,33.930,18920724.0,556200
2025-4-1,10:30,33.920,34.270,33.920,34.270,25506294.0,748600
2025-4-1,10:35,34.280,34.520,34.240,34.510,25873422.0,751900
2025-4-1,10:40,34.510,34.550,34.310,34.480,18770982.0,545500
2025-4-1,10:45,34.500,34.500,34.250,34.250,16039656.0,466600
2025-4-1,10:50,34.250,34.290,34.110,34.220,8147458.0,238200
2025-4-1,10:55,34.220,34.240,34.040,34.050,8319880.0,243600
2025-4-1,11:00,34.050,34.130,33.880,33.950,17569074.0,516800
2025-4-1,11:05,33.960,33.990,33.810,33.930,13445766.0,396900
2025-4-1,11:10,33.930,34.040,33.820,34.020,9167703.0,270000
2025-4-1,11:15,34.010,34.020,33.880,33.940,5349334.0,157600
2025-4-1,11:20,33.930,33.940,33.850,33.900,5603557.0,165300
2025-4-1,11:25,33.900,33.910,33.860,33.860,6275946.0,185200
2025-4-1,11:30,33.860,33.920,33.830,33.910,6796855.0,200600
2025-4-1,13:05,33.920,33.920,33.600,33.650,17660328.0,523300
2025-4-1,13:10,33.660,33.710,33.580,33.650,10050692.0,298600
2025-4-1,13:15,33.630,33.710,33.580,33.660,9742593.0,289700
2025-4-1,13:20,33.660,33.690,33.510,33.690,12439884.0,370200
2025-4-1,13:25,33.700,33.700,33.470,33.470,12049789.0,359300
2025-4-1,13:30,33.460,33.480,33.300,33.310,22897832.0,685800
2025-4-1,13:35,33.320,33.480,33.320,33.370,10587847.0,316900
2025-4-1,13:40,33.370,33.390,33.300,33.340,14516104.0,435400
2025-4-1,13:45,33.350,33.540,33.340,33.470,11768354.0,351900
2025-4-1,13:50,33.470,33.620,33.470,33.550,12352172.0,368000
2025-4-1,13:55,33.540,33.700,33.490,33.570,8125697.0,241800
2025-4-1,14:00,33.570,33.600,33.460,33.520,8342852.0,248900
2025-4-1,14:05,33.510,33.700,33.510,33.600,7371000.0,219400
2025-4-1,14:10,33.580,33.650,33.490,33.640,5746602.0,171200
2025-4-1,14:15,33.640,33.710,33.550,33.630,8957986.0,266300
2025-4-1,14:20,33.630,33.660,33.570,33.580,5106144.0,151900
2025-4-1,14:25,33.570,33.620,33.460,33.460,11606884.0,346200
2025-4-1,14:30,33.460,33.490,33.410,33.440,8668154.0,259200
2025-4-1,14:35,33.460,33.580,33.450,33.460,12126670.0,361800
2025-4-1,14:40,33.460,33.480,33.410,33.440,14052574.0,420400
2025-4-1,14:45,33.450,33.460,33.380,33.450,15124034.0,452600
2025-4-1,14:50,33.460,33.490,33.300,33.490,26759784.0,801000
2025-4-1,14:55,33.480,33.530,33.430,33.530,34335992.0,1025800
2025-4-1,15:00,33.520,33.590,33.490,33.590,27204010.0,811100
2025-4-2,09:35,34.250,35.500,33.290,35.340,266516928.0,7690100
2025-4-2,09:40,35.310,36.140,34.930,35.140,233801280.0,6585300
2025-4-2,09:45,35.080,35.510,34.810,35.000,118638824.0,3378800
2025-4-2,09:50,34.950,34.950,34.550,34.550,48017652.0,1380500
2025-4-2,09:55,34.550,34.850,34.550,34.580,45527648.0,1310800
2025-4-2,10:00,34.580,34.670,34.510,34.620,29300314.0,847600
2025-4-2,10:05,34.650,34.670,34.400,34.410,26209788.0,759500
2025-4-2,10:10,34.410,34.450,34.310,34.450,17758164.0,516500
2025-4-2,10:15,34.460,35.000,34.460,34.820,32824688.0,943500
2025-4-2,10:20,34.830,35.190,34.650,35.160,29142756.0,834600
2025-4-2,10:25,35.100,35.980,35.100,35.830,116750304.0,3273900
2025-4-2,10:30,35.800,36.240,35.740,35.800,119190368.0,3306800
2025-4-2,10:35,35.800,35.990,35.600,35.760,43156816.0,1207000
2025-4-2,10:40,35.720,35.890,35.600,35.680,19323628.0,540900
2025-4-2,10:45,35.670,35.760,35.500,35.760,16895780.0,474200
2025-4-2,10:50,35.760,35.780,35.460,35.590,10526523.0,295700
2025-4-2,10:55,35.550,35.570,35.260,35.500,15231069.0,430400
2025-4-2,11:00,35.500,36.000,35.480,35.880,14356945.0,401900
2025-4-2,11:05,35.900,35.900,35.560,35.610,10061434.0,281800
2025-4-2,11:10,35.620,35.850,35.600,35.780,7113617.0,199400
2025-4-2,11:15,35.780,36.150,35.780,36.130,28454750.0,791500
2025-4-2,11:20,36.150,36.200,35.880,36.190,27136728.0,752300
2025-4-2,11:25,36.200,36.200,35.900,35.970,22649448.0,627900
2025-4-2,11:30,35.960,35.980,35.760,35.790,9522655.0,265600
2025-4-2,13:05,35.760,35.850,35.500,35.640,11949333.0,334900
2025-4-2,13:10,35.670,35.840,35.640,35.740,7612911.0,212800
2025-4-2,13:15,35.740,35.800,35.580,35.770,16459835.0,461400
2025-4-2,13:20,35.750,35.760,35.600,35.670,7362442.0,206400
2025-4-2,13:25,35.670,35.730,35.570,35.620,7368581.0,206800
2025-4-2,13:30,35.550,35.620,35.500,35.530,17274316.0,486200
2025-4-2,13:35,35.550,35.590,35.420,35.420,15903186.0,447900
2025-4-2,13:40,35.460,35.470,35.260,35.260,20991468.0,593200
2025-4-2,13:45,35.380,35.540,35.350,35.400,16030554.0,452500
2025-4-2,13:50,35.400,36.000,35.380,35.910,29495224.0,824700
2025-4-2,13:55,35.910,36.110,35.740,35.800,46858824.0,1301700
2025-4-2,14:00,35.800,35.930,35.560,35.780,12179913.0,340700
2025-4-2,14:05,35.780,35.900,35.700,35.700,13963099.0,390100
2025-4-2,14:10,35.700,35.720,35.530,35.550,12137037.0,340800
2025-4-2,14:15,35.550,35.620,35.530,35.550,12506690.0,351600
2025-4-2,14:20,35.560,35.680,35.510,35.680,11388591.0,320300
2025-4-2,14:25,35.670,35.740,35.580,35.590,10305754.0,288900
2025-4-2,14:30,35.590,35.870,35.520,35.720,17370048.0,486600
2025-4-2,14:35,35.720,36.000,35.720,36.000,27170200.0,755900
2025-4-2,14:40,36.010,36.010,35.700,35.790,17789420.0,496600
2025-4-2,14:45,35.780,36.000,35.780,35.850,33549408.0,933700
2025-4-2,14:50,35.850,35.900,35.810,35.870,25089986.0,699800
2025-4-2,14:55,35.870,35.990,35.840,35.900,39183640.0,1090700
2025-4-2,15:00,35.900,36.000,35.890,36.000,54957352.0,1528400
2025-4-3,09:35,34.400,35.400,34.400,34.680,174687712.0,5024600
2025-4-3,09:40,34.650,35.200,33.880,35.040,114041176.0,3324900
2025-4-3,09:45,35.030,35.270,34.780,35.270,65553160.0,1868800
2025-4-3,09:50,35.270,35.270,34.610,34.710,45210976.0,1293800
2025-4-3,09:55,34.720,34.730,34.130,34.360,67463376.0,1966500
2025-4-3,10:00,34.370,34.720,34.060,34.060,35014304.0,1017200
2025-4-3,10:05,34.200,34.470,34.000,34.000,37461676.0,1095000
2025-4-3,10:10,34.000,34.120,33.500,33.800,68920400.0,2036000
2025-4-3,10:15,33.710,34.000,33.680,33.860,33927240.0,1002800
2025-4-3,10:20,33.870,34.080,33.780,33.870,26771418.0,789100
2025-4-3,10:25,33.880,34.000,33.780,33.830,24351252.0,719400
2025-4-3,10:30,33.830,33.890,33.750,33.890,22107556.0,654100
2025-4-3,10:35,33.900,33.940,33.660,33.670,22448844.0,664900
2025-4-3,10:40,33.680,33.800,33.500,33.600,23856348.0,710000
2025-4-3,10:45,33.600,33.700,33.500,33.570,15067538.0,448700
2025-4-3,10:50,33.570,33.670,33.450,33.450,19949214.0,594900
2025-4-3,10:55,33.450,33.450,33.060,33.080,48321532.0,1453100
2025-4-3,11:00,33.070,33.310,33.070,33.240,28638876.0,862100
2025-4-3,11:05,33.240,33.250,33.000,33.110,21517756.0,649900
2025-4-3,11:10,33.110,33.220,33.050,33.220,20536032.0,620400
2025-4-3,11:15,33.240,33.300,33.080,33.180,17111856.0,515400
2025-4-3,11:20,33.180,33.300,33.070,33.290,9447994.0,285000
2025-4-3,11:25,33.290,33.630,33.280,33.490,18407676.0,550000
2025-4-3,11:30,33.580,33.580,33.220,33.250,11291991.0,338400
2025-4-3,13:05,33.200,33.480,33.200,33.480,12597592.0,377900
2025-4-3,13:10,33.480,33.480,33.150,33.300,12142726.0,364600
2025-4-3,13:15,33.300,33.450,33.240,33.440,7855099.0,235900
2025-4-3,13:20,33.380,33.430,33.300,33.430,5387880.0,161400
2025-4-3,13:25,33.430,33.920,33.380,33.610,22285842.0,661600
2025-4-3,13:30,33.620,34.340,33.550,34.110,23602204.0,694600
2025-4-3,13:35,34.100,35.540,34.100,35.540,76402632.0,2195500
2025-4-3,13:40,35.580,35.840,35.060,35.150,76101016.0,2143300
2025-4-3,13:45,35.130,36.230,35.130,36.230,114492216.0,3204000
2025-4-3,13:50,36.380,37.620,36.380,36.780,128199584.0,3449700
2025-4-3,13:55,36.730,37.800,36.700,37.780,64884940.0,1744100
2025-4-3,14:00,37.790,38.800,37.790,38.010,88391688.0,2308800
2025-4-3,14:05,38.050,38.360,37.120,37.790,44277600.0,1170400
2025-4-3,14:10,37.790,38.060,37.330,37.600,32690342.0,866400
2025-4-3,14:15,37.620,37.970,37.600,37.840,21657500.0,573800
2025-4-3,14:20,37.830,37.840,37.290,37.630,24092464.0,642800
2025-4-3,14:25,37.640,37.950,37.410,37.950,22114844.0,588000
2025-4-3,14:30,37.960,38.350,37.580,38.350,31164888.0,821200
2025-4-3,14:35,38.360,38.490,37.800,37.900,27626948.0,723100
2025-4-3,14:40,37.900,37.900,37.700,37.760,19518448.0,516900
2025-4-3,14:45,37.750,37.750,37.260,37.260,23122102.0,616200
2025-4-3,14:50,37.260,37.460,36.970,37.100,38404936.0,1032500
2025-4-3,14:55,37.090,37.090,36.300,36.880,83833920.0,2274500
2025-4-3,15:00,36.870,36.900,36.690,36.700,52868680.0,1438200
2025-4-7,09:35,36.000,36.000,34.710,35.570,249334432.0,7024600
2025-4-7,09:40,35.580,37.080,35.580,36.260,195390752.0,5360000
2025-4-7,09:45,36.280,36.690,35.610,35.840,89034088.0,2461100
2025-4-7,09:50,35.820,36.110,35.810,35.970,66309460.0,1842500
2025-4-7,09:55,35.950,36.140,35.260,36.140,86215456.0,2417900
2025-4-7,10:00,36.200,37.480,36.200,37.360,130662712.0,3551400
2025-4-7,10:05,37.490,38.750,37.490,38.160,235600800.0,6191300
2025-4-7,10:10,38.170,38.800,37.510,37.750,90710960.0,2380300
2025-4-7,10:15,37.740,37.820,37.540,37.540,32306320.0,856200
2025-4-7,10:20,37.530,38.010,37.260,37.760,34059076.0,904600
2025-4-7,10:25,37.820,38.480,37.800,38.480,49601672.0,1300700
2025-4-7,10:30,38.470,38.790,38.210,38.500,68196664.0,1770700
2025-4-7,10:35,38.490,38.500,38.020,38.020,21725202.0,568300
2025-4-7,10:40,38.000,38.250,37.960,38.100,16806140.0,441500
2025-4-7,10:45,38.100,38.360,38.030,38.090,14840444.0,388400
2025-4-7,10:50,38.080,38.130,37.710,37.740,17940182.0,473000
2025-4-7,10:55,37.750,38.180,37.750,38.020,11880155.0,313700
2025-4-7,11:00,38.000,38.070,37.930,37.980,8788793.0,231400
2025-4-7,11:05,37.990,38.060,37.800,38.060,7377760.0,194600
2025-4-7,11:10,38.060,38.070,37.680,37.680,8230892.0,217200
2025-4-7,11:15,37.670,37.670,37.240,37.590,31369816.0,838000
2025-4-7,11:20,37.580,37.930,37.580,37.770,11392668.0,301800
2025-4-7,11:25,37.750,37.790,37.560,37.560,24390084.0,648300
2025-4-7,11:30,37.560,37.680,37.240,37.310,18636528.0,497200
2025-4-7,13:05,37.310,37.750,37.200,37.450,18693692.0,499900
2025-4-7,13:10,37.440,37.450,36.820,37.000,25122020.0,678500
2025-4-7,13:15,36.960,37.170,36.540,37.170,34867180.0,947800
2025-4-7,13:20,37.160,37.350,36.920,37.100,14392207.0,388100
2025-4-7,13:25,37.100,37.630,37.100,37.140,16995836.0,455100
2025-4-7,13:30,37.140,37.140,36.830,36.980,11404642.0,308500
2025-4-7,13:35,36.960,36.990,36.390,36.390,18778590.0,511600
2025-4-7,13:40,36.370,36.700,35.930,36.280,45927120.0,1266600
2025-4-7,13:45,36.300,36.300,35.930,36.300,24928564.0,691700
2025-4-7,13:50,36.310,36.320,35.500,35.500,27352022.0,763300
2025-4-7,13:55,35.570,35.790,35.330,35.330,29771692.0,836700
2025-4-7,14:00,35.310,36.620,35.310,36.060,22827262.0,636000
2025-4-7,14:05,36.050,36.210,35.860,35.860,9230752.0,256200
2025-4-7,14:10,35.850,35.850,35.400,35.400,13784684.0,387000
2025-4-7,14:15,35.400,35.400,34.300,34.490,48491176.0,1386600
2025-4-7,14:20,34.480,35.150,33.890,34.900,59705840.0,1734400
2025-4-7,14:25,34.790,36.200,34.490,36.200,20940020.0,592600
2025-4-7,14:30,36.200,37.500,36.190,36.860,34250588.0,925100
2025-4-7,14:35,36.880,36.960,36.200,36.740,17622580.0,482000
2025-4-7,14:40,36.730,36.730,36.660,36.690,9051663.0,246700
2025-4-7,14:45,36.700,36.700,35.720,35.820,15419582.0,427500
2025-4-7,14:50,35.830,36.000,35.650,35.650,22667948.0,631000
2025-4-7,14:55,35.650,37.550,35.650,37.550,43000632.0,1170400
2025-4-7,15:00,37.700,37.990,37.130,37.200,71755872.0,1918500
2025-4-8,09:35,36.830,37.700,36.150,36.920,207765376.0,5640400
2025-4-8,09:40,36.930,36.930,36.210,36.420,105344584.0,2886500
2025-4-8,09:45,36.340,36.610,36.000,36.610,82730464.0,2285500
2025-4-8,09:50,36.620,36.620,36.110,36.310,49817820.0,1370400
2025-4-8,09:55,36.310,36.600,36.020,36.600,69327664.0,1914600
2025-4-8,10:00,36.650,36.780,35.490,35.790,62446352.0,1723300
2025-4-8,10:05,35.790,36.200,35.720,36.000,41266252.0,1147500
2025-4-8,10:10,36.000,36.000,35.510,35.510,48855320.0,1370400
2025-4-8,10:15,35.510,36.600,35.480,36.140,50425708.0,1404100
2025-4-8,10:20,36.150,36.780,36.150,36.590,33450392.0,914500
2025-4-8,10:25,36.590,36.640,36.400,36.480,18502788.0,506200
2025-4-8,10:30,36.480,37.200,36.410,37.200,33973520.0,925700
2025-4-8,10:35,37.220,37.940,37.190,37.780,117710848.0,3126000
2025-4-8,10:40,37.800,38.000,37.570,37.600,63050272.0,1666100
2025-4-8,10:45,37.600,37.790,37.220,37.310,29137672.0,776100
2025-4-8,10:50,37.310,37.500,37.080,37.180,17547590.0,470500
2025-4-8,10:55,37.190,37.330,37.000,37.140,15773375.0,424700
2025-4-8,11:00,37.140,37.140,37.000,37.030,9242293.0,249500
2025-4-8,11:05,37.030,37.080,36.890,36.890,11121027.0,300500
2025-4-8,11:10,36.880,37.060,36.730,36.900,8494630.0,230600
2025-4-8,11:15,36.900,37.030,36.800,36.880,6198159.0,168100
2025-4-8,11:20,36.880,36.970,36.810,36.910,9994134.0,271000
2025-4-8,11:25,36.960,36.970,36.710,36.750,10825800.0,294100
2025-4-8,11:30,36.730,36.750,36.510,36.540,13624575.0,372400
2025-4-8,13:05,36.530,36.630,36.140,36.400,18453716.0,506900
2025-4-8,13:10,36.410,36.440,36.170,36.250,9198535.0,253600
2025-4-8,13:15,36.210,36.290,35.810,36.160,19800064.0,549700
2025-4-8,13:20,36.170,36.190,35.890,36.000,15286671.0,424600
2025-4-8,13:25,35.990,36.110,35.900,35.900,16065503.0,446300
2025-4-8,13:30,35.900,35.920,35.610,35.880,22834156.0,638600
2025-4-8,13:35,35.890,36.450,35.890,36.090,16625788.0,458900
2025-4-8,13:40,36.060,36.140,35.900,35.910,12516436.0,347600
2025-4-8,13:45,35.910,35.960,35.730,35.830,13455829.0,375600
2025-4-8,13:50,35.830,35.850,35.720,35.750,14354034.0,401200
2025-4-8,13:55,35.760,36.060,35.750,35.820,12509549.0,348100
2025-4-8,14:00,35.810,36.110,35.730,35.950,14000068.0,389600
2025-4-8,14:05,35.950,36.290,35.950,36.020,14228828.0,394400
2025-4-8,14:10,36.020,36.080,35.820,35.870,11019489.0,306500
2025-4-8,14:15,35.870,35.890,35.760,35.780,12941749.0,361200
2025-4-8,14:20,35.780,35.830,35.610,35.640,19435232.0,544200
2025-4-8,14:25,35.630,35.660,35.490,35.490,29984254.0,843200
2025-4-8,14:30,35.500,36.300,35.480,36.300,19827626.0,554400
2025-4-8,14:35,36.270,36.270,35.760,35.870,13866558.0,385900
2025-4-8,14:40,35.870,36.100,35.800,35.820,11417332.0,318300
2025-4-8,14:45,35.820,36.660,35.790,36.650,30480586.0,842600
