日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,83.020,85.500,83.020,83.830,88151944.0,1043900
2025-3-31,09:40,83.830,84.790,83.830,84.630,42157456.0,499600
2025-3-31,09:45,84.690,84.930,84.010,84.310,25682384.0,304200
2025-3-31,09:50,84.190,84.310,83.630,84.020,19675894.0,234500
2025-3-31,09:55,84.030,85.800,84.000,85.560,49516424.0,581700
2025-3-31,10:00,85.560,86.600,85.560,86.510,105617328.0,1226400
2025-3-31,10:05,86.500,86.990,86.000,86.530,71973008.0,831400
2025-3-31,10:10,86.650,86.700,86.030,86.150,30187362.0,349500
2025-3-31,10:15,86.100,86.320,85.700,85.700,27858534.0,323900
2025-3-31,10:20,85.680,85.890,85.540,85.750,19456432.0,227000
2025-3-31,10:25,85.700,85.800,85.330,85.330,12156258.0,142100
2025-3-31,10:30,85.310,85.500,85.100,85.500,20885852.0,245000
2025-3-31,10:35,85.580,86.030,85.440,85.900,17922372.0,209100
2025-3-31,10:40,85.950,86.130,85.500,85.500,11458812.0,133400
2025-3-31,10:45,85.490,85.780,85.490,85.760,7934237.0,92600
2025-3-31,10:50,85.740,85.760,85.450,85.500,6151760.0,71900
2025-3-31,10:55,85.480,85.680,85.400,85.420,9043974.0,105800
2025-3-31,11:00,85.410,86.180,85.410,86.080,20793026.0,242000
2025-3-31,11:05,86.070,86.120,85.800,85.900,14685979.0,170800
2025-3-31,11:10,85.900,86.090,85.790,86.010,11591166.0,134800
2025-3-31,11:15,86.010,86.870,86.010,86.360,48958712.0,565500
2025-3-31,11:20,86.360,86.750,86.320,86.520,25084310.0,289900
2025-3-31,11:25,86.540,86.800,86.260,86.400,25311084.0,292100
2025-3-31,11:30,86.350,86.830,86.260,86.460,34508008.0,398400
2025-3-31,13:05,86.300,87.500,86.300,86.700,57609908.0,662400
2025-3-31,13:10,86.830,87.320,86.650,87.320,14400724.0,165500
2025-3-31,13:15,87.370,87.480,87.170,87.480,37791756.0,432500
2025-3-31,13:20,87.550,87.680,86.460,86.500,33853360.0,388300
2025-3-31,13:25,86.490,86.560,86.260,86.550,11964180.0,138400
2025-3-31,13:30,86.550,86.560,86.120,86.250,12695722.0,147100
2025-3-31,13:35,86.240,86.290,86.000,86.140,15748085.0,182800
2025-3-31,13:40,86.180,86.240,85.980,86.010,14128272.0,164100
2025-3-31,13:45,86.020,86.210,85.900,86.110,13867602.0,161200
2025-3-31,13:50,86.110,86.280,86.050,86.280,5788604.0,67200
2025-3-31,13:55,86.220,86.600,86.180,86.560,6354496.0,73600
2025-3-31,14:00,86.560,86.820,86.510,86.800,6081459.0,70200
2025-3-31,14:05,86.790,86.920,86.530,86.920,13589977.0,156600
2025-3-31,14:10,86.920,87.500,86.920,87.450,25564340.0,293000
2025-3-31,14:15,87.450,87.720,87.330,87.400,33351552.0,380700
2025-3-31,14:20,87.400,88.000,87.400,87.990,48445028.0,551600
2025-3-31,14:25,88.030,88.980,88.030,88.510,85303184.0,964400
2025-3-31,14:30,88.530,88.770,87.880,87.980,23352526.0,264600
2025-3-31,14:35,87.980,88.190,87.710,87.760,17567006.0,199800
2025-3-31,14:40,87.740,88.300,87.740,88.000,21985772.0,249700
2025-3-31,14:45,88.000,88.260,87.700,88.110,22657892.0,257500
2025-3-31,14:50,88.100,88.180,87.910,88.030,21427800.0,243300
2025-3-31,14:55,88.100,88.290,87.960,88.290,44378504.0,503700
2025-3-31,15:00,88.290,88.480,88.200,88.480,52529164.0,594300
2025-4-1,09:35,87.000,87.480,85.720,87.350,229465056.0,2652500
2025-4-1,09:40,87.380,88.000,86.610,86.610,67439304.0,772800
2025-4-1,09:45,86.630,86.910,86.040,86.280,64556336.0,747100
2025-4-1,09:50,86.180,86.500,86.000,86.020,73207408.0,849600
2025-4-1,09:55,86.080,86.080,85.100,85.400,93189344.0,1087900
2025-4-1,10:00,85.370,85.600,85.170,85.280,59318836.0,695200
2025-4-1,10:05,85.200,85.790,85.090,85.460,43035244.0,504200
2025-4-1,10:10,85.460,85.540,85.200,85.220,32203746.0,377500
2025-4-1,10:15,85.220,85.510,84.610,85.480,84110360.0,989600
2025-4-1,10:20,85.490,85.650,85.100,85.400,26822832.0,314300
2025-4-1,10:25,85.440,85.770,85.300,85.630,24962992.0,291800
2025-4-1,10:30,85.660,85.890,85.430,85.660,21933174.0,256100
2025-4-1,10:35,85.670,85.700,85.100,85.210,20769012.0,243200
2025-4-1,10:40,85.260,85.650,85.220,85.500,13690964.0,160300
2025-4-1,10:45,85.510,85.640,85.380,85.540,13524937.0,158200
2025-4-1,10:50,85.470,85.610,85.380,85.450,13602605.0,159200
2025-4-1,10:55,85.450,85.460,85.060,85.080,21113570.0,247800
2025-4-1,11:00,85.090,85.090,84.890,84.900,42077540.0,495100
2025-4-1,11:05,84.900,85.110,84.700,84.870,27273732.0,321300
2025-4-1,11:10,84.870,84.980,84.830,84.920,10660795.0,125600
2025-4-1,11:15,84.920,85.140,84.840,85.020,7611490.0,89600
2025-4-1,11:20,85.020,85.110,84.960,85.080,11189099.0,131600
2025-4-1,11:25,85.070,85.100,84.980,85.050,10168395.0,119600
2025-4-1,11:30,85.050,85.060,84.990,84.990,7235546.0,85100
2025-4-1,13:05,85.010,85.040,84.800,84.810,19057412.0,224500
2025-4-1,13:10,84.810,84.880,84.800,84.800,14723900.0,173600
2025-4-1,13:15,84.810,84.890,84.780,84.880,7653201.0,90200
2025-4-1,13:20,84.880,84.880,84.630,84.670,21184276.0,250100
2025-4-1,13:25,84.670,84.670,84.600,84.610,18126420.0,214200
2025-4-1,13:30,84.610,84.660,84.600,84.600,10148615.0,119900
2025-4-1,13:35,84.600,84.600,84.160,84.350,29938944.0,354700
2025-4-1,13:40,84.360,84.360,83.720,83.800,42383156.0,504400
2025-4-1,13:45,83.790,83.900,83.390,83.900,38602216.0,461500
2025-4-1,13:50,83.920,84.440,83.920,84.200,17155432.0,203600
2025-4-1,13:55,84.180,84.410,84.060,84.230,12319761.0,146100
2025-4-1,14:00,84.220,84.400,84.220,84.250,8742352.0,103700
2025-4-1,14:05,84.250,84.290,83.990,84.000,11124679.0,132200
2025-4-1,14:10,84.000,84.160,83.910,83.910,7327760.0,87200
2025-4-1,14:15,83.910,83.910,83.560,83.630,17229732.0,205900
2025-4-1,14:20,83.690,83.760,83.550,83.720,19301848.0,230900
2025-4-1,14:25,83.740,83.790,83.580,83.790,10231841.0,122300
2025-4-1,14:30,83.810,84.030,83.700,84.020,11846350.0,141300
2025-4-1,14:35,84.010,84.250,83.990,84.120,15576695.0,185200
2025-4-1,14:40,84.120,84.150,84.040,84.100,11227036.0,133600
2025-4-1,14:45,84.080,84.460,84.080,84.460,17020680.0,201900
2025-4-1,14:50,84.460,84.580,84.220,84.550,21160652.0,250900
2025-4-1,14:55,84.560,85.180,84.560,85.150,34203644.0,402500
2025-4-1,15:00,85.110,85.190,85.100,85.160,31168138.0,366000
2025-4-2,09:35,84.300,86.550,84.300,85.510,99268560.0,1157400
2025-4-2,09:40,85.510,85.800,85.010,85.120,34139448.0,400200
2025-4-2,09:45,85.200,85.200,84.610,84.880,28432888.0,334700
2025-4-2,09:50,84.880,84.940,84.110,84.450,36155804.0,428300
2025-4-2,09:55,84.450,84.800,84.300,84.300,30467512.0,360700
2025-4-2,10:00,84.300,84.990,84.300,84.850,14119126.0,166900
2025-4-2,10:05,84.890,84.890,84.590,84.600,13521632.0,159600
2025-4-2,10:10,84.600,84.680,84.390,84.390,9509938.0,112500
2025-4-2,10:15,84.390,84.540,84.360,84.390,15226430.0,180400
2025-4-2,10:20,84.380,84.680,84.380,84.620,12178352.0,144100
2025-4-2,10:25,84.610,84.770,84.590,84.640,11470073.0,135500
2025-4-2,10:30,84.710,85.000,84.500,84.580,15169640.0,179000
2025-4-2,10:35,84.510,84.590,84.350,84.440,16496685.0,195400
2025-4-2,10:40,84.440,84.440,84.150,84.150,21761456.0,258300
2025-4-2,10:45,84.150,84.160,83.880,83.990,26322740.0,313400
2025-4-2,10:50,83.990,84.090,83.960,84.070,9205260.0,109600
2025-4-2,10:55,84.010,85.510,83.880,85.450,32036102.0,378100
2025-4-2,11:00,85.290,85.880,85.000,85.000,33449244.0,391400
2025-4-2,11:05,85.000,85.080,84.840,84.970,8799254.0,103600
2025-4-2,11:10,84.970,84.990,84.600,84.870,5581011.0,65800
2025-4-2,11:15,84.870,85.170,84.800,85.110,7146476.0,84100
2025-4-2,11:20,85.100,85.100,84.530,84.620,4919078.0,58000
2025-4-2,11:25,84.540,84.690,84.420,84.510,14346887.0,169800
2025-4-2,11:30,84.530,84.570,83.920,83.930,26461982.0,314500
2025-4-2,13:05,83.930,84.150,83.720,83.930,20607912.0,245600
2025-4-2,13:10,83.890,83.900,83.770,83.770,13221252.0,157700
2025-4-2,13:15,83.770,83.830,83.680,83.820,10758160.0,128500
2025-4-2,13:20,83.820,83.870,83.770,83.870,4231832.0,50500
2025-4-2,13:25,83.860,84.000,83.790,83.960,6516834.0,77700
2025-4-2,13:30,84.000,84.000,83.860,83.990,7574323.0,90200
2025-4-2,13:35,83.990,83.990,83.790,83.800,7764840.0,92600
2025-4-2,13:40,83.810,83.810,83.400,83.540,27252320.0,326000
2025-4-2,13:45,83.540,83.540,83.380,83.480,24286892.0,291100
2025-4-2,13:50,83.480,83.490,83.150,83.280,18137504.0,217700
2025-4-2,13:55,83.280,83.410,83.280,83.330,6627317.0,79500
2025-4-2,14:00,83.330,83.330,83.080,83.100,17443238.0,209700
2025-4-2,14:05,83.100,83.290,83.100,83.160,12791966.0,153800
2025-4-2,14:10,83.100,83.150,83.000,83.050,22863844.0,275300
2025-4-2,14:15,83.050,83.050,82.600,82.790,36897340.0,445300
2025-4-2,14:20,82.800,83.100,82.650,83.100,15802293.0,191000
2025-4-2,14:25,83.100,83.110,82.820,83.080,8211630.0,99000
2025-4-2,14:30,83.000,83.030,82.940,83.000,9811301.0,118300
2025-4-2,14:35,83.000,83.250,82.950,83.010,9747989.0,117300
2025-4-2,14:40,83.000,83.050,82.820,82.820,14113800.0,170200
2025-4-2,14:45,82.850,82.860,82.620,82.860,21123780.0,255400
2025-4-2,14:50,82.860,83.220,82.860,83.220,15602539.0,188100
2025-4-2,14:55,83.220,83.500,83.150,83.400,14635844.0,175700
2025-4-2,15:00,83.410,83.490,83.410,83.470,28948208.0,346800
2025-4-3,09:35,81.900,82.670,81.000,81.140,161023488.0,1972700
2025-4-3,09:40,81.170,82.180,81.170,81.880,45988612.0,562300
2025-4-3,09:45,81.880,81.880,81.500,81.850,36694640.0,449500
2025-4-3,09:50,81.840,81.850,81.550,81.550,42857320.0,524700
2025-4-3,09:55,81.520,81.520,80.080,80.090,107015280.0,1324400
2025-4-3,10:00,80.080,80.370,79.380,79.700,103618616.0,1297400
2025-4-3,10:05,79.670,79.700,78.500,78.770,86492920.0,1091200
2025-4-3,10:10,78.770,79.100,78.600,78.760,63200760.0,801700
2025-4-3,10:15,78.760,79.020,78.620,79.020,26717562.0,339200
2025-4-3,10:20,79.030,79.320,78.920,78.940,25014994.0,316100
2025-4-3,10:25,78.940,78.960,78.000,78.020,51484296.0,655700
2025-4-3,10:30,78.070,78.640,77.890,78.580,45797148.0,586100
2025-4-3,10:35,78.510,78.530,77.960,77.960,35363224.0,452200
2025-4-3,10:40,77.930,77.930,77.090,77.480,69453968.0,896900
2025-4-3,10:45,77.460,77.520,76.000,76.700,83487072.0,1088700
2025-4-3,10:50,76.700,76.970,76.100,76.130,50606920.0,661000
2025-4-3,10:55,76.180,76.500,75.740,75.740,60346720.0,792600
2025-4-3,11:00,75.740,75.970,75.290,75.880,57329656.0,758300
2025-4-3,11:05,75.880,76.580,75.880,76.580,17684988.0,232600
2025-4-3,11:10,76.590,76.860,76.290,76.580,21499156.0,280900
