日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,180.000,181.680,178.500,180.000,38723592.0,215700
2025-3-31,09:40,180.110,181.800,179.660,181.670,30263400.0,167700
2025-3-31,09:45,181.860,183.700,181.460,182.320,50893164.0,278400
2025-3-31,09:50,182.320,182.780,181.500,181.500,15702284.0,86200
2025-3-31,09:55,181.450,181.880,181.020,181.880,9545753.0,52600
2025-3-31,10:00,181.880,182.300,181.330,181.830,7114602.0,39100
2025-3-31,10:05,181.790,182.200,181.370,181.910,7415375.0,40800
2025-3-31,10:10,181.910,181.950,181.320,181.320,6971071.0,38400
2025-3-31,10:15,181.320,181.320,181.000,181.020,9108339.0,50300
2025-3-31,10:20,180.910,181.020,180.200,180.870,13052764.0,72200
2025-3-31,10:25,180.870,180.990,180.380,180.420,6392495.0,35400
2025-3-31,10:30,180.500,180.500,179.700,179.950,8408846.0,46700
2025-3-31,10:35,179.950,180.800,179.950,180.390,5336069.0,29600
2025-3-31,10:40,180.180,180.410,179.500,179.720,10542676.0,58600
2025-3-31,10:45,179.670,180.380,179.670,180.380,2412931.0,13400
2025-3-31,10:50,180.380,180.540,180.020,180.430,2722292.0,15100
2025-3-31,10:55,180.430,180.970,180.350,180.350,5095508.0,28200
2025-3-31,11:00,180.540,180.600,179.700,179.800,7848118.0,43600
2025-3-31,11:05,179.800,179.800,178.860,178.860,15473644.0,86300
2025-3-31,11:10,178.830,179.460,178.600,179.040,10251179.0,57300
2025-3-31,11:15,179.040,179.440,178.960,179.000,6159112.0,34400
2025-3-31,11:20,179.000,179.510,179.000,179.260,7942260.0,44300
2025-3-31,11:25,179.260,179.800,179.030,179.100,3425972.0,19100
2025-3-31,11:30,179.100,179.340,179.000,179.320,3008303.0,16800
2025-3-31,13:05,179.340,180.170,178.950,179.460,9464016.0,52700
2025-3-31,13:10,179.850,180.790,179.470,180.590,9625235.0,53400
2025-3-31,13:15,180.590,180.670,180.050,180.210,4581781.0,25400
2025-3-31,13:20,180.410,180.410,179.680,179.990,3187876.0,17700
2025-3-31,13:25,180.080,180.080,179.400,179.730,4471069.0,24900
2025-3-31,13:30,179.990,180.280,179.370,179.370,5084851.0,28300
2025-3-31,13:35,179.250,179.250,178.510,178.890,13537315.0,75700
2025-3-31,13:40,178.910,179.350,178.910,179.180,2810787.0,15700
2025-3-31,13:45,179.180,179.200,178.010,178.530,12213969.0,68400
2025-3-31,13:50,178.530,178.960,178.480,178.510,3073536.0,17200
2025-3-31,13:55,178.580,179.210,178.580,178.800,4485800.0,25100
2025-3-31,14:00,178.620,179.000,178.620,178.810,3183030.0,17800
