日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,95.520,96.270,94.560,95.830,220360352.0,2306100
2025-6-30,09:40,95.820,96.720,95.590,96.070,135959568.0,1414100
2025-6-30,09:45,96.070,97.000,95.880,96.290,124890288.0,1292600
2025-6-30,09:50,96.250,97.680,96.250,97.650,116664608.0,1202100
2025-6-30,09:55,97.660,98.250,97.200,98.210,152957728.0,1563600
2025-6-30,10:00,98.030,98.170,97.450,97.670,85645584.0,875100
2025-6-30,10:05,97.640,97.670,96.300,96.550,82598056.0,853500
2025-6-30,10:10,96.600,97.200,96.550,97.100,61663884.0,636400
2025-6-30,10:15,97.100,97.190,96.110,96.410,50684928.0,524100
2025-6-30,10:20,96.480,96.590,95.930,95.990,53754484.0,558900
2025-6-30,10:25,95.960,96.290,95.670,96.250,53419608.0,557000
2025-6-30,10:30,96.250,96.630,96.010,96.030,37446680.0,389000
2025-6-30,10:35,96.030,96.730,95.950,95.980,36896776.0,383300
2025-6-30,10:40,95.950,95.970,95.300,95.650,54132796.0,566100
2025-6-30,10:45,95.650,96.290,95.550,96.290,22461656.0,234600
2025-6-30,10:50,96.300,96.500,96.010,96.450,29989522.0,311700
2025-6-30,10:55,96.450,97.000,96.300,96.380,33612880.0,347900
2025-6-30,11:00,96.400,96.480,95.910,96.060,12532558.0,130400
2025-6-30,11:05,96.000,96.050,95.800,95.910,14197388.0,148000
2025-6-30,11:10,95.910,96.410,95.910,96.250,16654749.0,173200
2025-6-30,11:15,96.250,96.250,95.550,95.550,23216976.0,242400
2025-6-30,11:20,95.550,95.770,95.330,95.690,31283376.0,327600
2025-6-30,11:25,95.730,95.750,95.440,95.690,12294358.0,128600
2025-6-30,11:30,95.760,96.000,95.670,95.980,15363748.0,160400
2025-6-30,13:05,95.990,96.530,95.690,96.330,28824404.0,299800
2025-6-30,13:10,96.370,96.800,96.360,96.400,27854114.0,288500
2025-6-30,13:15,96.410,96.410,95.890,95.960,21751260.0,226300
2025-6-30,13:20,95.890,96.000,95.670,95.950,18506944.0,193200
2025-6-30,13:25,96.040,96.040,95.720,95.820,25242062.0,263500
2025-6-30,13:30,95.820,95.920,95.570,95.570,20435492.0,213400
2025-6-30,13:35,95.600,95.600,95.310,95.400,26158224.0,274100
2025-6-30,13:40,95.400,95.490,94.780,94.780,45548324.0,478700
2025-6-30,13:45,94.760,94.760,93.660,94.040,72013752.0,764200
2025-6-30,13:50,94.050,94.390,93.710,94.090,59675644.0,635200
2025-6-30,13:55,94.090,94.640,93.600,94.620,53070152.0,564700
2025-6-30,14:00,94.660,94.990,94.550,94.740,31408436.0,331500
2025-6-30,14:05,94.740,95.210,94.670,95.140,27331408.0,287800
2025-6-30,14:10,95.250,95.250,94.800,94.940,15587384.0,164100
2025-6-30,14:15,94.990,95.100,94.850,94.850,15980139.0,168200
2025-6-30,14:20,94.880,94.970,94.660,94.750,11755080.0,124000
2025-6-30,14:25,94.760,94.950,94.660,94.930,13336038.0,140700
2025-6-30,14:30,94.950,95.480,94.920,95.430,25852756.0,271500
2025-6-30,14:35,95.410,95.780,95.360,95.510,32699626.0,342100
2025-6-30,14:40,95.560,95.980,95.560,95.920,26127812.0,272700
2025-6-30,14:45,95.930,96.100,95.890,96.070,41479144.0,432100
