日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,13.100,13.210,13.080,13.180,29833840.0,2268900
2025-6-30,09:40,13.160,13.250,13.150,13.220,19967724.0,1512700
2025-6-30,09:45,13.220,13.260,13.180,13.190,15998986.0,1210700
2025-6-30,09:50,13.190,13.220,13.170,13.210,7065508.0,535500
2025-6-30,09:55,13.210,13.220,13.190,13.220,6053508.0,458300
2025-6-30,10:00,13.210,13.230,13.190,13.190,8617863.0,652100
2025-6-30,10:05,13.200,13.210,13.110,13.140,12016685.0,912900
2025-6-30,10:10,13.150,13.180,13.150,13.150,6835549.0,519300
2025-6-30,10:15,13.150,13.180,13.150,13.170,6698115.0,508800
2025-6-30,10:20,13.160,13.190,13.150,13.160,5880298.0,446500
2025-6-30,10:25,13.160,13.170,13.150,13.150,6267217.0,476300
2025-6-30,10:30,13.160,13.180,13.160,13.180,7490315.0,568800
2025-6-30,10:35,13.180,13.210,13.170,13.200,9853311.0,747100
2025-6-30,10:40,13.200,13.200,13.140,13.150,8938440.0,679000
2025-6-30,10:45,13.150,13.170,13.140,13.150,9094031.0,691600
2025-6-30,10:50,13.150,13.170,13.140,13.150,6416034.0,487800
2025-6-30,10:55,13.150,13.150,13.130,13.140,6250456.0,475800
2025-6-30,11:00,13.130,13.140,13.110,13.110,5989934.0,456300
2025-6-30,11:05,13.120,13.130,13.110,13.130,3968061.0,302400
2025-6-30,11:10,13.120,13.130,13.100,13.110,7177351.0,547400
2025-6-30,11:15,13.100,13.160,13.100,13.130,10040782.0,765000
2025-6-30,11:20,13.130,13.150,13.110,13.120,4879643.0,371500
2025-6-30,11:25,13.120,13.140,13.110,13.140,4601185.0,350500
2025-6-30,11:30,13.130,13.170,13.130,13.160,7359533.0,559800
2025-6-30,13:05,13.130,13.290,13.130,13.240,45882616.0,3469600
2025-6-30,13:10,13.240,13.330,13.220,13.300,25843922.0,1946900
2025-6-30,13:15,13.310,13.410,13.290,13.380,43498348.0,3259900
2025-6-30,13:20,13.370,13.550,13.340,13.490,77036656.0,5716900
2025-6-30,13:25,13.490,13.570,13.450,13.520,53608280.0,3962400
2025-6-30,13:30,13.530,13.550,13.510,13.520,37895984.0,2799000
2025-6-30,13:35,13.520,13.520,13.450,13.460,27675378.0,2052800
2025-6-30,13:40,13.460,13.530,13.450,13.490,25449164.0,1885500
2025-6-30,13:45,13.490,13.510,13.420,13.420,14098242.0,1047000
2025-6-30,13:50,13.420,13.420,13.360,13.370,14334863.0,1070400
2025-6-30,13:55,13.360,13.400,13.360,13.370,10954191.0,819100
2025-6-30,14:00,13.380,13.390,13.370,13.390,4126813.0,308400
2025-6-30,14:05,13.390,13.400,13.380,13.390,6136074.0,458300
2025-6-30,14:10,13.380,13.400,13.380,13.400,6913860.0,516300
2025-6-30,14:15,13.390,13.390,13.340,13.340,15942240.0,1193000
2025-6-30,14:20,13.350,13.360,13.340,13.350,8000531.0,599600
2025-6-30,14:25,13.350,13.360,13.340,13.350,5501674.0,412200
2025-6-30,14:30,13.350,13.350,13.330,13.350,6293360.0,471700
2025-6-30,14:35,13.350,13.360,13.330,13.350,12341943.0,924500
2025-6-30,14:40,13.340,13.350,13.330,13.350,8478252.0,635600
2025-6-30,14:45,13.350,13.350,13.340,13.350,8588385.0,643600
2025-6-30,14:50,13.350,13.350,13.340,13.350,11269917.0,844300
2025-6-30,14:55,13.350,13.380,13.340,13.370,15988864.0,1196500
2025-6-30,15:00,13.380,13.390,13.370,13.370,20222354.0,1512000
2025-7-1,09:35,13.460,13.460,13.220,13.240,43571420.0,3277700
2025-7-1,09:40,13.240,13.260,13.200,13.200,33603464.0,2540700
2025-7-1,09:45,13.200,13.210,13.140,13.170,26543344.0,2015300
2025-7-1,09:50,13.160,13.190,13.150,13.160,22200112.0,1686100
2025-7-1,09:55,13.160,13.180,13.150,13.170,10322366.0,784200
2025-7-1,10:00,13.170,13.170,13.150,13.150,11954236.0,908500
2025-7-1,10:05,13.150,13.160,13.110,13.120,27074128.0,2062200
2025-7-1,10:10,13.120,13.130,13.110,13.110,10329007.0,787500
2025-7-1,10:15,13.120,13.150,13.120,13.140,7538887.0,574000
2025-7-1,10:20,13.130,13.130,13.110,13.110,12686983.0,967200
2025-7-1,10:25,13.120,13.150,13.120,13.120,7741592.0,589500
2025-7-1,10:30,13.120,13.160,13.120,13.130,10866810.0,827200
2025-7-1,10:35,13.140,13.150,13.120,13.120,7805549.0,594500
2025-7-1,10:40,13.120,13.130,13.110,13.110,12843981.0,979300
2025-7-1,10:45,13.110,13.110,13.050,13.070,29281932.0,2238100
2025-7-1,10:50,13.070,13.090,13.060,13.070,9334379.0,714000
2025-7-1,10:55,13.080,13.090,13.070,13.080,4294685.0,328400
2025-7-1,11:00,13.070,13.090,13.070,13.090,4865600.0,372100
2025-7-1,11:05,13.080,13.100,13.060,13.060,10676132.0,816000
2025-7-1,11:10,13.060,13.080,13.060,13.060,8106874.0,620500
2025-7-1,11:15,13.060,13.070,13.040,13.050,7908638.0,605900
2025-7-1,11:20,13.060,13.070,13.030,13.050,8358996.0,640900
2025-7-1,11:25,13.050,13.060,13.040,13.060,3412213.0,261400
2025-7-1,11:30,13.050,13.080,13.050,13.070,3028575.0,231800
2025-7-1,13:05,13.070,13.080,13.050,13.070,4594331.0,351600
2025-7-1,13:10,13.080,13.100,13.070,13.080,4702302.0,359400
2025-7-1,13:15,13.090,13.100,13.070,13.080,4184628.0,319900
2025-7-1,13:20,13.070,13.080,13.020,13.050,21235336.0,1628000
2025-7-1,13:25,13.040,13.050,13.000,13.050,20160042.0,1548900
2025-7-1,13:30,13.050,13.100,13.040,13.090,7046285.0,538800
2025-7-1,13:35,13.100,13.110,13.080,13.090,5327228.0,406800
2025-7-1,13:40,13.090,13.120,13.090,13.100,6242629.0,476400
2025-7-1,13:45,13.100,13.110,13.080,13.090,6143513.0,469100
2025-7-1,13:50,13.090,13.120,13.090,13.110,3366752.0,256900
2025-7-1,13:55,13.110,13.140,13.110,13.130,6378675.0,485900
2025-7-1,14:00,13.120,13.130,13.100,13.110,4592208.0,350200
2025-7-1,14:05,13.120,13.120,13.110,13.110,3301186.0,251700
2025-7-1,14:10,13.110,13.120,13.100,13.110,5202342.0,396800
2025-7-1,14:15,13.110,13.120,13.100,13.120,3729581.0,284500
2025-7-1,14:20,13.120,13.120,13.100,13.100,4073276.0,310700
2025-7-1,14:25,13.100,13.110,13.100,13.110,3552283.0,271100
2025-7-1,14:30,13.100,13.110,13.090,13.090,4253900.0,324700
2025-7-1,14:35,13.090,13.100,13.080,13.090,5119832.0,391200
2025-7-1,14:40,13.090,13.100,13.080,13.090,5262426.0,402100
2025-7-1,14:45,13.090,13.100,13.080,13.090,4854335.0,370800
2025-7-1,14:50,13.080,13.110,13.080,13.090,22594832.0,1726700
2025-7-1,14:55,13.080,13.110,13.080,13.100,7046759.0,537900
2025-7-1,15:00,13.110,13.130,13.100,13.100,11081196.0,845300
2025-7-2,09:35,13.080,13.090,13.010,13.020,20121784.0,1543700
2025-7-2,09:40,13.020,13.030,12.960,12.970,26145016.0,2013100
2025-7-2,09:45,12.960,13.000,12.950,12.990,10592336.0,817000
2025-7-2,09:50,12.980,12.980,12.950,12.960,11430004.0,881400
2025-7-2,09:55,12.970,12.980,12.960,12.960,8806131.0,679100
2025-7-2,10:00,12.960,13.010,12.950,13.010,9307030.0,717500
2025-7-2,10:05,13.010,13.010,12.980,12.980,3574816.0,275100
2025-7-2,10:10,12.980,13.000,12.970,12.970,4391024.0,338100
2025-7-2,10:15,12.970,12.980,12.960,12.960,6667053.0,514200
2025-7-2,10:20,12.960,12.980,12.960,12.980,3879625.0,299200
2025-7-2,10:25,12.980,13.000,12.970,12.980,9352307.0,720600
2025-7-2,10:30,12.980,13.020,12.980,13.000,11407846.0,878000
2025-7-2,10:35,13.000,13.050,12.990,13.020,16918376.0,1299200
2025-7-2,10:40,13.020,13.030,12.980,13.000,4506499.0,346800
2025-7-2,10:45,12.990,13.000,12.970,12.970,2475454.0,190700
2025-7-2,10:50,12.970,13.000,12.960,12.990,4160821.0,320500
2025-7-2,10:55,13.000,13.020,12.990,12.990,9251043.0,711900
2025-7-2,11:00,12.990,13.030,12.990,13.000,3574803.0,274600
2025-7-2,11:05,13.000,13.000,12.980,12.990,3005237.0,231400
2025-7-2,11:10,12.980,13.010,12.980,12.990,2303348.0,177300
2025-7-2,11:15,13.000,13.010,12.990,13.000,1354481.0,104200
2025-7-2,11:20,13.000,13.010,12.970,12.990,2675873.0,206100
2025-7-2,11:25,12.990,12.990,12.980,12.980,1804475.0,139000
2025-7-2,11:30,12.980,12.990,12.970,12.990,2998771.0,231100
2025-7-2,13:05,12.980,13.020,12.970,12.970,4907962.0,377800
2025-7-2,13:10,12.970,12.990,12.970,12.990,5503524.0,424300
2025-7-2,13:15,12.990,12.990,12.970,12.970,1485055.0,114400
2025-7-2,13:20,12.970,12.990,12.960,12.970,3079136.0,237300
2025-7-2,13:25,12.970,12.970,12.960,12.960,3675528.0,283500
2025-7-2,13:30,12.960,12.980,12.960,12.970,2903340.0,223900
2025-7-2,13:35,12.970,12.970,12.930,12.940,18278940.0,1411800
2025-7-2,13:40,12.930,12.950,12.930,12.930,3375194.0,260800
2025-7-2,13:45,12.940,12.950,12.930,12.940,4063084.0,314000
2025-7-2,13:50,12.940,12.950,12.930,12.930,3110311.0,240400
2025-7-2,13:55,12.930,12.950,12.910,12.940,11373132.0,880100
2025-7-2,14:00,12.930,12.940,12.910,12.910,4385692.0,339300
2025-7-2,14:05,12.910,12.930,12.910,12.920,3785223.0,293000
2025-7-2,14:10,12.930,12.930,12.910,12.920,3477270.0,269200
2025-7-2,14:15,12.920,12.930,12.910,12.910,4407034.0,341200
2025-7-2,14:20,12.920,12.920,12.900,12.910,6737353.0,522000
2025-7-2,14:25,12.910,12.940,12.910,12.920,7891954.0,610400
2025-7-2,14:30,12.920,12.950,12.920,12.930,5662209.0,437600
2025-7-2,14:35,12.920,12.970,12.920,12.960,3092886.0,238700
2025-7-2,14:40,12.970,12.990,12.960,12.970,5276605.0,406500
2025-7-2,14:45,12.970,12.980,12.960,12.970,2919688.0,225200
2025-7-2,14:50,12.970,12.970,12.940,12.950,4614271.0,356200
2025-7-2,14:55,12.960,12.970,12.950,12.970,6279808.0,484500
2025-7-2,15:00,12.950,12.980,12.950,12.970,7683733.0,592500
2025-7-3,09:35,12.970,13.070,12.960,13.060,16406230.0,1258500
2025-7-3,09:40,13.050,13.060,13.000,13.020,6026728.0,462500
2025-7-3,09:45,13.010,13.030,12.960,12.970,7253861.0,558300
2025-7-3,09:50,12.980,12.980,12.920,12.940,9985401.0,771300
2025-7-3,09:55,12.930,12.930,12.900,12.910,13776781.0,1067000
2025-7-3,10:00,12.910,12.950,12.900,12.940,8180377.0,633200
2025-7-3,10:05,12.950,13.000,12.950,12.990,6421432.0,494900
2025-7-3,10:10,12.980,12.990,12.970,12.980,2684724.0,206800
2025-7-3,10:15,12.980,12.980,12.950,12.950,2156914.0,166400
2025-7-3,10:20,12.950,12.960,12.940,12.950,2071659.0,160000
2025-7-3,10:25,12.940,12.960,12.930,12.940,2464617.0,190400
2025-7-3,10:30,12.940,12.960,12.920,12.940,5446211.0,421000
2025-7-3,10:35,12.930,12.960,12.930,12.940,2504143.0,193500
2025-7-3,10:40,12.940,12.960,12.930,12.940,1727298.0,133500
2025-7-3,10:45,12.940,12.950,12.920,12.930,2424624.0,187500
2025-7-3,10:50,12.920,12.940,12.920,12.930,2854972.0,220900
2025-7-3,10:55,12.920,12.940,12.920,12.940,2263504.0,175100
2025-7-3,11:00,12.950,12.950,12.910,12.910,2245189.0,173700
2025-7-3,11:05,12.910,12.920,12.900,12.920,6689048.0,518200
2025-7-3,11:10,12.920,12.940,12.910,12.920,3335403.0,258100
2025-7-3,11:15,12.920,12.950,12.920,12.940,2505377.0,193700
2025-7-3,11:20,12.950,12.950,12.920,12.930,2461425.0,190400
2025-7-3,11:25,12.930,12.930,12.910,12.920,2645019.0,204800
2025-7-3,11:30,12.920,12.940,12.920,12.930,1682768.0,130200
2025-7-3,13:05,12.940,12.950,12.910,12.910,4611567.0,356700
2025-7-3,13:10,12.920,12.920,12.880,12.890,15736535.0,1220100
2025-7-3,13:15,12.880,12.900,12.870,12.880,8381837.0,650600
2025-7-3,13:20,12.880,12.910,12.870,12.900,5635861.0,437300
2025-7-3,13:25,12.890,12.900,12.880,12.880,4186047.0,324800
2025-7-3,13:30,12.880,12.910,12.880,12.910,6025946.0,467400
2025-7-3,13:35,12.900,12.940,12.900,12.920,4928832.0,381600
2025-7-3,13:40,12.920,12.930,12.900,12.900,6267218.0,485200
2025-7-3,13:45,12.900,12.950,12.900,12.950,6521311.0,504100
2025-7-3,13:50,12.950,12.960,12.940,12.960,4021198.0,310500
2025-7-3,13:55,12.950,13.000,12.950,13.000,12085003.0,931300
2025-7-3,14:00,13.000,13.000,12.970,12.980,6012100.0,462900
2025-7-3,14:05,12.990,13.000,12.980,12.980,5311508.0,409000
2025-7-3,14:10,12.980,13.000,12.980,12.980,4904788.0,377700
2025-7-3,14:15,12.990,12.990,12.960,12.970,6660333.0,513200
2025-7-3,14:20,12.970,12.980,12.970,12.970,3230801.0,249000
2025-7-3,14:25,12.980,12.980,12.950,12.950,5175930.0,399400
2025-7-3,14:30,12.960,12.960,12.950,12.950,3660041.0,282500
2025-7-3,14:35,12.960,12.970,12.950,12.950,3923006.0,302800
2025-7-3,14:40,12.950,12.960,12.950,12.950,3191642.0,246400
2025-7-3,14:45,12.950,12.960,12.930,12.940,4566538.0,352800
2025-7-3,14:50,12.940,12.970,12.940,12.950,6770564.0,522600
2025-7-3,14:55,12.960,12.970,12.950,12.960,6256869.0,482900
2025-7-3,15:00,12.970,12.970,12.960,12.960,6250736.0,482200
2025-7-4,09:35,12.960,12.980,12.900,12.920,8986370.0,694900
2025-7-4,09:40,12.940,12.940,12.880,12.930,8280677.0,641400
2025-7-4,09:45,12.940,12.940,12.890,12.900,7132323.0,552400
2025-7-4,09:50,12.910,12.960,12.900,12.950,5454899.0,421900
2025-7-4,09:55,12.960,12.970,12.910,12.920,6444150.0,497700
2025-7-4,10:00,12.930,12.930,12.870,12.880,13673590.0,1060400
2025-7-4,10:05,12.880,12.880,12.830,12.850,16156364.0,1257000
2025-7-4,10:10,12.850,12.850,12.810,12.820,12096104.0,943100
2025-7-4,10:15,12.830,12.830,12.810,12.820,4974924.0,388100
2025-7-4,10:20,12.810,12.820,12.800,12.800,11800324.0,921400
2025-7-4,10:25,12.810,12.820,12.790,12.810,7605463.0,594100
2025-7-4,10:30,12.820,12.840,12.810,12.840,1942316.0,151400
2025-7-4,10:35,12.840,12.840,12.810,12.830,4201780.0,327700
2025-7-4,10:40,12.830,12.850,12.820,12.850,3434569.0,267600
2025-7-4,10:45,12.840,12.870,12.840,12.860,2642694.0,205600
2025-7-4,10:50,12.860,12.920,12.850,12.890,7241107.0,561800
2025-7-4,10:55,12.900,12.910,12.870,12.880,3562948.0,276300
2025-7-4,11:00,12.880,12.920,12.880,12.890,6989750.0,542100
2025-7-4,11:05,12.890,12.930,12.880,12.910,6454982.0,499800
2025-7-4,11:10,12.910,12.940,12.900,12.900,4502791.0,348500
2025-7-4,11:15,12.890,12.930,12.890,12.930,3231251.0,250200
2025-7-4,11:20,12.930,12.940,12.900,12.940,4268310.0,330200
2025-7-4,11:25,12.940,12.940,12.900,12.910,1972655.0,152700
2025-7-4,11:30,12.910,12.920,12.890,12.910,1634972.0,126700
2025-7-4,13:05,12.920,12.920,12.880,12.880,5296177.0,410700
2025-7-4,13:10,12.890,12.940,12.870,12.930,3934263.0,305100
2025-7-4,13:15,12.940,12.990,12.920,12.990,14843805.0,1145200
2025-7-4,13:20,12.990,13.010,12.980,12.990,16412326.0,1263000
2025-7-4,13:25,12.990,13.030,12.990,13.030,10359394.0,796400
2025-7-4,13:30,13.020,13.040,13.010,13.010,9266465.0,711500
2025-7-4,13:35,13.010,13.020,13.000,13.010,7202550.0,553700
2025-7-4,13:40,13.010,13.010,12.970,13.000,4753660.0,365900
