日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,34.440,34.550,34.000,34.100,156710160.0,4572000
2024-1-2,09:40,34.110,34.330,34.100,34.320,82671472.0,2417600
2024-1-2,09:45,34.290,34.630,34.280,34.550,164443904.0,4769900
2024-1-2,09:50,34.560,34.960,34.540,34.560,198070528.0,5701200
2024-1-2,09:55,34.560,34.590,34.280,34.320,57577256.0,1672700
2024-1-2,10:00,34.320,34.510,34.280,34.420,31561648.0,917600
2024-1-2,10:05,34.400,34.410,34.230,34.340,31099412.0,906800
2024-1-2,10:10,34.300,34.340,34.190,34.260,39757132.0,1160600
2024-1-2,10:15,34.230,34.260,34.140,34.170,29627482.0,866400
2024-1-2,10:20,34.170,34.220,34.140,34.190,33526572.0,981100
2024-1-2,10:25,34.190,34.210,34.110,34.140,35954828.0,1052600
2024-1-2,10:30,34.130,34.170,34.030,34.110,52901824.0,1552200
2024-1-2,10:35,34.100,34.150,34.020,34.140,27364710.0,802800
2024-1-2,10:40,34.160,34.160,34.090,34.130,24211296.0,709500
2024-1-2,10:45,34.130,34.240,34.130,34.180,14018733.0,410000
2024-1-2,10:50,34.180,34.270,34.140,34.220,20070124.0,587000
2024-1-2,10:55,34.230,34.300,34.210,34.250,26181956.0,764400
2024-1-2,11:00,34.240,34.300,34.180,34.250,18455782.0,539000
2024-1-2,11:05,34.260,34.350,34.260,34.290,15081393.0,439700
2024-1-2,11:10,34.290,34.460,34.280,34.460,15282116.0,445000
2024-1-2,11:15,34.450,34.450,34.330,34.370,13786804.0,401100
2024-1-2,11:20,34.360,34.420,34.310,34.340,15123664.0,440100
2024-1-2,11:25,34.340,34.350,34.190,34.240,10674706.0,311500
2024-1-2,11:30,34.230,34.250,34.150,34.160,16221140.0,474300
2024-1-2,13:05,34.160,34.200,34.120,34.150,18186782.0,532500
2024-1-2,13:10,34.160,34.230,34.130,34.130,14505012.0,424400
2024-1-2,13:15,34.140,34.180,34.110,34.170,14684743.0,430100
2024-1-2,13:20,34.170,34.180,34.100,34.110,14583369.0,427300
2024-1-2,13:25,34.120,34.130,34.070,34.110,23700948.0,695100
2024-1-2,13:30,34.110,34.210,34.090,34.160,12596282.0,368700
2024-1-2,13:35,34.180,34.180,34.080,34.140,14308799.0,419400
2024-1-2,13:40,34.140,34.170,34.120,34.120,9411966.0,275700
2024-1-2,13:45,34.130,34.170,34.110,34.150,14107703.0,413300
2024-1-2,13:50,34.150,34.150,34.090,34.090,19018598.0,557400
2024-1-2,13:55,34.090,34.110,34.050,34.080,21858380.0,641400
