日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,61.060,61.290,61.000,61.290,2542062.0,41600
2024-1-2,09:40,61.280,61.280,61.070,61.130,2014597.0,33000
2024-1-2,09:45,61.200,61.460,61.180,61.440,1695777.0,27700
2024-1-2,09:50,61.410,61.450,61.300,61.410,2351994.0,38300
2024-1-2,09:55,61.450,61.580,61.410,61.490,2444885.0,39700
2024-1-2,10:00,61.500,61.500,61.400,61.470,2027140.0,33000
2024-1-2,10:05,61.500,61.730,61.490,61.700,4215853.0,68400
2024-1-2,10:10,61.700,61.880,61.680,61.840,7214121.0,116900
2024-1-2,10:15,61.870,61.870,61.650,61.650,1176496.0,19000
2024-1-2,10:20,61.630,61.680,61.600,61.620,1274076.0,20700
2024-1-2,10:25,61.700,61.700,61.470,61.490,1579294.0,25700
2024-1-2,10:30,61.490,61.490,61.200,61.200,1775952.0,28900
2024-1-2,10:35,61.200,61.300,61.100,61.160,2684965.0,43900
2024-1-2,10:40,61.160,61.260,61.140,61.140,614341.0,10000
2024-1-2,10:45,61.140,61.230,61.140,61.230,395043.0,6500
2024-1-2,10:50,61.240,61.240,61.200,61.200,208559.0,3400
2024-1-2,10:55,61.200,61.200,61.100,61.100,808142.0,13200
2024-1-2,11:00,61.060,61.170,61.020,61.130,1903020.0,31200
2024-1-2,11:05,61.030,61.200,61.030,61.110,740660.0,12100
2024-1-2,11:10,61.180,61.180,61.040,61.070,992834.0,16300
2024-1-2,11:15,61.120,61.180,61.120,61.180,203299.0,3300
2024-1-2,11:20,61.190,61.230,61.190,61.200,442451.0,7200
2024-1-2,11:25,61.230,61.230,61.150,61.150,182232.0,3000
2024-1-2,11:30,61.150,61.200,61.150,61.200,14749.0,300
2024-1-2,13:05,61.200,61.210,61.160,61.160,303792.0,4900
2024-1-2,13:10,61.190,61.200,61.180,61.180,204551.0,3400
2024-1-2,13:15,61.160,61.160,61.100,61.100,501624.0,8200
2024-1-2,13:20,61.100,61.100,61.100,61.100,33116.0,500
2024-1-2,13:25,61.090,61.100,61.080,61.100,224570.0,3700
2024-1-2,13:30,61.110,61.120,61.050,61.050,550104.0,9000
2024-1-2,13:35,61.050,61.050,60.880,60.970,4406242.0,72200
2024-1-2,13:40,60.970,60.980,60.970,60.980,383299.0,6300
2024-1-2,13:45,60.970,60.980,60.960,60.960,362533.0,6000
2024-1-2,13:50,60.960,60.960,60.930,60.960,320643.0,5200
2024-1-2,13:55,61.000,61.000,60.950,60.960,367835.0,6000
2024-1-2,14:00,60.960,60.980,60.960,60.960,246964.0,4100
2024-1-2,14:05,60.970,60.980,60.860,60.870,1928488.0,31700
2024-1-2,14:10,60.870,60.870,60.760,60.810,1532627.0,25200
2024-1-2,14:15,60.820,60.860,60.810,60.810,409043.0,6700
2024-1-2,14:20,60.800,60.800,60.730,60.750,869723.0,14300
2024-1-2,14:25,60.750,60.780,60.740,60.740,591736.0,9700
2024-1-2,14:30,60.750,60.760,60.620,60.660,1653524.0,27300
2024-1-2,14:35,60.690,60.720,60.680,60.700,337421.0,5500
2024-1-2,14:40,60.700,60.700,60.670,60.700,433074.0,7200
2024-1-2,14:45,60.690,60.720,60.670,60.670,1302870.0,21400
2024-1-2,14:50,60.660,60.660,60.630,60.640,1085938.0,17900
2024-1-2,14:55,60.630,60.670,60.630,60.650,1258960.0,20800
2024-1-2,15:00,60.640,60.640,60.580,60.580,1310891.0,21600
2024-1-3,09:35,60.310,60.580,60.300,60.480,2213531.0,36600
2024-1-3,09:40,60.480,60.580,60.480,60.560,1565918.0,25900
2024-1-3,09:45,60.540,60.550,60.360,60.450,1429682.0,23700
2024-1-3,09:50,60.450,60.560,60.340,60.400,2690115.0,44500
2024-1-3,09:55,60.400,60.420,60.220,60.330,3496991.0,57900
2024-1-3,10:00,60.330,60.330,60.240,60.240,2704580.0,44900
2024-1-3,10:05,60.230,60.270,60.100,60.110,2349990.0,39000
2024-1-3,10:10,60.210,60.220,60.100,60.100,1449535.0,24100
2024-1-3,10:15,60.100,60.100,60.030,60.050,2399916.0,40000
2024-1-3,10:20,60.070,60.160,60.070,60.110,368161.0,6100
2024-1-3,10:25,60.110,60.170,60.110,60.170,429493.0,7100
2024-1-3,10:30,60.120,60.210,60.110,60.210,614457.0,10200
2024-1-3,10:35,60.280,60.490,60.170,60.250,1998356.0,33200
2024-1-3,10:40,60.330,60.350,60.320,60.320,487976.0,8100
2024-1-3,10:45,60.320,60.320,60.250,60.270,301868.0,5000
2024-1-3,10:50,60.220,60.320,60.210,60.270,334673.0,5500
2024-1-3,10:55,60.270,60.270,60.180,60.190,388657.0,6500
2024-1-3,11:00,60.180,60.270,60.170,60.270,489586.0,8100
2024-1-3,11:05,60.200,60.270,60.160,60.160,494565.0,8200
2024-1-3,11:10,60.160,60.300,60.160,60.190,499102.0,8300
2024-1-3,11:15,60.180,60.260,60.120,60.120,716704.0,11900
2024-1-3,11:20,60.130,60.230,60.130,60.230,96258.0,1600
2024-1-3,11:25,60.150,60.240,60.130,60.230,114854.0,1900
2024-1-3,11:30,60.170,60.170,60.130,60.160,606226.0,10100
2024-1-3,13:05,60.250,60.350,60.080,60.350,3748386.0,62300
2024-1-3,13:10,60.320,60.340,60.320,60.320,53689.0,900
2024-1-3,13:15,60.300,60.380,60.300,60.330,1477793.0,24500
2024-1-3,13:20,60.330,60.350,60.300,60.300,42228.0,700
2024-1-3,13:25,60.300,60.350,60.300,60.300,90473.0,1500
2024-1-3,13:30,60.300,60.300,60.300,60.300,54511.0,900
2024-1-3,13:35,60.300,60.310,60.300,60.310,313743.0,5200
2024-1-3,13:40,60.370,60.400,60.360,60.380,389790.0,6400
2024-1-3,13:45,60.400,60.500,60.400,60.500,1307507.0,21700
2024-1-3,13:50,60.500,60.580,60.500,60.580,632676.0,10400
2024-1-3,13:55,60.570,60.580,60.570,60.580,318803.0,5300
2024-1-3,14:00,60.580,60.590,60.500,60.570,314693.0,5200
2024-1-3,14:05,60.570,60.580,60.570,60.580,266531.0,4400
2024-1-3,14:10,60.520,60.700,60.520,60.700,1105983.0,18200
2024-1-3,14:15,60.660,60.850,60.660,60.840,1332960.0,22000
2024-1-3,14:20,60.790,60.790,60.710,60.710,145769.0,2400
2024-1-3,14:25,60.710,60.740,60.700,60.700,633951.0,10400
2024-1-3,14:30,60.700,60.720,60.700,60.720,775170.0,12800
2024-1-3,14:35,60.730,60.760,60.730,60.750,208551.0,3400
2024-1-3,14:40,60.760,60.760,60.660,60.730,814822.0,13400
2024-1-3,14:45,60.740,60.770,60.700,60.750,441745.0,7300
2024-1-3,14:50,60.720,60.760,60.720,60.750,162966.0,2700
2024-1-3,14:55,60.750,60.750,60.720,60.730,522853.0,8600
2024-1-3,15:00,60.750,60.750,60.720,60.720,695298.0,11400
2024-1-4,09:35,60.700,60.700,60.350,60.360,422295.0,7000
2024-1-4,09:40,60.380,60.650,60.350,60.650,1233952.0,20400
2024-1-4,09:45,60.660,61.000,60.660,60.900,2387313.0,39200
2024-1-4,09:50,60.910,61.120,60.790,61.030,2341427.0,38400
2024-1-4,09:55,60.960,60.960,60.770,60.780,691591.0,11400
2024-1-4,10:00,60.930,60.930,60.560,60.720,1138769.0,18800
2024-1-4,10:05,60.720,60.910,60.720,60.910,241958.0,4000
2024-1-4,10:10,60.910,60.920,60.770,60.910,717623.0,11700
2024-1-4,10:15,60.910,60.970,60.810,60.960,960376.0,15800
2024-1-4,10:20,60.970,61.070,60.860,61.000,1569736.0,25800
2024-1-4,10:25,61.000,61.020,60.920,61.020,966123.0,15800
2024-1-4,10:30,60.920,61.000,60.850,61.000,651122.0,10700
2024-1-4,10:35,61.000,61.000,60.810,60.950,279146.0,4600
2024-1-4,10:40,60.950,60.950,60.820,60.820,133596.0,2200
