日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,49.000,49.270,48.610,49.250,178447488.0,3647100
2024-4-1,09:40,49.260,49.380,49.100,49.150,119659264.0,2429100
2024-4-1,09:45,49.160,49.360,49.160,49.310,76317072.0,1547800
2024-4-1,09:50,49.280,49.360,48.830,48.840,88964528.0,1809100
2024-4-1,09:55,48.830,49.040,48.830,49.000,55841264.0,1141200
2024-4-1,10:00,48.990,49.030,48.890,48.980,39558624.0,808000
2024-4-1,10:05,49.000,49.310,48.950,49.310,70612736.0,1438000
2024-4-1,10:10,49.290,49.320,48.980,48.980,54611964.0,1110100
2024-4-1,10:15,48.980,49.030,48.890,49.030,38701564.0,790800
2024-4-1,10:20,49.060,49.060,48.910,48.940,27636736.0,564100
2024-4-1,10:25,48.940,49.020,48.930,48.990,31973792.0,652700
2024-4-1,10:30,48.990,49.130,48.990,49.120,30172858.0,614900
2024-4-1,10:35,49.120,49.320,49.080,49.300,50408236.0,1024300
2024-4-1,10:40,49.320,49.320,49.110,49.130,26139772.0,531500
2024-4-1,10:45,49.130,49.140,49.020,49.030,23959152.0,488100
2024-4-1,10:50,49.040,49.070,48.960,49.050,28278162.0,576900
2024-4-1,10:55,49.060,49.250,49.060,49.190,30322520.0,616300
2024-4-1,11:00,49.190,49.320,49.170,49.180,32830074.0,666600
2024-4-1,11:05,49.200,49.290,49.190,49.220,15682429.0,318500
2024-4-1,11:10,49.210,49.250,49.190,49.230,12760829.0,259200
2024-4-1,11:15,49.240,49.250,49.210,49.230,9839368.0,199900
2024-4-1,11:20,49.220,49.450,49.110,49.450,57496704.0,1166700
2024-4-1,11:25,49.450,49.730,49.420,49.540,88864360.0,1792200
2024-4-1,11:30,49.540,49.680,49.520,49.610,37195920.0,749700
2024-4-1,13:05,49.610,49.640,49.400,49.400,39875488.0,804700
2024-4-1,13:10,49.390,49.570,49.350,49.520,21257288.0,429900
2024-4-1,13:15,49.520,49.690,49.490,49.670,26983180.0,544200
2024-4-1,13:20,49.670,49.670,49.440,49.480,23193486.0,468000
2024-4-1,13:25,49.470,49.600,49.410,49.600,19800696.0,400000
2024-4-1,13:30,49.610,49.880,49.600,49.710,72543432.0,1457300
2024-4-1,13:35,49.690,49.760,49.600,49.700,36128248.0,726900
2024-4-1,13:40,49.670,49.700,49.570,49.580,22880408.0,460900
2024-4-1,13:45,49.580,49.580,49.480,49.500,17784370.0,359200
2024-4-1,13:50,49.510,49.520,49.460,49.460,21739424.0,439200
2024-4-1,13:55,49.450,49.470,49.410,49.440,18121376.0,366600
2024-4-1,14:00,49.440,49.520,49.440,49.520,14153574.0,286000
2024-4-1,14:05,49.530,49.530,49.450,49.450,24769996.0,500500
2024-4-1,14:10,49.440,49.510,49.440,49.510,14618560.0,295500
2024-4-1,14:15,49.500,49.510,49.380,49.380,23523688.0,475900
2024-4-1,14:20,49.390,49.390,49.340,49.380,22312336.0,451900
2024-4-1,14:25,49.380,49.520,49.350,49.510,27471220.0,555800
2024-4-1,14:30,49.520,49.530,49.400,49.470,22213258.0,449100
2024-4-1,14:35,49.470,49.490,49.460,49.480,18014524.0,364100
2024-4-1,14:40,49.470,49.550,49.420,49.540,30348564.0,613300
2024-4-1,14:45,49.540,49.540,49.460,49.490,24554464.0,496100
2024-4-1,14:50,49.500,49.530,49.480,49.520,32254420.0,651600
2024-4-1,14:55,49.530,49.570,49.490,49.490,63811360.0,1288400
2024-4-1,15:00,49.490,49.530,49.490,49.530,42669972.0,861700
2024-4-2,09:35,49.330,49.400,48.910,49.040,126869456.0,2580700
2024-4-2,09:40,49.040,49.380,49.000,49.210,54202768.0,1103100
2024-4-2,09:45,49.250,49.250,49.040,49.130,40139132.0,817700
2024-4-2,09:50,49.120,49.120,48.870,48.870,88118352.0,1799100
2024-4-2,09:55,48.850,49.020,48.710,48.930,71342200.0,1460300
2024-4-2,10:00,48.900,48.910,48.660,48.720,58206860.0,1194300
2024-4-2,10:05,48.720,48.720,48.510,48.580,79737216.0,1640300
2024-4-2,10:10,48.580,48.690,48.550,48.610,34540000.0,710400
2024-4-2,10:15,48.620,48.740,48.530,48.740,58541360.0,1205100
2024-4-2,10:20,48.750,48.870,48.630,48.630,36431820.0,747100
2024-4-2,10:25,48.640,48.960,48.620,48.850,26191908.0,536500
2024-4-2,10:30,48.860,48.860,48.670,48.680,17142740.0,351700
2024-4-2,10:35,48.680,48.800,48.650,48.800,18261116.0,374900
2024-4-2,10:40,48.800,48.840,48.730,48.780,17161480.0,351800
2024-4-2,10:45,48.790,48.850,48.760,48.840,12182205.0,249600
2024-4-2,10:50,48.840,48.860,48.820,48.830,10085235.0,206500
2024-4-2,10:55,48.840,48.910,48.760,48.780,15360264.0,314600
2024-4-2,11:00,48.780,48.910,48.740,48.900,18584236.0,380700
2024-4-2,11:05,48.890,48.910,48.790,48.800,23118888.0,473400
2024-4-2,11:10,48.800,48.800,48.670,48.690,21606870.0,443500
2024-4-2,11:15,48.700,48.790,48.670,48.790,7968207.0,163600
2024-4-2,11:20,48.750,48.880,48.750,48.870,8110796.0,166200
2024-4-2,11:25,48.880,48.920,48.880,48.900,11173728.0,228500
2024-4-2,11:30,48.890,48.930,48.880,48.900,7766164.0,158800
2024-4-2,13:05,48.900,48.960,48.710,48.960,23233468.0,475600
2024-4-2,13:10,48.960,49.000,48.800,48.850,12881967.0,263400
2024-4-2,13:15,48.850,48.850,48.760,48.770,9280045.0,190200
2024-4-2,13:20,48.760,48.770,48.670,48.670,15526074.0,318800
2024-4-2,13:25,48.690,48.810,48.670,48.750,11771830.0,241500
2024-4-2,13:30,48.750,48.800,48.700,48.720,11964385.0,245500
2024-4-2,13:35,48.720,48.800,48.660,48.790,17097366.0,351000
2024-4-2,13:40,48.780,48.820,48.770,48.780,7977304.0,163500
2024-4-2,13:45,48.770,48.780,48.690,48.710,9822992.0,201600
2024-4-2,13:50,48.720,48.750,48.520,48.520,48522428.0,998200
2024-4-2,13:55,48.530,48.640,48.530,48.560,21274008.0,438000
2024-4-2,14:00,48.580,48.700,48.580,48.670,17555364.0,360800
2024-4-2,14:05,48.670,48.790,48.660,48.710,22775586.0,467400
2024-4-2,14:10,48.710,48.710,48.610,48.610,13888964.0,285500
2024-4-2,14:15,48.610,48.630,48.540,48.540,19404772.0,399400
2024-4-2,14:20,48.540,48.600,48.350,48.590,87713616.0,1809600
2024-4-2,14:25,48.540,48.590,48.470,48.560,19113280.0,393800
2024-4-2,14:30,48.550,48.640,48.460,48.610,21188252.0,436600
2024-4-2,14:35,48.580,48.630,48.540,48.540,16233942.0,334100
2024-4-2,14:40,48.540,48.550,48.430,48.450,27255216.0,562100
2024-4-2,14:45,48.450,48.630,48.450,48.610,36663704.0,755600
2024-4-2,14:50,48.550,48.720,48.550,48.710,29732720.0,611500
2024-4-2,14:55,48.720,48.790,48.720,48.790,38512252.0,789800
2024-4-2,15:00,48.790,48.800,48.750,48.800,40114216.0,822200
2024-4-3,09:35,48.550,48.600,47.810,48.050,112050528.0,2331000
2024-4-3,09:40,48.040,48.040,47.600,47.610,98928664.0,2069700
2024-4-3,09:45,47.650,47.900,47.570,47.860,68019160.0,1426800
2024-4-3,09:50,47.880,47.880,47.640,47.650,37307428.0,781100
2024-4-3,09:55,47.640,47.930,47.600,47.770,42439248.0,888800
2024-4-3,10:00,47.760,47.760,47.390,47.640,84438992.0,1776300
2024-4-3,10:05,47.630,47.650,47.500,47.510,45284256.0,952100
2024-4-3,10:10,47.500,47.640,47.500,47.540,53251924.0,1119900
2024-4-3,10:15,47.520,47.540,47.340,47.340,51911272.0,1094700
2024-4-3,10:20,47.350,47.350,47.190,47.260,61832380.0,1308400
2024-4-3,10:25,47.280,47.450,47.270,47.430,40462824.0,854700
2024-4-3,10:30,47.440,47.450,47.290,47.400,26227848.0,553700
2024-4-3,10:35,47.410,47.690,47.380,47.650,27032804.0,568500
2024-4-3,10:40,47.660,47.790,47.600,47.750,22581460.0,473600
2024-4-3,10:45,47.750,47.760,47.620,47.700,17616360.0,369100
2024-4-3,10:50,47.710,47.970,47.700,47.970,24663728.0,515700
2024-4-3,10:55,47.930,48.020,47.900,48.010,32315032.0,673800
